Age,female,male,avarege,kind
0 to 04,7.1,8.1,7.6,leukemia
05 to 09,3.1,4.1,3.6,leukemia
10 to 14,2.8,3,2.9,leukemia
15 to 19,2.3,3.5,2.9,leukemia
20 to 24,1.8,2.6,2.2,leukemia
25 to 29,1.9,2.6,2.25,leukemia
30 to 34,2.4,3,2.7,leukemia
35 to 39,2.7,3.8,3.25,leukemia
40 to 44,3.9,5.7,4.8,leukemia
45 to 49,5.7,8.1,6.9,leukemia
50 to 54,7.4,12.7,10.05,leukemia
55 to 59,11.7,19.2,15.45,leukemia
60 to 64,18.3,32.2,25.25,leukemia
65 to 69,24.9,45.8,35.35,leukemia
70 to 74,34.6,63.1,48.85,leukemia
75 to 79,42.7,85.2,63.95,leukemia
80 to 84,56.4,101.9,79.15,leukemia
85 to 89,62.7,115.5,89.1,leukemia
90+,58.6,115.1,86.85,leukemia
0 to 04,5.5,6.2,5.85,ALL
05 to 09,2.5,3.2,2.85,ALL
10 to 14,1.9,2.1,2,ALL
15 to 19,1,2.1,1.55,ALL
20 to 24,0.4,0.9,0.65,ALL
25 to 29,0.4,0.9,0.65,ALL
30 to 34,0.3,0.8,0.55,ALL
35 to 39,0.3,0.6,0.45,ALL
40 to 44,0.4,0.7,0.55,ALL
45 to 49,0.3,0.6,0.45,ALL
50 to 54,0.5,0.6,0.55,ALL
55 to 59,0.6,0.6,0.6,ALL
60 to 64,0.8,0.7,0.75,ALL
65 to 69,0.8,0.9,0.85,ALL
70 to 74,0.7,0.9,0.8,ALL
75 to 79,0.7,1.4,1.05,ALL
80 to 84,0.5,0.7,0.6,ALL
85 to 89,0.7,1.2,0.95,ALL
90+,0.9,1.8,1.35,ALL
0 to 04,0.9,1,0.95,AML
05 to 09,0.4,0.5,0.45,AML
10 to 14,0.6,0.5,0.55,AML
15 to 19,0.7,0.9,0.8,AML
20 to 24,0.8,0.9,0.85,AML
25 to 29,0.9,0.8,0.85,AML
30 to 34,1.2,1,1.1,AML
35 to 39,1.4,1.4,1.4,AML
40 to 44,1.7,1.6,1.65,AML
45 to 49,2.3,2.2,2.25,AML
50 to 54,2.7,3.4,3.05,AML
55 to 59,4,4.5,4.25,AML
60 to 64,6.1,8.5,7.3,AML
65 to 69,7.9,13.4,10.65,AML
70 to 74,11.3,19,15.15,AML
75 to 79,14.3,27.5,20.9,AML
80 to 84,21.2,36.2,28.7,AML
85 to 89,21.6,40.9,31.25,AML
90+,20.1,33.7,26.9,AML
0 to 04,0,0,0,CLL
05 to 09,0,0,0,CLL
10 to 14,0,0,0,CLL
15 to 19,0.1,0.1,0.1,CLL
20 to 24,0,0.1,0.05,CLL
25 to 29,0,0.1,0.05,CLL
30 to 34,0,0.1,0.05,CLL
35 to 39,0.1,0.4,0.25,CLL
40 to 44,0.6,1.3,0.95,CLL
45 to 49,1.2,2.7,1.95,CLL
50 to 54,2.1,5.3,3.7,CLL
55 to 59,4.3,9.4,6.85,CLL
60 to 64,7.6,16.1,11.85,CLL
65 to 69,11.4,22.4,16.9,CLL
70 to 74,15.6,29.4,22.5,CLL
75 to 79,18.6,36.9,27.75,CLL
80 to 84,22,40.8,31.4,CLL
85 to 89,24.2,45.2,34.7,CLL
90+,22.1,51.8,36.95,CLL
0 to 04,0,0,0,CML
05 to 09,0,0.1,0.05,CML
10 to 14,0.1,0.1,0.1,CML
15 to 19,0.4,0.2,0.3,CML
20 to 24,0.3,0.5,0.4,CML
25 to 29,0.4,0.7,0.55,CML
30 to 34,0.6,0.8,0.7,CML
35 to 39,0.7,0.9,0.8,CML
40 to 44,0.8,1.2,1,CML
45 to 49,1.3,1.6,1.45,CML
50 to 54,1.1,1.6,1.35,CML
55 to 59,1.6,2,1.8,CML
60 to 64,1.8,2.4,2.1,CML
65 to 69,1.9,2.5,2.2,CML
70 to 74,2.5,3.5,3,CML
75 to 79,2.4,4,3.2,CML
80 to 84,2.9,4.4,3.65,CML
85 to 89,3.7,4.6,4.15,CML
90+,2.8,4.1,3.45,CML
