Age,female,male,avarege,kind
0 to 04,0.4,0.6,0.5,leukemia
05 to 09,0.3,0.6,0.45,leukemia
10 to 14,0.4,0.5,0.45,leukemia
15 to 19,0.5,0.7,0.6,leukemia
20 to 24,0.5,0.7,0.6,leukemia
25 to 29,0.4,0.7,0.55,leukemia
30 to 34,0.6,0.7,0.65,leukemia
35 to 39,0.6,0.8,0.7,leukemia
40 to 44,0.9,1,0.95,leukemia
45 to 49,1.5,1.6,1.55,leukemia
50 to 54,1.6,3.1,2.35,leukemia
55 to 59,3.1,4.4,3.75,leukemia
60 to 64,5.5,9.3,7.4,leukemia
65 to 69,9.1,17.2,13.15,leukemia
70 to 74,15.7,30.6,23.15,leukemia
75 to 79,24.2,48.5,36.35,leukemia
80 to 84,37.9,72.1,55,leukemia
85 to 89,53.6,97.3,75.45,leukemia
90+,60.7,112.3,86.5,leukemia
0 to 04,0.2,0.3,0.25,ALL
05 to 09,0.2,0.4,0.3,ALL
10 to 14,0.2,0.2,0.2,ALL
15 to 19,0.2,0.4,0.3,ALL
20 to 24,0.1,0.4,0.25,ALL
25 to 29,0.1,0.3,0.2,ALL
30 to 34,0.1,0.2,0.15,ALL
35 to 39,0.1,0.3,0.2,ALL
40 to 44,0.1,0.3,0.2,ALL
45 to 49,0.2,0.3,0.25,ALL
50 to 54,0.3,0.3,0.3,ALL
55 to 59,0.3,0.4,0.35,ALL
60 to 64,0.5,0.5,0.5,ALL
65 to 69,0.7,0.5,0.6,ALL
70 to 74,0.7,0.8,0.75,ALL
75 to 79,1,1,1,ALL
80 to 84,0.7,1.3,1,ALL
85 to 89,0.7,0.8,0.75,ALL
90+,1.1,1.4,1.25,ALL
0 to 04,0.2,0.3,0.25,AML
05 to 09,0.1,0.1,0.1,AML
10 to 14,0.2,0.2,0.2,AML
15 to 19,0.2,0.2,0.2,AML
20 to 24,0.2,0.3,0.25,AML
25 to 29,0.3,0.3,0.3,AML
30 to 34,0.5,0.4,0.45,AML
35 to 39,0.4,0.4,0.4,AML
40 to 44,0.6,0.7,0.65,AML
45 to 49,1.1,0.9,1,AML
50 to 54,1.1,2.1,1.6,AML
55 to 59,2.3,3,2.65,AML
60 to 64,4,5.8,4.9,AML
65 to 69,5.9,10.7,8.3,AML
70 to 74,10.5,19.2,14.85,AML
75 to 79,14.8,28.9,21.85,AML
80 to 84,21,37.7,29.35,AML
85 to 89,23.8,43.6,33.7,AML
90+,19.9,34.8,27.35,AML
0 to 04,0,0,0,CLL
05 to 09,0,0,0,CLL
10 to 14,0,0,0,CLL
15 to 19,0,0,0,CLL
20 to 24,0,0,0,CLL
25 to 29,0,0,0,CLL
30 to 34,0,0,0,CLL
35 to 39,0,0,0,CLL
40 to 44,0,0,0,CLL
45 to 49,0,0.1,0.05,CLL
50 to 54,0,0.2,0.1,CLL
55 to 59,0.1,0.5,0.3,CLL
60 to 64,0.5,1.5,1,CLL
65 to 69,1.3,3.3,2.3,CLL
70 to 74,2.1,5.2,3.65,CLL
75 to 79,3.4,10.3,6.85,CLL
80 to 84,8.4,18.6,13.5,CLL
85 to 89,16.3,31.1,23.7,CLL
90+,23.9,48.9,36.4,CLL
0 to 04,0,0,0,CML
05 to 09,0,0,0,CML
10 to 14,0,0,0,CML
15 to 19,0.1,0,0.05,CML
20 to 24,0,0,0,CML
25 to 29,0,0,0,CML
30 to 34,0,0,0,CML
35 to 39,0,0.1,0.05,CML
40 to 44,0,0,0,CML
45 to 49,0.1,0.1,0.1,CML
50 to 54,0.1,0.2,0.15,CML
55 to 59,0.1,0.1,0.1,CML
60 to 64,0.1,0.3,0.2,CML
65 to 69,0.3,0.6,0.45,CML
70 to 74,0.5,1.3,0.9,CML
75 to 79,1.4,1.8,1.6,CML
80 to 84,1.9,3.3,2.6,CML
85 to 89,3.5,6.1,4.8,CML
90+,4.4,8,6.2,CML
