Gene	Freq_group	Log2FC
Btbd2	1	3.09
Wwtr1	5	3.8735243509200004
Orai3	1	7.26
Sdpr	9	2.8326892596934607
Csgalnact1	1	7.67
H2-K1	1	4.8
Actb	1	8.21
Pld3	2	3.4568198245
Abhd6	3	0.3845870724655271
Numa1	1	3.18
Eif3a	1	9.59
Msn	2	2.7933241758241762
Clns1a	2	2.2544932844932846
Anxa7	3	1.8342576140666667
Stat3	3	2.6310638689
Camk1	2	2.7806046357
G6pc3	1	4.55
B2m	4	1.282284270352167
Cd9	3	3.510093314242979
Cpne8	3	2.753237413666667
Col16a1	3	2.876755276066667
Pkm2	2	3.141239316239316
Arpc1b	1	2.7
Ddx56	1	3.32
Map1lc3a	2	1.217164224664224
G3bp1	1	3.06
Trmt1	1	2.56
Tubb2c	1	3.62
Cltb	3	3.0590354090354093
Mta2	1	3.31
Rnps1	1	2.88
Cbara1	1	4.24
Ubap2l	1	2.92
Akt2	2	1.215
H2-D1	2	1.678266178266178
Slc48a1	2	2.0867463091
Flot2	1	2.89
Eif3b	1	2.24
Nav1	3	2.384796666666667
Nfix	2	1.0249603174603177
Rab1b	1	2.88
Plcb2	1	2.78
Rbm25	2	0.9106107961000001
Tpi1	1	2.65
Eif5a	2	1.6289529914529908
6820431F20Rik	1	2.61
Cirh1a	1	2.84
Syngr2	1	2.31
Slc25a4	1	2.33
Srebf2	1	2.93
Sf3b3	1	3.63
Irak1	3	-0.5076007326007326
Gsn	1	2.37
Crtap	2	2.3901678876678876
Dguok	1	5.42
Nsf	4	2.42502588702326
Plxnb2	4	0.8738180535445056
Rnf167	2	2.9187834705
Krt18	3	0.686564622
Sae1	2	0.815
Dpp9	1	2.29
Hspbp1	1	3.64
Alcam	6	2.2773560106856734
Macrod1	1	2.74
Clec1a	6	1.741407629183333
Pigs	1	2.65
Galk1	1	2.48
Marcksl1	2	0.7240102508499999
Cnbp1	1	2.81
Zfp148	2	0.16427655677655673
Psmb8	1	3.14
Dda1	1	2.26
Tradd	1	2.35
Srxn1	2	1.6639564048
---	1	2.24
Sema7a	4	1.9375602412
Snrnp70	1	2.21
Pcnxl3	1	2.78
Gpr56	1	2.59
Lman2	2	1.8180860805860806
Dtymk	2	0.5946947496947497
Atp5d	1	3.29
Gapdh	2	1.075
4921506J03Rik	2	1.9300213675213675
Rfk	2	1.4877764151
Igfbp4	3	-0.12492414056666663
LOC100047009	1	2.51
Cnp	1	3.45
Actn4	1	2.35
Mrpl10	1	2.91
Smarcc1	1	2.03
Il27ra	3	1.5596035073068784
Siae	1	2.73
Gpi1	1	2.65
Psap	1	3.38
Ctcf	2	2.1589774114774114
Arf1	2	2.3668192918192923
Bcl2	2	1.5148000756000002
2610306M01Rik	1	2.72
Rab4b	1	2.1
N4bp1	1	2.7
Ube2j2	2	0.6471306471306469
Ghr	4	2.0926103746749387
Mrps27	1	2.95
2310003F16Rik	2	0.529355921855922
Socs3	7	1.8919006135937553
Hsd17b10	2	1.4894743628999998
Dynll2	1	3.04
Ddx10	2	2.561159951159951
Tnfsf12	1	2.39
Ctsf	2	1.7635578512999999
Esyt1	1	2.31
Aup1	3	0.0823463573463572
Ctsw	3	2.222353136333333
Rxra	1	2.02
Serinc3	1	2.02
Dad1	1	2.07
Snapin	1	2.04
Rora	2	1.9761935286935286
Cd151	3	1.5045983274288162
Bcap31	1	2.14
Wdr48	2	0.94
AA881470	1	2.25
Mcl1	3	1.5359915748396011
Igf2bp2	3	-3.957560904433333
Epsti1	1	-3.74
Tatdn1	2	-1.7
Mrps9	3	-0.5052665852665855
Dhps	2	-2.853137973137973
Socs5	1	-2.55
Rassf4	5	-2.1106383713399994
Eml5	1	-4.12
Pdk1	1	-4.35
Igdcc4	1	-5.88
Tfb1m	1	-3.43
H47	1	-3.22
Mthfd2l	1	-4.69
Rnf2	1	-2.04
Ppp2r3c	2	-2.075
Cd2ap	2	-0.7820085470085469
1810014B01Rik	1	-2.77
Tes3-ps	2	-4.148403540903541
Vegfc	2	-3.32
Mllt3	4	0.37939125652463374
Sgcb	1	-3.07
Dock7	1	-2.25
Ormdl1	1	-2.58
Ncoa2	1	-2.66
Usp1	2	-3.1648280408
Vim	3	-1.743340991791941
Tnik	2	-1.9123325864
Fyn	1	-2.96
Ttc14	1	-4.01
Rbm16	2	-0.9284035409035407
Fyco1	2	-2.0489163614163615
1200016B10Rik	1	-2.84
Luc7l2	2	-3.4308699633699637
Add3	3	-1.011719585322955
Nrk	5	-1.8499725728679852
Fam49b	1	-2.93
Atxn1	1	-2.71
Fastkd2	1	-2.41
BC055324	2	-1.2493937444999998
Itgb5	4	-2.949318525027228
Ncoa3	2	-1.2186881901
Ofd1	2	-2.19741452991453
Gm2643	1	-6.74
LOC100045442	1	-2.19
Glt8d1	1	-2.03
Dcun1d1	1	-3.42
Ttc3	2	-1.6998199023199025
Nudt13	1	-3.48
5830407E08Rik	1	-4.96
Eif2ak4	3	-1.6730523389040295
Med30	1	-4.96
Polr3a	1	-2.65
Dnase2a	2	-2.069905372405373
2410002O22Rik	1	-6.24
Pi4k2b	1	-2.36
BC057079	1	-2.58
Tmod1	1	-4.75
Cdk5rap1	1	-4.41
Acyp1	1	-3.17
Reck	1	-3.92
Cobll1	1	-3.26
Myo5a	2	-2.0455539903999997
1700012D14Rik	1	-3.9
Zfp566	1	-4.78
Rapgef6	1	-4.23
Cklf	1	-2.07
Sp4	2	-3.738656898656899
Fech	2	-2.29498778998779
Hmga2	5	-1.7429781147741146
Ebag9	1	-2.83
Prkcb	1	-6.23
Clip1	2	-2.1952044151
Parp1	2	-1.32721085265
Mycbp2	1	-3.16
Adam22	1	-4.27
Shprh	3	-0.9596459096459098
Lias	2	-1.715
Mtcp1	2	-2.81
Rbm39	1	-7.05
Gm6768	1	-2.31
Smndc1	1	-2.58
Paip1	3	-0.6675539275539274
Vnn1	1	-6.72
1190002H23Rik	3	-4.1642796092796095
Gria3	3	-3.139224989066667
Dnajc14	1	-2.51
Ccny	1	-7.33
Mxd3	2	-1.6743983128
Taf9b	1	-3.0
LOC100134980	1	-2.96
Ublcp1	1	-2.42
BC005537	1	-2.71
Mll5	1	-4.49
Fbxo3	1	-2.5
Tspyl4	2	-0.8316354239500001
LOC100045551	1	-3.03
Pgap2	1	-2.49
Phf14	2	-1.70016013355
Tpst1	1	-2.11
AU022870	1	-2.83
2210404J11Rik	1	-2.22
Ankrd44	1	-2.28
Afap1l1	1	-2.64
Slc4a7	1	-2.86
Ift57	1	-2.65
Zfp82	1	-2.3
D5Ertd255e	1	-2.49
Ptpn2	3	-1.0980484330484332
LOC100044751	1	-7.31
Tle4	1	-2.63
Itgb3bp	1	-3.37
Riok2	2	-1.1459065934065935
Gprasp2	1	-2.26
C030046G05	1	-4.79
Jmjd1c	3	-0.8524116791666666
Tceb1	2	-0.6018467643467643
Uso1	1	-2.84
Ndufs4	1	-2.66
Rpa3	2	-2.21
Dnmt3b	4	-1.6090835347452688
Zmiz1	2	-2.39486687345
Pias1	2	-0.635
Hist1h1c	4	-0.345310547525
Uba2	2	-1.7
Tsc22d1	4	0.14799386922500007
Gtf2e1	1	-2.18
Kdm3a	1	-2.12
2610002M06Rik	1	-2.86
2810416A17Rik	1	-6.67
Styx	1	-2.27
D930003E18Rik	1	-3.47
Vav3	2	-0.2786996336996336
Trub2	1	-3.12
Zcchc11	1	-4.14
Ell2	3	-0.2823150468050468
2010315B03Rik	1	-3.71
Exoc6	1	-3.2
Rreb1	2	-1.31131054
Snrnp27	2	-1.705
Kcnb1	2	-1.1132762186
Tbce	1	-3.49
Atg4c	1	-4.21
Mettl9	1	-3.79
Diap2	1	-2.88
Carm1	1	-4.81
Nr6a1	1	-3.84
Rad17	1	-3.2
Yme1l1	2	-1.2961294261294258
Fgl2	2	-2.785
Zbtb25	1	-2.92
1810026B05Rik	1	-2.53
Top2b	1	-2.15
Rpf2	1	-2.57
Dock10	2	-1.6910313271000001
Rnpc3	1	-5.37
Tipin	4	-1.6589681554
Hivep3	1	-2.4
Itm2a	2	-2.025
Arsk	1	-2.54
Rhobtb3	3	1.9481199999999996
Pitpnc1	2	-2.11427270535
AI451617	1	-3.38
4833420G17Rik	2	-1.85
E130309D02Rik	1	-2.64
Lysmd3	1	-2.77
Zfp68	1	-4.27
Atg16l2	1	-2.32
Fgd4	1	-3.62
Clcc1	1	-3.23
Tmem128	2	-1.565
Rgs19	2	-2.25548774075
Pggt1b	2	1.03
C920016K16Rik	1	-2.19
Cyp7b1	1	-2.12
Fam48a	1	-3.09
4432414F05Rik	1	-3.28
Brd8	1	-2.42
Pigh	1	-3.57
Fam33a	1	-2.43
Btaf1	1	-3.37
Rlim	1	-2.07
Cisd2	1	-3.12
5033414D02Rik	1	-2.66
Syce2	4	-1.5214447235749997
Fam132a	2	-1.4097942182
Mtdh	1	-2.41
Scyl3	1	-3.46
Zxdb	1	-3.97
Bptf	2	-1.37566940975
Marcks	2	-1.03024911675
1110057K04Rik	2	-1.4143437118437117
Ywhaz	2	-1.4640445665445663
Cybasc3	1	-2.61
Clcn3	4	0.12876973533092195
Dpy19l4	1	-3.6
Dhx36	2	-0.6134798534798536
Gm15500	1	-2.12
Sec63	3	1.3938502238502235
Scyl1	3	-5.856050061050062
Klhl7	1	-2.02
Eif5	2	-0.5568284493284494
Mta3	2	-1.925637973137973
Srrd	1	-3.31
Rpp30	1	-2.27
Zfp647	1	-4.32
Orc3l	1	-2.21
