Gene	Freq_group	Log2FC
Mt2	8	2.9032002548125
Plscr2	10	2.79760878967
Selp	12	2.375432822501388
Clca3a1	8	2.5837870168635413
Bmpr1a	5	2.1278631732399997
Klrb1c	5	1.9853998391799998
Zg16	8	3.8708362226656257
Mt1	11	2.137257365163636
Sbspon	8	3.3798657155239584
Aspa	5	2.0385039106000002
A530040E14Rik	3	2.2878315914000003
Trpc1	8	2.5310211548406247
H2-Aa	2	1.69472554405
H2-Eb1	2	1.2713689382
Ramp2	6	2.5888371084833337
Clec1a	10	1.548640887511666
Gstm2	9	2.266249203577778
Osmr	6	4.059734694333334
Clu	6	2.6393396222833334
Gem	5	1.32917925382
Hmox1	2	-1.3441740901
Tdrd9	7	2.9793718108214273
Cysltr2	5	1.472429901153332
Gpr183	8	1.747698660734375
Slco2a1	3	1.2638796551333333
Aldh1a1	7	1.7153391816142858
Cd74	3	1.118777513
Tmem47	7	2.1871028370178567
Fhdc1	6	1.6133049399500001
Gm10419	7	1.9835481351857145
Flt3	4	-1.138925473225
Dnm3	7	1.8093334342285716
Klhl4	8	1.5785379880916666
Cavin2	4	1.6954916544
Ehd3	6	1.7370350597166668
Hpgds	4	1.4015212892270827
Pgr	6	1.678842679583333
Sfrp1	5	1.5273946156
Jam2	5	1.5469985248
Phf11d	6	1.6643829906333334
H2-Ab1	2	1.2117410735
Nupr1	11	1.806719579127273
Rassf4	5	-1.3590904223
Ebi3	7	-1.0337600997809528
Ptprk	8	1.656436260234375
Gpx8	3	1.9637165080666668
Mmp14	4	1.591801650875
H2-T3	3	2.466096497166667
Nrk	5	-1.68979280196
Pcdhga1	1	1.4243418658
Dhrs3	7	1.2281976345285714
Rorb	6	2.4922048989166665
Lpl	5	1.8587729158000001
Wwtr1	7	3.2082040708142854
Il1rapl2	5	1.55971193086
Fap	6	2.7003437155833336
Gm16485	2	1.5307725612
Agtr1a	3	2.3279366234666665
Rgs7bp	3	-1.9437892516333335
Cxcl9	1	1.3491345729
Gria3	3	-1.0714630289333333
Jun	4	0.9125544178
Egr1	4	1.062983352477083
Enpp5	9	1.5542353749
Muc1	5	2.69361848586
Scd1	3	1.7566700182333335
Id2	4	1.336915291525
Vwf	8	1.3720196447125002
Cd38	8	1.5739782256125001
Neo1	8	1.8469079870249998
Bcl6	4	1.0756178851999998
Clec9a	3	1.5184779592666668
S100a6	4	1.2392481764249998
Il12rb2	4	-1.4624157444833341
Adgrg2	6	2.0153812196166663
Tacstd2	6	1.0979782164833334
Zswim5	5	2.41820894666
Insl6	2	0.95444664545
Ighg1	2	-2.22733833355
B3galt1	5	1.76170975426
Cyyr1	4	1.1595533095250001
Igf1	3	-1.4249216711666666
Mab21l2	5	4.47136617834
Casp12	5	1.10022580262
Epdr1	2	1.2555499665999998
Kcnip3	4	0.873604406625
Mgst1	4	-0.953878555725
Fetub	1	1.1285968337
Gm13212	3	0.9213579711
Hnf4a	5	-1.3524334351
Fhl1	8	1.193365580525
Mdga1	1	-1.0994323647
Pcdhb16	5	1.41022236856
Dsg2	5	1.7680026686399999
Slc7a7	3	1.3107397027
Fam169a	3	1.6534113891000002
Trim47	5	1.01404619654
Exoc3l4	3	1.6381940093
Mir25	1	-1.0648354018
Myh10	2	-1.23168691335
Zfp36	4	1.52496409395
Gm12185	2	0.80748591555
Slpi	2	1.5436807532499999
C4b	4	2.2868435954749997
Gipc2	5	3.7782533900800006
Spo11	1	1.0261973175
Pros1	6	0.9777514384499999
Matn4	6	2.787579664733333
Plek	7	1.1548527393142856
Ifi47	3	0.6833041344
Tmem215	6	2.7992386719666666
Trbv4	1	-1.0027903557
Csf2rb	4	-1.3806882054958343
Rhoj	5	1.229004406
Emp2	2	1.15847662175
Gm10384	3	-1.3874994430333334
Epha2	3	1.9886244451
Itgb3	9	1.2560282670583334
Wfdc17	1	0.9674896691
Dock9	3	1.0782011943333334
Igtp	2	0.72793516545
Tmem56	5	2.1449858656
Fads3	2	1.0159215929
Stom	5	1.12080386472
Pde9a	3	1.4049918398999999
Tacr1	2	1.9669863343
Ugt1a7c	2	-0.8565273055
Lsr	4	1.1238389835999998
Ect2	4	-0.7843055775645844
Cd34	5	-0.8531200587766665
Cpne8	6	1.4883742584000001
Prcp	6	0.9636056553611106
Dok1	2	0.72034620235
Snord49a	1	0.9190602912
Tnip3	3	0.853617019
Ccnd1	2	0.8236777668499999
Dnah8	1	-0.9140333331
Fyb	4	0.8424904811437475
Ctsw	3	0.8537669475999999
Hoxb5	3	0.8617532077666666
Igf2bp2	3	-0.875808677227778
Abcb1a	5	1.3234723608
Car5b	3	0.9609862009333333
F2rl3	3	0.7049519226
Iigp1	2	0.7882708411
Pbx3	8	1.12748953495
Olfr99	1	0.8760581898
Jakmip1	3	-1.2329688929333333
Scarna13	2	-1.0199888458
Pcdhga5	2	0.81120801095
Zfp91	1	-0.8645995583
Myo1e	4	1.1534675446
Zfp334	4	1.3358943268
Serpinb6a	5	0.89119365856
Ldb2	1	-0.8452496354
Phldb2	1	-0.8442788074
Serpinb8	4	0.9895755737
Gm14964	3	1.9472318633333334
Tent5c	3	1.650116445
Cxcl16	4	0.9465912771
Klf6	3	1.3972552478666664
Kif23	2	-0.7888096195500001
Itga6	3	0.9435006611999999
Ppp1r16b	4	0.70129104195
Arid5b	3	0.768938
Hes1	3	1.9583590798666668
Cpeb2	3	1.0839076557333334
Irgm2	2	0.69944634835
Il15	5	-0.74639250936
Ly6a	2	0.79913781925
Tm6sf1	5	-1.0261794812600002
Rbpjl	4	3.45130905415
Trim12c	1	0.7963567357
Rnase6	5	-1.1216358486533342
Rhob	1	0.7893715785
Igkv3-4	2	4.7375623837
Pcdhb18	2	0.8834762632
Srd5a1	2	0.97514792055
Nckap1	4	0.97516352135
Clec1b	4	1.4443012402750002
F630028O10Rik	1	-0.7684826495
Selenom	3	0.9144497629333334
Slc6a15	4	1.36644175075
Pfkfb3	2	0.65363670875
NA	1	0.7555737917
Gdpd1	2	0.9381620689000001
Gpr4	2	0.99638698785
St3gal6	2	0.5272581971
Tnfaip2	3	0.8701633849
Ypel1	1	-0.7363652037
Uba7	3	0.6092080353
Gbp2	1	0.7334691212
Large2	2	0.9885125719500001
Pclo	4	1.9959044438750002
Stxbp4	5	1.0243326483200001
H2-T10	1	0.7219517176
Cd86	6	-1.3924579844222231
Pcdhb17	2	0.95609209985
Cd37	7	-1.0885369483880953
Lama5	2	0.73972292635
Abca4	7	1.4477508197285716
Mmp2	5	-1.8132299845
Arhgap29	5	0.9845622408399999
Chchd2-ps	1	0.7073830339
Lsp1	4	-0.550315365925
Batf2	1	0.7040155788
Nutf2	1	-0.6993382291
Prl2c5	1	-0.698322223
Arhgap30	5	-0.92911349718
Slc28a2	4	-0.618879944275
Arhgef28	4	0.9439355486395824
Olfr56	1	0.6897411717
Exoc3l2	3	1.0537594373333332
Snord34	2	0.4910258949
Tnfrsf13c	1	-0.68315458
6030445D17Rik	1	0.6751736871
Nfam1	1	-0.6698692417
Epb41l4b	2	-0.8779295363499999
Fam83h	1	0.66585256
Olfr1335	1	-0.6649386639
Gm12250	1	0.6609956268
Mir15a	1	-0.6603035317
Rnf141	2	0.61221424855
Slamf1	5	0.9283368353
Galnt6	3	0.7876368758
Hbq1b	1	-0.6573327832
Phactr1	4	0.9764617099999999
Mindy1	3	0.6090842774333333
Npdc1	5	0.7874249758
Tnfsf10	4	0.7578628263999999
Plxnb2	1	0.6534805632
Arrb2	3	-0.7732262172666666
Casp1	1	0.6503589309
Ndrg1	5	0.91519357874
C1qb	3	-0.8591857056666666
Cd9	4	1.041500119975
Lysmd2	2	0.5566622728999999
Cd302	3	0.9624345564000002
Gm8096	1	-0.633429839
Pla2g4a	4	0.8149587769000001
Coro2a	3	-0.6451488989666667
Ncf4	2	-1.1191962587
Gramd1b	1	-0.6282627798
Mtss2	2	0.55063741715
Arhgap6	3	0.6067136005666667
Socs6	1	0.6199973691
Tgfb3	1	0.6170271223
H2-Q8	1	0.6127050574
Pip5k1b	3	0.8477506219666666
Gpc3	2	1.035389249
Map10	3	-1.3630167079
H2-T22	2	0.5382689791499999
Jund	1	0.6046571685
Abat	5	1.66742544568
Gm6623	2	1.0996594421
A430078G23Rik	1	-0.5873842738
P4ha1	1	-0.5871883628
H2-T23	2	0.48549564489999997
Col4a2	4	-1.0056558719
Myo1f	1	-0.5815205553
Cd247	1	0.5790935573
Exoc3l	1	0.5775675515
Slco4a1	3	0.6240568121
Lag3	2	0.62670161485
Kif21a	1	0.571482779
Nav1	2	1.00621538335
Abcb1b	5	0.85952637576
Dhx40	4	0.938130561875
B4galnt4	2	0.6202182273500001
Dennd5b	5	1.1336465351
Hsdl2	2	0.5629137515
F530104D19Rik	1	-0.5562143549
Mustn1	1	-0.5524400767
Dock10	3	-0.7028828293
Naip5	1	0.5476585527
Gng2	3	-0.4789394707333334
Evc	4	0.8713403636499999
Chd7	2	0.795630598325
Ung	2	-0.51456848575
Grina	1	0.5295757478
