table of intersects	 set_size	 Intersects_tab	 all_intersected	 nr_intersected	 fraction_intersected
Bersenev_GSE39553n_DE_YOn.csv	329	[0, 47, 29, 31, 12, 40, 45, 23, 140, 121, 176, 111]	775	251	0.7629179331306991
Chambers_GSE6503_YOn.csv	1770	[47, 0, 32, 29, 8, 47, 17, 14, 141, 116, 174, 61]	686	356	0.20112994350282487
Flach_GSE48893_YOn.csv	176	[29, 32, 0, 12, 5, 18, 13, 9, 37, 43, 40, 29]	267	91	0.5170454545454546
Grover_GSE70657_DE_OY.csv	99	[31, 29, 12, 0, 7, 28, 14, 18, 25, 34, 31, 25]	254	66	0.6666666666666666
Kirshner_GSE87631_DE_OY.csv	30	[12, 8, 5, 7, 0, 9, 5, 5, 8, 10, 8, 9]	86	20	0.6666666666666666
Kowalczyk_GSE59114_DE_OY.csv	272	[40, 47, 18, 28, 9, 0, 15, 32, 51, 58, 70, 40]	408	132	0.4852941176470588
Lazare_DE_YO.csv	83	[45, 17, 13, 14, 5, 15, 0, 17, 56, 46, 74, 41]	343	76	0.9156626506024096
Mann_GSE1004426_DE_OY.csv	68	[23, 14, 9, 18, 5, 32, 17, 0, 33, 38, 34, 31]	254	56	0.8235294117647058
Maryanovich_GSE109546_DE_YO.csv	1100	[140, 141, 37, 25, 8, 51, 56, 33, 0, 180, 503, 140]	1314	621	0.5645454545454546
Norddahl_GSE27686_DE_YOn.csv	625	[121, 116, 43, 34, 10, 58, 46, 38, 180, 0, 277, 207]	1130	443	0.7088
Sun_GSE47817_DE_YO.csv	2622	[176, 174, 40, 31, 8, 70, 74, 34, 503, 277, 0, 170]	1557	792	0.30205949656750575
Wahlestedt_GSE44923_DE_YOn.csv	313	[111, 61, 29, 25, 9, 40, 41, 31, 140, 207, 170, 0]	864	272	0.8690095846645367
