Genes,Beerman, Chambers, Flach, Grover, Kirshner, Kowalczyk, Noda, Quere, Rossi_, Sun, Wahlestedt
Wwtr1,10.25,0,0,0,0,0,1,2.60566,0,1.864621755,3.64734
Sdpr,6.37,0,1,5.362823021,0,-1,0,2.60202,4.9,1.395279169,2.31634
B2m,2.37,0,0,0,0,0,0,0,3.9,0.300028412,0
Nsf,2.5,0,0,0,0,0,0,0,4.1,0.369810508,0
Plxnb2,3.7,0,0,0,0,0,0,0,1.7,0.613294192,0
Alcam,4.17,0,1,0,0,0,0,0,3.833333333,1.407432023,1.47519
Clec1a,3.32,0,1,3.551613683,0,-1,0,0,0,1.427592092,2.14924
Sema7a,4.55,0,1,0,0,0,0,0,0,0.936900965,1.26334
Ghr,2.65,0,0,0,0,0,0,0,0,1.019701743,1.27494
Socs3,4.25,0,0,0,0.814391447,0,1,0,2.4,0.45767656,2.50808
Rassf4,-4.84,0,0,0,0,0,-1,0,-2.2,-1.047711857,-1.46548
Mllt3,-2.2,0,0,0,0,0,0,0,0,0.561026491,1.03174
Nrk,-3.16,0,-1,0,0,0,0,0,0,-1.453812938,-1.54431
Itgb5,-5.31,0,0,0,0,0,0,0,-3.8,-1.733965187,0
Hmga2,-2.06,0,0,0,0,0,-1,-1.89577,0,0,-1.35025
Dnmt3b,-3.13,0,0,0,0,0,0,0,0,-0.492983065,-0.84387
Hist1h1c,-3.79,0,0,0,0,0,0,1.29964,2.15,-1.19088219,0
Tsc22d1,0,0,0,2.322564031,0.796052632,0,0,0,0,0.393358814,0
Tipin,-2.94,0,-1,0,0,0,0,0,-2.3,-0.395872622,0
Syce2,-3.78,0,-1,0,0,0,0,0,0,-0.488068894,-0.81771
Clcn3,0,0,0,0,0,0,0,0,1.9,0.387655254,0
Arhgap15,-2.9,0,0,0,0,-1,-1,0,0,-0.622657404,-0.74066
Cdc6,-2.45,0,0,0,0,0,-1,0,0,-0.66719556,-0.86906
Mmp2,0,0,0,0,0,0,0,0,-1.95,-1.608267241,-1.62229
Anxa6,0,0,-1,0,0,-1,0,0,0,-1.179508301,0
Mcm7,0,0,-1,0,0,0,0,0,-3.2,-0.462075778,0
Cd37,0,0,-1,0,0,-1,0,0,0,-1.072484004,-0.76335
Satb1,0,0,-1,0,0,0,-1,0,-2.45,-1.435657189,-1.55698
Lgals1,0,0,-1,0,0,-1,0,0,-4.6,-0.646873176,-1.50968
Cd86,0,0,-1,0,0,0,0,0,-4.4,-1.941080432,0
Slc12a6,0,0,-1,0,0,-1,0,0,0,-0.37437038,0
Flt3,0,0,-1,0,0,-1,0,0,-2.9,-1.622402349,0
Kif23,0,0,0,0,0,0,0,0,-13.6,-0.724334384,-1.0042
Lst1,0,0,0,0,0,0,0,0,-2.5,-0.603571474,-1.0639
Lsp1,0,0,-1,0,0,0,0,0,-5,-0.492991355,0
Socs2,0,0,-1,0,0,0,0,0,0,-1.459651652,-1.12153
Ncf4,0,0,0,0,0,0,0,0,-2.8,-1.210714179,-1.4304
Timeless,0,0,0,0,0,0,-1,0,0,-0.763025171,-1.09327
Lmna,0,0,0,0,0.700740132,0,0,0,-2.1,-0.915622903,0
Ebi3,0,0,-1,0,0,0,0,0,-5.4,-1.217751585,-1.7685
Prim1,0,0,-1,0,0,0,0,0,-1.8,-0.414893423,-0.83847
