Genes,Bersenev_GSE39553n_DE_YOn.csv, Chambers_GSE6503_YOn.csv, Flach_GSE48893_YOn.csv, Grover_GSE70657_DE_OY.csv, Kirshner_GSE87631_DE_OY.csv, Kowalczyk_GSE59114_DE_OY.csv, Lazare_DE_YO.csv, Mann_GSE1004426_DE_OY.csv, Maryanovich_GSE109546_DE_YO.csv, Norddahl_GSE27686_DE_YOn.csv, Sun_GSE47817_DE_YO.csv, Wahlestedt_GSE44923_DE_YOn.csv
Plscr2,3.5091365035, 4.3862251479, 0.0, 0.9726853205, 0.0, 0.7703929911, 1.4685735488, 0.5084649113, 5.0401785534, 4.1789856596, 3.0169978702, 4.1244473904
Selp,3.2736876585, 5.952785834149999, 1.68225646321666, 1.0473936587, 0.6174698018, 0.9934946774, 2.1541820757, 1.0756210292, 4.0901712015, 2.7751694892666667, 2.495543057, 3.1410305368
Clca3a1,2.7016208648, 0.0, 1.72614294110833, 0.0, 0.720137035, 0.0, 1.5343621813, 0.0, 5.157997043, 3.31714670135, 2.5671775374, 3.057975213
Bmpr1a,2.694994289, 2.2173006012, 0.0, 0.7786868848, 0.0, 0.0, 0.0, 0.0, 0.0, 2.322770832025, 0.0, 2.157375311225
Klrb1c,2.5646221613, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7152980199, 0.4508591226, 2.1172646041, 0.0, 3.078955288, 0.0
Zg16,2.5450903648, 2.7688053122, 1.272623946125, 0.0, 0.0, 0.0, 2.5999806084, 0.0, 10.4582497573, 3.3496460786999998, 3.5409096847, 2.6039829745666667
Mt1,2.3802924819, 5.5764220209, 0.0, 0.774329851, 0.5880963502, 1.3098157647, 1.7426641458, 0.2850472766, 3.7129013675, 2.9189320377, 1.5082730515, 2.713056669
Sbspon,2.2536011791, 0.0, 0.977520269591664, 0.0, 0.0, 0.0, 2.4668756145, 0.6066761611, 4.6739313739, 4.96623957575, 3.8809869339, 5.9988853753
Aspa,2.231535968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5880850499, 1.6373374837, 1.4287955007, 2.3067655507
Trpc1,2.1428738385, 2.686629888, 1.448517502825, 0.0, 0.0, 0.0, 1.0466777286, 0.0, 3.3173993219, 3.3960657234, 3.1888756723, 3.0211295632
Ramp2,2.0128704187, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5842506327, 0.0, 1.8860884016, 3.3213416222, 3.3689378746, 2.3595337011
Clec1a,1.9839574767, 0.0, 1.24548515151666, 1.0042823254, 0.0, 0.6881832721, 0.9693890567, 0.8676996916, 1.9901380097, 2.68130412055, 1.472334955, 1.9668155143
Gstm2,1.972984103, 4.4909038524, 0.0, 0.3725925161, 0.0, 0.4000135468, 1.7455580674, 0.0, 3.3495958595, 2.5345589875, 2.5601997337, 2.9698361658
Osmr,1.9726565009, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6683466107, 0.0, 8.9170089321, 3.694586857, 3.5472083216, 4.5586009437
Clu,1.9332861995, 4.78850757635, 0.0, 0.9419754217, 0.0, 1.3624890122, 0.0, 0.0, 0.0, 3.1291498431499996, 0.0, 3.1081990321
Gem,1.9294713563, 0.0, 0.0, 0.0, 0.0, 0.5520096425, 1.5240008922, 0.0, 0.9239820739, 0.0, 1.7164323042, 0.0
Tdrd9,1.8682448217, 0.0, 1.24382672094999, 0.0, 0.0, 0.0, 0.919707332, 0.0, 4.9083116096, 4.3910289081, 3.9651667054, 3.559316578
Cysltr2,1.8587191274, 0.0, 1.24423148716666, 0.0, 0.3948793534, 0.0, 0.0, 0.0, 0.0, 1.716098835, 0.0, 2.1482207028
Gpr183,1.8049427123, 0.0, 1.969398928475, 0.6598183825, 0.6606287499, 0.2901684407, 0.0, 0.4866814687, 0.0, 3.7486150425, 0.0, 3.22929058435
Aldh1a1,1.7955118414, 4.1151932965, 0.0, 1.1539389066, 0.0, 0.5733065936, 0.0, 0.6818649731, 0.0, 1.7211111933, 0.0, 1.9664474668
Tmem47,1.7420037973, 2.4741684366, 1.302897346625, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1940623244, 1.7523951841, 2.3513811706, 2.4928115995
Fhdc1,1.6867433334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7696777559, 0.0, 3.110521426, 1.4018023035, 1.0189502288, 1.32236091415
Gm10419,1.6795845975, 0.0, 0.0, 0.0, 0.0, 0.3214593924, 1.3004474734, 0.0, 4.0192296036, 2.4719436268, 1.6468635908, 2.4453086618
Flt3,-1.6684281996, 0.0, 0.0, -0.2774992712, 0.0, 0.0, -1.0303598226, 0.0, 0.0, 0.0, -1.5794145995, 0.0
Dnm3,1.6462690766, 0.0, 0.0, 0.3873914748, 0.0, 0.0, 1.2024676001, 0.0, 2.9137587183, 2.0186626881, 2.6725618257, 1.824222656
Klhl4,1.6456271075, 0.0, 1.50739941753333, 1.2754003542, 0.0, 0.0, 1.7673362361, 0.0, 1.4742605156, 1.6610936949, 1.643495935, 1.6536906439
Cavin2,1.6424776077, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0047740777, 0.0, 2.5904741536, 0.0, 1.5442407786, 0.0
Ehd3,1.6302952059, 1.94896306595, 0.0, 0.0, 0.0, 0.7457582681, 0.0, 0.7110352924, 0.0, 2.2604275388, 0.0, 1.8768964912500001
Hpgds,1.6213759505, 0.0, 1.00601784780833, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7357599632, 0.0, 1.2429313954, 0.0
Pgr,1.6148852799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2764266071, 2.0081761312, 1.6376687912999999, 1.7706791745, 2.47595784055
Sfrp1,1.607073666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2311262629, 1.831671954, 1.6727368298, 1.2747366549999999
Jam2,1.5837487917, 0.0, 0.0, 0.4468749715, 0.0, 0.0, 0.0, 0.5027467261, 0.0, 2.47246412455, 0.0, 2.23076859325
Phf11d,1.5684858493, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2976427447, 0.0, 2.1920303954, 1.720948635, 2.005525943, 1.2016643764
Nupr1,1.5240129539, 0.8449945789, 0.0, 1.2028295946, 0.9233877022, 2.1960100405, 1.579603557, 0.7895693049, 2.7460077953, 3.1337152065, 1.6424933141, 3.1910999217500002
Rassf4,-1.5082036618, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.5561417458, -1.5826873898, -0.7447813761, -1.1879849249499999
Ebi3,-1.5031169058, 0.0, -0.91035234296667, -0.4036160774, -0.2659413177, -0.8563538073, 0.0, 0.0, 0.0, -1.496895799, 0.0, -1.8000444483
Ptprk,1.502226385, 0.0, 1.133472412975, 0.0, 0.0, 0.0, 0.9918921543, 0.2539600556, 2.0216007008, 1.9482730204333334, 2.2218649236, 1.9556651012500001
Mmp14,1.4773619246, 1.761173315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7277612256, 0.0, 1.13820249665
Nrk,-1.4257750693, -2.906167156, 0.0, 0.0, 0.0, 0.0, -1.1641096717, 0.0, -1.4237120842, 0.0, -1.5292000286, 0.0
Dhrs3,1.4220217427, 0.0, 0.0, 0.3255135227, 0.0, 1.1080244724, 0.0, 0.7674430375, 1.4990898416, 2.3037493594, 1.1715414654, 0.0
Rorb,1.4058185673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9058056806, 0.0, 4.4815150392, 2.5594536961, 3.9120618922, 1.6885745181
Lpl,1.4038694688, 2.6065746426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6145178227, 0.0, 1.3312676848, 2.3376349601
Wwtr1,1.3963292557, 6.7211267021, 0.0, 0.0, 0.0, 0.0, 0.9645754701, 0.0, 3.9106670363, 2.18596874755, 2.000249965, 2.2298947299666665
Il1rapl2,1.3908937212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3768783561, 0.9985646179, 1.6680933266, 1.3641296325
Fap,1.3889313724, 2.6954116145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3005684339, 3.9895684163, 2.0120861374, 2.815496319
Jun,1.3217589339, 0.0, 0.0, 0.0, 0.54125292, 0.0, 0.0, 0.5830363779, 1.2041694394, 0.0, 0.0, 0.0
Egr1,1.3157208228, 0.0, 0.729313961408332, 1.3277578443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8791407814, 0.0
Enpp5,1.3100872998, 3.1242166676, 0.0, 0.7205668662, 0.0, 0.8920841637, 1.4588786309, 0.5788828157, 1.7128052309, 2.4251415919, 1.7654551074, 0.0
Muc1,1.3045755932, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.8749421765, 3.1912317202, 2.3785493296, 1.7187936098
Id2,1.2709371667, 0.0, 0.0, 1.1027790623, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5837421558, 0.0, 1.3902027813
Vwf,1.2705966495, 0.0, 0.0, 0.0, 0.0, 0.284538469, 0.9396538605, 0.7578124998, 1.8176362948, 2.0451373951, 1.771409558, 2.089372431
Cd38,1.2605053759, 0.0, 0.0, 0.0, 0.0, 0.2652300023, 1.2545003703, 0.3940426148, 1.9330915802, 2.7694661174, 2.0358914966, 2.6790982474
Neo1,1.25983476, 4.3419325384, 0.0, 0.4451011839, 0.0, 0.0, 1.1110015858, 0.0, 1.2585242198, 2.090896943, 1.766811928, 2.46346504865
Bcl6,1.2539522356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8897849533, 1.1041342143, 1.0546001376, 0.0
S100a6,1.2463915496, 1.0067753673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0970567388, 0.0, 1.60676905, 0.0
Il12rb2,-1.2399182144, 0.0, -0.783741554233336, 0.0, 0.0, 0.0, 0.0, 0.0, -1.9127153081, 0.0, -1.9132879012, 0.0
Adgrg2,1.2309814252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8857012089, 0.0, 2.9691421071, 2.6828425645, 1.3982957408, 2.9253242712
Tacstd2,1.2292780296, 1.5731291411, 0.0, 0.0, 0.0, 0.3735777066, 0.0, 0.0, 1.1182462331, 1.5539326573, 0.7397055312, 0.0
Zswim5,1.2203189988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0820278678, 1.7314293682, 1.6307904018, 1.4264780967
B3galt1,1.1951184841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8666742788, 1.485567048, 1.2774473329, 2.1216057972
Cyyr1,1.191653799, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1976848316, 0.7214325783, 1.5274420292
Mab21l2,1.1638452527, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2376049548, 0.0, 10.4171402694, 2.7492861443, 5.7889542705, 0.0
Casp12,1.1613916587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2750823624, 1.0792387749499999, 0.8965190564, 1.1337132347
Kcnip3,1.1540817263, 0.0, 0.0, 0.0, 0.0, 0.2788029121, 0.0, 0.0, 1.3090433128, 0.0, 0.7524896753, 0.0
Mgst1,-1.1332542013, 0.0, 0.0, 0.0, 0.0, -0.4264388355, 0.0, 0.0, -1.1617882686, 0.0, 0.0, -1.0940329175
Hnf4a,-1.1214607369, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3470357199, -1.1780922846, -1.6342750571, -1.4815826456
Fhl1,1.1091491177, 1.9703424874, 0.0, 0.9138874989, 0.0, 0.451518039, 0.0, 0.0, 1.4923281017, 1.1289653595, 1.0981558009, 1.3825782391
Pcdhb16,1.0993081483, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9403096258, 0.0, 1.683218363, 0.0, 1.551480422, 1.7767952837
Dsg2,1.0928497254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8263539891, 1.8866833715000002, 1.8110254281, 2.07773727285
Trim47,1.0701596498, 0.0, 0.0, 0.0, 0.0, 0.4278308161, 0.0, 0.0, 0.0, 1.2997258534, 1.0431059477, 1.2294087157
Zfp36,1.0618055084, 2.6578217048, 0.0, 0.0, 1.3800753961, 1.0001537665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
C4b,1.0345760992, 0.0, 0.0, 0.0, 0.0, 0.0, 1.129004912, 0.0, 4.5936998553, 0.0, 2.3900935154, 0.0
Gipc2,1.0277102663, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.734428239, 1.3791625772, 4.7071688796, 2.0427969883
Pros1,1.0168193738, 0.0, 0.0, 0.0, 0.0, 0.2681080539, 0.0, 0.0, 0.9993987295, 1.2010369343, 1.1255624837, 1.2555830555
Matn4,1.0158998486, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0492016712, 0.4436402796, 9.2148821699, 0.0, 2.7551222234, 2.2467317957
Plek,1.0104041588, 1.08867809935, 0.0, 1.6264727439, 0.0, 0.3557995898, 0.0, 0.0, 1.2673150267, 1.79644815405, 0.7538406967, 0.0
Tmem215,1.0046792564, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2973914073, 0.0, 4.9339892832, 2.3989536863, 2.7314656755, 3.5225042036
Csf2rb,-0.9946678482, 0.0, -0.693399762083337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.4692838034, 0.0, -1.5960079913
Rhoj,0.985892807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.072028298, 1.8062623857, 1.2426212393, 1.0382173
Itgb3,0.9727978893, 0.0, 1.349370160825, 0.6499532281, 0.0, 0.0, 1.1363894196, 0.5188731381, 2.0552694542, 1.6329878179, 1.457893731, 1.5307195645
Tmem56,0.95358306, 3.630023083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5616350582, 0.702120913, 2.8775672138
Stom,0.9411879794, 2.6370114229, 0.0, 0.0, 0.0, 0.0, 0.8879411032, 0.0, 0.618559649, 0.0, 0.5193191691, 0.0
Lsr,0.9330190409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9580779332, 1.155968516, 1.4482904443, 0.0
Ect2,-0.9284182346, -0.6746698917, -0.800846479258338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.7332877047, 0.0
Cd34,-0.9279874724, 0.0, -0.740462988583333, 0.0, 0.0, -0.6401451153, -1.0975122458, 0.0, 0.0, 0.0, -0.8594924718, 0.0
Cpne8,0.9266096048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4804626594, 1.752087647, 1.4855899197, 1.5039231082, 1.8520224103
Prcp,0.9218875552, 0.0, 0.622744064366664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8426098915, 0.9994719447, 1.1475761997, 1.0305132221
Fyb,0.9091745234, 0.0, 1.18101988557499, 0.0, 0.0, 0.3037296953, 0.0, 0.0, 0.0, 0.9518512818, 0.0, 0.0
Abcb1a,0.8925283238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6476688014, 1.3084815650500001, 0.7407395395, 1.71173752905
Pbx3,0.8792661638, 1.8825587684, 0.0, 0.5879007042, 0.0, 0.0, 0.9580077457, 0.0, 1.2159614139, 1.0454475314, 1.1656259867, 1.1023922046
Myo1e,0.8635102721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8953759052, 0.8527500002, 1.0022340009, 0.0
Zfp334,0.8586774585, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8759076606, 1.164026378, 1.4449658101, 0.0
Serpinb6a,0.8453969943, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6519970779, 1.0153352757, 0.8895301382, 1.0537088067
Serpinb8,0.8383654598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2968158764, 1.3173790015, 0.5057419571, 0.0
Cxcl16,0.8280931368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6014983346, 1.0209030822, 1.3358705548
Ppp1r16b,0.8247532965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3013554348, 0.8943395218, 0.0, 0.7847159147, 0.0
Il15,-0.8096042617, 0.0, 0.0, 0.0, 0.0, -0.5430560961, 0.0, 0.0, -0.7085967249, 0.0, -0.7724538007, -0.8982516634
Tm6sf1,-0.8010116832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.2354604645, -1.5095889509, -0.779655498, -0.8051808097
Rbpjl,0.7978073212, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3916092404, 0.0, 8.9645694621, 0.0, 2.6512501929, 0.0
Rnase6,-0.7923277324, 0.0, -1.15496195666667, 0.0, 0.0, -0.5259276793, 0.0, 0.0, 0.0, -1.3137151427, 0.0, -1.8212467322
Nckap1,0.7791596301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2862582474, 0.867665631, 0.9675705769
Clec1b,0.7716645984, 2.6069432651, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4181645611, 0.9804325365, 0.0
Slc6a15,0.7619590291, 3.4975581006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.541165742, 0.0, 0.6650841313, 0.0
Pclo,0.7238907824, 2.418967766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2436324305, 0.0, 2.5971267966
Stxbp4,0.7235096234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2843233654, 1.3450927727500002, 0.6233512936, 1.1136450138
Cd86,-0.7217341768, 0.0, -1.37377948323334, 0.0, 0.0, 0.0, 0.0, 0.0, -1.5191191968, -1.5965210149, -1.7758288207, -1.3677652141
Cd37,-0.7188905753, -3.0410171156, -0.684583071616668, 0.0, 0.0, -0.4908951667, 0.0, 0.0, -0.6863547859, 0.0, -1.069109062, -0.9289088616
