Genes,Bersenev, Chambers, Flach, Grover, Kirshner, Kowalczyk, Lazare, Mann, Maryanovich, Norddahl, Sun, Wahlestedt,Avg,Consistency,Order
Lgals1,NA,-3.647598432,-1.486846895,NA,NA,NA,NA,NA,NA,-1.987492891,NA,-1.40384469,-2.131445727,4,161
Mmp2,-0.710607431,-3.998466863,NA,NA,NA,NA,NA,NA,-1.587192616,NA,-1.527233148,-1.738263798,-1.912352771,5,91
Camk1d,NA,NA,NA,NA,NA,NA,NA,NA,-1.629071531,-2.172894569,-1.048958812,-1.920516184,-1.692860274,4,213
Nrk,-1.425775069,-2.906167156,NA,NA,NA,NA,-1.164109672,NA,-1.423712084,NA,-1.529200029,NA,-1.689792802,5,68
Anxa6,NA,-3.880724959,NA,NA,NA,-0.428615637,NA,NA,-1.412204354,NA,-1.048762928,-1.056391252,-1.565339826,5,101
Il12rb2,-1.239918214,NA,-0.783741554,NA,NA,NA,NA,NA,-1.912715308,NA,-1.913287901,NA,-1.462415744,4,130
Socs2,NA,NA,-1.672897411,-0.68133942,NA,NA,NA,NA,-1.825417255,NA,-1.488764232,NA,-1.417104579,4,175
Cd86,-0.721734177,NA,-1.373779483,NA,NA,NA,NA,NA,-1.519119197,-1.596521015,-1.775828821,-1.367765214,-1.392457984,6,50
Plac8,NA,NA,-1.629781916,NA,NA,-0.638556549,NA,-0.309549846,-2.211173832,NA,NA,-2.03394901,-1.364602231,5,111
Hnf4a,-1.121460737,NA,NA,NA,NA,NA,NA,NA,-1.34703572,-1.178092285,-1.634275057,-1.481582646,-1.352489289,5,76
Rassf4,-1.508203662,NA,NA,NA,NA,NA,NA,NA,-1.556141746,-1.58268739,-0.744781376,-1.187984925,-1.31595982,5,67
Satb1,NA,-1.337157762,-0.948882526,-0.483506294,NA,NA,NA,NA,-1.378937256,NA,-1.136958636,-2.006405348,-1.21530797,6,54
Csf2rb,-0.994667848,NA,-0.693399762,NA,NA,NA,NA,NA,NA,-1.469283803,NA,-1.596007991,-1.188339851,4,136
Flt3,-1.6684282,NA,NA,-0.277499271,NA,NA,-1.030359823,NA,NA,NA,-1.5794146,NA,-1.138925473,4,121
Rnase6,-0.792327732,NA,-1.154961957,NA,NA,-0.525927679,NA,NA,NA,-1.313715143,NA,-1.821246732,-1.121635849,5,89
Dnmt3b,NA,-1.988989838,NA,NA,NA,NA,NA,NA,-0.755917626,-1.058307391,-0.58120562,NA,-1.096105119,4,170
Cd37,-0.718890575,-3.041017116,-0.684583072,NA,NA,-0.490895167,NA,NA,-0.686354786,NA,-1.069109062,-0.928908862,-1.088536948,7,32
Ebi3,-1.503116906,NA,-0.910352343,-0.403616077,-0.265941318,-0.856353807,NA,NA,NA,-1.496895799,NA,-1.800044448,-1.0337601,7,28
Tm6sf1,-0.801011683,NA,NA,NA,NA,NA,NA,NA,-1.235460465,-1.509588951,-0.779655498,-0.80518081,-1.026179481,5,88
Plxdc2,NA,NA,-0.693476038,NA,NA,NA,NA,NA,-1.449605535,-1.206667904,-0.754024514,NA,-1.025943498,4,181
Col4a2,-0.581915233,NA,NA,NA,NA,NA,NA,NA,-1.22157296,NA,-1.132542776,-1.086592519,-1.005655872,4,156
Mgst1,-1.133254201,NA,NA,NA,NA,-0.426438836,NA,NA,-1.161788269,NA,NA,-1.094032918,-0.953878556,4,133
Lst1,NA,NA,NA,NA,-0.621654214,NA,NA,NA,-1.387258631,-0.897355095,-0.682790716,-1.099944775,-0.937800686,5,113
Arhgap30,-0.69704063,NA,NA,NA,NA,NA,NA,NA,-0.503117756,-1.38284727,-1.057350396,-1.005211433,-0.929113497,5,93
Mcm7,NA,-2.117772062,-0.687330571,NA,NA,-0.608966411,NA,NA,NA,-0.69988,-0.471906751,NA,-0.917171159,5,105
Cd34,-0.927987472,NA,-0.740462989,NA,NA,-0.640145115,-1.097512246,NA,NA,NA,-0.859492472,NA,-0.853120059,5,84
Antxr2,NA,NA,NA,NA,NA,NA,NA,NA,-0.717678024,-0.9174399,-0.658171421,-0.981010747,-0.818575023,4,206
Mamdc2,NA,NA,-1.117226371,NA,NA,-0.513367462,NA,NA,NA,-0.811970395,NA,-0.814999793,-0.814391005,4,176
Ect2,-0.928418235,-0.674669892,-0.800846479,NA,NA,NA,NA,NA,NA,NA,-0.733287705,NA,-0.784305578,4,138
Anxa2,NA,-0.872877767,-1.000599444,NA,NA,-0.470522874,NA,NA,-0.710140156,NA,NA,NA,-0.76353506,4,167
Syk,NA,NA,NA,NA,NA,NA,NA,NA,-0.578466969,-0.798443567,-0.810772893,-0.854776702,-0.760615033,4,201
Il15,-0.809604262,NA,NA,NA,NA,-0.543056096,NA,NA,-0.708596725,NA,-0.772453801,-0.898251663,-0.746392509,5,87
Ctss,NA,1.482509043,-1.489829335,NA,NA,NA,NA,NA,-0.916415367,-1.793884127,NA,NA,-0.679404947,4,172
Mlec,NA,NA,-0.667645177,-0.718361996,NA,NA,NA,NA,-0.526664628,-0.771866868,NA,NA,-0.671134667,4,178
Rfc2,NA,NA,-0.780001127,NA,NA,-0.559001811,NA,NA,NA,-0.630616677,-0.597690975,NA,-0.641827647,4,182
Mcm5,NA,NA,NA,-0.380073506,NA,-0.603180878,NA,NA,NA,-1.021095456,-0.553044662,NA,-0.639348625,4,185
Slc28a2,-0.692715825,NA,NA,NA,NA,-0.298274117,NA,NA,-0.644826347,NA,-0.839703489,NA,-0.618879944,4,151
Sell,NA,1.021864587,-1.090827657,-0.370290986,NA,NA,NA,NA,NA,-1.885776595,NA,NA,-0.581257663,4,164
Lsp1,-0.704331697,NA,NA,NA,NA,-0.613360463,NA,NA,-0.483728768,NA,-0.399840537,NA,-0.550315366,4,150
Btg2,NA,-2.614423953,NA,2.1310989,1.787170911,0.511563236,NA,NA,NA,NA,NA,NA,0.453852273,4,171
Cd63,NA,NA,NA,NA,NA,0.389365078,NA,0.480207877,0.424241112,NA,0.539603478,NA,0.458354386,4,190
Ly6e,NA,NA,NA,NA,NA,0.489786092,NA,NA,0.388369733,0.581533303,0.612497072,NA,0.51804655,4,188
Tsc22d1,0.476190462,0.113820204,NA,NA,NA,0.499855735,NA,NA,0.912576488,NA,0.694605189,NA,0.539409616,5,100
Trpc6,0.485440536,NA,NA,NA,NA,NA,NA,NA,0.445679891,0.678190558,0.575014571,NA,0.546081389,4,159
Muc13,NA,0.779533581,0.592644506,NA,NA,NA,NA,NA,0.465289483,0.65854237,NA,NA,0.624002485,4,174
