Genes,Bersenev,Chambers,Flach,Grover,Kirshner,Kowalczyk,Lazare,Mann,Maryanovich,Norddahl,Sun,Wahlestedt,Avg
Mt2,8.50E-05,0.034071088,0.166821219,NA,0.306750864,0.264040236,0.00292589,NA,9.08E-12,0.010541582,0.007071043,0.000216416,7.93E-02
Plscr2,3.32E-05,0.021451069,0.062780793,1.94E-09,1,0.770392991,0.00010369,7.21E-06,3.57E-117,0.000356873,1.20E-65,0.000144158,1.55E-01
Selp,0.000283649,0.019383986,0.032532669,5.78E-09,0.015120586,0.993494677,1.28E-10,1.01E-11,1.27E-81,0.005938087,3.15E-58,0.000188135,8.89E-02
Clca3a1,1.63E-05,0.071918571,0.043975305,NA,0.000312977,NA,4.20E-08,NA,3.70E-50,0.000636737,6.83E-54,0.000764249,1.31E-02
Bmpr1a,6.08E-05,0.121755257,0.203881348,0.000386841,NA,NA,NA,NA,NA,0.141721344,NA,0.241157391,1.18E-01
Klrb1c,0.001294356,NA,0.135595074,0.359141996,1,NA,3.48E-07,0.008932028,2.78E-10,NA,8.77E-43,NA,1.88E-01
Zg16,0.000704497,0.031475267,0.030225304,1,1,NA,0.000108,NA,1.18E-14,0.004137468,9.15E-40,0.00214993,2.07E-01
Mt1,4.83E-05,0.135571772,0.121162223,5.05E-12,2.03E-06,1.309815765,3.84E-06,0.000228939,4.93E-53,0.06489073,1.23E-15,0.41296787,1.70E-01
Sbspon,0.028663863,NA,0.039189281,1,0.168404003,NA,3.48E-07,0.000276634,7.64E-28,0.001513654,3.80E-54,0.00064545,1.24E-01
Aspa,1.63E-05,0.076575424,0.817063446,NA,NA,NA,0.9244213,NA,4.83E-26,0.011899614,1.31E-15,0.004256007,2.29E-01
Trpc1,5.89E-05,0.481702545,0.035675016,NA,NA,NA,0.00052285,NA,0.001040302,0.083792141,2.75E-48,0.170872797,9.67E-02
Ramp2,0.031444118,0.072718127,0.342708701,NA,1,NA,1.62E-12,0.098485919,0.000187237,0.001801557,1.89E-47,0.001289957,1.55E-01
Clec1a,0.003364561,NA,0.017649036,5.01E-05,1,0.688183272,0.014965369,1.96E-09,1.40E-21,0.007329684,1.77E-23,0.00454523,1.58E-01
Gstm2,0.001033149,0.01220781,0.532331434,0.001595325,NA,0.400013547,0.001897776,NA,8.87E-22,0.007910223,1.45E-52,0.000680918,9.58E-02
Osmr,0.011655152,0.421290456,0.087629721,1,NA,NA,9.94E-10,1,1.32E-23,0.617796693,2.38E-53,0.511295702,3.65E-01
Clu,9.85E-05,0.039261325,0.27123247,1.50E-05,1,1.362489012,NA,0.173616064,NA,0.002938986,NA,0.00160344,3.17E-01
Gem,0.039283867,0.100618893,0.687497653,1,1,0.552009643,1.04E-06,NA,0.000875181,0.078835943,2.25E-17,0.391141794,3.50E-01
Tdrd9,5.89E-05,NA,0.007145957,NA,NA,NA,0.00267468,NA,4.61E-30,0.001801557,8.22E-84,0.000155863,1.69E-03
Cysltr2,6.08E-05,0.21143842,0.026727785,0.188170838,0.049893664,NA,NA,NA,NA,0.008940253,NA,0.001289957,6.95E-02
Gpr183,0.006788341,NA,0.002625577,3.80E-06,0.000578951,0.290168441,NA,0.014127294,NA,0.000728339,NA,0.000410972,3.94E-02
Aldh1a1,1.63E-05,0.02063962,0.199437523,1.61E-08,NA,0.573306594,NA,1.14E-05,NA,0.001801557,NA,0.001289957,9.96E-02
Tmem47,0.016079048,0.062209623,0.032532669,1,NA,NA,0.648480345,NA,1.56E-13,0.16726208,3.50E-21,0.104349572,2.26E-01
Fhdc1,0.003364561,0.074995421,0.06312142,NA,NA,NA,0.014965369,NA,1.19E-24,0.236115137,9.46E-11,0.021974774,5.18E-02
Gm10419,0.000110881,NA,NA,NA,NA,0.321459392,1.69E-05,NA,4.55E-55,0.012725723,8.12E-22,0.003420329,4.82E-02
Flt3,0.000110881,0.134697178,0.05351459,6.73E-05,NA,NA,0.001333902,NA,0.151426689,0.293091451,3.05E-20,0.074063525,7.87E-02
Dnm3,0.039544119,0.867120976,0.163302744,0.042256623,NA,NA,0.001897776,NA,1.88E-06,0.612876175,3.54E-34,0.517758666,2.49E-01
Klhl4,0.004517309,NA,0.011725608,1.55E-10,1,NA,1.97E-07,NA,1.84E-24,0.059386033,1.82E-17,0.0689817,1.27E-01
Cavin2,0.00016436,NA,NA,NA,1,NA,0.016501552,NA,2.48E-45,NA,3.50E-21,NA,2.03E-01
