Genes,Avg,SEM,Consistency,
Selp,2.441567124,0.445816802,12,up
Mt1,2.137257365,0.469392953,11,up
Nupr1,1.79761127,0.269228969,11,up
Plscr2,2.79760879,0.539777639,10,up
Clec1a,1.486958957,0.203792454,10,up
Gstm2,2.266249204,0.444129217,9,up
Enpp5,1.554235375,0.275038843,9,up
Itgb3,1.256028267,0.1629187,9,up
Clca3a1,2.59781994,0.476442369,8,up
Zg16,3.642411091,1.00267371,8,up
Sbspon,3.22808956,0.69025297,8,up
Trpc1,2.531021155,0.315934937,8,up
Gpr183,1.606193039,0.466192429,8,up
Klhl4,1.578537988,0.054224326,8,up
Ptprk,1.503619344,0.237049098,8,up
Vwf,1.372019645,0.234629706,8,up
Cd38,1.573978226,0.33536252,8,up
Neo1,1.842196026,0.419790115,8,up
Fhl1,1.193365581,0.156845215,8,up
Pbx3,1.104645065,0.131209486,8,up
Tm4sf1,2.461514538,0.554005389,8,up
Alcam,1.397440531,0.219238206,8,up
Tdrd9,2.979371811,0.607701558,7,up
Aldh1a1,1.715339182,0.450298677,7,up
Tmem47,2.187102837,0.238333626,7,up
Gm10419,1.983548135,0.437271513,7,up
Dnm3,1.809333434,0.324615302,7,up
Ebi3,-1.0337601,0.221214818,7,do
Dhrs3,1.228197635,0.234650033,7,up
Wwtr1,2.772687415,0.744572797,7,up
Plek,1.128422638,0.186851678,7,up
Cd37,-1.088536948,0.332980077,7,do
Abca4,1.44775082,0.323817567,7,up
Ramp2,2.588837108,0.259699476,6,up
Osmr,4.059734694,1.069464494,6,up
Clu,2.543934514,0.578329705,6,up
Fhdc1,1.551675994,0.33757013,6,up
Ehd3,1.528895977,0.266156703,6,up
Pgr,1.630632304,0.30060485,6,up
Phf11d,1.664382991,0.158723361,6,up
Rorb,2.492204899,0.586531916,6,up
Fap,2.700343716,0.375462174,6,up
Adgrg2,2.01538122,0.385374938,6,up
Tacstd2,1.097978216,0.191870503,6,up
Pros1,0.977751438,0.147702806,6,up
Matn4,2.787579665,1.332399423,6,up
Tmem215,2.648163919,0.593973671,6,up
Cpne8,1.333449225,0.215212219,6,up
Prcp,0.927467146,0.074013337,6,up
Cd86,-1.392457984,0.147815992,6,do
Sult1a1,2.156903578,0.405075112,6,up
Sdpr,1.880257895,0.657666313,6,up
Efna1,1.03741292,0.173205769,6,up
