Genes,Bersenev, Chambers, Flach, Norddahl, Wahlestedt, Grover, Kirshner, Kowalczyk, Mann, Lazare, Maryanovich, Sun
Mt2,5.001000849,3.040830465,1.174736983,2.211548024,3.328277545,0,3.00E-05,1.03E-11,0,2.055498091,5.522712256,1.801694573
Plscr2,3.509136504,4.386225148,1.465350743,4.17898566,4.12444739,1.64E-13,0.001056094,7.29E-26,0.508464911,1.468573549,5.040178553,3.01699787
Selp,3.273687659,5.952785834,1.682256463,2.775169489,3.141030537,4.90E-13,1.48E-06,9.94E-29,1.075621029,2.154182076,4.090171202,2.495543057
Clca3a1,2.701620865,4.779013454,1.726142941,3.317146701,3.057975213,0,3.06E-08,0,0,1.534362181,5.157997043,2.567177537
Bmpr1a,2.694994289,1.14392937,1.071309378,1.661816927,1.526577503,3.28E-08,0,0,0,0,0,0
Klrb1c,2.564622161,0,1.115213333,0,0,3.04E-05,0.314409262,0,0.450859123,1.71529802,2.117264604,3.078955288
Zg16,2.545090365,2.103964225,1.272623946,3.349646079,2.603982975,0.003930673,0.000175608,0,0,2.599980608,10.45824976,3.540909685
Mt1,2.380292482,2.808906416,0.656088163,1.765469051,1.484055565,4.28E-16,1.98E-10,2.71E-32,0.285047277,1.742664146,3.712901368,1.508273052
Sbspon,2.253601179,0,0.97752027,4.966239576,5.998885375,0.000229427,1.65E-05,0,0.606676161,2.466875615,4.673931374,3.880986934
Aspa,2.231535968,2.466617741,0.15999734,1.637337484,2.306765551,0,0,0,0,0.467564837,2.58808505,1.428795501
A530040E14Rik,2.192841056,0,0,0,0,0,0,0,0,0.622033993,2.730852679,1.939801039
Trpc1,2.142873839,1.344806992,1.448517503,1.906715922,1.785544161,0,0,0,0,1.046677729,3.317399322,3.188875672
H2-Aa,2.084212418,1.503075572,-0.033494431,0.314353558,1.333616153,1.12E-13,0,0.000394647,0,0,0,0
H2-Eb1,2.078442816,1.28588222,-0.093448922,0.610829325,1.539347549,2.49E-09,0.707797697,0.009280128,0.344998959,0,0,0
Ramp2,2.012870419,2.421152969,0.449695233,3.321341622,2.359533701,0,0.001363334,0,0.272396565,2.584250633,1.886088402,3.368937875
Clec1a,1.983957477,0,1.245485152,2.681304121,1.966815514,4.25E-09,0.34804593,3.98E-22,0.867699692,0.969389057,1.99013801,1.472334955
Gstm2,1.972984103,4.490903852,0.569916739,2.534558988,2.969836166,1.35E-07,0,2.50E-07,0,1.745558067,3.34959586,2.560199734
Osmr,1.972656501,0.773715297,1.113842379,1.280383185,1.649018136,0.003930673,0,0,0.391112534,1.668346611,8.917008932,3.547208322
Clu,1.9332862,4.788507576,0.793947889,3.129149843,3.108199032,1.27E-09,0.034204086,2.78E-28,0.30119212,0,0,0
Gem,1.929471356,2.412267145,0.230725115,1.533804714,1.330799175,0.000102984,0.816181582,3.33E-11,0,1.524000892,0.923982074,1.716432304
Hmox1,-1.927976355,-0.294857968,-0.202198168,-0.265823219,-0.118423706,0,0,0,0,0.221056475,-0.748019193,-0.760371825
Tdrd9,1.868244822,0,1.243826721,4.391028908,3.559316578,0,0,0,0,0.919707332,4.90831161,3.965166705
Cysltr2,1.858719127,1.613018606,1.244231487,1.716098835,2.148220703,1.59E-05,4.88E-06,0,0,0,0,0
Gpr183,1.804942712,0,1.969398929,3.748615043,3.229290584,3.22E-10,5.66E-08,3.15E-12,0.486681469,0,0,0
Slco2a1,1.801123849,0.275543137,0.130132414,0.338950862,0.18591518,0,0,0,0,0.788385379,0.860055338,1.2186951
Aldh1a1,1.795511841,4.115193297,0.625681181,1.721111193,1.966447467,1.36E-12,0,5.70E-10,0.681864973,0,0,0
Cd74,1.770662397,1.361585603,0.254930964,0.133768891,0.619232963,1.14E-08,0,8.51E-08,0,0,0,0
Tmem47,1.742003797,1.993541191,1.302897347,1.220460624,1.873419218,0.00097363,0,0,0,0.803451995,3.194062324,2.351381171
Fhdc1,1.686743333,1.682480447,1.239344468,0.993800164,1.322360914,0,0,0,0,0.769677756,3.110521426,1.018950229
Gm10419,1.679584598,0,0,2.471943627,2.445308662,0,0,5.25E-21,0,1.300447473,4.019229604,1.646863591
Flt3,-1.6684282,-2.341932531,-0.599404471,-0.824236478,-1.158067729,5.70E-09,0,0,0,-1.030359823,-0.608376858,-1.5794146
Dnm3,1.646269077,-0.005902112,0.887596193,0.534942173,0.62630737,3.58E-06,0,0,0,1.2024676,2.913758718,2.672561826
Klhl4,1.645627108,0,1.507399418,1.497276567,1.660724397,1.32E-14,0.212771597,0,0,1.767336236,1.474260516,1.643495935
Cavin2,1.642477608,0,0,0,0,0,0.002738115,0,0,1.004774078,2.590474154,1.544240779
Ehd3,1.630295206,1.948963066,0.746270818,1.971187063,1.876896491,7.04E-05,0.001854091,1.59E-24,0.711035292,0,0,0
Hpgds,1.621375951,0.104706419,1.006017848,0.381554107,0.613280676,0.783861924,0,0,0,0.85686182,1.735759963,1.242931395
Pgr,1.61488528,0.000952126,0.655607005,1.1699748,1.810274011,0,0,0,0.276426607,0.878275566,2.008176131,1.770679175
Sfrp1,1.607073666,0.277326684,0.457401071,0.976266785,0.764300127,0.053851731,0,0,0,0.740330282,1.231126263,1.67273683
Jam2,1.583748792,0.901359997,0.462923535,1.178900099,1.088798187,1.73E-06,0,0.031480736,0.502746726,0,0,0
Phf11d,1.568485849,0,0.498588813,1.720948635,1.201664376,0.183475696,0,0,0,1.297642745,2.192030395,2.005525943
H2-Ab1,1.542477867,0.90644092,-0.363632697,0.137965343,1.031168619,2.56E-12,0,1.33E-05,0,0,0,0
Nupr1,1.524012954,0.645043697,1.207588279,3.133715207,3.191099922,9.70E-16,5.34E-09,4.74E-30,0.789569305,1.579603557,2.746007795,1.642493314
Rassf4,-1.508203662,0,-0.387163434,-0.729146757,-0.922529236,0,0,0,0,-0.685745558,-1.556141746,-0.744781376
Ebi3,-1.503116906,-2.091498258,-0.910352343,-1.496895799,-1.800044448,4.64E-07,5.33E-09,1.14E-16,0,0,0,0
Ptprk,1.502226385,0.430767144,1.133472413,0.828143411,0.643694764,0,0.000175608,0,0.253960056,0.991892154,2.021600701,2.221864924
Gpx8,1.488857249,0.503074947,0.198880936,1.995183471,2.407108804,0,0,0,0,0,0,0
Mmp14,1.477361925,0.822477899,0.556581303,0.710993168,0.757547843,0,0,0,0,0,0,0
H2-T3,1.434833863,0.021424668,0,0.155790701,-0.049878076,0,0,0,0,0.59603011,3.737798266,2.225657363
Nrk,-1.425775069,-1.089694346,-1.191687989,-0.605832149,-0.945174344,0,0.000397947,0,0,-1.164109672,-1.423712084,-1.529200029
Dhrs3,1.422021743,-1.035595834,0.327279299,2.303749359,1.231277972,7.30E-07,0.003016322,6.50E-18,0.767443038,0.554928514,1.499089842,1.171541465
Rorb,1.405818567,0.007050096,0.54763169,1.545529905,1.00704311,0.004104473,0.000313529,0,0.549268614,0.905805681,4.481515039,3.912061892
Lpl,1.403869469,1.299212907,0.445239174,0.73742129,1.941153335,0,0,0,0,0.447382877,1.614517823,1.331267685
Wwtr1,1.396329256,3.019901878,0.414870054,1.71610332,2.22989473,0,5.43E-05,0,0,0.96457547,3.910667036,2.000249965
Il1rapl2,1.390893721,0.15886828,0.762887138,1.017810868,1.492629962,0,0.001743293,0,0,0.753748933,2.376878356,1.668093327
Fap,1.388931372,2.695411615,1.007656239,3.989568416,2.815496319,0,0,0,0,0.796878426,3.300568434,2.012086137
Gm16485,1.385804375,0,0,0,0,0,0,0,0,-0.42966574,0.488361027,1.675740747
Agtr1a,1.370696208,0,0.389342526,2.866212454,2.746901208,0,0,0,0,0,0,0
Rgs7bp,-1.35710662,0,-0.328460675,-1.048523916,-1.591992839,0,0,0,0,0,0,0
Gria3,-1.343539152,-0.016617487,-0.580526054,-0.554583998,-0.803203499,0,0,0,-0.257205574,-1.408613603,-0.521128008,-0.462236332
Jun,1.321758934,0.707505495,0.238938498,0.51603156,0.813489333,0.000103591,5.42E-08,0,0.583036378,-0.239971533,1.204169439,-0.53410674
Egr1,1.315720823,1.13968251,0.729313961,1.31682614,0.756881082,2.78E-11,0.006402912,0,0,0.163355075,-0.786304173,0.879140781
Enpp5,1.3100873,3.124216668,0.814429009,2.425141592,1.492678333,1.46E-10,0,1.70E-15,0.578882816,1.458878631,1.712805231,1.765455107
Muc1,1.304575593,3.649165751,0.320973477,3.19123172,1.71879361,1.80E-05,3.00E-05,0,0,1.286486185,4.874942177,2.37854933
Scd1,1.271885752,0.438990012,0.083175454,1.342988626,1.156237396,0,0,0,0,0,0,0
Id2,1.270937167,0.632987874,0.010155693,0.734011274,0.826801834,1.89E-09,0,0,0,0,0,0
Vwf,1.27059665,0.760477817,0.59484547,2.045137395,2.089372431,0.077621758,0.056336949,1.10E-06,0.7578125,0.939653861,1.817636295,1.771409558
Cd38,1.260505376,2.140398409,0.129728014,1.841401397,1.967370206,0.104412205,0,3.51E-19,0.394042615,1.25450037,1.93309158,2.035891497
Neo1,1.25983476,4.341932538,0.480258737,1.242755287,1.856248134,1.12E-07,0,0,0,1.111001586,1.25852422,1.766811928
Bcl6,1.253952236,0.790867055,0.335905799,0.566182808,0.50062012,0,0,0,0,0.700610117,0.889784953,1.054600138
Clec9a,1.24985832,0,1.359565486,0,0,6.19E-06,0.047821174,0,0,0.604504016,1.900861871,1.404713687
S100a6,1.24639155,1.006775367,-0.15301976,0.684820731,1.063912481,5.33E-06,0,0.002927961,0,0.933773852,1.097056739,1.60676905
Il12rb2,-1.239918214,0.00351174,-0.783741554,-0.050365726,-0.285180094,0,0,0,0,-0.695867634,-1.912715308,-1.913287901
Adgrg2,1.230981425,0,0.587284459,1.461170674,1.503251514,0,0.001743293,0,0,0.885701209,2.969142107,1.398295741
Tacstd2,1.22927803,1.573129141,0.460159467,1.553932657,0.945190967,0.000694682,3.00E-05,1.94E-15,0,0.381550559,1.118246233,0.739705531
Zswim5,1.220318999,0,0,0.806463031,0.762589659,0,0,0,0,0.079960663,6.082027868,1.630790402
Insl6,1.208493466,-0.498683848,-0.729201457,0.057272728,0.411965852,0,0,0,0,-0.215600773,0.700399825,0.536773079
Ighg1,-1.206837493,0,0,0,0,0,0,0,0,0.134407472,0,-3.247839174
B3galt1,1.195118484,0.004049344,-0.158955517,1.073643754,1.525043871,0,0,0,0,-0.508881361,2.866674279,1.277447333
Cyyr1,1.191653799,-0.005016583,0.307870128,0.671511015,0.614638573,0,0.001743293,0,0,0.863772683,0.486436936,0.721432578
Igf1,-1.166750901,-0.089067574,-0.529072493,-0.961878727,-0.737992435,0,0.000762925,0,0,-0.539431748,-1.681001768,-1.427012345
Mab21l2,1.163845253,0.060840319,1.04610532,2.749286144,0.645010855,0,0,0,0.295515946,2.237604955,10.41714027,5.788954271
Casp12,1.161391659,2.832367043,0.169171653,1.079238775,1.133713235,0.000305718,0,0.000293838,0,0.639532166,1.275082362,0.896519056
Epdr1,1.155728662,0.997933514,-0.389135961,0.819754865,0.717826754,0,0,0,0,0,0,0
Kcnip3,1.154081726,0.020337656,0.543745643,0.180889835,0.379846058,0.752509416,0,1.29E-14,0,0.530419637,1.309043313,0.752489675
Mgst1,-1.133254201,-0.366691555,-2.174656645,-0.687895749,-0.492235059,0.000455334,0.000762925,1.08E-10,0,0.122318158,-1.161788269,0.075681591
Gm13212,1.122884524,0,0,0,0,0,0,0,0,0.180235774,0.678256997,0.962932393
Hnf4a,-1.121460737,-0.161359055,-0.156754754,-0.41786543,-0.80495975,0,0,0,0,-0.338706512,-1.34703572,-1.634275057
Fhl1,1.109149118,1.970342487,0.760255095,0.527337844,0.706934212,3.20E-07,0.069926065,2.72E-18,0.318504388,0.730638501,1.492328102,1.098155801
Pcdhb16,1.099308148,-0.043736724,0.47622088,0.700793599,0.956308295,0.01529536,0,0,0,0.940309626,1.683218363,1.551480422
Dsg2,1.092849725,0.493116304,0.119368162,1.017141503,0.947352735,0,0.000557431,0,0,0.80447117,1.826353989,1.811025428
Slc7a7,1.080473486,1.043511977,-0.010657273,1.164194267,1.032650968,0,0,0,0,0,0,0
Fam169a,1.075468679,0.427031237,0.405219184,2.051854401,1.832911087,3.04E-05,0,0,0,0,0,0
Trim47,1.07015965,-0.651155003,0.492516519,1.299725853,1.229408716,0.003717807,0,1.54E-13,0.443476438,0.835751229,0.330346989,1.043105948
Exoc3l4,1.068001223,0,0.073441592,1.879759645,1.96682116,0,0,0,0,0,0,0
Myh10,-1.062540194,0,-0.610493009,-0.552059773,-0.704436164,0,0,0,0,-0.592122799,-1.012711743,-1.400833632
