Genes,Bersenev,Chambers,Flach,Norddahl,Wahlestedt,Grover,Kirshner,Kowalczyk,Mann,Lazare,Maryanovich,Sun
Mt2,5.001000849,3.040830465,1.174736983,2.211548024,3.328277545,0,0.314846179,0.264040236,0,2.055498091,5.522712256,1.801694573
Plscr2,3.509136504,4.386225148,1.465350743,4.17898566,4.12444739,0.972685321,0.422547998,0.770392991,0.508464911,1.468573549,5.040178553,3.01699787
Selp,3.273687659,5.952785834,1.682256463,2.775169489,3.141030537,1.047393659,0.617469802,0.993494677,1.075621029,2.154182076,4.090171202,2.495543057
Clca3a1,2.701620865,4.779013454,1.726142941,3.317146701,3.057975213,0,0.720137035,0,0,1.534362181,5.157997043,2.567177537
Bmpr1a,2.694994289,1.14392937,1.071309378,1.661816928,1.526577503,0.778686885,0,0,0,0,0,0
Klrb1c,2.564622161,0,1.115213333,0,0,0.332623806,0.496051119,0,0.450859123,1.71529802,2.117264604,3.078955288
Zg16,2.545090365,2.103964225,1.272623946,3.349646079,2.603982975,0.31139917,0.336560692,0,0,2.599980608,10.45824976,3.540909685
Mt1,2.380292482,2.808906416,0.656088163,1.765469051,1.484055565,0.774329851,0.58809635,1.309815765,0.285047277,1.742664146,3.712901368,1.508273052
Sbspon,2.253601179,0,0.97752027,4.966239576,5.998885375,0.298683965,0.512747665,0,0.606676161,2.466875615,4.673931374,3.880986934
Aspa,2.231535968,2.466617741,0.15999734,1.637337484,2.306765551,0,0,0,0,0.467564837,2.58808505,1.428795501
Trpc1,2.142873839,1.344806992,1.448517503,1.906715922,1.785544161,0,0,0,0,1.046677729,3.317399322,3.188875672
Ramp2,2.012870419,2.421152969,0.449695233,3.321341622,2.359533701,0,0.49199197,0,0.272396565,2.584250633,1.886088402,3.368937875
Clec1a,1.983957477,0,1.245485152,2.681304121,1.966815514,1.004282325,0.297172104,0.688183272,0.867699692,0.969389057,1.99013801,1.472334955
Gstm2,1.972984103,4.490903852,0.569916739,2.534558988,2.969836166,0.372592516,0,0.400013547,0,1.745558067,3.34959586,2.560199734
Osmr,1.972656501,0.773715297,1.113842379,1.280383185,1.649018136,0.332447656,0,0,0.391112534,1.668346611,8.917008932,3.547208322
Clu,1.9332862,4.788507576,0.793947889,3.129149843,3.108199032,0.941975422,0.438538516,1.362489012,0.30119212,0,0,0
Gem,1.929471356,2.412267145,0.230725115,1.533804714,1.330799174,0.647791433,0.282104139,0.552009643,0,1.524000892,0.923982074,1.716432304
Tdrd9,1.868244822,0,1.243826721,4.391028908,3.559316578,0,0,0,0,0.919707332,4.90831161,3.965166705
Cysltr2,1.858719127,1.613018606,1.244231487,1.716098835,2.148220703,0.619185786,0.394879353,0,0,0,0,0
Gpr183,1.804942712,0,1.969398929,3.748615043,3.229290584,0.659818383,0.66062875,0.290168441,0.486681469,0,0,0
Aldh1a1,1.795511841,4.115193297,0.625681181,1.721111193,1.966447467,1.153938907,0,0.573306594,0.681864973,0,0,0
Tmem47,1.742003797,1.993541191,1.302897347,1.220460624,1.873419218,0.316812156,0,0,0,0.803451995,3.194062324,2.351381171
Fhdc1,1.686743333,1.682480447,1.239344468,0.993800164,1.322360914,0,0,0,0,0.769677756,3.110521426,1.018950229
Gm10419,1.679584598,0,0,2.471943627,2.445308662,0,0,0.321459392,0,1.300447473,4.019229604,1.646863591
Flt3,-1.6684282,-2.341932531,-0.599404471,-0.824236478,-1.158067729,-0.277499271,0,0,0,-1.030359823,-0.608376858,-1.5794146
Dnm3,1.646269077,-0.005902112,0.887596193,0.534942173,0.62630737,0.387391475,0,0,0,1.2024676,2.913758718,2.672561826
Klhl4,1.645627108,0,1.507399418,1.497276567,1.660724397,1.275400354,0.352687544,0,0,1.767336236,1.474260516,1.643495935
Cavin2,1.642477608,0,0,0,0,0,0.379080219,0,0,1.004774078,2.590474154,1.544240779
Ehd3,1.630295206,1.948963066,0.746270818,1.971187063,1.876896491,0.576153484,0.552510383,0.745758268,0.711035292,0,0,0
Pgr,1.61488528,0.000952126,0.655607005,1.1699748,1.810274011,0,0,0,0.276426607,0.878275566,2.008176131,1.770679175
Sfrp1,1.607073666,0.277326684,0.457401071,0.976266785,0.764300127,0.449936047,0,0,0,0.740330282,1.231126263,1.67273683
Jam2,1.583748792,0.901359997,0.462923535,1.178900098,1.088798187,0.446874972,0,0.314092636,0.502746726,0,0,0
Phf11d,1.568485849,0,0.498588813,1.720948635,1.201664376,0.368165862,0,0,0,1.297642745,2.192030395,2.005525943
Nupr1,1.524012954,0.645043697,1.207588279,3.133715206,3.191099922,1.202829595,0.923387702,2.196010041,0.789569305,1.579603557,2.746007795,1.642493314
Rassf4,-1.508203662,0,-0.387163434,-0.729146757,-0.922529236,0,0,0,0,-0.685745558,-1.556141746,-0.744781376
Ebi3,-1.503116906,-2.091498258,-0.910352343,-1.496895799,-1.800044448,-0.403616077,-0.265941318,-0.856353807,0,0,0,0
Ptprk,1.502226385,0.430767144,1.133472413,0.828143411,0.643694764,0,0.268196533,0,0.253960056,0.991892154,2.021600701,2.221864924
Mmp14,1.477361925,0.822477899,0.556581303,0.710993168,0.757547843,0,0,0,0,0,0,0
Nrk,-1.425775069,-1.089694346,-1.191687989,-0.605832149,-0.945174344,0,-0.299274784,0,0,-1.164109672,-1.423712084,-1.529200029
Dhrs3,1.422021743,-1.035595834,0.327279299,2.303749359,1.231277972,0.325513523,0.387354864,1.108024472,0.767443038,0.554928514,1.499089842,1.171541465
Rorb,1.405818567,0.007050096,0.54763169,1.545529905,1.00704311,0.465397308,0.32902084,0,0.549268614,0.905805681,4.481515039,3.912061892
Lpl,1.403869469,1.299212907,0.445239174,0.73742129,1.941153335,0,0,0,0,0.447382877,1.614517823,1.331267685
Wwtr1,1.396329256,3.019901878,0.414870054,1.71610332,2.22989473,0,0.364980613,0,0,0.96457547,3.910667036,2.000249965
Il1rapl2,1.390893721,0.15886828,0.762887138,1.017810868,1.492629962,0,0.298788525,0,0,0.753748933,2.376878356,1.668093327
Fap,1.388931372,2.695411615,1.007656239,3.989568416,2.815496319,0,0,0,0,0.796878426,3.300568434,2.012086137
Jun,1.321758934,0.707505495,0.238938498,0.51603156,0.813489332,0.646530488,0.54125292,0,0.583036378,-0.239971533,1.204169439,-0.53410674
Enpp5,1.3100873,3.124216668,0.814429009,2.425141592,1.492678333,0.720566866,0,0.892084164,0.578882816,1.458878631,1.712805231,1.765455107
Muc1,1.304575593,3.649165751,0.320973477,3.19123172,1.71879361,0.519024975,0.311525269,0,0,1.286486185,4.874942177,2.37854933
Id2,1.270937167,0.632987874,0.010155693,0.734011274,0.826801834,1.102779062,0,0,0,0,0,0
Vwf,1.27059665,0.760477817,0.59484547,2.045137395,2.089372431,0.359137533,0.364409003,0.284538469,0.7578125,0.939653861,1.817636295,1.771409558
Cd38,1.260505376,2.140398409,0.129728014,1.841401397,1.967370205,0.719810488,0,0.265230002,0.394042615,1.25450037,1.93309158,2.035891497
Neo1,1.25983476,4.341932538,0.480258737,1.242755287,1.856248134,0.445101184,0,0,0,1.111001586,1.25852422,1.766811928
Bcl6,1.253952236,0.790867055,0.335905799,0.566182808,0.50062012,0,0,0,0,0.700610117,0.889784953,1.054600138
S100a6,1.24639155,1.006775367,-0.15301976,0.684820731,1.063912481,0.375912285,0,0.264935669,0,0.933773852,1.097056739,1.60676905
Adgrg2,1.230981425,0,0.587284459,1.461170674,1.503251514,0,0.380855052,0,0,0.885701209,2.969142107,1.398295741
