studies,num.genes,cumulative.genes,analysis.top5,analysis,log2,
1,5008,5008,NS,meta,-13.29001885,79.30870461
2,923,5931,NS,meta,-10.85018684,14.63453306
3,241,6172,NS,meta,-8.912889336,3.852861899
4,90,6262,meta-analysis,meta,-7.491853096,1.395275091
5,37,6299,meta-analysis,meta,-6.209453366,0.586649754
6,11,6310,meta-analysis,meta,-4.459431619,0.174409386
7,2,6312,meta-analysis,meta,-2,0.031710798
8,1,6313,meta-analysis,meta,-1,0.015855399
9,1,6314,meta-analysis,meta,-1,0.015855399
10,0,6314,meta-analysis,meta,0,
11,0,6314,meta-analysis,meta,0,
12,0,6314,meta-analysis,meta,0,
1,4311,4311,NS,reanl,13.07380685,78.26086957
2,698,5009,NS,reanl,10.44708323,13.19254658
3,212,5221,NS,reanl,8.727920455,3.950310559
4,100,5321,re-analysis,reanl,7.64385619,2.037267081
5,62,5383,re-analysis,reanl,6.95419631,1.142857143
6,26,5409,re-analysis,reanl,5.700439718,0.869565217
7,11,5420,re-analysis,reanl,4.459431619,0.149068323
8,15,5435,re-analysis,reanl,4.906890596,0.223602484
9,3,5438,re-analysis,reanl,2.584962501,0.074534161
10,2,5440,re-analysis,reanl,2,0.074534161
11,2,5442,re-analysis,reanl,2,0.02484472
12,1,5443,re-analysis,reanl,1,
