Set_Kirshner
Table S1: Marker Gene annotations	gene name	AUROC	p.value
1	Hes1	0.9751644737	1.82E-22
1	Btg2	0.9712171053	4.69E-22
1	Nr4a2	0.9605263158	6.31E-19
1	Nr4a1	0.959375	1.87E-17
1	Skil	0.9513980263	5.01E-21
1	Zfp36	0.9388980263	1.44E-12
1	Fos	0.9181743421	1.24E-11
1	Fosb	0.9125	5.52E-16
1	Junb	0.9085526316	6.62E-11
1	Bhlhe40	0.8905427632	1.60E-17
1	Cdkn1a	0.8860197368	1.75E-22
1	Jund	0.8732730263	1.01E-07
1	Egr1	0.8707236842	2.70E-08
1	Jun	0.8608552632	1.55E-07
1	Cebpb	0.8607730263	2.84E-11
1	Klf4	0.8532072368	5.23E-18
1	Mcl1	0.8395559211	3.00E-06
1	Csrnp1	0.8344572368	1.18E-12
1	Gm11175	0.8340460526	3.01E-06
1	Ccnt1	0.8279605263	4.55E-06
1	Socs3	0.8143914474	3.92E-13
1	Pde4b	0.8004934211	0.0001097269
1	Sik1	0.7972039474	8.19E-09
1	Tsc22d1	0.7960526316	0.000621086
1	Klf6	0.7905427632	0.0003084493
1	Coq10b	0.7881578947	3.47E-11
1	Smad7	0.7818256579	1.54E-07
1	Ccnl1	0.7740953947	0.0041404412
1	Cdk11b	0.7694078947	0.0003677948
1	Jmjd1c	0.7689967105	0.0027923334
1	Nfkbiz	0.7629934211	4.96E-05
1	Isca1	0.7625822368	0.0030186038
1	Klf2	0.7600328947	0.000664793
1	Dusp1	0.7577302632	0.0063233201
1	Ddit4	0.7560855263	1.65E-07
1	Tiparp	0.7520559211	1.09E-06
1	Ctla2b	0.7473684211	0.0022797861
1	Ier2	0.7460526316	0.0468086978
1	Trib1	0.7349506579	7.65E-09
1	Purb	0.7338815789	0.0669883152
1	Arrdc3	0.7305921053	0.0004025989
1	Hmgcr	0.728125	0.0225465528
1	Ier5	0.7265625	4.75E-05
1	Dennd4a	0.7249177632	0.0288640215
1	Gadd45b	0.7221217105	6.12E-08
1	Per1	0.7203947368	0.0054451913
1	Tmem189	0.7174342105	0.0126893018
1	Id1	0.7143092105	2.08E-09
1	Fam110a	0.7077302632	0.0004524185
1	Lmna	0.7007401316	7.71E-09
1	Cdkn2d	0.6972861842	0.00937429
1	2210403K04Rik	0.6951480263	3.12E-11
1	Dyrk3	0.6902960526	0.0018573649
1	Nfkbid	0.6861019737	1.09E-07
1	Cd97	0.6842927632	0.0453239144
1	Spry1	0.6805098684	0.0005331996
1	Fosl2	0.6707236842	0.066395279
1	Amotl2	0.6650493421	0.012373046
1	Avpi1	0.6580592105	0.0251596675
1	Nos1ap	0.6448190789	0.049042592
1	Tinf2	0.6443256579	0.004223608
1	Ptgs2	0.6422697368	8.46E-05
