"Noda, Freshly isolated HSCs, Old CD34_KSL vs. Young CD34_KSL"		
ID	Name	FC(binary)
1	1190002H23Rik	1
2	Apbb2	1
3	Cadm1	1
4	Cdkn1a	1
5	Cdkn2c	1
6	Ddit3	1
7	Dusp1	1
8	Fgr	1
9	Fosb	1
10	Gadd45b	1
11	Gas2l3	1
12	LOC100047967	1
13	Junb	1
14	Maff	1
15	Mapk12	1
16	Plk2	1
17	Rhob	1
18	Terf1	1
19	Als2cr2	-1
20	Ccne2	-1
21	Cdc6	-1
22	Cdt1	-1
23	E2f1	-1
24	E2f8	-1
25	Nek2	-1
26	Nsl1	-1
27	Rassf4	-1
28	Skp2	-1
29	Timeless	-1
30	Ar	1
31	Atf4	1
32	Bcl3	1
33	Bhlhb2	1
34	Btg2	1
35	Cebpb	1
36	Cebpd	1
37	Chd7	1
38	Cited4	1
39	Creb5	1
40	Egr2	1
41	Egr3	1
42	Egr4	1
43	Eya4	1
44	Cdkn2c	1
45	Fosl1	1
46	Fosl2	1
47	Ddit3	1
48	Foxp2	1
49	Gm967	1
50	Hoxb6	1
51	Id2	1
52	Isl1	1
53	Jun	1
54	Junb	1
55	Klf2	1
56	Klf4	1
57	Klf6	1
58	Klf9	1
59	Lsr	1
60	Maf	1
61	Maff	1
62	Per1	1
63	Fosb	1
64	Meis2	1
65	Mrg1	1
66	Neo1	1
67	Nfe2l2	1
68	Nfkbiz	1
69	Nr4a1	1
70	Nr4a2	1
71	Pawr	1
72	Pcdhb16	1
73	Pgr	1
74	Rarb	1
75	Ripk4	1
76	Rorb	1
77	Rorc	1
78	Runx1t1	1
79	Smad7	1
80	Sox13	1
81	Stat3	1
82	Taf7	1
83	Trib3	1
84	Tsc22d3	1
85	Uhrf1bp1l	1
86	Terf1	1
87	Wwtr1	1
88	Zfhx4	1
89	Zfp334	1
90	Zfp462	1
91	Zfp503	1
92	Zfp612	1
93	Akna	-1
94	Cutl1	-1
95	E2f1	-1
96	E2f8	-1
97	Fabp4	-1
98	Hmga2	-1
99	Hnf4a	-1
100	Ikzf2	-1
101	Irf5	-1
102	Klf1	-1
103	Papola	-1
104	Pitx2	-1
105	Plagl1	-1
106	Satb1	-1
107	Shprh	-1
108	Timeless	-1
109	Zfp287	-1
110	4631416L12Rik	1
111	4632411J06Rik	1
112	Ank3	1
113	Apbb2	1
114	Arhgap29	1
115	Arl5b	1
116	Clec1b	1
117	Cxcr4	1
118	Cysltr2	1
119	Ddit4	1
120	Ebi2	1
121	Fzd3	1
122	Fzd9	1
123	Garnl4	1
124	Gem	1
125	Gpr146	1
126	Gpr4	1
127	Gpr64	1
128	Gprc5a	1
129	Il1rapl2	1
130	Kiss1r	1
131	LOC100046643	1
132	Spry1	1
133	Mt1	1
134	Mt2	1
135	Ncam1	1
136	Osmr	1
137	Pde9a	1
138	Per1	1
139	Plcl1	1
140	Ptger4	1
141	Rab34	1
142	Rab40b	1
143	Rapgef3	1
144	Rasd1	1
145	Rasef	1
146	Rhob	1
147	Rhoj	1
148	Rnd3	1
149	Rrad	1
150	Socs3	1
151	Spry4	1
152	Wnt5a	1
153	Angptl4	-1
154	Arhgap15	-1
155	Arhgap30	-1
156	Cnr2	-1
157	Gna13	-1
158	Gng2	-1
159	Il1rl1	-1
160	Mc5r	-1
161	Ms4a6b	-1
162	Nfam1	-1
163	P2ry14	-1
164	Rassf4	-1
165	Rgs12	-1
166	Rgs7bp	-1
167	Rin3	-1
168	Syk	-1
