set_by request			
gene	UCSCmm9	log2(fold_change)	q_value
uc007axk.1	Sdpr	2.60202	2.54E-07
uc007bev.2;uc007bew.2	Cd28	1.71692	0.0297434
uc007bez.1	Ctla4	2.36098	0.0384786
uc007bnf.2	Wnt10a	2.36155	0.00417281
uc007bzh.1	Cxcr7	2.7047	0.0172741
uc007cmn.1	Fcmr	1.97527	0.00458152
uc007cnz.1;uc007coa.1	Slc45a3	1.84662	0.031004
uc007cuf.1;uc007cug.1	Cacna1s	2.62341	0.000325428
uc007dhx.1	Sele	-3.10459	0.00561372
uc007dpb.1;uc007dpc.1	Slamf1	1.95492	0.041505
uc007buq.1	Gpr55	2.02414	0.00110483
uc007cqs.2;uc007cqt.2	Lax1	1.06477	0.0198677
uc007dav.1	Cacna1e	1.78219	0.000276431
uc007dmq.2;uc007dmr.2;uc011wvu.1	Fcrla	2.12856	2.88E-05
uc007dov.1;uc007dow.1;uc007dox.1;uc007doy.1	Slamf7	1.66952	0.0030499
uc007eiq.2	Zc3h12d	1.48835	0.0200023
uc007ftj.1;uc007ftk.1;uc007ftl.1	Derl3	2.3738	7.81E-10
uc007hbz.1	AK016591	2.09551	0.0434084
uc011xan.1	Ect2l	4.07099	0.000520219
uc007eqx.1;uc007eqy.1;uc007eqz.1;uc011xbs.1	Enpp1	1.49063	0.0366001
uc007ezu.2;uc007ezv.2;uc007ezw.1	Prdm1	2.03014	0.017319
uc007gqi.1	Hsp90b1	1.08545	0.0029927
uc007hbw.1;uc007hby.1	Kcnmb4	2.44168	0.0220371
uc007hfb.1;uc011xow.1	Hmga2	-1.89577	0.0163752
uc007hjx.1;uc007hjy.1;uc007hjz.1	Lrp1	-1.1279	0.0213807
uc007hwm.1;uc007hwn.1;uc007hwo.1	Xbp1	1.4436	0.0431829
uc007iov.2;uc007iow.2;uc011xtv.1	Havcr1	3.05674	0.00228615
uc007kny.1;uc007knz.2;uc007koa.2	Slfn5	-1.0428	0.0440846
uc007kps.1	Wfdc21	1.68638	0.0172741
uc007kzt.1	Samd14	1.87783	3.68E-05
uc007lwx.2;uc011ygd.1	Itgb3	1.40419	0.00783723
uc007lxu.1;uc007lxv.1;uc007lxw.1	Ace	-2.00417	0.00692603
uc007jqo.1	Atp1b2	1.77143	0.00451666
uc007kpj.1	Ccl9	-1.05911	0.00709876
uc007kqc.1;uc007kqd.1;uc007kqe.1	Dusp14	2.52674	0.0147731
uc007lgl.1;uc007lgm.1;uc007lgn.1	Ikzf3	1.71565	0.000427659
uc007lik.1;uc007lil.1	Krt222	2.55452	0.00201738
uc007lrx.2;uc007lry.2;uc007lrz.1;uc007lsa.1	Itga2b	1.01996	0.00857719
uc007lyt.2	Cd79b	1.03845	0.0155537
uc007mgk.1	Cd300e	-2.04788	0.0224615
uc007mhg.1;uc007mhh.1	Hid1	1.57037	0.019112
uc007nac.1;uc007nad.1	Sdc1	1.71072	5.95E-08
uc007neo.2	Klf11	-1.50375	0.00644328
uc007nnm.1;uc007nnn.1;uc011ylu.1	Akap6	5.3903	0.0383142
uc007oha.1	Fos	2.74543	0
uc007oyl.1	AU015791	3.18205	0.00403052
uc007myp.2;uc007myq.2;uc011yjx.1;uc011yjy.1	Mfsd2b	1.93012	2.39E-07
uc007nbq.1	Trib2	1.93501	0.000449516
uc007puq.2	Hist1h1c	1.29964	0.0208802
uc007pyu.2	Agtr1a	3.17643	0.0021031
uc007pyz.1;uc007pza.1	Irf4	1.87547	7.18E-09
uc007qhd.1	Stmnd1	3.24811	0.00603036
uc007rfu.1;uc007rfv.1;uc007rfw.1	Ell2	1.45847	6.98E-05
uc007rym.2	Emb	-0.81002	0.0269874
uc007plb.1	Chrm3	3.30927	0.00218477
uc007qdq.1;uc007qdr.1;uc007qds.1;uc007qdt.1	Txndc5	1.66056	8.23E-07
uc011zda.1	F2rl1	2.53885	0.00210886
uc007tav.1	Mmrn2	-3.0802	0.00381928
uc011znp.1	Nuggc	2.04206	0.00770253
uc007ujs.2	Clu	2.02852	0.0138262
uc007tkj.2;uc007tkk.2	3632451O06Rik	3.19248	0.0301831
uc007tmw.1	Rnase2a	3.55434	0.00482472
uc007uhq.1	Blk	1.80218	0.00934476
uc007vxw.1;uc007vxx.1	Trib1	1.88344	0.00115992
uc007xep.1	Creld2	1.50231	1.37E-05
uc007wfx.1	Ly6d	1.44807	0.00552065
uc007wpk.2	Il2rb	1.91832	0.0324803
uc007xkz.2;uc007xla.2;uc011zym.1	Rapgef3	1.29807	0.0401712
uc007yfh.1	Tnfrsf17	1.82127	0.00644328
uc007yto.1;uc007ytp.1;uc012adt.1	St6gal1	1.7565	2.46E-08
uc007ytw.2	Rtp4	-1.22717	0.034745
uc007zjw.2;uc007zjx.2	Retnlg	1.93432	0.014431
uc007yos.1	 	2.36432	6.02E-12
uc007ywo.1	Gp5	1.51561	0.0425937
uc008adb.1	Itgb2l	1.60939	0.0175961
uc008ajr.1;uc008ajs.1;uc008ajt.1;uc008aju.1;uc012ajt.1	Pde10a	2.86104	0.00783458
uc008bam.1	Prss34	-1.38627	0.000901218
uc008dae.2	Adgre4	-1.9025	0.000271048
uc008des.2;uc008det.2;uc008deu.2;uc008dev.2;uc012awa.1;uc012awb.1	Adgre1	-1.45598	0.0221833
uc008dlx.1;uc008dly.1;uc008dlz.1	Myom1	2.31624	0.0399288
uc008dnn.2	Ehd3	1.86235	0.00241184
uc008dop.2;uc012axi.1	Rasgrp3	1.59153	0.00436241
uc008duy.1	Epcam	1.86239	0.0276325
uc008bav.2;uc012ang.1	Cacna1h	2.2536	3.65E-10
uc008crh.1	Capn11	-4.27567	1.39E-06
uc008cxy.1	Tspo2	2.17398	0.0172988
uc008dey.1;uc008dez.1	Pdzph1	3.64538	0.0218591
uc008efs.1;uc008eft.1;uc008efu.1;uc008efv.1;uc008efw.1;uc008efx.1;uc008efy.1;uc008efz.1;uc008ega.1;uc008egc.1	Dtna	4.30265	0.0177186
uc008elt.1	Egr1	1.86848	0.00137498
uc008fbn.1;uc008fbo.1;uc008fbp.1	Csf1r	-1.28865	0.000153349
uc008emm.2	Mzb1	2.17154	1.20E-11
uc008fsi.2	Setbp1	1.76014	0.0492252
uc008fwf.2	Cpt1a	-1.01984	0.00263793
uc008ggm.2;uc008ggn.2;uc008ggo.1;uc008ggp.1	Syvn1	1.00155	0.0253165
uc008gub.1	Mpeg1	-1.03028	0.00120621
uc008gym.1	Aldh1a1	2.88669	2.60E-11
uc008gfj.2	Malat1	0.849682	0.0166217
uc008gss.1	Oosp2	2.52895	0.018542
uc008gst.1	Oosp1	2.40639	0.000746049
uc008hll.1;uc012blq.1	Blnk	1.53266	0.00644328
uc008ima.1	Spag6l	3.73899	2.52E-06
uc008ixt.2	Col5a1	1.98296	0.0414313
uc008jxm.2	B3galt1	3.57861	0.000554279
uc008kjp.1	Prg2	1.58371	2.88E-05
uc008lfk.2	Chst1	2.1617	2.61E-07
uc008lts.2	Chac1	2.19099	0.0154394
uc008mbk.1;uc008mbm.1;uc008mbn.1;uc008mbo.1;uc008mbp.1;uc008mbq.1;uc008mbr.2;uc008mbs.2;uc008mbt.2	Sema6d	2.20688	0.00295797
uc008nsz.2;uc008nta.2;uc008ntb.1;uc012cis.1;uc012cit.1;uc012ciu.1	R3hdml	-1.23602	0.0452036
uc008nwt.1	Mmp9	1.67758	0.000980965
uc008ifl.1;uc008ifm.1;uc008ifn.1	Optn	1.76696	0.00697961
uc008ikc.1	St8sia6	1.52135	0.023468
uc008ixv.1;uc008ixw.1	Fcnb	1.63301	0.00565337
uc008jfl.1	Lcn2	1.53033	7.17E-07
uc008mtd.2	Thbd	1.23641	0.0440791
uc008nuj.1;uc012ciz.1	Slpi	3.00077	0
uc008num.2;uc008nun.2	Matn4	4.72487	1.02E-06
uc008pqi.1;uc008pqj.1	Tmem154	1.53085	0.0157434
uc008qdd.1	S100a8	1.59815	9.18E-09
uc008req.2	Bcar3	2.18678	0.00119419
uc008oqp.1;uc008oqq.1	Car1	2.40143	0
uc008phb.2;uc012cpt.1	Wwtr1	2.60566	0.00657293
uc008phf.1	Ankub1	2.68293	0.0434609
uc008qde.1;uc008qdf.1	S100a9	1.59671	8.64E-07
uc008qqu.2	Fam46c	1.69055	2.40E-05
uc008qvw.2	Chil3	1.31022	2.58E-05
uc008rac.2	Fam102b	-1.29329	0.00118716
uc008rpx.1;uc008rqa.2;uc012cyy.1	Clca1	2.574	0.0018127
uc008rsk.2	Ifi44	-1.24905	0.0389428
uc008ryz.1;uc008rza.1;uc008rzb.1	Trp53inp1	1.89486	3.72E-10
uc008sfp.1	Ube2j1	0.854163	0.0302255
uc008sxb.1	AK008866	1.49745	0.0338947
uc008ubu.1;uc008ubv.1	Rab3b	3.27175	0.00958782
uc008vrz.1	Gm13225	-3.92492	4.20E-10
uc008toh.1;uc008toi.1	Cdkn2a	2.96788	0.045613
uc008tok.2	Cdkn2b	5.22169	0.0461191
uc008tsq.2	Jun	2.07079	6.02E-12
uc012dpe.1	Zfp534	-2.34734	0.000183743
uc008xfr.2;uc008xfs.2	Evc2	2.39345	0.0250353
uc008xhj.2;uc008xhk.2;uc012dvt.1	Cpeb2	1.51833	0.0148187
uc008ybi.2	Pf4	2.17016	2.62E-06
uc008ynw.1;uc008ynx.1	AK165889	2.38123	0.0371623
uc008zcu.1;uc012ecb.1	Oasl2	-1.01747	0.0248719
uc009alh.1	Bhlha15	1.70711	0.00265666
uc008xfn.2;uc008xfo.2;uc008xfp.1;uc008xfq.2	Evc	2.24336	0.0127946
uc008xqy.1;uc008xqz.1;uc008xra.1	Gabra4	2.2111	0.0309228
uc008yht.1	Plac8	-0.875512	0.0127567
uc008zhv.2;uc008zhw.2;uc008zhx.2;uc008zhy.1	Oas2	-1.47327	0.0350513
uc012emf.1;uc012emg.1	Wipf3	2.71279	0.000329671
uc009caq.1	Aqp1	1.94492	9.44E-09
uc009ctb.2;uc009ctc.2	D6Ertd527e	2.45876	0.0242309
uc009ddq.1	Edem1	1.43117	9.12E-07
uc009dlj.1;uc009dlk.2;uc012erb.1	Rasgef1a	2.12644	0.0448154
uc009dof.1	Tuba8	1.30807	0.0385638
uc009dpu.1	Clec4a1	-1.38366	0.0306247
uc009dpv.1;uc009dpw.1	Clec4a3	-1.5424	0.0049113
uc009dup.1;uc009duq.1;uc009dur.1;uc009dus.1;uc009dut.1;uc009duu.1;uc012esw.1	Vwf	2.37539	0.0011695
uc009eru.1	Sspn	2.38634	0.00246999
uc009auz.1	Hepacam2	2.08474	0.00928436
uc009bjf.2	Creb3l2	1.28734	0.00797273
uc012eky.1	IgKIgK	5.01866	0
uc009dnk.1	Cecr6	-2.38462	0.0275062
uc009ert.1	Bhlhe41	2.48395	0.00149239
uc009ett.1;uc009etu.2	Dennd5b	1.67148	3.96E-05
uc009exf.2	Lilra5	-2.57269	0.00644328
uc009fqt.1	Cd79a	1.6723	2.91E-07
uc009gmp.1	Lim2	2.86855	0.0159247
uc009gyn.2;uc009gyo.2	Kcnc1	3.31465	0.000118511
uc009iif.1;uc009iig.1	Rab30	2.32149	0.00372993
uc009jhu.2;uc009jhv.2	Spon1	1.81886	0.00600726
uc009exe.1	Cdc42ep5	3.21969	0.0067988
uc009flk.1;uc012fbb.1	Fosb	3.91007	9.44E-09
uc009fql.1	Cd177	1.75974	9.06E-06
uc009fys.1	Zfp36	0.883692	0.0301653
uc009gmv.2	Iglon5	2.75728	0.00231419
uc009jue.1	Zg16	2.7531	0.00360879
uc009ljb.1;uc009ljc.1	Dusp26	3.00439	0.0454425
uc009mbe.2	Jund	1.16691	0.00131289
uc009mnz.2	Klf1	1.65402	0.021582
uc009mvv.1	Mt2	3.19272	4.45E-07
uc009mvw.2;uc009mvx.2	Mt1	2.258	1.10E-05
uc009mwg.1;uc009mwh.1	Herpud1	1.2752	0.000458256
uc009nbj.2;uc009nbk.2	Ces2g	2.06905	3.80E-05
uc009ocr.2	Mmp8	1.4792	0.0211519
uc009plg.1	Pou2af1	1.75906	1.28E-09
uc009qrl.2;uc009qrm.2;uc012gww.1	Fam214a	1.76432	0.000271625
uc009rao.2	Plscr2	2.32428	0.0148036
uc009rtz.2	Ngp	1.58141	2.64E-08
uc009rvj.1	Ltf	1.51946	5.12E-08
uc009shc.1;uc012hdh.1	Ccr2	-1.0426	0.00401132
uc009orw.1	Kcnj5	2.47542	0.00425662
uc009ouw.1;uc012gqz.1	Robo3	1.84442	0.0153163
uc009pex.2	Cd3g	2.67734	0.00747818
uc009pez.1	Cd3e	2.86152	0.0113988
uc009qos.1;uc009qot.1	Lipc	3.34157	1.40E-05
uc009qpa.1	Myzap	2.14252	0.0274452
uc009qsz.1;uc009qta.1	Hcrtr2	3.64273	0.0162728
uc009rbk.2	Pls1	2.04566	0.000489741
uc009rkt.1;uc009rku.1	Manf	0.867567	0.0335364
uc009rsv.2	Camp	1.64076	1.14E-08
uc009sbz.1	Cx3cr1	-1.32489	0.00994703
uc012hnd.1	Tsix	-3.66027	0.0334189
uc009uki.2	Rnf128	2.23882	0.0341062
uc009utd.1;uc009ute.1;uc009utf.1;uc009utg.1;uc009uth.1;uc009uti.1;uc009utj.1	Gpr64	2.93403	0.00201078
uc009tzo.1;uc009tzp.1	Xist	-7.90444	0
