Data from original supplementary file					
ensembl	geneSymbol	log2FC	FDR	fpkm.sum	type
ENSMUST00000003640	Fosb	-4.6588555863	1.38E-207	26.3136267232	DN
ENSMUST00000001547	Col1a1	-4.4874275863	2.69E-158	6.0738110609	DN
ENSMUST00000079009	Tdrd9	3.9159034482	6.91E-143	9.3410852713	UP
ENSMUST00000040695	Gm106	3.8963593391	1.01E-136	12.9566168429	UP
ENSMUST00000049872	Gpr183	3.7114064922	3.97E-131	14.9846938776	UP
ENSMUST00000023779	Nr4a1	-3.2988758449	1.14E-125	52.4362089915	DN
ENSMUST00000107094	Jun	-3.1362526642	1.33E-120	111.5693659761	DN
ENSMUST00000077524	Mab21l2	5.4005901804	2.71E-120	3.5510732791	UP
ENSMUST00000043577	Cldn5	3.4228060325	1.75E-113	24.3780918728	UP
ENSMUST00000022746	Osmr	3.6274012544	1.16E-98	3.6609923189	UP
ENSMUST00000174404,ENSMUST00000167691	Klrb1c	2.9185919534	2.41E-98	28.0788271135	UP
ENSMUST00000103104,ENSMUST00000103103	Matn4	2.9316382718	2.28E-96	28.0148495506	UP
ENSMUST00000021674	Fos	-2.7903515559	1.30E-92	193.3915749162	DN
ENSMUST00000034932	Plscr2	2.8055226857	4.18E-92	42.1934460888	UP
ENSMUST00000031121	Gabra4	4.6997699047	3.17E-88	1.7331064657	UP
ENSMUST00000129680	Ramp2	3.1938795113	7.11E-82	19.7407834101	UP
ENSMUST00000112832,ENSMUST00000040153	Rorb	3.6757780945	2.58E-81	1.2498668655	UP
ENSMUST00000059091	Clca1	2.4956092097	4.35E-79	75.4355053191	UP
ENSMUST00000063551	Rgs7bp	-3.593069374	3.54E-78	1.8275506699	DN
ENSMUST00000162746	Selp	2.3955875559	4.78E-75	89.8100526008	UP
ENSMUST00000025025	Dusp1	-2.4339720454	7.71E-73	96.927244582	DN
ENSMUST00000049005	Bmpr1a	2.4261557538	1.10E-70	11.7620702268	UP
ENSMUST00000053785	Trpc1	3.0138590881	1.17E-70	4.684894965	UP
ENSMUST00000032961	Nupr1	2.4339395462	1.65E-69	100.3290529695	UP
ENSMUST00000130300	Ccbe1	2.9414308099	8.94E-69	2.6225789566	UP
ENSMUST00000019386	Ripk4	3.8832485619	2.41E-67	1.9099378882	UP
ENSMUST00000012348	Gstm2	2.3761076742	2.89E-66	53.9461020212	UP
ENSMUST00000035077	Ltf	-2.7179767411	1.10E-65	8.4752293578	DN
ENSMUST00000029376	Tm4sf1	2.7256386418	3.51E-65	9.6121372032	UP
ENSMUST00000022616	Clu	2.279063003	4.57E-65	68.1211784325	UP
ENSMUST00000020692	Btg2	-2.3311854516	9.09E-64	26.9052255761	DN
ENSMUST00000042517,ENSMUST00000169863	Fam169a	2.5967172427	9.09E-64	5.2600524476	UP
ENSMUST00000065666	Retnlg	-3.1405312723	6.23E-63	19.2798013245	DN
ENSMUST00000067912	Klf2	-2.6856179599	1.26E-62	12.167677882	DN
ENSMUST00000069507	C4b	2.4491008496	3.60E-62	5.9360986547	UP
ENSMUST00000052650	Hoxb8	2.6900969069	6.30E-62	6.309118426	UP
ENSMUST00000051122	Zg16	3.1851542703	8.99E-62	15.5766192733	UP
ENSMUST00000042105	Ppp1r15a	-2.1194019393	1.55E-60	63.6625161013	DN
	Chrm3	2.5209994185	9.26E-60	7.5071134998	UP
ENSMUST00000053361,ENSMUST00000021071	Gprc5c	2.7091822523	2.64E-59	3.3229747107	UP
