Data from original supplementary file
probeset	gene	log2FC	repFC	p-val
1415904_at	Lpl	1.66664	3.17	0.05427219675328484
1415919_at	Npdc1	1.04765	2.07	3.519726885190656e-20
1415964_at	Scd1	1.88156	3.68	4.161970984859451e-08
1416041_at	Sgk1	1.42177	2.68	0.0021290680064981215
1416271_at	Perp	1.83033	3.56	0.024303614693541642
1416273_at	Tnfaip2	0.84748	1.8	2.2367207189956175e-13
1416343_a_at	Lamp2	0.86088	1.82	1.592571401033007e-20
1416411_at	Gstm2	2.80573	6.99	1.706261073306734e-05
1416468_at	Aldh1a1	1.84459	3.59	1.2314152753998324e-22
1416469_at	Luzp1	0.78474	1.72	2.6834243102408048e-11
1416579_a_at	Epcam	2.36454	5.15	0.0976426218558991
1416778_at	Sdpr	2.31634	4.98	3.0864808691815014e-13
1416996_at	Tbc1d8	1.18343	2.27	3.59292002043295e-13
1417025_at	H2-Eb1	1.22909	2.34	0.012048934677443193
1417067_s_at	Cabc1	1.16678	2.25	1.1344055697094767e-05
1417216_at	Pim2	1.25243	2.38	1.7247494964194145e-05
1417235_at	Ehd3	2.30042	4.93	6.152671463070069e-06
1417392_a_at	Slc7a7	1.37219	2.59	3.9594477356306356e-10
1417500_a_at	Tgm2	1.07342	2.1	8.524891320459034e-12
1417507_at	Cyb561	1.62633	3.09	8.694144346946723e-08
1417552_at	Fap	3.51482	11.43	0.2915806011363277
1417654_at	Sdc4	1.13208	2.19	5.464547103786035e-05
1417704_a_at	Arhgap6	0.91753	1.89	6.179894515798146e-05
1417818_at	Wwtr1	3.64734	12.53	2.584650995509993e-06
1417839_at	Cldn5	3.02864	8.16	0.05009731473672458
1417852_x_at	Clca1	3.28162	9.72	0.0007990850919388602
1417872_at	Fhl1	1.38612	2.61	2.10895023558968e-27
1417900_a_at	Vldlr	1.738	3.34	0.01418384717318445
1417962_s_at	Ghr	1.27494	2.42	4.531194930498121e-11
1418021_at	C4b	1.79757	3.48	3.9482804585094767e-11
1418025_at	Bhlhe40	1.46104	2.75	0.0003719416026046604
1418050_at	Gpld1	1.20287	2.3	9.197886518163974e-11
1418128_at	Adcy6	0.89791	1.86	7.349458802250736e-07
1418133_at	Bcl3	0.83512	1.78	3.0673246466182925e-08
1418187_at	Ramp2	2.94449	7.7	0.0025682861192248664
1418209_a_at	Pfn2	1.46824	2.77	0.005244627341662139
1418301_at	Irf6	0.90012	1.87	1.037029402235624e-24
1418415_at	Hoxb5	0.90194	1.87	5.812600052158957e-12
1418464_at	Matn4	1.66876	3.18	0.0006521444383772872
1418472_at	Aspa	1.95266	3.87	0.0005677830460444634
1418488_s_at	Ripk4	3.50058	11.32	0.11045118825989772
1418501_a_at	Oxr1	1.22541	2.34	5.704920599921579e-32
1418626_a_at	Clu	3.21473	9.28	0.0005709131511240645
1418674_at	Osmr	4.12783	17.48	0.028742357318304015
1418773_at	Fads3	0.97136	1.96	6.0220117345912e-08
1418872_at	Abcb1b	1.22721	2.34	9.737291190267004e-16
1418892_at	Rhoj	1.25308	2.38	1.6301497598028179e-06
1418934_at	Mab21l2	2.03537	4.1	0.03169886040979035
1418946_at	St3gal1	0.97215	1.96	1.9996888056122906e-18
1418954_at	Camkk1	0.8913	1.85	8.235977947269114e-08
1418981_at	Casp12 /// LOC100044205	1.22429	2.34	1.7556639891672435e-09
1418989_at	Ctse	2.94237	7.69	0.25390018322713126
1419392_at	Pclo	2.50246	5.67	0.0003365815807905157
1419457_at	Rgnef	1.41203	2.66	7.854352684506368e-05
1419665_a_at	Nupr1	3.27435	9.68	3.670512747440365e-05
1419669_at	Prtn3	1.15387	2.23	5.420105152375599e-24
1419759_at	Abcb1a	1.46841	2.77	2.547745994923069e-12
1420502_at	Sat1	1.19983	2.3	0.0005275163462145986
1420558_at	Selp	3.26728	9.63	1.3481969746486598e-05
1420693_at	Myom1	1.55174	2.93	1.5659705237900003e-07
1420699_at	Clec7a	1.5262	2.88	0.00928156216033752
1420760_s_at	Ndrg1	0.90055	1.87	1.7513002931419944e-10
1421073_a_at	Ptger4	1.49528	2.82	3.055449908546114e-11
1421096_at	Trpc1	3.2629	9.6	0.008628398630137583
1421193_a_at	Pbx3	0.93183	1.91	1.1802674015490224e-23
1421344_a_at	Jub	1.08744	2.13	1.787818630545622e-06
1421375_a_at	S100a6	0.94792	1.93	3.553218669333879e-05
1421642_a_at	Cysltr2	1.86091	3.63	3.3046059313742294e-05
1421681_at	Nrg4	1.56117	2.95	1.1644779679792189e-05
1421818_at	Bcl6	1.13184	2.19	2.832246906923591e-07
1421834_at	Pip5k1b	0.91468	1.89	1.4350624180380685e-08
1422141_s_at	Csprs	1.00166	2.0	9.755868498800637e-07
1422184_a_at	Ak1	0.84206	1.79	2.607807593453037e-10
1422438_at	Ephx1	1.12302	2.18	3.7946520136819544e-06
1422444_at	Itga6	1.03359	2.05	4.4753715719046775e-07
1422557_s_at	Mt1	2.80748	7.0	0.0026221011141824633
1422573_at	Ampd3	1.5023	2.83	7.170285266544663e-07
1422632_at	Ctsw	1.24026	2.36	7.95284654365215e-07
1422868_s_at	Gda	2.43231	5.4	0.0011400944875514416
1422912_at	Bmp4	2.09083	4.26	5.995855215052446e-09
1423277_at	Ptprk	1.7082	3.27	2.028599651150386e-06
1423323_at	Tacstd2	1.46931	2.77	0.00402598616260299
1423513_at	Uhrf1bp1l	1.7263	3.31	1.0838593198808557e-08
1423651_at	Isca1	0.81131	1.75	1.791435779283037e-18
1423722_at	Tmem49	1.15689	2.23	8.916546342489036e-29
1423835_at	Zfp503	1.18246	2.27	6.997730972493004e-07
1424008_a_at	Rbpms2	0.93441	1.91	1.3762207348434262e-19
1424698_s_at	Gca	0.90863	1.88	1.732335473779273e-07
1424713_at	Calml4	1.59068	3.01	8.024697488264893e-06
1424872_at	2310001H12Rik	1.20566	2.31	1.2838224160697912e-11
1425215_at	Ffar2	1.23951	2.36	0.000505723327150602
1425484_at	LOC100044677 /// Tox	1.37539	2.59	3.040896737970697e-05
1425491_at	Bmpr1a	1.90652	3.75	3.6343504791015574e-09
1425505_at	Mylk	0.88597	1.85	3.623577458022754e-06
1425514_at	Pik3r1	0.88853	1.85	1.8438308003143097e-06
1425570_at	Slamf1	1.1016	2.15	3.484056824869416e-21
1425702_a_at	Enpp5	1.98246	3.95	0.0005561522711716239
1426063_a_at	Gem	1.46527	2.76	0.00842058069706383
1426246_at	Pros1	1.28409	2.44	4.8952174540378466e-17
1426300_at	Alcam	1.47519	2.78	1.0971538450384907e-12
1426655_a_at	Fam63a	0.80596	1.75	1.4734883016906577e-16
1426712_at	Slc6a15	1.00557	2.01	4.683252595333529e-06
1426725_s_at	Ets1	1.07109	2.1	5.098565835877467e-10
1426784_at	Trim47	1.40524	2.65	4.183851760585016e-15
1426806_at	Obfc2a	1.00426	2.01	1.2384557140896472e-06
1426880_at	Etl4	1.21129	2.32	1.7783636450848786e-06
1426887_at	Nudt10 /// Nudt11	1.28693	2.44	2.3576182512715547e-12
1426910_at	Pawr	0.98394	1.98	0.0002291917898421912
1426914_at	Marveld2	0.74115	1.67	1.404305413235133e-16
1426968_a_at	Rdh10	1.13387	2.19	9.014218550997738e-18
1427005_at	Plk2	1.99165	3.98	0.12662491562319492
1427095_at	Cdcp1	0.75408	1.69	5.1834453675286665e-18
1427202_at	4833442J19Rik	0.89168	1.86	1.133516956744685e-08
1427299_at	Rps6ka3	1.01462	2.02	2.6450451480896653e-07
1427318_s_at	Myof	1.1386	2.2	4.284625940853806e-11
1427345_a_at	Sult1a1	2.32306	5.0	1.1265365023372317e-05
1427912_at	Cbr3	0.84052	1.79	2.5161743324643335e-08
1427986_a_at	Col16a1	1.12555	2.18	3.426161912437929e-35
1428074_at	Tmem158	0.8569	1.81	1.1304956317291202e-06
1428083_at	2310043N10Rik	1.12941	2.19	0.00568955639737862
1428136_at	Sfrp1	1.68604	3.22	2.7464173136542275e-12
1428267_at	Dhx40	1.13514	2.2	4.769846871314396e-08
1428359_s_at	1810010M01Rik	4.0384	16.44	0.021045851054410623
1428604_at	2610305D13Rik	0.89876	1.86	1.896570544737306e-10
1428613_at	Ldhd	1.20725	2.31	6.124955344215681e-12
1428615_at	P2ry5	1.25405	2.39	3.7072170600405553e-19
1428646_at	LOC676870 /// Pbx1	0.80522	1.75	6.824671758756449e-10
1428738_a_at	D14Ertd449e /// ENSMUSG00000021867 /// ENSMUSG00000072676	1.77756	3.43	2.9536555950872095e-10
1428822_a_at	Snx24	0.91529	1.89	3.8779915443569775e-10
1428834_at	Dusp4	1.02187	2.03	0.0004733747447390407
1428867_at	Exoc3l2	1.65483	3.15	0.003383832394122417
1428942_at	Mt2	2.47926	5.58	0.002518457123852222
1429055_at	4930506M07Rik	0.9423	1.92	3.0877529870110003e-09
1429097_at	C030044C12Rik	1.45483	2.74	2.889503897136067e-09
1429133_at	Nxnl2	1.44664	2.73	0.00011611576339247449
1429447_at	Evc2	1.0231	2.03	2.9981718344391715e-07
1429527_a_at	Plscr1	0.89192	1.86	2.571245437939271e-10
1429809_at	Tmtc2	1.08046	2.11	5.4379365417101894e-05
1430387_at	1810073O08Rik	1.33421	2.52	2.0540996874273294e-07
1430520_at	Cpne8	1.24583	2.37	7.901820447750363e-06
1430886_at	1700112E06Rik	1.94488	3.85	0.10984401799011016
1432198_at	Mm.41243.1	1.43926	2.71	1.1935316568944072e-08
1433741_at	Cd38	2.57724	5.97	0.001756079087136632
1433857_at	Fat1	1.09995	2.14	0.0038541841029178106
1434070_at	Jag1	1.58284	3.0	0.004290900811192746
1434277_a_at	Ypel2	0.96868	1.96	8.086203783293553e-11
1434301_at	D330050I23Rik	0.95978	1.95	2.675239650658918e-13
1434399_at	Galnt6 /// LOC100047499	0.80454	1.75	9.940186695799686e-13
1434474_at	Abca5	0.93189	1.91	1.1485887590152736e-06
1434553_at	Tmem56	2.61871	6.14	0.008822924815481054
1434645_at	C530008M17Rik	1.10491	2.15	8.444051833645165e-10
1434802_s_at	Ntf3	3.10926	8.63	0.07523709749084295
1434804_at	Exoc6b	0.97013	1.96	6.249804547679465e-08
1434931_at	Neo1	2.25629	4.78	0.00011065636450976427
1435085_at	Mm.26478.1	0.98497	1.98	3.988244837746999e-11
1435144_at	Mm.80474.1	1.11628	2.17	5.473165161263763e-07
1435176_a_at	Id2	1.57834	2.99	2.5790729330687465e-08
1435342_at	Kcnk6	1.04498	2.06	1.6994330069597773e-07
1435386_at	Vwf	1.9894	3.97	1.4721917738084397e-05
1435436_at	Epas1	1.73376	3.33	2.3501130941427717e-06
1435542_s_at	Cttnbp2nl	1.27527	2.42	0.0015024454567432344
1435660_at	LOC664787	1.46933	2.77	0.0016036147163486214
1435697_a_at	Cytip	0.79801	1.74	6.094051345586179e-18
1435701_at	Mm.170971.1	1.45761	2.75	2.1007387740929496e-08
1435783_at	Fam169a	2.13169	4.38	2.026758609673223e-05
1435792_at	EG665317	3.51204	11.4	0.14032797616717857
1436265_at	ENSMUSG00000072769	2.46699	5.53	0.004379956948132928
1436566_at	Rab40b	1.41843	2.67	3.565814518812893e-08
1436568_at	Jam2	2.75194	6.74	1.8193806816143328e-05
1436739_at	Agtr1a	2.81656	7.05	0.0010979836754324516
1436907_at	Nav1	1.07439	2.11	1.1255678689785685e-07
1437260_at	Mmrn1	0.82625	1.77	8.280982757295461e-13
1437263_at	A730089K16Rik	1.7006	3.25	0.00021602500134080817
1437356_at	Gpr183	4.37454	20.74	0.002634057702573434
1437363_at	Homer1	0.84385	1.79	2.0562680037597987e-09
1437385_at	Ccbe1	3.28353	9.73	0.005372104089272941
1437665_at	Il22ra2	1.00643	2.01	0.0003207124967535576
1438068_at	Mm.100454.1	2.53083	5.78	7.326906688143358e-12
1438310_at	Mm.178542.1	1.09612	2.14	8.595817243117254e-07
1438868_at	D14Ertd668e	1.11521	2.17	2.1608470694050445e-06
1439018_at	Fhdc1	1.56336	2.96	0.0007490837850668878
1439078_at	Klhl4	1.67501	3.19	1.0305292942946515e-17
1439476_at	Dsg2	2.30251	4.93	0.0004094098424181926
1439527_at	Pgr	2.23698	4.71	0.03134680426859877
1439680_at	Tnfsf10	0.87351	1.83	2.0762052254214788e-23
1439699_at	Mm.44969.1	2.23463	4.71	0.02449898264489933
1439794_at	Mm.59574.1	2.44716	5.45	0.0013845841279982287
1439795_at	Gpr64	3.09935	8.57	0.004389493573048008
1439947_at	Cyp11a1	0.82853	1.78	3.9010852368786965e-08
1440608_at	Mm.183314.1	1.10103	2.15	0.0004337533809294585
1441168_at	Mm.17891.1	2.51691	5.72	0.11200437890555041
1441845_at	Caps2	3.12124	8.7	0.331945263744239
1441975_at	Acpp	1.78891	3.46	2.529967231290183e-06
1441994_at	Pcdhb16	1.54155	2.91	0.004410859680563431
1442233_at	Mm.38121.1	1.42377	2.68	0.016963877290786532
1442537_at	Mm.216619.1	1.63981	3.12	1.3242849417551753e-06
1442542_at	Eya4	4.50452	22.71	0.4155709600499222
1443762_s_at	Sbf2	0.93489	1.91	3.677380435957196e-11
