Gene	logFC	adj.P.Val
Mt2	5.001000849	8.50E-05
Plscr2	3.509136504	3.32E-05
Selp	3.273687659	0.000283649
Clca3a1	2.701620865	1.63E-05
Bmpr1a	2.694994289	6.08E-05
Klrb1c	2.564622161	0.001294356
Zg16	2.545090365	0.000704497
Mt1	2.380292482	4.83E-05
Sbspon	2.253601179	0.028663863
Aspa	2.231535968	1.63E-05
Trpc1	2.142873839	5.89E-05
Ramp2	2.012870419	0.031444118
Clec1a	1.983957477	0.003364561
Gstm2	1.972984103	0.001033149
Osmr	1.972656501	0.011655152
Clu	1.9332862	9.85E-05
Gem	1.929471356	0.039283867
Tdrd9	1.868244822	5.89E-05
Cysltr2	1.858719127	6.08E-05
Gpr183	1.804942712	0.006788341
Aldh1a1	1.795511841	1.63E-05
Tmem47	1.742003797	0.016079048
Fhdc1	1.686743333	0.003364561
Gm10419	1.679584598	0.000110881
Flt3	-1.6684282	0.000110881
Dnm3	1.646269077	0.039544119
Klhl4	1.645627108	0.004517309
Cavin2	1.642477608	0.00016436
Ehd3	1.630295206	0.000558013
Pgr	1.61488528	0.018847577
Sfrp1	1.607073666	0.002338647
Jam2	1.583748792	0.012171742
Phf11d	1.568485849	0.012055453
Nupr1	1.524012954	0.002765425
Rassf4	-1.508203662	0.00212007
Ebi3	-1.503116906	0.025041374
Ptprk	1.502226385	0.012262643
Mmp14	1.477361925	0.000668897
Nrk	-1.425775069	0.004659101
Dhrs3	1.422021743	0.000715522
Rorb	1.405818567	0.000567048
Lpl	1.403869469	0.011138267
Wwtr1	1.396329256	0.006044647
Il1rapl2	1.390893721	0.004790288
Fap	1.388931372	0.021051369
Btg2	1.33721235	0.055726674
Jun	1.321758934	0.021051369
Tm4sf1	1.314794644	0.053713506
Enpp5	1.3100873	0.001594695
Muc1	1.304575593	0.002136277
Id2	1.270937167	0.034205776
Vwf	1.27059665	0.00066465
Nrg4	1.269433936	0.114208244
Cd38	1.260505376	0.048347047
Neo1	1.25983476	0.02925126
Tc2n	1.256869764	0.057486549
Bcl6	1.253952236	0.020034487
S100a6	1.24639155	0.001033149
Adgrg2	1.230981425	0.001030604
Tacstd2	1.22927803	0.001400781
Zswim5	1.220318999	0.002136277
Rorc	1.198431365	0.055947139
B3galt1	1.195118484	0.000715522
Cyyr1	1.191653799	0.007914198
Asb4	1.176937857	0.05375711
Mab21l2	1.163845253	0.03500022
Vldlr	1.16160494	0.111140041
Casp12	1.161391659	0.002136277
Kcnip3	1.154081726	0.019860017
Mgst1	-1.133254201	0.003302358
Pdgfd	1.131542331	0.144255546
Hnf4a	-1.121460737	0.011138267
Fhl1	1.109149118	0.008948058
Pcdhb16	1.099308148	0.003469546
Dsg2	1.092849725	0.003989611
Trim47	1.07015965	0.046932567
Zfp36	1.061805508	0.010173263
Plac8	-1.061716529	0.436379512
Sult1a1	1.050048487	0.215821987
C4b	1.034576099	0.004585506
Gipc2	1.027710266	0.011711419
Prtn3	1.027579941	0.0532108
Pros1	1.016819374	0.0005874
Matn4	1.015899849	0.017547485
Plek	1.010404159	0.043471471
Tmem215	1.004679256	0.021705143
Alcam	1.004363251	0.081149532
Rhoj	0.985892807	0.001729699
Itgb3	0.972797889	0.007914198
Tmem56	0.95358306	0.026978612
Satb1	-0.952445292	0.066366051
Stom	0.941187979	0.041036638
Lsr	0.933019041	0.021353602
Anxa6	-0.930451117	0.053051838
Cd34	-0.927987472	0.020062974
Cpne8	0.926609605	0.004659101
Prcp	0.921887555	0.010642739
Gpx3	0.900961687	0.390372127
Abcb1a	0.892528324	0.025041374
Pbx3	0.879266164	0.007748135
Ptger4	0.867274731	0.105524147
Myo1e	0.863510272	0.029334403
Lrrn1	0.860964037	0.219533415
Zfp334	0.858677459	0.030310339
Serpinb6a	0.845396994	0.007414678
Serpinb8	0.83836546	0.026988224
Cxcl16	0.828093137	0.028624023
Ppp1r16b	0.824753297	0.015448806
Il15	-0.809604262	0.023388168
