Gene	logFC	adj.P.Val
Sult1a1	3.788032114	0.008246714
Anxa6	-4.507706435	0.008246714
Sdpr	4.863463228	0.010453954
Mt1	5.576422021	0.010484551
Selp	4.742968165	0.011834613
Zg16	2.645888396	0.01220781
Ghr	2.175474428	0.01220781
Gstm2	4.490903852	0.01220781
Enpp5	3.124216668	0.013955513
Pbx3	1.882558768	0.014471716
Ndrg1	1.675627058	0.015317918
Lpl	2.606574643	0.015720508
Clec1b	2.606943265	0.016859414
Neo1	4.341932538	0.018235588
Ndrg1	0.992602126	0.018846813
Mef2c	1.442368126	0.018976125
Cytip	1.872375976	0.018983908
Efna1	1.611208437	0.019363131
Tsc22d1	1.527469005	0.019601723
Wwtr1	6.721126702	0.019601723
Ndn	0.928934366	0.019602314
Fap	2.695411615	0.019717319
Mmp2	-3.458437128	0.02042236
Sdpr	4.626608676	0.02042236
Pclo	2.418967766	0.02063962
Aldh1a1	4.115193297	0.02063962
Mmp14	1.761173315	0.020954752
Plscr2	4.386225148	0.021451069
Tsc22d1	1.968507779	0.021539244
Satb1	-1.337157762	0.022406225
Tmem47	2.474168437	0.025040046
Klrb1b	-0.509566149	0.025232993
Anxa6	-3.253743483	0.025385582
Fhl1	1.970342487	0.026201967
Nupr1	0.844994579	0.026665246
Slc6a15	3.497558101	0.026740369
Selp	7.162603503	0.026933358
Ndrg1	1.413546175	0.027036017
Plscr1	1.41298487	0.027571523
Trpc1	2.686629888	0.027769833
S100a6	1.006775367	0.028031713
Tm4sf1	3.912620676	0.028316979
Mllt3	2.186890075	0.02862872
Zfp36	2.657821705	0.028655485
Mcm7	-2.037893791	0.028770911
Zg16	2.891722228	0.028897026
Plek	1.037216417	0.029135684
Clu	5.212989765	0.029385757
Mcm7	-2.197650333	0.030162057
Plscr1	1.262602046	0.030634264
Gstm7	1.002385498	0.030634264
Alcam	2.336724463	0.030794066
Perp	2.877381027	0.030878804
Tmem56	3.630023083	0.031721544
Cd9	2.22371154	0.03335599
Thbd	1.78040194	0.033953708
Mt2	3.040830465	0.034071088
Oxr1	1.27846194	0.034209772
Gstm1	0.726687114	0.034800914
Lamp2	2.606917875	0.035609227
Dnmt3b	-1.988989838	0.035813254
Pla2g4a	1.537270403	0.035937695
Ehd3	2.974197345	0.036085139
Mmp2	-4.538496597	0.036155243
Cntn1	2.345401339	0.036226167
Alcam	2.838032006	0.036941262
Tacstd2	1.573129141	0.037415323
Cd37	-3.041017116	0.039549491
Clu	4.945291605	0.039925656
Clu	4.903826928	0.041219774
Btg2	-2.614423953	0.041519128
Ehd3	0.923728787	0.041659876
Ndn	0.687411276	0.04199731
Tsc22d1	-3.154516171	0.043055835
Plek	1.140139781	0.043696357
Acsl4	1.77875926	0.044782682
Ndn	0.777341045	0.04478754
Nrk	-2.906167156	0.045393677
Cyb561	3.045017638	0.046514111
Bmpr1a	2.268063736	0.046514111
Clu	4.091922008	0.046514111
Bmpr1a	2.166537466	0.047319711
Stom	2.637011423	0.049630959
Wwtr1	1.393693628	0.051821253
Plek	3.171102319	0.05284563
Zg16	0.774282051	0.053320964
Klrb1b	-0.168718348	0.053327682
Ghr	4.24586257	0.053404448
Nupr1	0.445092816	0.056493354
Clca3a1	5.530999717	0.056866286
Col4a2	-1.512599134	0.058118286
Rhoj	1.802810536	0.061048644
Cytip	0.510519916	0.061368852
Oxr1	2.360561966	0.062299113
Satb1	-2.301815529	0.064302504
Trim47	-0.651155003	0.065831342
Gstm1	0.741673408	0.067238713
Tbc1d8	0.781491868	0.068431254
Ddr1	1.963774826	0.06860885
Pros1	3.63367039	0.0700669
Bmpr1a	0.288973555	0.070215468
Asb4	3.180952696	0.070938993
Mef2c	0.846932322	0.072119371
Mcm7	-1.105927278	0.072234327
Camk1d	-2.491857431	0.072548686
Ramp2	2.421152969	0.072718127
Lamp2	1.270653081	0.074847391
Fhdc1	1.682480447	0.074995421
Aspa	2.466617741	0.076575424
Dsg2	1.267447908	0.077232424
Tsc22d1	0.833152133	0.078232545
Lrrn1	0.163125799	0.079160453
Stom	1.130902083	0.080950659
Abcb1a	2.048412596	0.082300097
Matn4	2.368679867	0.082401352
Vmp1	1.330074091	0.084008855
