Gene.symbol	logFC	adj.P.Val
Gpr183	1.969398929	0.002625577
Tdrd9	1.243826721	0.007145957
Ebi3	-0.910352343	0.010833696
Klhl4	1.507399418	0.011725608
Clec1a	1.245485152	0.017649036
Itgb3	1.349370161	0.017649036
Alcam	1.303714399	0.01942961
Rnase6	-1.154961957	0.01942961
Cd37	-0.684583072	0.026727785
Cysltr2	1.244231487	0.026727785
Cd86	-1.373779483	0.027012081
Cd34	-0.740462989	0.027321394
Zg16	1.272623946	0.030225304
Prcp	0.622744064	0.032532669
Tmem47	1.302897347	0.032532669
Selp	1.682256463	0.032532669
Trpc1	1.448517503	0.035675016
Mcm7	-0.687330571	0.035744543
Sbspon	0.97752027	0.039189281
Satb1	-0.948882526	0.040834049
Ptprk	1.133472413	0.040834049
Plac8	-1.629781916	0.043524275
Mef2c	0.609960278	0.043524275
Clca3a1	1.726142941	0.043975305
Flt3	-0.599404471	0.05351459
Lsr	0.52962475	0.053603885
Fhl1	0.760255095	0.05428372
Il15	-1.045501466	0.054530785
Sult1a1	0.807781302	0.055282361
Mllt3	0.481637869	0.055282361
Sdpr	1.585894652	0.055984414
Nrk	-1.191687989	0.056054482
Vwf	0.59484547	0.056503819
Ly6e	0.505990735	0.062512346
Plscr2	1.465350743	0.062780793
Lpar6	0.699997249	0.062780793
Fhdc1	1.239344468	0.06312142
Trim47	0.492516519	0.063137542
Mab21l2	1.04610532	0.06440078
Plek	0.63738958	0.06669519
Plcl1	0.796555178	0.06716763
Runx1t1	0.758300052	0.067542461
Nckap1	0.705290791	0.067645286
Vldlr	1.295147518	0.069048877
Mgst1	-2.174656645	0.069048877
Mcm5	-0.57949596	0.069452923
Plscr1	0.590709949	0.069632334
Ampd3	0.839579362	0.0721578
Arhgap29	0.585382483	0.07580919
Camk1d	-0.479767882	0.078314843
Btg2	0.680178203	0.07987937
Fap	1.007656239	0.080471817
Kcnip3	0.543745643	0.081515136
Plscr1	0.617145581	0.085214654
Nrg4	0.741633329	0.08547032
Slc28a2	-0.596636978	0.087629721
Osmr	1.113842379	0.087629721
Pbx3	0.626318276	0.087931491
Tc2n	1.746615752	0.088015
Nupr1	1.207588279	0.094041616
Ehd3	0.746270818	0.099585984
Abcb1a	0.553104017	0.100569297
Cytip	0.463215591	0.111226089
Tox	0.54861659	0.114162903
Anxa6	-0.628409049	0.119829511
Ldhd	0.333914211	0.119844644
Mt1	0.656088163	0.121162223
Amotl2	0.405402057	0.121329259
Slamf1	0.47285091	0.123464621
Lpl	0.445239174	0.124591036
Enpp5	0.814429009	0.125411988
Clec1b	0.645925112	0.126096685
Lsp1	-0.450179809	0.127173743
Arhgap30	-0.456078495	0.127418212
Dennd5b	0.636583009	0.134729957
Klrb1c	1.115213333	0.135595074
Abca4	0.435222241	0.136031939
Tbc1d8	0.403458846	0.138194021
Stom	0.735214165	0.157068289
Prnp	-0.800205104	0.157331409
Ptger4	0.492102693	0.159055284
Dnm3	0.887596193	0.163302744
Abat	0.287862064	0.164005258
Adgrg2	0.587284459	0.165750476
Tmem215	0.575472211	0.166286602
Mt2	1.174736983	0.166821219
Zfp36	0.373838101	0.1738706
Rassf4	-0.387163434	0.179559225
Exoc6b	0.441092348	0.18139793
Rorb	0.54763169	0.185166954
Pgr	0.655607005	0.186798959
Mmp14	0.556581303	0.196360551
Cldn12	0.315135346	0.197843374
Aldh1a1	0.625681181	0.199437523
Bmpr1a	1.071309378	0.203881348
Wwtr1	0.414870054	0.204173734
Acpp	0.40142224	0.21307973
Rbpjl	0.250054392	0.221622463
Myo1e	0.696072965	0.224941779
Tnfsf10	0.575542071	0.230543881
Mmrn1	0.401511426	0.232400156
Stxbp4	0.325356545	0.234370342
Lst1	-0.544426505	0.235733513
Ndrg1	0.429243163	0.235945615
Mmp2	-0.32405868	0.239684182
C4b	0.361470324	0.249600053
Rdh10	0.830642319	0.25078223
Lamp2	0.252065322	0.252132408
Cyb561	0.294456981	0.252132408
Pcdhb16	0.47622088	0.252773976
Serpinb8	0.574389124	0.256050535
Clu	0.793947889	0.27123247
Abcb1b	0.338462751	0.276864103
Evc	0.302866383	0.279060244
Maf	0.186522292	0.286353806
Oxr1	0.311379706	0.291175104
Cyyr1	0.307870128	0.301764797
Klrb1b	0.235490981	0.311006433
Il1rapl2	0.762887138	0.315062076
Pclo	0.244026633	0.317594528
Gipc2	0.271587701	0.320130643
Ntf3	0.270740337	0.321604079
Asb4	0.341045488	0.33059973
Anxa6	0.255260529	0.336892126
Ppp1r16b	0.271324754	0.339688505
Phactr1	0.207291198	0.3397492
Bcl6	0.335905799	0.340314903
Ramp2	0.449695233	0.342708701
Gstm1	0.368579538	0.350394439
Tgm2	0.322766549	0.358415714
