Genes	avg_logFC	p_val_adj
Mt1	-0.774329851	5.05E-12
Nupr1	-1.202829595	1.14E-11
Sdpr	-1.359072607	8.62E-11
Klhl4	-1.275400354	1.55E-10
Sult1a1	-1.444632188	1.35E-09
Plscr2	-0.972685321	1.94E-09
Selp	-1.047393659	5.78E-09
Aldh1a1	-1.153938907	1.61E-08
Btg2	-2.1310989	5.28E-08
Enpp5	-0.720566866	1.72E-06
Gpr183	-0.659818383	3.80E-06
Itgb3	-0.649953228	1.08E-05
Clu	-0.941975422	1.50E-05
Id2	-1.102779062	2.23E-05
Clec1a	-1.004282325	5.01E-05
Flt3	0.277499271	6.73E-05
Gadd45g	-0.413445881	0.00016506
Bmpr1a	-0.778686885	0.000386841
Satb1	0.483506294	0.000512203
Art4	-0.582170578	0.000971131
Neo1	-0.445101184	0.001322126
Gstm2	-0.372592516	0.001595325
Fhl1	-0.913887499	0.003776176
Ebi3	0.403616077	0.00547546
Ndrg1	-0.511399564	0.006946241
Pbx3	-0.587900704	0.007781607
Dhrs3	-0.325513523	0.00861787
Cyp26b1	-0.582075798	0.013796994
Gstm1	-0.839688824	0.019495695
Jam2	-0.446874972	0.020428737
Exoc6b	-0.392402509	0.025869729
Mcm5	0.380073506	0.030435805
Plek	-1.626472744	0.041564083
Tgm2	-0.859769855	0.041764249
Dnm3	-0.387391475	0.042256623
S100a6	-0.375912285	0.062874392
Lst1	0.454372745	0.064414193
Anxa6	0.353534635	0.064826815
Cpne8	-0.678143526	0.066048418
Oxr1	-0.882282356	0.085789567
Cysltr2	-0.619185786	0.188170838
Tm4sf1	-0.321267396	0.212841507
Muc1	-0.519024975	0.212841507
Klrb1c	-0.332623806	0.359141996
Tc2n	-0.44486913	0.566113479
Vmp1	-0.709003089	0.788917659
Ehd3	-0.576153484	0.831089996
Gem	-0.647791433	1
Jun	-0.646530488	1
Mef2c	-0.664116042	1
Tox	-0.780648725	1
Plac8	0.49251754	1
Arhgap29	-0.479731125	1
Sbspon	-0.298683965	1
Camk1d	0.507915343	1
Alcam	-0.475720147	1
Casp12	-0.49007457	1
Evc	-0.26570987	1
Mgst1	0.411480305	1
Ly6e	-0.512127543	1
Ampd3	-0.376129718	1
Serpinb8	-0.325845297	1
Tmem56	-0.522648924	1
Tacstd2	-0.303127147	1
Nt5c3	-0.621525574	1
Rnase6	0.489334641	1
Tsc22d1	-0.764985009	1
Prtn3	-0.324066089	1
Plscr1	-0.597445699	1
Tmem47	-0.316812156	1
Tmem176a	-0.494155769	1
Cytip	-0.825321742	1
Cd86	0.399597698	1
Gstm7	-0.387336799	1
Efna1	-0.38423816	1
Runx1t1	-0.525763944	1
Zfp36	-0.44077608	1
Trim47	-0.382250195	1
Zg16	-0.31139917	1
Osmr	-0.332447656	1
Rorb	-0.465397308	1
Procr	-0.314508155	1
Slamf1	-0.663657467	1
Npdc1	-0.280057885	1
Prcp	-0.397592311	1
Pcdhb16	-0.278819397	1
Pclo	0.252540446	1
Ocln	-0.538259983	1
Ppp1r16b	-0.378823022	1
Cd34	0.427138788	1
Cd63	-0.266799936	1
Cd9	-0.410850908	1
Ndn	-0.331896681	1
Sfrp1	-0.449936047	1
Vwf	-0.359137533	1
Pla2g4a	-0.276731065	1
Cd38	-0.719810488	1
Slc6a15	-0.485516392	1
Maf	-0.627384682	1
Abcb1b	-0.306766201	1
Arhgap30	0.395883415	1
Phf11d	-0.368165862	1
Ghr	-0.647876117	1
Tnfsf10	-0.266386914	1
Thbd	0.271365064	1
Kcnip3	-0.294764783	1
