Genes	avg_logFC	p_val_adj
Mt1	-0.58809635	2.03E-06
Ebi3	0.265941318	5.45E-05
Nupr1	-0.923387702	5.46E-05
Clca3a1	-0.720137035	0.000312977
Btg2	-1.787170911	0.000350478
Jun	-0.54125292	0.000554305
Gpr183	-0.66062875	0.000578951
Lst1	0.621654214	0.006124185
Zfp36	-1.380075396	0.009191765
Selp	-0.617469802	0.015120586
Abca4	-0.336082711	0.049893664
Cysltr2	-0.394879353	0.049893664
Sbspon	-0.512747665	0.168404003
Tacstd2	-0.292944905	0.306750864
Muc1	-0.311525269	0.306750864
Mt2	-0.314846179	0.306750864
Itgb3	-0.438966063	0.316720157
Amotl2	-0.260484032	0.555733723
Wwtr1	-0.364980613	0.555733723
Dhx40	-0.488641924	1
Ly6e	-0.427922833	1
Prtn3	-0.456259481	1
Ptprk	-0.268196533	1
Zg16	-0.336560692	1
Vmp1	-0.555160752	1
Rorb	-0.32902084	1
Tmem215	-0.561840138	1
Nrk	0.299274784	1
Ndrg1	-0.387279255	1
Dsg2	-0.344062012	1
Ptger4	-0.500508731	1
Arhgap29	-0.561319279	1
Mgst1	0.252666621	1
Plscr2	-0.422547998	1
Ramp2	-0.49199197	1
Gadd45g	-0.460915844	1
Cyyr1	-0.273640123	1
Il1rapl2	-0.298788525	1
Adgrg2	-0.380855052	1
Ehd3	-0.552510383	1
Vldlr	-0.557748617	1
Cavin2	-0.379080219	1
Dhrs3	-0.387354864	1
Tsc22d1	-0.528086723	1
Nt5c3	-0.410432143	1
Plek	-0.325268796	1
Lsp1	0.491235081	1
Anxa6	0.490811931	1
Art4	-0.420312056	1
Exoc6b	-0.599945451	1
Plscr1	-0.371738135	1
Clu	-0.438538516	1
Plcl1	-0.338693079	1
Phactr1	-0.38168678	1
Mllt3	0.482815779	1
Stxbp4	-0.454635044	1
Vwf	-0.364409003	1
Oxr1	-0.324651273	1
Runx1t1	0.315200032	1
Fhl1	-0.337840895	1
Sult1a1	-0.50296064	1
Mef2c	-0.308505849	1
Ldhd	-0.417717295	1
Mcm7	0.305547536	1
Klhl4	-0.352687544	1
Dnmt3b	0.403342468	1
Col4a2	0.300984433	1
Cd34	-0.316047872	1
Ndn	0.330000527	1
Klrb1c	-0.496051119	1
Clec1a	-0.297172104	1
Dennd5b	-0.289621604	1
Tbc1d8	-0.411201366	1
Prcp	-0.258338871	1
Gem	-0.282104139	1
Cytip	-0.38602706	1
