Gene	avg_logFC	p_val_adj
Mt1	-1.309815765	1.86E-28
Nupr1	-2.196010041	3.25E-26
Selp	-0.993494677	6.81E-25
Clu	-1.362489012	1.90E-24
Plscr2	-0.770392991	4.99E-22
Sult1a1	-1.715941444	8.77E-22
Ehd3	-0.745758268	1.09E-20
Clec1a	-0.688183272	2.73E-18
Gm10419	-0.321459392	3.59E-17
Phactr1	-0.29387179	1.48E-16
Cd37	0.490895167	1.58E-15
Cd38	-0.265230002	2.40E-15
Prtn3	-1.235046819	3.46E-15
Fhl1	-0.451518039	1.86E-14
Dhrs3	-1.108024472	4.45E-14
Ebi3	0.856353807	7.79E-13
Sdpr	-0.465085676	1.37E-12
Zfp36	-1.000153767	6.71E-12
Plac8	0.638556549	1.06E-11
Il15	0.543056096	1.06E-11
Enpp5	-0.892084164	1.16E-11
Tacstd2	-0.373577707	1.33E-11
Klrb1b	-0.682886509	1.33E-11
Kcnip3	-0.278802912	8.84E-11
Plek	-0.35579959	5.70E-10
Btg2	-0.511563236	5.70E-10
Trim47	-0.427830816	1.05E-09
Slc28a2	0.298274117	2.17E-09
Rnase6	0.525927679	1.99E-08
Pros1	-0.268108054	2.16E-08
Gpr183	-0.290168441	2.16E-08
Efna1	-0.590790793	2.16E-08
Rorc	-0.364905211	3.91E-08
Gpx3	-0.583650642	3.91E-08
Mt2	-0.264040236	7.06E-08
Nrg4	-0.252141091	2.28E-07
Gem	-0.552009643	2.28E-07
Tgm2	-0.627232712	3.78E-07
Tox	-0.500274118	5.24E-07
Tm4sf1	-0.275115755	7.25E-07
Mgst1	0.426438836	7.41E-07
Aldh1a1	-0.573306594	3.90E-06
Ly6e	-0.489786092	9.47E-06
Gadd45g	-0.462093292	1.24E-05
Oxr1	-0.565020226	3.81E-05
Tmem176a	-0.530940604	0.000138397
Lsp1	0.613360463	0.000353776
Cd34	0.640145115	0.000502885
Mcm5	0.603180878	0.000630318
Npdc1	-0.372838599	0.001448888
Tsc22d1	-0.499855735	0.001509726
Gstm7	0.251359894	0.001518998
Gstm2	-0.400013547	0.001713752
Mcm7	0.608966411	0.007262897
Vwf	-0.284538469	0.007567918
Mmrn1	-0.434037373	0.014719532
Cd63	-0.389365078	0.026033366
Anxa6	0.428615637	0.032020473
Lpar6	-0.327618581	0.038479376
Plscr1	-0.320766066	0.198932763
Lst1	0.397797914	0.346364874
Casp12	-0.358689357	1
Nt5c3	-0.305438483	1
Art4	-0.382348507	1
Lamp2	-0.259769216	1
S100a6	-0.264935669	1
Jam2	-0.314092636	1
