external_gene_name	logFC	FDR
Fap	0.796878426	0.575413761
S100a6	0.933773852	0.731830414
Ramp2	2.584250633	1.62E-12
Lsr	0.838625517	0.069115695
Vwf	0.939653861	0.016501552
Rab34	-0.423534081	0.988542218
Tbc1d8	0.533918511	0.427650545
Ddr1	-0.190833829	0.995533545
Gstm7	0.689989854	0.457730994
Mcm5	-0.54450667	0.401966477
Mef2c	0.389045674	0.903020305
Ampd3	0.758260449	0.109880314
Runx1t1	0.671804879	0.215774919
Mgst1	0.122318158	0.997572655
Npdc1	0.504185087	0.815922318
Slamf1	0.622708931	0.385962717
Lpl	0.447382877	0.88067411
Cd34	-1.097512246	0.000386282
Lamp2	0.381616267	0.893566646
Matn4	1.049201671	0.013679143
Rbpjl	1.39160924	0.005525538
Zfp334	0.252693758	0.985731605
Hnf4a	-0.338706512	0.975444679
Vmp1	0.729383719	0.388932155
Gpx3	1.045238352	0.367045759
Anxa6	-0.373309971	0.859714677
Dhx40	0.797321847	0.407708072
Lsp1	-0.282109576	0.957950599
Cxcl16	0.481610198	0.876484328
Cyb561	-0.297966783	0.994455917
Perp	0.481725375	0.981482822
Ptprk	0.991892154	0.021187201
Slc6a15	0.350584114	0.897504733
Plek	0.105008981	0.997572655
Btg2	-0.221205974	0.994455917
Stxbp4	0.574264672	0.569202243
Itgb3	1.13638942	3.09E-05
Trim47	0.835751229	0.10793125
Aspa	0.467564837	0.9244213
Tc2n	1.375399538	0.000110136
Gadd45g	0.354484765	0.979421708
Syk	-0.404898335	0.783856698
Ocln	0.423711354	0.87509373
Tsc22d1	0.325898711	0.934733665
Osmr	1.668346611	9.94E-10
Bcl6	0.700610117	0.359289753
Ly6e	0.499247947	0.826078094
Alcam	1.238246498	0.000345488
Cd86	-0.842391928	0.959930647
Pros1	0.038262078	0.997572655
Rgn	-0.723067482	0.941331092
Fhl1	0.730638501	0.196960009
Tmem176a	0.46276687	0.831457966
Satb1	-0.134241253	0.997572655
Enpp5	1.458878631	3.84E-06
Vldlr	1.63246966	1.69E-09
Cd63	0.529901503	0.514092783
Klhl4	1.767336236	1.97E-07
Tmem47	0.803451995	0.648480345
Casp12	0.639532166	0.272390322
Rdh10	1.132758528	0.00052285
Serpinb8	0.460063625	0.764659811
Selp	2.154182076	1.28E-10
Cytip	0.589595654	0.335337006
Stom	0.887941103	0.022345647
Nckap1	0.263070949	0.939432371
Meis2	0.060649821	0.997572655
Slc28a2	-0.568060808	0.495605192
Dnmt3b	-0.378313355	0.783856698
Procr	0.498444966	0.627064722
Tm4sf1	1.418246644	0.012691283
Wwtr1	0.96457547	0.003452713
Efna1	0.330128285	0.925596548
Abca4	0.828522456	0.038332566
Tmem56	0.610302053	0.385597079
Rorc	0.795545386	0.150669132
Gem	1.524000892	1.04E-06
Mllt3	0.281800016	0.972973397
Abcb1b	0.333004819	0.792698331
Cd38	1.25450037	0.000228199
Evc	0.278964499	0.932126147
Gabra4	1.272668455	0.330985318
Plac8	0.480378685	0.980619711
Antxr2	-0.245339676	0.951461681
