Gene	avg_logFC	p_val_adj
Nupr1	-0.789569305	7.17E-13
Selp	-1.075621029	1.01E-11
Sult1a1	-1.125741627	3.44E-10
Clec1a	-0.867699692	1.96E-09
Tgm2	-0.750888721	1.48E-07
Prtn3	-0.677969771	4.23E-07
Tmem176a	-0.663934755	4.49E-07
Vwf	-0.7578125	1.30E-06
Plscr2	-0.508464911	7.21E-06
Aldh1a1	-0.681864973	1.14E-05
Jun	-0.583036378	2.63E-05
Plscr1	-0.574496069	5.37E-05
Dhrs3	-0.767443038	7.10E-05
Ehd3	-0.711035292	1.00E-04
Ptprk	-0.253960056	0.000196765
Mt1	-0.285047277	0.000228939
Cd63	-0.480207877	0.000267545
Sbspon	-0.606676161	0.000276634
Vmp1	-0.720700435	0.000464106
Exoc6b	-0.621685462	0.000469216
Itgb3	-0.518873138	0.000579304
Sdpr	-0.382154026	0.00068077
Plac8	0.309549846	0.001345955
Lpar6	-0.275761515	0.001496244
Cyp26b1	-0.294584379	0.001526126
Rorc	-0.565022466	0.001572176
Gpx3	-0.287881877	0.002203994
Procr	-0.470474134	0.002656148
Tm4sf1	-0.404925522	0.003528208
Alcam	-0.318726046	0.004808943
Cpne8	-0.480462659	0.008408451
Klrb1c	-0.450859123	0.008932028
Gpr183	-0.486681469	0.014127294
Jam2	-0.502746726	0.01682546
Cd38	-0.394042615	0.019515433
Pgr	-0.276426607	0.019641728
Matn4	-0.44364028	0.022257729
Ppp1r16b	-0.301355435	0.02927084
Enpp5	-0.578882816	0.033412758
Runx1t1	-0.354497638	0.033913395
Rorb	-0.549268614	0.050879366
Oxr1	-0.373990938	0.059623575
Mcm5	0.476421803	0.065175681
Ramp2	-0.272396565	0.098485919
Cd34	0.686630595	0.112660283
Mab21l2	-0.295515946	0.132105734
Clu	-0.30119212	0.173616064
Mcm7	0.590715731	0.25849642
Prcp	-0.452615423	0.356358279
Tnfsf10	-0.320200642	0.444843083
Rnase6	0.25092133	0.534689171
Art4	-0.392672309	0.658460072
Syk	0.25063651	0.706554478
Fhl1	-0.318504388	1
Tbc1d8	-0.313545633	1
Osmr	-0.391112534	1
Trim47	-0.443476438	1
Gstm1	-0.266880695	1
Trpc6	-0.442613936	1
Slc6a15	-0.349324175	1
Dennd5b	-0.297820835	1
Gadd45g	-0.308281882	1
Phactr1	-0.460613652	1
Cldn12	-0.41270426	1
Ptger4	-0.252956743	1
Ndn	-0.281142264	1
Col4a2	0.28063813	1
Plek	0.599828814	1
Antxr2	0.256244014	1
