external_gene_name	logFC	FDR
Fap	3.300568434	1.07E-07
S100a6	1.097056739	1.95E-06
Ramp2	1.886088402	0.000187237
Lsr	0.958077933	0.008689896
Vwf	1.817636295	8.32E-25
Rab34	1.842628856	6.40E-05
Tbc1d8	0.65951127	0.022765302
Ddr1	2.485840032	3.64E-05
Gstm7	1.030148923	2.01E-05
Mcm5	-0.08704299	0.869781273
Mef2c	0.4193223	0.004782696
Ampd3	0.996510484	3.59E-05
Runx1t1	1.131425407	0.001507926
Mgst1	-1.161788269	3.10E-05
Npdc1	1.409162462	1.50E-17
Slamf1	1.023913231	0.00114512
Lpl	1.614517823	1.94E-07
Cd34	-0.379778187	0.060765137
Lamp2	0.613592727	1.25E-07
Matn4	9.21488217	1.80E-62
Rbpjl	8.964569462	6.37E-11
Zfp334	1.875907661	0.001840131
Hnf4a	-1.34703572	3.92E-05
Vmp1	0.285681045	0.179669188
Gpx3	1.9022427	0.001337116
Anxa6	-1.412204354	2.26E-07
Dhx40	1.333529229	0.000692282
Lsp1	-0.483728768	0.018929637
Cxcl16	1.336947275	0.141909565
Cyb561	2.696787815	2.45E-10
Perp	1.36681369	0.00030495
Ptprk	2.021600701	1.56E-07
Slc6a15	0.541165742	0.032103398
Plek	1.267315027	1.41E-18
Btg2	0.231992401	0.677854496
Stxbp4	1.284323365	4.69E-14
Itgb3	2.055269454	8.05E-32
Trim47	0.330346989	0.540593879
Aspa	2.58808505	4.83E-26
Tc2n	3.508899441	9.04E-25
Gadd45g	2.285996758	5.03E-07
Syk	-0.578466969	0.002880265
Ocln	0.976979808	0.000169909
Tsc22d1	0.912576488	1.34E-08
Osmr	8.917008932	1.32E-23
Bcl6	0.889784953	0.034822385
Ly6e	0.388369733	0.006580511
Alcam	1.206320306	7.88E-12
Cd86	-1.519119197	0.00112517
Pros1	0.99939873	8.42E-08
Rgn	3.375925439	5.55E-07
Fhl1	1.492328102	2.79E-22
Tmem176a	0.56212687	0.000160344
Satb1	-1.378937256	0.01087294
Enpp5	1.712805231	1.37E-30
Vldlr	1.145698727	0.000976616
Cd63	0.424241112	0.002348702
Klhl4	1.474260516	1.84E-24
Tmem47	3.194062324	1.56E-13
Casp12	1.275082362	3.71E-09
Rdh10	0.197472202	0.861105353
Serpinb8	1.296815876	0.000168528
Selp	4.090171202	1.27E-81
Cytip	0.826795963	7.21E-07
Stom	0.618559649	0.002698702
Nckap1	0.323309941	0.72806254
Meis2	2.016002897	0.006457733
Slc28a2	-0.644826347	0.023674032
Dnmt3b	-0.755917626	0.009468526
Procr	0.593281961	0.009468526
Tm4sf1	4.229446827	9.98E-27
Wwtr1	3.910667036	9.38E-42
Efna1	1.451956679	3.34E-10
Abca4	2.511018613	7.03E-16
Tmem56	0.733687639	0.443257827
Rorc	2.006912109	1.14E-10
Gem	0.923982074	0.000875181
Mllt3	-0.040384156	0.928565701
Abcb1b	0.817755723	0.000328109
Cd38	1.93309158	1.26E-16
Evc	1.168595384	0.006979977
Gabra4	5.279824715	1.00E-05
Plac8	-2.211173832	1.99E-19
Antxr2	-0.717678024	0.012015541
Mcm7	-0.170432756	0.65263868
Nt5c3	0.600671158	1.93E-05
Clec1b	0.996732505	0.339906602
Art4	0.70811015	4.77E-05
Dennd5b	0.930463293	0.036391381
Klrb1c	2.117264604	2.78E-10
Cd9	0.753702788	6.37E-07
Chrna7	4.189301161	0.018735473
Nupr1	2.746007795	3.77E-27
Cd37	-0.686354786	0.0477699
Acsl4	0.426694785	0.044633963
Adgrg2	2.969142107	7.25E-27
Col4a2	-1.22157296	2.73E-07
Sfrp1	1.231126263	0.043503011
Il15	-0.708596725	0.016343513
Mmp2	-1.587192616	0.001508206
Mt2	5.522712256	9.08E-12
Mt1	3.712901368	4.93E-53
Pgr	2.008176131	8.29E-07
Ldhd	1.405871505	1.05E-05
Trpc6	0.445679891	0.039931569
Pdgfd	0.741543748	0.01246915
Myo1e	1.895375905	9.71E-07
Nrg4	1.266814504	0.001536139
Neo1	1.25852422	0.002404115
Plscr1	1.091893549	3.28E-09
Plscr2	5.040178553	3.57E-117
Amotl2	2.766591659	2.48E-21
Acpp	1.385055497	1.60E-05
Sbspon	4.673931374	7.64E-28
Trpc1	3.317399322	0.001040302
Clec1a	1.99013801	1.40E-21
Lpar6	0.337276124	0.316287714
Ndn	0.771888284	8.01E-07
Exoc6b	0.353992205	0.091161446
Zswim5	6.082027868	4.56E-05
Lrrn1	6.063202639	8.45E-11
B3galt1	2.866674279	0.000905946
Rorb	4.481515039	1.24E-15
Ppp1r16b	0.894339522	0.00261286
Tgm2	0.941823014	3.14E-10
Plcl1	0.279598782	0.739249806
Tm6sf1	-1.235460465	0.000316751
Pbx3	1.215961414	0.000527388
Gipc2	9.734428239	9.14E-17
Camk1d	-1.629071531	2.09E-05
Tnfsf10	0.567190951	0.019958603
Arhgap29	0.810764981	0.000227116
Ptger4	0.281413257	0.613732419
Dnm3	2.913758718	1.88E-06
Gstm2	3.34959586	8.87E-22
Abcb1a	1.647668801	6.75E-06
Cyyr1	0.486436936	0.745402939
Tox	0.786046978	0.001714503
Fhdc1	3.110521426	1.19E-24
Rassf4	-1.556141746	2.23E-06
Asb4	1.488805469	0.000411625
Muc1	4.874942177	4.25E-19
Flt3	-0.608376858	0.151426689
Dsg2	1.826353989	8.13E-10
Zfp36	0.206198278	0.596363067
Cavin2	2.590474154	2.48E-45
Tmem215	4.933989283	2.45E-15
Rhoj	1.072028298	3.89E-05
Cldn12	0.489375356	0.035166494
Pcdhb16	1.683218363	0.000187237
Arhgap30	-0.503117756	0.018929637
Ntf3	9.015957143	1.36E-07
Zg16	10.45824976	1.18E-14
Tacstd2	1.118246233	8.24E-05
Cpne8	1.752087647	3.29E-19
Jun	1.204169439	0.041066584
Nrk	-1.423712084	0.009212653
Tdrd9	4.90831161	4.61E-30
Mmrn1	0.575332674	0.011647925
Cntn1	9.558266967	1.42E-12
Maf	3.14482094	3.00E-19
Ghr	0.98496782	9.54E-06
Clca3a1	5.157997043	3.70E-50
Pla2g4a	0.642225874	3.61E-05
Prtn3	0.827183736	0.000286358
Mab21l2	10.41714027	9.14E-17
Abat	2.740410982	6.76E-11
Gstm1	0.530122754	0.001011985
Il1rapl2	2.376878356	5.82E-08
Serpinb6a	0.651997078	0.00584036
Prcp	0.842609892	1.46E-08
Pclo	0.569801923	0.766921266
Cd200r4	2.363607048	3.77E-12
Kdr	2.1626307	6.35E-12
Cyp26b1	1.623154593	0.003284881
Dhrs3	1.499089842	0.000318319
Phf11d	2.192030395	2.41E-10
Gm10419	4.019229604	4.55E-55
Lst1	-1.387258631	6.42E-09
C4b	4.593699855	3.17E-21
Thbd	1.499342195	4.56E-05
Prnp	0.685558632	0.002921003
Kcnip3	1.309043313	1.91E-07
