Gene.symbol	logFC	adj.P.Val
Gpr183	4.194105375	0.000230066
Tc2n	2.589634952	0.000356873
Wwtr1	3.596609488	0.000356873
Clca3a1	3.22677464	0.000356873
Rorb	2.559453696	0.000356873
Sult1a1	2.848187398	0.000356873
Clec1a	3.084093632	0.000356873
Plscr2	4.17898566	0.000356873
Nupr1	3.023908834	0.000568611
Sdpr	2.087013904	0.000571119
Trpc1	3.396065723	0.000870647
Clca3a1	3.407518763	0.000916601
Bmpr1a	2.538362066	0.000916601
Sdpr	2.42923234	0.001135069
Sbspon	5.455001342	0.001137377
Acpp	2.284796539	0.001137377
Plcl1	2.324634017	0.001137377
Gpr183	3.30312471	0.001226612
Nupr1	3.243521579	0.001257079
Sfrp1	1.769828223	0.001767048
Clu	2.849325666	0.001801557
Clu	2.902343009	0.001801557
Zg16	4.334037236	0.001801557
Runx1t1	2.138213802	0.001801557
Ramp2	3.321341622	0.001801557
Alcam	1.924580177	0.001801557
Tdrd9	4.391028908	0.001801557
Aldh1a1	1.721111193	0.001801557
Sbspon	4.47747781	0.001889932
Selp	2.998622912	0.001901974
Ehd3	2.260427539	0.001901974
Tm4sf1	3.33293662	0.001920659
Adgrg2	2.682842565	0.001940942
Mab21l2	2.749286144	0.001971372
Tmem215	3.305402206	0.002178146
Rdh10	1.662707717	0.002178146
Zg16	2.437963923	0.002178146
Clu	3.301910174	0.002254661
Camk1d	-2.172894569	0.002254661
Abca4	2.472515188	0.002493373
Oxr1	1.256113134	0.0025344
Lpar6	1.429686346	0.0025344
Osmr	3.694586857	0.0025344
Ldhd	1.587982323	0.0025344
Ocln	1.66926751	0.0025344
Alcam	1.545652514	0.0025344
Enpp5	2.425141592	0.0025344
Klhl4	1.661093695	0.0025344
Kdr	1.389678104	0.0025344
Fap	3.989568416	0.002539235
Tox	1.495845515	0.002937577
Art4	1.557193956	0.003150902
Sfrp1	1.893515685	0.003164277
Jam2	2.700653157	0.00320278
Fhl1	1.12896536	0.003779578
Ptger4	1.835781628	0.003823109
Bmpr1a	2.058222653	0.003832604
Ptprk	2.657605241	0.003832604
Selp	2.705517688	0.003832604
Tmem56	2.561635058	0.003832604
Pros1	1.201036934	0.003832604
Gabra4	3.125022735	0.00386108
Mmp14	1.727761226	0.00435736
Sdpr	2.607854193	0.00435736
Tbc1d8	1.283994896	0.004383248
Meis2	1.984008421	0.004598879
Phactr1	1.772154209	0.004772605
Abcb1a	1.323714744	0.004887761
Ldhd	1.60978985	0.00500271
Mt1	2.918932038	0.00500271
Cntn1	2.770110037	0.005224156
Slamf1	1.080048771	0.005365017
Trim47	1.299725853	0.005553054
