external_gene_name	logFC	FDR
Fap	2.012086137	1.70E-24
S100a6	1.60676905	4.20E-13
Ramp2	3.368937875	1.89E-47
Lsr	1.448290444	9.80E-09
Vwf	1.771409558	9.41E-18
Rab34	0.730990405	0.01666756
Tbc1d8	0.786795026	1.72E-06
Ddr1	1.539796014	2.03E-10
Gstm7	0.931635042	3.18E-05
Mcm5	-0.553044662	0.007294708
Mef2c	0.587802137	0.005847859
Ampd3	0.848818039	7.48E-08
Runx1t1	1.168882046	2.33E-08
Mgst1	0.075681591	0.917144053
Npdc1	0.782172331	6.81E-07
Slamf1	0.997220594	1.40E-10
Lpl	1.331267685	1.11E-14
Cd34	-0.859492472	2.03E-05
Lamp2	0.988843605	0.000266031
Matn4	2.755122223	1.06E-69
Rbpjl	2.651250193	6.80E-19
Zfp334	1.44496581	6.02E-09
Hnf4a	-1.634275057	7.06E-20
Vmp1	1.045442321	3.93E-09
Gpx3	1.014272636	1.14E-05
Anxa6	-1.048762928	5.68E-10
Dhx40	0.826659159	6.48E-05
Lsp1	-0.399840537	0.022363264
Cxcl16	1.020903082	0.002331698
Cyb561	1.045329845	0.000140987
Perp	1.708391003	6.65E-09
Ptprk	2.221864924	1.24E-35
Slc6a15	0.665084131	3.04E-05
Plek	0.753840697	0.000985182
Btg2	0.68993483	0.096209881
Stxbp4	0.623351294	0.000303389
Itgb3	1.457893731	3.21E-16
Trim47	1.043105948	2.96E-09
Aspa	1.428795501	1.31E-15
Tc2n	3.042865145	9.46E-33
Gadd45g	1.19793698	3.62E-08
Syk	-0.810772893	9.53E-05
Ocln	1.516538938	1.76E-13
Tsc22d1	0.694605189	0.005123343
Osmr	3.547208322	2.38E-53
Bcl6	1.054600138	1.39E-07
Ly6e	0.612497072	0.027308941
Alcam	1.453882655	6.50E-22
Cd86	-1.775828821	2.70E-10
Pros1	1.125562484	2.28E-09
Rgn	2.217361323	3.34E-09
Fhl1	1.098155801	1.71E-12
Tmem176a	0.722373664	0.000804429
Satb1	-1.136958636	1.21E-06
Enpp5	1.765455107	1.27E-22
Vldlr	1.039853859	2.11E-12
Cd63	0.539603478	0.025370285
Klhl4	1.643495935	1.82E-17
Tmem47	2.351381171	3.50E-21
Casp12	0.896519056	2.16E-09
Rdh10	1.266026282	1.85E-14
Serpinb8	0.505741957	0.010836671
Selp	2.495543057	3.15E-58
Cytip	1.001111387	1.64E-10
Stom	0.519319169	0.01982254
Nckap1	0.867665631	5.71E-09
Meis2	1.188176764	0.001573196
Slc28a2	-0.839703489	3.69E-07
Dnmt3b	-0.58120562	0.001683755
Procr	0.660624792	7.39E-05
Tm4sf1	2.621410223	4.12E-28
Wwtr1	2.000249965	3.59E-29
Efna1	1.021319025	2.92E-08
Abca4	1.62508826	1.12E-26
Tmem56	0.702120913	0.000147746
Rorc	1.646343555	9.66E-19
Gem	1.716432304	2.25E-17
Mllt3	0.579021956	0.003255475
Abcb1b	0.526703336	0.001405995
Cd38	2.035891497	6.29E-22
Evc	0.803343105	3.42E-05
Gabra4	4.84223671	1.67E-47
Plac8	0.369734351	0.488314133
Antxr2	-0.658171421	0.002222107
Mcm7	-0.471906751	0.034330244
Nt5c3	0.769986436	8.93E-05
Clec1b	0.980432537	0.001492037
Art4	0.827680572	4.67E-07
Dennd5b	0.689270486	6.42E-05
Klrb1c	3.078955288	8.77E-43
Cd9	0.547142359	0.019975837
Chrna7	2.244506339	2.30E-09
Nupr1	1.642493314	1.80E-24
Cd37	-1.069109062	4.34E-10
Acsl4	0.497032033	0.008005643
Adgrg2	1.398295741	2.77E-15
Col4a2	-1.132542776	1.48E-14
Sfrp1	1.67273683	5.34E-22
Il15	-0.772453801	4.70E-05
Mmp2	-1.527233148	2.83E-10
Mt2	1.801694573	0.007071043
Mt1	1.508273052	1.23E-15
Pgr	1.770679175	1.76E-27
Ldhd	0.944139345	7.07E-08
Trpc6	0.575014571	0.000948802
Pdgfd	0.953808255	5.81E-08
Myo1e	1.002234001	4.33E-07
Nrg4	1.330876765	2.58E-10
Neo1	1.766811928	1.18E-30
Plscr1	0.882167166	7.50E-08
Plscr2	3.01699787	1.20E-65
Amotl2	1.466116529	6.62E-19
Acpp	1.618960961	4.51E-13
Sbspon	3.880986934	3.80E-54
Trpc1	3.188875672	2.75E-48
Clec1a	1.472334955	1.77E-23
Lpar6	1.130516702	1.47E-10
Ndn	0.874714843	1.83E-07
Exoc6b	1.056127484	1.95E-10
Zswim5	1.630790402	7.01E-15
Lrrn1	2.124974191	6.46E-12
B3galt1	1.277447333	3.24E-09
Rorb	3.912061892	1.89E-50
Ppp1r16b	0.784715915	1.33E-06
Tgm2	0.781257343	0.000154587
Plcl1	1.250455287	7.36E-15
Tm6sf1	-0.779655498	0.001717703
Pbx3	1.165625987	1.43E-13
Gipc2	4.70716888	1.18E-23
Camk1d	-1.048958812	1.20E-06
Tnfsf10	0.927431799	2.79E-07
Arhgap29	1.043702927	4.07E-12
Ptger4	1.104662126	1.16E-10
Dnm3	2.672561826	3.54E-34
Gstm2	2.560199734	1.45E-52
Abcb1a	0.74073954	5.34E-05
Cyyr1	0.721432578	0.000635724
Tox	0.883822199	1.16E-07
Fhdc1	1.018950229	9.46E-11
Rassf4	-0.744781376	0.000100039
Asb4	1.700438284	9.16E-09
Muc1	2.37854933	1.95E-19
Flt3	-1.5794146	3.05E-20
Dsg2	1.811025428	9.40E-26
Zfp36	0.234214928	0.723820601
Cavin2	1.544240779	3.50E-21
Tmem215	2.731465676	2.36E-23
Rhoj	1.242621239	4.95E-12
Cldn12	0.754417404	1.92E-05
Pcdhb16	1.551480422	5.54E-11
Arhgap30	-1.057350396	3.86E-10
Ntf3	3.895196296	6.16E-15
Zg16	3.540909685	9.15E-40
Tacstd2	0.739705531	3.57E-05
Cpne8	1.503923108	1.28E-17
Jun	-0.53410674	0.249350354
Nrk	-1.529200029	3.68E-17
Tdrd9	3.965166705	8.22E-84
Mmrn1	0.727998916	0.001738842
Cntn1	3.083557381	2.74E-21
Maf	1.58582541	1.34E-17
Ghr	1.076906141	1.33E-09
Clca3a1	2.567177537	6.83E-54
Pla2g4a	0.447556747	0.023785817
Prtn3	0.991070389	3.84E-08
Mab21l2	5.788954271	1.71E-72
Abat	1.377627364	6.81E-10
Gstm1	0.684383755	0.000138439
Il1rapl2	1.668093327	1.02E-12
Serpinb6a	0.889530138	2.52E-06
Prcp	1.1475762	1.16E-07
Pclo	0.60872502	0.066981122
Cd200r4	1.337906171	1.07E-05
Kdr	1.476146761	6.62E-19
Cyp26b1	1.721317053	4.93E-23
Dhrs3	1.171541465	2.29E-09
Phf11d	2.005525943	2.49E-26
Gm10419	1.646863591	8.12E-22
Lst1	-0.682790716	0.00133286
C4b	2.390093515	7.55E-47
Thbd	0.843667042	5.25E-07
Prnp	0.871529298	6.88E-05
Kcnip3	0.752489675	1.78E-05
Klrb1b	1.95004835	2.57E-05
