Gene.symbol	logFC	adj.P.Val
Sbspon	6.72433285	9.43E-07
Osmr	4.558600944	0.000141025
Tc2n	3.710286962	0.000141025
Wwtr1	3.867870578	0.000141025
Pgr	2.898044661	0.000141025
Nupr1	3.401097695	0.000141025
Selp	3.333783169	0.000141025
Gpr183	3.915845229	0.000141025
Cd38	2.679098247	0.000141025
Plscr2	4.12444739	0.000144158
Selp	3.20063054	0.000155863
Tdrd9	3.559316578	0.000155863
Clca3a1	3.036083892	0.000216416
Mt2	3.328277545	0.000216416
Selp	2.888677901	0.000267516
Bmpr1a	2.35920889	0.00029558
Nupr1	2.981102148	0.000365932
Dsg2	1.933068192	0.000367735
Gadd45g	2.260622149	0.000426139
Zg16	3.569909788	0.000444517
Mt1	2.713056669	0.000460771
Gpr183	2.54273594	0.000680918
Gstm2	2.969836166	0.000680918
Clu	3.535971669	0.000901895
Tmem56	2.877567214	0.000942371
Mmp2	-1.782679599	0.001106611
Dnm3	1.824222656	0.001118585
Clu	3.098017891	0.001221503
Aldh1a1	1.966447467	0.001289957
Clec1a	2.180845304	0.001289957
Sdpr	2.119970857	0.001289957
Alcam	1.663181468	0.001289957
Cysltr2	2.148220703	0.001289957
Ramp2	2.359533701	0.001289957
Ptprk	2.468868209	0.001289957
Clu	2.886425262	0.001289957
Sbspon	5.2734379	0.001289957
Jam2	2.500968978	0.001289957
Trpc1	3.021129563	0.001312082
Clca3a1	3.079866534	0.001312082
Bmpr1a	1.793182246	0.001410368
Nrg4	1.85822187	0.001438442
Zg16	2.725357557	0.001446816
Ehd3	2.100496709	0.001954548
Bmpr1a	2.382447439	0.001954548
Abat	1.860673309	0.002144584
Dsg2	2.222406354	0.002178575
Tm4sf1	3.497414034	0.002759691
Mmp14	1.400910138	0.002869225
Lrrn1	1.810317097	0.002970652
Clu	2.912381307	0.003000405
Cntn1	2.467810465	0.003076972
Neo1	2.40106225	0.003076972
Tmem215	3.522504204	0.003076972
Tmem47	2.492811599	0.003116959
Amotl2	1.510113276	0.003187517
Vwf	2.089372431	0.003420329
Gm10419	2.445308662	0.003420329
Meis2	1.959249996	0.003420329
Nrg4	1.612074959	0.00355971
Klhl4	1.653690644	0.00355971
Sult1a1	2.018886699	0.003668771
Ehd3	1.653296274	0.003717918
Abca4	1.644097485	0.003729317
B3galt1	1.685086715	0.003925361
Fhl1	1.382578239	0.003925361
Ebi3	-1.800044448	0.00404889
Aspa	2.306765551	0.004256007
Satb1	-2.080620617	0.004256007
Neo1	2.525867847	0.004492316
Sdpr	1.799172093	0.004538184
Ldhd	1.102570343	0.004558456
Zg16	1.516681578	0.004558456
Trim47	1.229408716	0.004604052
Oxr1	1.25503364	0.004682452
Jam2	1.960568209	0.004798372
Sdpr	1.947353945	0.005110522
Ptprk	1.442461994	0.00535847
Satb1	-1.932190079	0.00535847
Ampd3	1.39052685	0.005500068
Il1rapl2	1.364129632	0.005508658
Pbx3	1.150411167	0.005762244
Oxr1	1.164990558	0.005818866
Casp12	1.135420866	0.006188574
Rassf4	-1.403637938	0.006573908
Alcam	1.248620038	0.007032286
Muc1	1.71879361	0.007032286
Runx1t1	2.600933015	0.007149403
Wwtr1	1.346047781	0.007149403
Cpne8	2.473047959	0.007217773
Prcp	1.064822307	0.007413017
Clec1a	1.752785724	0.007800503
Cd86	-1.367765214	0.007800503
Plac8	-2.03394901	0.007857055
Wwtr1	1.475765831	0.008136776
Sfrp1	1.356208096	0.008136776
Gabra4	2.888459126	0.008136776
Alcam	1.710621016	0.008136776
Hnf4a	-1.481303377	0.008136776
Ghr	1.354815029	0.008276996
Runx1t1	1.495181267	0.008420371
Cyyr1	1.527442029	0.008420371
Bmpr1a	2.094662669	0.00855093
Abcb1a	2.012710396	0.0090162
Dhx40	1.028678067	0.009184031
Mmp2	-1.693847997	0.009184031
Chrna7	1.716443507	0.009501791
Stxbp4	1.113645014	0.01017493
Lpl	2.33763496	0.010703673
Camk1d	-1.920516183	0.01080452
Adgrg2	2.925324271	0.011017175
Pclo	2.597126797	0.011191305
Kdr	1.441834967	0.011760473
Lpar6	1.084896205	0.012193386
Vmp1	1.045395463	0.012253398
Vldlr	1.271959367	0.012289972
Rorb	1.688574518	0.012525011
Acpp	1.219543399	0.012575669
Arhgap29	1.035647115	0.013045476
Cyb561	1.6392377	0.013092225
Ddr1	1.323879615	0.013129064
Runx1t1	1.81390261	0.01318513
Prtn3	0.840102205	0.013678169
Perp	1.786278608	0.013787456
Plcl1	1.50055558	0.013787456
Phf11d	1.201664376	0.013923052
Gipc2	2.042796988	0.014280714
Fhdc1	1.692134592	0.015152954
Rorc	1.400878084	0.015457528
Thbd	1.254365321	0.015548932
Arhgap30	-1.005211433	0.015548932
Vldlr	1.106599145	0.01593271
Rassf4	-0.972331912	0.01593271
Rgn	2.038676657	0.016831944
Pdgfd	1.063509382	0.016831944
Pros1	1.255583055	0.017791817
Tbc1d8	1.117510248	0.017791817
Rhoj	1.0382173	0.017935177
Fap	2.815496319	0.018145788
Tc2n	2.199684657	0.018145788
Itgb3	1.530719565	0.019276557
Nckap1	0.967570577	0.019276557
Cxcl16	1.335870555	0.019276557
Pbx3	1.054373242	0.020056754
Casp12	1.132005603	0.020164917
Abcb1a	1.410764662	0.020516366
Rdh10	0.983937867	0.021266986
Rdh10	1.052378663	0.021600685
Anxa6	-0.978967154	0.021600685
Evc	0.977075608	0.023218128
B3galt1	2.558124879	0.024322284
Ldhd	0.851584965	0.024322284
Syk	-0.854776702	0.02486806
Anxa6	-1.13381535	0.025227579
Sfrp1	1.193265214	0.026153252
Dennd5b	1.492734458	0.027161885
Serpinb6a	1.053708807	0.027246409
Zswim5	1.426478097	0.028579945
Mgst1	-1.094032917	0.028633361
Il15	-0.898251663	0.028796594
Tnfsf10	0.882228191	0.028796594
Pgr	2.05387102	0.028796594
Hnf4a	-1.481861914	0.028796594
Ntf3	2.741950037	0.028796594
Fhdc1	0.952587236	0.028796594
Id2	1.390202781	0.029297856
Matn4	2.246731796	0.029297856
Cd37	-0.928908862	0.029944247
Col4a2	-1.086592519	0.030149014
Cpne8	1.230996861	0.030656334
Prcp	0.996204137	0.031182758
Antxr2	-0.981010747	0.031293421
Mllt3	0.9916927	0.032336508
Vldlr	1.310037521	0.032399747
Slamf1	0.882014603	0.033425121
Pdgfd	1.267927736	0.033631333
Asb4	1.653200293	0.036100539
Maf	1.73415829	0.037083958
Pcdhb16	1.776795284	0.037083958
Cd200r4	1.857802733	0.038133562
Prnp	0.815446268	0.039545851
Ocln	1.092590414	0.039661949
Efna1	0.949314043	0.040285748
Cytip	0.752023043	0.040768564
Lamp2	0.773787132	0.042152271
Abcb1b	1.129468177	0.042452251
Ptger4	1.330217673	0.042452251
Rab34	1.34178953	0.0426593
Lst1	-1.099944775	0.045964868
Ndn	0.700610494	0.046159788
Nt5c3	0.719818675	0.046159788
Mmp14	0.875494855	0.046395621
Procr	0.666536947	0.047125775
Cldn12	0.720439646	0.047226677
Ndrg1	0.737435692	0.047541789
Tm6sf1	-0.80518081	0.048018464
Ptger4	0.955079336	0.048185751
Rnase6	-1.821246732	0.048185751
Ndrg1	0.730531627	0.048185751
Lamp2	0.658502503	0.048185751
Satb1	-0.896313489	0.052769335
Slc6a15	1.151915204	0.055797864
Dnmt3b	-0.740241446	0.056430099
Dsg2	0.71534363	0.056970996
Myo1e	0.917472976	0.057004522
Tmem215	2.195694493	0.057004522
Tm4sf1	1.133859644	0.057713675
Asb4	1.177959877	0.059286881
Ghr	0.905635556	0.064719002
Npdc1	0.836431579	0.068033566
Tnfsf10	0.74041656	0.068815614
Cd34	-0.817079725	0.069903066
Sfrp1	0.933406728	0.071812968
Exoc6b	0.638225731	0.074063525
Flt3	-1.158067729	0.074063525
Cytip	0.855440426	0.077482724
Tox	1.021310011	0.079311938
Art4	0.755167325	0.079311938
Lpl	1.544671709	0.079311938
Nrk	-1.740380282	0.079428067
Cd38	1.255642164	0.079957156
Lsp1	-0.740448083	0.085417552
Tgm2	0.809583953	0.087393171
Camk1d	-0.935777207	0.087393171
Dsg2	1.028855769	0.088876574
Mcm5	-0.68624937	0.089038853
Tgm2	0.684689438	0.091223273
B3galt1	3.077889648	0.091749523
Ndrg1	0.802540689	0.092175767
Tbc1d8	0.908161842	0.092200537
Enpp5	1.492678333	0.09234014
Rab34	1.014770724	0.094043416
Meis2	0.822323261	0.094928249
Myo1e	0.943837973	0.101069836
Phactr1	1.27288266	0.104589723
Ddr1	2.376529466	0.104589723
Cytip	0.658621339	0.11040719
Dnm3	0.768631542	0.110647004
