ID	Gene.symbol	logFC	adj.P.Val	P.Value	t	B	Gene.title
10422496	Gpr183	1.9693989285	0.0026255766	1.45319923027164e-07	11.7691288149	7.0859685868	G protein-coupled receptor 183
10398759	Tdrd9	1.2438267209	0.0071459568	9.19725013592117e-07	9.8021681529	5.7053178734	tudor domain containing 9
10445977	Ebi3	-0.910352343	0.0108336964	2.26944033890342e-06	-8.9428603464	4.9815150554	Epstein-Barr virus induced gene 3
10601519	Klhl4	1.5073994175	0.0117256082	3.38451633456255e-06	8.5820429425	4.6521690869	kelch-like 4
10548367	Clec1a	1.2454851515	0.0176490359	1.26614407739034e-05	7.4679022964	3.5294710537	C-type lectin domain family 1, member a
10381809	Itgb3	1.3493701608	0.0176490359	1.43863607132388e-05	7.3658928147	3.4181276597	integrin beta 3
10439895	Alcam	1.3037143994	0.0194296101	1.76883507607894e-05	7.2029072501	3.2370800627	activated leukocyte cell adhesion molecule
10414548	Rnase6	-1.1549619567	0.0194296101	2.16727384932903e-05	-7.0450770324	3.0580077199	ribonuclease, RNase A family, 6
10563178	Cd37	-0.6845830716	0.0267277845	4.7473920380901e-05	-6.4572324009	2.3575114775	CD37 antigen
10421517	Cysltr2	1.2442314872	0.0267277845	5.27469254246893e-05	6.3807380894	2.262367499	cysteinyl leukotriene receptor 2
10439312	Cd86	-1.3737794832	0.0270120808	5.44668496077401e-05	-6.3575458351	2.2333357469	CD86 antigen
10352905	Cd34	-0.7404629886	0.0273213937	5.74348230880119e-05	-6.3193083679	2.1852818717	CD34 antigen
10568165	Zg16	1.2726239461	0.0302253043	6.92549978946004e-05	6.1855515886	2.0153298324	zymogen granule protein 16
10554945	Prcp	0.6227440644	0.0325326692	8.36868119078823e-05	6.051991609	1.8427269413	prolylcarboxypeptidase (angiotensinase C)
10600597	Tmem47	1.3028973466	0.0325326692	9.22998357388226e-05	5.9835374742	1.7531310717	transmembrane protein 47
10351206	Selp	1.6822564632	0.0325326692	0.0001010265	5.9208043408	1.6703471391	selectin, platelet
10595753	Trpc1	1.4485175028	0.0356750159	0.0001188432	5.8089559302	1.5211404611	transient receptor potential cation channel, subfamily C, member 1
10534974	Mcm7	-0.6873305707	0.0357445434	0.0001225293	-5.7880547838	1.4930289856	minichromosome maintenance complex component 7
10353252	Sbspon	0.9775202696	0.0391892805	0.0001613349	5.6016405893	1.2391064083	somatomedin B and thrombospondin, type 1 domain containing
10451763	Satb1	-0.9488825258	0.0408340491	0.000180823	-5.525331427	1.1335001071	special AT-rich sequence binding protein 1
