p_val	Genes	logFC_corrected	avg_logFC	pct.1	pct.2	p_val_adj
4.27948429521054e-16	Mt1	0.774329851	-0.774329851	0.271	1	5.04893557148939e-12
9.70383915026599e-16	Nupr1	1.2028295946	-1.2028295946	0.125	0.928	1.14485894294838e-11
7.30441533882956e-15	Sdpr	1.3590726067	-1.3590726067	0.271	0.971	8.61774921675112e-11
1.31693683649093e-14	Klhl4	1.2754003542	-1.2754003542	0	0.768	1.553722079692e-10
1.144880587504e-13	Sult1a1	1.4446321878	-1.4446321878	0.354	0.971	1.35073011713722e-09
1.64337762750703e-13	Plscr2	0.9726853205	-0.9726853205	0	0.725	1.93885692493279e-09
4.89949520890287e-13	Selp	1.0473936587	-1.0473936587	0.167	0.855	5.7804244474636e-09
1.36365149907915e-12	Aldh1a1	1.1539389066	-1.1539389066	0.271	0.957	1.60883603861359e-08
4.47937308647111e-12	Btg2	2.1310988995	-2.1310988995	0.417	0.986	5.28476436741862e-08
1.45550009703178e-10	Enpp5	0.7205668662	-0.7205668662	0.188	0.855	1.7171990144781e-06
3.21896854963381e-10	Gpr183	0.6598183825	-0.6598183825	0	0.58	3.79773909485797e-06
9.12600851624525e-10	Itgb3	0.6499532281	-0.6499532281	0.625	0.942	1.07668648474661e-05
1.27238819315849e-09	Clu	0.9419754217	-0.9419754217	0	0.551	1.50116359028839e-05
1.88729341499448e-09	Id2	1.1027790623	-1.1027790623	0.208	0.783	2.22662877101048e-05
4.25004030714907e-09	Clec1a	1.0042823254	-1.0042823254	0.292	0.841	5.01419755437447e-05
5.70148477787271e-09	Flt3	-0.2774992712	0.2774992712	0.417	0	6.72661174093422e-05
1.39904929693987e-08	Gadd45g	0.4134458813	-0.4134458813	0.167	0.739	0.0001650598
3.27886671059706e-08	Bmpr1a	0.7786868848	-0.7786868848	0	0.478	0.0003868407
4.34143505335562e-08	Satb1	-0.4835062938	0.4835062938	0.375	0	0.0005122025
8.23131505891187e-08	Art4	0.5821705776	-0.5821705776	0.167	0.725	0.0009711306
1.12063524550306e-07	Neo1	0.4451011839	-0.4451011839	0	0.449	0.0013221255
1.35219907724828e-07	Gstm2	0.3725925161	-0.3725925161	0.354	0.783	0.0015953245
3.20069153445429e-07	Fhl1	0.9138874989	-0.9138874989	0.292	0.725	0.0037761759
4.64100658723976e-07	Ebi3	-0.4036160774	0.4036160774	0.5	0.072	0.0054754596
5.88764246997402e-07	Ndrg1	0.5113995635	-0.5113995635	0.292	0.725	0.0069462406
6.59570013108602e-07	Pbx3	0.5879007042	-0.5879007042	0	0.406	0.007781607
7.3045173327457e-07	Dhrs3	0.3255135227	-0.3255135227	0.562	0.942	0.0086178695
1.16943499109245e-06	Cyp26b1	0.5820757983	-0.5820757983	0	0.391	0.013796994
1.65245762867059e-06	Gstm1	0.8396888241	-0.8396888241	0.833	0.971	0.0194956951
1.73154234333691e-06	Jam2	0.4468749715	-0.4468749715	0.146	0.594	0.0204287366
2.19272156594398e-06	Exoc6b	0.3924025091	-0.3924025091	0.312	0.768	0.025869729
2.57974270942917e-06	Mcm5	-0.3800735055	0.3800735055	1	0.971	0.0304358045
3.52297702610711e-06	Plek	1.6264727439	-1.6264727439	0.833	0.942	0.041564083
3.53994315734555e-06	Tgm2	0.8597698548	-0.8597698548	0.417	0.884	0.0417642494
3.58167683127218e-06	Dnm3	0.3873914748	-0.3873914748	0	0.362	0.0422566233
5.32924155457368e-06	S100a6	0.3759122847	-0.3759122847	0.292	0.739	0.0628743919
5.45975526849741e-06	Lst1	-0.4543727452	0.4543727452	0.667	0.232	0.0644141927
5.49472919529466e-06	Anxa6	-0.3535346352	0.3535346352	0.521	0.116	0.064826815
5.59827240760944e-06	Cpne8	0.6781435255	-0.6781435255	1	1	0.0660484179
7.27153478166224e-06	Oxr1	0.8822823556	-0.8822823556	0.604	0.928	0.0857895674
1.59493844820011e-05	Cysltr2	0.6191857861	-0.6191857861	0.146	0.551	0.1881708381
1.80404735824529e-05	Tm4sf1	0.3212673956	-0.3212673956	0	0.319	0.2128415073
1.80404735824529e-05	Muc1	0.5190249747	-0.5190249747	0	0.319	0.2128415073
3.04409218673194e-05	Klrb1c	0.3326238055	-0.3326238055	0	0.304	0.3591419962
4.79838513964999e-05	Tc2n	0.4448691295	-0.4448691295	0.188	0.536	0.5661134788
6.68687623969859e-05	Vmp1	0.7090030893	-0.7090030893	0.875	1	0.7889176588
7.04432951246727e-05	Ehd3	0.5761534836	-0.5761534836	0.271	0.58	0.8310899959
0.0001029838	Gem	0.6477914332	-0.6477914332	0.146	0.507	1
0.0001035909	Jun	0.646530488	-0.646530488	0.875	0.986	1
0.0001135746	Mef2c	0.664116042	-0.664116042	0.917	0.986	1
0.0001174222	Tox	0.7806487245	-0.7806487245	0.292	0.623	1
0.0001346796	Plac8	-0.4925175395	0.4925175395	0.562	0.246	1
0.0001801976	Arhgap29	0.4797311245	-0.4797311245	0.125	0.449	1
0.0002294272	Sbspon	0.2986839651	-0.2986839651	0	0.246	1
0.0002309552	Camk1d	-0.507915343	0.507915343	0.646	0.333	1
0.0002309559	Alcam	0.4757201465	-0.4757201465	0.812	0.928	1
0.000305718	Casp12	0.4900745698	-0.4900745698	0.479	0.725	1
0.0003737334	Evc	0.2657098703	-0.2657098703	0	0.232	1
0.0004553337	Mgst1	-0.4114803046	0.4114803046	0.396	0.116	1
0.0004863015	Ly6e	0.5121275429	-0.5121275429	1	1	1
0.0005254119	Ampd3	0.3761297182	-0.3761297182	0.896	0.913	1
0.0005500799	Serpinb8	0.3258452966	-0.3258452966	0.625	0.783	1
0.0006050144	Tmem56	0.5226489238	-0.5226489238	0	0.217	1
0.0006946816	Tacstd2	0.303127147	-0.303127147	0.312	0.623	1
0.0007009414	Nt5c3	0.6215255744	-0.6215255744	0.833	0.986	1
0.0007182018	Rnase6	-0.4893346413	0.4893346413	0.458	0.159	1
0.00074576	Tsc22d1	0.7649850094	-0.7649850094	0.896	0.971	1
0.0007609076	Prtn3	0.3240660885	-0.3240660885	0.896	0.971	1
0.0008911034	Plscr1	0.5974456988	-0.5974456988	0.5	0.71	1
0.0009736302	Tmem47	0.3168121561	-0.3168121561	0	0.203	1
0.0010968566	Tmem176a	0.4941557693	-0.4941557693	0.708	0.986	1
0.0011307286	Cytip	0.8253217418	-0.8253217418	0.917	0.957	1
0.0011591506	Cd86	-0.3995976975	0.3995976975	0.146	0	1
0.0012060574	Gstm7	0.387336799	-0.387336799	0.125	0.406	1
0.0012513672	Efna1	0.3842381601	-0.3842381601	0.167	0.435	1
0.0030878164	Runx1t1	0.5257639444	-0.5257639444	0.5	0.681	1
0.0034054663	Zfp36	0.4407760804	-0.4407760804	0.938	1	1
0.0037178065	Trim47	0.3822501947	-0.3822501947	0.521	0.754	1
0.003930673	Zg16	0.3113991704	-0.3113991704	0	0.159	1
0.003930673	Osmr	0.3324476562	-0.3324476562	0	0.159	1
0.0041044728	Rorb	0.465397308	-0.465397308	0.854	0.841	1
0.0041176243	Procr	0.314508155	-0.314508155	0.271	0.551	1
0.0073454589	Slamf1	0.6636574674	-0.6636574674	0.188	0.42	1
0.0088526183	Npdc1	0.2800578854	-0.2800578854	0.208	0.449	1
0.0101029728	Prcp	0.3975923106	-0.3975923106	0.792	0.899	1
0.0152953601	Pcdhb16	0.2788193972	-0.2788193972	0	0.116	1
0.0170555545	Pclo	-0.2525404456	0.2525404456	1	0.957	1
0.0243692214	Ocln	0.5382599834	-0.5382599834	0.188	0.377	1
0.0313375986	Ppp1r16b	0.3788230221	-0.3788230221	1	1	1
0.0313519761	Cd34	-0.4271387876	0.4271387876	0.729	0.551	1
0.0384845034	Cd63	0.266799936	-0.266799936	0.958	0.986	1
0.0409455886	Cd9	0.4108509076	-0.4108509076	0.875	0.87	1
