ID	external_gene_name	logFC	logCPM	LR	PValue	FDR
38	Fap	3.3005684339	3.7776825176	37.6970694901	8.26286001365815e-10	1.06628739336558e-07
100	S100a6	1.0970567388	6.3563877845	31.4261284929	2.07174099361499e-08	1.94571008317008e-06
134	Ramp2	1.8860884016	3.0859789681	21.3597294124	3.80683892601004e-06	0.0001872366
135	Lsr	0.9580779332	4.0384512927	12.5301416804	0.0004004394	0.0086898958
209	Vwf	1.8176362948	8.1626982198	118.9350764159	1.08214039887244e-27	8.31526520133575e-25
236	Rab34	1.8426288558	2.9925299755	23.7676860292	1.08692003229755e-06	6.40222409267948e-05
336	Tbc1d8	0.6595112704	5.8781445692	10.1219148095	0.001465167	0.0227653023
379	Ddr1	2.4858400318	1.6397203746	25.0040270588	5.72106975239455e-07	3.63589038211391e-05
417	Gstm7	1.0301489234	4.9232631773	26.3074435615	2.91164324829821e-07	2.00903384132576e-05
535	Mcm5	-0.0870429903	8.2916941128	0.2591826135	0.6106822671	0.869781273
558	Mef2c	0.4193222998	8.4081431531	13.9658772122	0.0001861588	0.0047826964
573	Ampd3	0.9965104839	5.5163686382	25.0429038543	5.60687195357808e-07	3.59030948391051e-05
661	Runx1t1	1.1314254074	4.0862409114	16.6877418997	4.40648083246222e-05	0.0015079263
747	Mgst1	-1.1617882686	5.5644259395	25.3767083887	4.71577693946897e-07	3.10195366388027e-05
978	Npdc1	1.4091624617	6.4828923458	84.2935304006	4.26508569481072e-20	1.50210986814115e-17
1002	Slamf1	1.0239132311	6.1505747341	17.3333780511	3.13629434398428e-05	0.00114512
1024	Lpl	1.6145178227	4.2726620333	36.3423893891	1.65524307046712e-09	1.94318639626712e-07
1090	Cd34	-0.3797781871	8.9955758197	7.6255206626	0.0057548053	0.0607651369
1097	Lamp2	0.6135927265	9.5806280179	37.3771350403	9.73568491027476e-10	1.2468314652136e-07
1106	Matn4	9.2148821699	4.7555708948	295.4682096291	3.19978319625341e-66	1.8030778310888e-62
1108	Rbpjl	8.9645694621	0.5745560552	53.0104320137	3.31781584222107e-13	6.37359963781218e-11
1146	Zfp334	1.8759076606	2.7101985766	16.1985393552	5.70380785189527e-05	0.0018401311
1179	Hnf4a	-1.3470357199	4.7591462157	24.8363529825	6.24093143446781e-07	3.92204259850105e-05
1192	Vmp1	0.2856810451	7.1769983065	4.7633610755	0.0290717253	0.1796691879
1204	Gpx3	1.9022427004	3.6929121414	16.9665046384	3.80451277840747e-05	0.0013371162
1205	Anxa6	-1.412204354	6.4748841385	36.0384523868	1.93461878457989e-09	2.25549865884987e-07
1223	Dhx40	1.3335292286	4.3171310395	18.4995099984	1.69947986636204e-05	0.0006922821
1277	Lsp1	-0.4837287677	7.3393581286	10.5780219931	0.0011444004	0.0189296368
1291	Cxcl16	1.3369472753	1.0939904078	5.4204334057	0.019902419	0.1419095649
1355	Cyb561	2.6967878145	3.4565626932	50.23656924	1.36284277577703e-12	2.45094224728837e-10
1405	Perp	1.3668136896	3.7484782016	20.2484895339	6.80071346482014e-06	0.0003049498
1421	Ptprk	2.0216007008	4.1264694283	36.8581355167	1.27044846400972e-09	1.55629936841191e-07
1423	Slc6a15	0.541165742	6.3469141971	9.2542824629	0.0023494537	0.0321033979
1516	Plek	1.2673150267	8.6416226994	89.1909389534	3.58487155741582e-21	1.40935473670033e-18
1658	Btg2	0.2319924008	4.4303431379	1.0350308826	0.30897998	0.6778544962
1719	Stxbp4	1.2843233654	6.8469282966	67.9638835565	1.66517802078981e-16	4.69163907357528e-14
1770	Itgb3	2.0552694542	7.6093703848	152.0473201448	6.18705261977796e-35	8.04554804133434e-32
1807	Trim47	0.3303469887	7.7150781283	1.739371395	0.1872184949	0.5405938786
1808	Aspa	2.5880850499	5.065374625	124.7704103222	5.71373757417662e-29	4.82953668457279e-26
