ID	Gene.symbol	logFC	P.Value	adj.P.Val
1457429_s_at	Sbspon	6.72433285019352	2.08980807604666e-11	9.42524340377803e-07
1418674_at	Osmr	4.55860094367788	1.10277758921611e-08	0.000141025270522932
1443933_at	Tc2n	3.71028696212876	1.2055077723249e-08	0.000141025270522932
1417818_at	Wwtr1	3.86787057808097	1.3733913140972e-08	0.000141025270522932
1439527_at	Pgr	2.89804466106394	1.78011459311452e-08	0.000141025270522932
1419665_a_at	Nupr1	3.40109769500736	2.31733178273833e-08	0.000141025270522932
1420558_at	Selp	3.33378316942535	2.44628924240896e-08	0.000141025270522932
1437356_at	Gpr183	3.91584522870156	2.79128817863733e-08	0.000141025270522932
1433741_at	Cd38	2.67909824741617	2.81418911932416e-08	0.000141025270522932
1448961_at	Plscr2	4.12444739037892	3.19634549784533e-08	0.000144158378298322
1440173_x_at	Selp	3.2006305397996	4.0192901216236e-08	0.00015586256785272
1453357_at	Tdrd9	3.55931657797524	4.704330476627e-08	0.00015586256785272
1417852_x_at	Clca3a1	3.03608389226289	8.13572949763451e-08	0.000216415537552992
1428942_at	Mt2	3.32827754543309	8.63723570642305e-08	0.000216415537552992
1449906_at	Selp	2.88867790122429	1.12698296044846e-07	0.000267516097364136
1425493_at	Bmpr1a	2.35920889016118	1.31074613655682e-07	0.000295579807524245
1419666_x_at	Nupr1	2.98110214845843	1.70385748198009e-07	0.000365931791879924
1449740_s_at	Dsg2	1.93306819185799	1.8111259246785e-07	0.000367734907130634
1453851_a_at	Gadd45g	2.26062214852205	2.36213956113504e-07	0.000426139425387005
1428359_s_at	Zg16	3.5699097881583	2.56257051474881e-07	0.000444517279944946
1422557_s_at	Mt1	2.71305666898987	2.75843381937765e-07	0.000460770828473153
1457691_at	Gpr183	2.54273593995175	4.44980076702769e-07	0.000680917977664895
1416411_at	Gstm2	2.96983616584066	4.52928745037734e-07	0.000680917977664895
1437689_x_at	Clu	3.53597166921328	6.39911524126872e-07	0.000901895301551439
1434553_at	Tmem56	2.87756721384832	6.89524696946623e-07	0.000942371313848171
1439364_a_at	Mmp2	-1.78267959913629	8.34233355666428e-07	0.00110661054629152
1436624_at	Dnm3	1.82422265602957	8.68062182154284e-07	0.00111858492792401
1418626_a_at	Clu	3.09801789083547	9.75014162062126e-07	0.00122150315897678
1416468_at	Aldh1a1	1.96644746679838	1.12035846624182e-06	0.00128995685157495
1460039_at	Clec1a	2.18084530429274	1.12852215472585e-06	0.00128995685157495
1416778_at	Sdpr	2.11997085738287	1.14131201666157e-06	0.00128995685157495
1437466_at	Alcam	1.66318146847437	1.14792294866406e-06	0.00128995685157495
1421642_a_at	Cysltr2	2.14822070279932	1.18469579071777e-06	0.00128995685157495
1418187_at	Ramp2	2.35953370108126	1.29822518856312e-06	0.00128995685157495
1423278_at	Ptprk	2.46886820869226	1.3007603588797e-06	0.00128995685157495
1437458_x_at	Clu	2.88642526152077	1.3165407771019e-06	0.00128995685157495
1456335_at	Sbspon	5.27343790040845	1.36549204373508e-06	0.00128995685157495
1436568_at	Jam2	2.50096897761182	1.37287263864654e-06	0.00128995685157495
1421096_at	Trpc1	3.02112956320715	1.45876169797283e-06	0.00131208166197935
1417853_at	Clca3a1	3.07986653371248	1.4836958107569e-06	0.00131208166197935
1425491_at	Bmpr1a	1.79318224609594	1.62610848468423e-06	0.00141036766861046
1457123_at	Nrg4	1.85822187039984	1.69037164646108e-06	0.00143844248352908
1434137_x_at	Zg16	2.7253575572201	1.73229098877933e-06	0.00144681584972105
1417235_at	Ehd3	2.1004967086297	2.64950364847093e-06	0.00195454771301999
1425494_s_at	Bmpr1a	2.38244743944874	2.6869018027813e-06	0.00195454771301999
1433855_at	Abat	1.86067330922384	2.9956938786247e-06	0.00214458396221988
1439476_at	Dsg2	2.22240635384985	3.09147874275888e-06	0.00217857473089325
1450958_at	Tm4sf1	3.49741403402148	4.03848310100395e-06	0.00275969130815726
1448383_at	Mmp14	1.40091013826996	4.3260080008053e-06	0.00286922480653411
1416053_at	Lrrn1	1.81031709681475	4.54479939733547e-06	0.00297065213940909
1454849_x_at	Clu	2.91238130692806	4.65684412334054e-06	0.00300040466866831
1452981_at	Cntn1	2.46781046520748	4.89973000632088e-06	0.00307697174501553
1434931_at	Neo1	2.40106225017431	4.9228468201133e-06	0.00307697174501553
1435858_at	Tmem215	3.52250420359082	4.98035381446384e-06	0.00307697174501553
1420514_at	Tmem47	2.49281159946983	5.1832972210875e-06	0.00311695850624357
