Reanalysed, two affy_ctrls_lines deleted						
ID	Gene.symbol	logFC	adj.P.Val	P.Value	t	Gene.title
1451127_at	Vopp1	4.6536492048	0.0082467142	1.3624864883035e-06	188.5950342241	vesicular, overexpressed in cancer, prosurvival protein 1
1417736_at	Smc6	4.2122760076	0.0082467142	1.37559340320152e-06	187.9210385658	structural maintenance of chromosomes 6
1417425_at	Prkrip1	-2.8901396383	0.0082467142	1.68544187182606e-06	-174.1741800881	Prkr interacting protein 1 (IL11 inducible)
1419140_at	Acvr2b	-2.2982865855	0.0082467142	2.63011458327437e-06	-147.4727367221	activin receptor IIB
1450901_a_at	Smek2	1.8362943655	0.0082467142	3.63981834663239e-06	130.5998034449	SMEK homolog 2, suppressor of mek1 (Dictyostelium)
1419299_at	Borcs7	-2.8858400816	0.0082467142	4.29247688785451e-06	-122.7877491633	BLOC-1 related complex subunit 7
1423096_at	Capn7	2.103116336	0.0082467142	4.29761312484209e-06	122.7328473748	calpain 7
1427442_a_at	App	3.2434386613	0.0082467142	4.63106263352628e-06	119.3503737934	amyloid beta (A4) precursor protein
1429296_at	Rab10	3.1918304381	0.0082467142	4.67675812938419e-06	118.9129116929	RAB10, member RAS oncogene family
1424982_a_at	Cacul1	1.7438005863	0.0082467142	6.14155141508206e-06	107.3923536003	CDK2 associated, cullin domain 1
1435637_at	Itfg1	1.6989108136	0.0082467142	6.62710046861265e-06	104.3792915138	integrin alpha FG-GAP repeat containing 1
1416208_at	Usp14	3.80923495	0.0082467142	6.74906435887502e-06	103.6697941567	ubiquitin specific peptidase 14
1416195_at	Inpp5k	-1.6740715961	0.0082467142	6.99978615870197e-06	-102.265125728	inositol polyphosphate 5-phosphatase K
1451234_at	Fam193b	-2.7367956265	0.0082467142	7.59329232992209e-06	-99.199189306	family with sequence similarity 193, member B
1418887_a_at	Fam104a	-1.5029673814	0.0082467142	7.61001502669978e-06	-99.1176041171	family with sequence similarity 104, member A
1427345_a_at	Sult1a1	3.7880321143	0.0082467142	7.97041454297324e-06	97.4170296745	sulfotransferase family 1A, phenol-preferring, member 1
1415881_at	Ghitm	1.9075284224	0.0082467142	8.13185808174697e-06	96.6891278013	growth hormone inducible transmembrane protein
1415780_a_at	Armcx2	1.4609041061	0.0082467142	8.28536458213066e-06	96.0151922782	armadillo repeat containing, X-linked 2
1417721_s_at	Laptm5	3.6150208538	0.0082467142	8.36124047219265e-06	95.6883781163	lysosomal-associated protein transmembrane 5
1420829_a_at	Ywhaq	1.3582323584	0.0082467142	8.75503797635737e-06	94.0553673814	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide
1428133_at	Snip1	1.6688155816	0.0082467142	8.82625555756334e-06	93.770797699	Smad nuclear interacting protein 1
1416372_at	Ptdss1	1.3924166134	0.0082467142	8.87768195673657e-06	93.5672632342	phosphatidylserine synthase 1
1448640_at	Slc14a1	2.0403074406	0.0082467142	9.06161015594848e-06	92.8523663293	solute carrier family 14 (urea transporter), member 1
1434378_a_at	Mxd4	-2.955674027	0.0082467142	9.37953226028092e-06	-91.6624973972	Max dimerization protein 4
1424771_at	H2afj	-3.1962101333	0.0082467142	9.41173532040491e-06	-91.545066004	H2A histone family, member J
1451717_s_at	Senp2	1.589267103	0.0082467142	1.00748171736445e-05	89.2433626944	SUMO/sentrin specific peptidase 2
1452704_at	Rmdn3	2.2843912503	0.0082467142	1.06291013304447e-05	87.4734389109	regulator of microtubule dynamics 3
1429247_at	Anxa6	-4.5077064349	0.0082467142	1.06617704330964e-05	-87.3730903605	annexin A6
1427944_at	Caprin2	-1.3453657891	0.0082467142	1.08353175031467e-05	-86.8470065776	caprin family member 2
1422753_a_at	Polr3k	-1.397843037	0.0082467142	1.09035445952889e-05	-86.6433452755	polymerase (RNA) III (DNA directed) polypeptide K
1435350_at	Traf6	1.5135241763	0.0086433728	1.18089271139916e-05	84.0964196817	TNF receptor-associated factor 6
1451634_at	Airn	-3.2071927913	0.0103492697	1.45957087478351e-05	-77.6889635376	antisense Igf2r RNA
1420475_at	Mtpn	2.5085248293	0.0104539544	1.52895969583151e-05	76.3509005561	myotrophin
1416779_at	Sdpr	4.8634632284	0.0104539544	1.59931897685039e-05	75.0767115054	serum deprivation response
1418594_a_at	Ncoa1	-1.7298367294	0.0104539544	1.63490962190943e-05	-74.461130505	nuclear receptor coactivator 1
1417490_at	Ctsb	1.9884078199	0.0104539544	1.65862652304976e-05	74.0610481591	cathepsin B
1422880_at	Sypl	1.0629893363	0.0104845511	1.74657125197352e-05	72.6434464614	synaptophysin-like protein
1422557_s_at	Mt1	5.5764220209	0.0104845511	1.78869866047633e-05	71.9986544032	metallothionein 1
1417252_at	Nt5c	-2.5524328428	0.0104845511	1.80210441211384e-05	-71.7978298784	5',3'-nucleotidase, cytosolic
1417225_at	Arl6ip5	1.9858609086	0.0106006651	1.8687818576508e-05	70.8286168255	ADP-ribosylation factor-like 6 interacting protein 5
1433510_x_at	Gm4604///Rpl36	-1.9833855613	0.0106111428	1.91739469274953e-05	-70.1514392207	predicted gene 4604///ribosomal protein L36
1416391_at	Ptcd1	-1.109198632	0.0107220994	1.98469887840038e-05	-69.2518732688	pentatricopeptide repeat domain 1
1438857_x_at	Irak1	-2.5098756325	0.0117125545	2.21965555336644e-05	-66.4130749374	interleukin-1 receptor-associated kinase 1
1434078_at	Ubfd1	1.1704020974	0.0118346131	2.3911197124084e-05	64.5897845697	ubiquitin family domain containing 1
1428762_at	Tab3	1.2024992943	0.0118346131	2.40303314282265e-05	64.4697999003	TGF-beta activated kinase 1/MAP3K7 binding protein 3
1451583_a_at	Mmgt2	-1.0716024034	0.0118346131	2.46398618089897e-05	-63.868459738	membrane magnesium transporter 2
1418210_at	Pfn2	2.1594880246	0.0118346131	2.5102641643894e-05	63.4253810592	profilin 2
1431726_a_at	Tmem80	-2.2597824421	0.0118346131	2.52065616052689e-05	-63.3274258643	transmembrane protein 80
1420558_at	Selp	4.7429681654	0.0118346131	2.55573398244684e-05	63.0008354443	selectin, platelet
1451487_at	Rabepk	-0.908227539	0.0122078102	2.7823515150575e-05	-61.0298220749	Rab9 effector protein with kelch motifs
1428359_s_at	Zg16	2.6458883961	0.0122078102	2.89205005978964e-05	60.1532081957	zymogen granule protein 16
1451501_a_at	Ghr	2.1754744276	0.0122078102	2.89949132428421e-05	60.0954017987	growth hormone receptor
1425129_a_at	Taldo1	-1.3175583605	0.0122078102	2.9127949485268e-05	-59.9925606707	transaldolase 1
1418970_a_at	Bcl10	1.2729071975	0.0122078102	2.93231192866735e-05	59.8428504263	B cell leukemia/lymphoma 10
1416411_at	Gstm2	4.4909038524	0.0122078102	3.01131102798135e-05	59.2505682957	glutathione S-transferase, mu 2
1455285_at	Slc31a1	1.8885178694	0.0122078102	3.01294566021245e-05	59.2385388496	solute carrier family 31, member 1
1431827_a_at	Tlk2	2.2832855175	0.0124162373	3.13497237303296e-05	58.3650626471	tousled-like kinase 2 (Arabidopsis)
1438418_at	Ap5m1	-0.8356073883	0.0124162373	3.17382883326302e-05	-58.0966740194	adaptor-related protein complex 5, mu 1 subunit
1421947_at	Gng12	2.6299077565	0.012457772	3.25122742335428e-05	57.5752804359	guanine nucleotide binding protein (G protein), gamma 12
1417718_at	Eif3g	-2.4288216705	0.012457772	3.35911243605324e-05	-56.8763055223	eukaryotic translation initiation factor 3, subunit G
1437013_x_at	Atp6v0b	-1.3093503935	0.012457772	3.38494890530057e-05	-56.7134785828	ATPase, H+ transporting, lysosomal V0 subunit B
1431036_a_at	Gm10698///Tmed2	3.3943412639	0.012457772	3.52349118466757e-05	55.8685884373	predicted gene 10698///transmembrane emp24 domain trafficking protein 2
1456135_s_at	Pxn	-0.9849185761	0.012457772	3.55232077422292e-05	-55.6984963223	paxillin
1450841_at	Stt3a	1.928786745	0.012457772	3.5757487211732e-05	55.5616639663	STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)
1438755_at	C80068	-2.3464720998	0.012457772	3.67861731836966e-05	-54.9751146314	expressed sequence C80068
1452514_a_at	Kit	1.7851519721	0.012457772	3.73100642794059e-05	54.6849838183	kit oncogene
1460592_at	Epb41l1	-0.8035147444	0.012457772	3.73457449080264e-05	-54.6654275857	erythrocyte membrane protein band 4.1 like 1
1426566_s_at	Il17re	-1.3200160658	0.012457772	3.89472545214364e-05	-53.8132211571	interleukin 17 receptor E
1438120_x_at	Irak1	-2.1070910511	0.012457772	3.92382739076881e-05	-53.6635223444	interleukin-1 receptor-associated kinase 1
1420326_s_at	Cramp1l	-2.2772992148	0.012457772	3.96719190023332e-05	-53.4432647669	Crm, cramped-like (Drosophila)
1456107_x_at	Eftud2	-1.4643785595	0.012457772	4.04590306770489e-05	-53.0518024057	elongation factor Tu GTP binding domain containing 2
1428608_at	Myl12b	-1.3431878836	0.012457772	4.04709207453502e-05	-53.0459693492	myosin, light chain 12B, regulatory
1436494_x_at	Trmt1	-1.435104	0.012457772	4.06059542344097e-05	-52.9798890623	tRNA methyltransferase 1
1415863_at	Eif4g2	2.2238332879	0.012457772	4.17837767587945e-05	52.4160240068	eukaryotic translation initiation factor 4, gamma 2
1437343_x_at	Atad3a	-3.2286526474	0.012457772	4.25363697761754e-05	-52.0670367369	ATPase family, AAA domain containing 3A
1423850_at	Nsun2	1.7864495893	0.012457772	4.25680796945758e-05	52.0525188816	NOL1/NOP2/Sun domain family member 2
1449116_a_at	Dtymk	-1.2829364494	0.012457772	4.31819577654759e-05	-51.774359851	deoxythymidylate kinase
1451015_at	Tkt	1.9496781361	0.012457772	4.32706397023804e-05	51.7346254594	transketolase
1424255_at	Supt5	-1.7166964334	0.012457772	4.33743495364112e-05	-51.6882994053	suppressor of Ty 5
1449021_at	Rpp21	-1.4788148426	0.0128696495	4.604675462023e-05	-50.5446204189	ribonuclease P 21 subunit
1450634_at	Atp6v1a	1.7607821715	0.0128696495	4.63070628994028e-05	50.4381007769	ATPase, H+ transporting, lysosomal V1 subunit A
1417816_s_at	Serinc3	3.1237780601	0.0128696495	4.65099717229352e-05	50.3556381346	serine incorporator 3
1419645_at	Cstf2	0.942663551	0.0133175934	4.87157448022943e-05	49.4899548293	cleavage stimulation factor, 3' pre-RNA subunit 2
1424368_s_at	Ubqln1	1.4334143239	0.0135418391	5.01328550885738e-05	48.9616934474	ubiquilin 1
1425702_a_at	Enpp5	3.1242166676	0.013955513	5.28429258272561e-05	48.0063942511	ectonucleotide pyrophosphatase/phosphodiesterase 5
1415851_a_at	Gm15210///Impdh2	-0.9383423575	0.013955513	5.2894407977351e-05	-47.9889012251	inosine 5-phosphate dehydrogenase 2///inosine 5'-phosphate dehydrogenase 2
1416559_at	Rrp8	2.2312213036	0.0140619128	5.39174267260725e-05	47.6460687121	ribosomal RNA processing 8, methyltransferase, homolog (yeast)
1423481_at	Riok2	1.9320188874	0.0143399484	5.56154897001033e-05	47.0962993926	RIO kinase 2 (yeast)
1421193_a_at	Pbx3	1.8825587684	0.0144717161	5.78095890199222e-05	46.4191490705	pre B cell leukemia homeobox 3
1455439_a_at	Lgals1	-3.6475984318	0.0144717161	5.87878322367518e-05	-46.128513476	lectin, galactose binding, soluble 1
1416180_a_at	Rdx	2.5913629648	0.0144717161	5.97064805454229e-05	45.8615682728	radixin
1419173_at	Acy1	-1.9436901211	0.0144717161	5.99007267830029e-05	-45.8058451476	aminoacylase 1
1415807_s_at	Srsf2	0.8077463329	0.0144717161	6.01559219109346e-05	45.7330138019	serine/arginine-rich splicing factor 2
1448495_at	Tsta3	-2.2933351253	0.0144717161	6.0653240299428e-05	-45.5922937289	tissue specific transplantation antigen P35B
1427332_at	Med19	1.69862215	0.0144717161	6.07806475862852e-05	45.5564976657	mediator complex subunit 19
1417734_at	Akap8l	-2.790176754	0.0144717161	6.18943371962281e-05	-45.2479241818	A kinase (PRKA) anchor protein 8-like
1426906_at	Mndal	-3.0043581245	0.0144717161	6.20275374700159e-05	-45.2115286721	myeloid nuclear differentiation antigen like
1438264_a_at	Tpp2	5.4653495876	0.0144717161	6.29629742424732e-05	44.9589201341	tripeptidyl peptidase II
1450057_at	Sys1	-1.156848468	0.0144717161	6.31772264290686e-05	-44.9017874721	SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)
1455486_at	Pias1	1.0631724473	0.0144717161	6.55987272634442e-05	44.27403201	protein inhibitor of activated STAT 1
1448702_at	Ier3ip1	-1.6164510059	0.0144717161	6.63568986261434e-05	-44.0839908908	immediate early response 3 interacting protein 1
1425066_a_at	Mtmr14	-1.0695803206	0.0144717161	6.67614606141421e-05	-43.9838004081	myotubularin related protein 14
1460636_at	Map2k2	-0.7094336658	0.0144717161	6.68391313297182e-05	-43.9646605118	mitogen-activated protein kinase kinase 2
1437611_x_at	Kif2c	-2.9168210756	0.0144717161	6.69515835274166e-05	-43.9370037052	kinesin family member 2C
1456098_a_at	Elmo2	1.0963220341	0.0144717161	6.6969157676612e-05	43.9326872347	engulfment and cell motility 2
1423999_at	Abl1	-0.611949084	0.0148687894	6.94619512207478e-05	-43.3357325554	c-abl oncogene 1, non-receptor tyrosine kinase
1448449_at	Ripk3	-1.508809694	0.015149312	7.14401226062668e-05	-42.8825720537	receptor-interacting serine-threonine kinase 3
1427892_at	Myo1g	-2.5955014084	0.0153179182	7.38375984991913e-05	-42.3559272755	myosin IG
1448199_at	Ankrd10	0.9937595221	0.0153179182	7.5304642796295e-05	42.0451099413	ankyrin repeat domain 10
1419102_at	Sin3a	0.7214886573	0.0153179182	7.65919426763535e-05	41.7791475198	transcriptional regulator, SIN3A (yeast)
1460199_a_at	Pafah1b1	1.799636566	0.0153179182	7.6886943331182e-05	41.7190625393	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1
