Old_to_young					
p_val	Gene	avg_logFC	pct.1	pct.2	p_val_adj
6.51991456005595e-17	Nupr1	0.7895693049	0.821	0.325	7.16734207586951e-13
4.42332602265248e-16	Gda	0.7030035224	0.911	0.362	4.86256229670187e-12
9.2226557604471e-16	Selp	1.0756210292	0.789	0.212	1.01384654774595e-11
3.1322791764159e-14	Sult1a1	1.1257416267	0.911	0.412	3.443314498634e-10
1.78018436707457e-13	Clec1a	0.8676996916	0.707	0.175	1.95695667472507e-09
1.34591845307859e-11	Tgm2	0.7508887213	0.976	0.825	1.4795681554693e-07
3.85239373323488e-11	Prtn3	0.6779697711	0.951	0.75	4.23493643094511e-07
4.08173718678418e-11	Tmem176a	0.6639347549	0.959	0.738	4.48705368943185e-07
1.18649202443671e-10	Vwf	0.7578124998	0.789	0.362	1.30431068246327e-06
1.55606459877818e-10	Eef2	0.3390188743	0.992	1	1.71058181343685e-06
5.81193362034013e-10	Clca1	0.5980843504	0.602	0.15	6.3890586288399e-06
6.56027385588627e-10	Plscr2	0.5084649113	0.561	0.1	7.21170904977577e-06
9.07895653623705e-10	Txnip	0.7372161265	0.943	0.712	9.98049692028539e-06
1.03966251440258e-09	Aldh1a1	0.6818649731	0.821	0.4	1.14290100208275e-05
2.39227375535708e-09	Jun	0.5830363779	0.358	0	2.62982653926404e-05
4.88067001136785e-09	Plscr1	0.574496069	0.675	0.275	5.36532054349668e-05
6.45543154835601e-09	Dhrs3	0.7674430375	0.577	0.162	7.09645590110776e-05
7.20386465892261e-09	Rpl12	0.3128448723	0.984	0.975	7.91920841955362e-05
9.0961526045384e-09	Ehd3	0.7110352924	0.618	0.188	9.99940055816906e-05
1.78991343178019e-08	Ptprk	0.2539600556	0.325	0	0.0001967652
1.79348912009962e-08	Rplp1	0.3907065531	0.992	0.988	0.0001971583
2.08259078179188e-08	Mid1	0.3154817468	0.553	0.188	0.0002289392
2.08259078179188e-08	Mt1	0.2850472766	0.569	0.162	0.0002289392
2.43377912680573e-08	Cd63	0.4802078773	0.976	0.862	0.0002675453
2.51645192497858e-08	Sbspon	0.6066761611	0.423	0.062	0.0002766336
3.64268534130968e-08	Rpl10	0.2742120891	0.984	1	0.0004004404
3.77127490019801e-08	Rpl7	0.3355004703	0.992	0.988	0.0004145762
4.18387459077847e-08	Rpl5	0.2618517148	0.984	0.988	0.0004599333
4.22183010742131e-08	Vmp1	0.7207004349	0.911	0.838	0.0004641058
4.26831801082465e-08	Exoc6b	0.6216854621	0.789	0.425	0.0004692162
5.26975704951583e-08	Itgb3	0.5188731381	0.659	0.275	0.0005793044
6.19275882811825e-08	Sdpr	0.3821540255	0.764	0.35	0.00068077
7.19124398338066e-08	Ptma	-0.3163410664	0.992	0.988	0.0007905335
1.04289373591421e-07	H2-D1	0.3028845843	1	1	0.0011464531
1.19948786428086e-07	Uba7	0.5750136212	0.976	0.938	0.001318597
1.22437426557202e-07	Plac8	-0.3095498458	0.041	0.3	0.0013459546
1.36108812347012e-07	Lpar6	0.2757615146	0.829	0.425	0.0014962442
1.38827032203197e-07	Cyp26b1	0.2945843792	0.439	0.088	0.0015261256
1.43016096480072e-07	Rorc	0.5650224664	0.431	0.088	0.0015721759
1.95310931363022e-07	Gata3	0.5296057991	0.748	0.362	0.0021470531
2.00490659686315e-07	Gpx3	0.2878818768	0.285	0	0.0022039938
2.41621786199404e-07	Procr	0.4704741336	0.821	0.45	0.0026561483
3.20950401031467e-07	Xdh	0.4067066403	0.276	0	0.0035282078
3.20950401031467e-07	Tm4sf1	0.4049255222	0.276	0	0.0035282078
4.19103115722202e-07	Rps21	0.3993506436	0.967	0.95	0.0046072006
4.37455028677795e-07	Alcam	0.3187260456	0.504	0.15	0.0048089431
4.40572979322652e-07	Nnt	-0.4330688093	0.276	0.612	0.0048432188
5.62182854482258e-07	Wdfy1	-0.6315609712	0.333	0.6	0.0061800761
7.64891422841375e-07	Cpne8	0.4804626594	0.854	0.75	0.0084084514
8.12519630679621e-07	Klrb1c	0.4508591226	0.26	0	0.0089320283
9.30047955449658e-07	Tpt1	0.2529161289	0.992	0.975	0.0102240172
9.41569812283894e-07	4930511M06Rik	0.2605004223	0.992	0.95	0.0103506769
1.10366138402473e-06	Cmtm7	-0.4875426997	0.74	0.888	0.0121325496
1.2851172503944e-06	Gpr183	0.4866814687	0.252	0	0.0141272939
1.53056126029062e-06	Jam2	0.5027467261	0.398	0.088	0.0168254599
1.77525997633232e-06	Cd38	0.3940426148	0.577	0.238	0.0195154329
1.78674867818664e-06	Pgr	0.2764266071	0.398	0.088	0.0196417282
1.85058298796658e-06	Ezh1	0.6463901323	0.626	0.312	0.0203434588
2.02471836747814e-06	Matn4	0.4436402796	0.244	0	0.022257729
2.08892451712396e-06	Tmem254b	0.4612667327	0.732	0.425	0.0229635472
2.16695965169231e-06	Plk2	0.6309123996	0.439	0.125	0.0238213875
2.25192903704845e-06	Tmem181b-ps	-0.481236012	0.911	0.962	0.0247554559
2.34941706980249e-06	Gbp6	0.5295249509	0.61	0.25	0.0258271418
2.66267992298695e-06	Ppp1r16b	0.3013554348	0.878	0.688	0.0292708404
3.0394576331929e-06	Enpp5	0.5788828157	0.756	0.425	0.0334127578
3.08499909765166e-06	Runx1t1	0.3544976378	0.52	0.175	0.0339133951
3.18655931595739e-06	Slc22a3	-0.2668090893	0.065	0.312	0.0350298466
3.54814836689251e-06	Neat1	0.5638726187	0.902	0.75	0.039004795
