Gene	direction
Btbd2	1
Wwtr1	1
Orai3	1
Sdpr	1
Csgalnact1	1
H2-K1	1
Actb	1
Pld3	1
Abhd6	1
Numa1	1
Eif3a	1
Msn	1
Clns1a	1
Anxa7	1
Stat3	1
Camk1	1
G6pc3	1
B2m	1
Cd9	1
Cpne8	1
Col16a1	1
Pkm2	1
Arpc1b	1
Ddx56	1
Map1lc3a	1
G3bp1	1
Trmt1	1
Tubb2c	1
Cltb	1
Mta2	1
Rnps1	1
Cbara1	1
Ubap2l	1
Akt2	1
H2-D1	1
Slc48a1	1
Flot2	1
Eif3b	1
Nav1	1
Nfix	1
Rab1b	1
Plcb2	1
Rbm25	1
Tpi1	1
Eif5a	1
6820431F20Rik	1
Cirh1a	1
Syngr2	1
Slc25a4	1
Srebf2	1
Sf3b3	1
Irak1	1
Gsn	1
Crtap	1
Dguok	1
Nsf	1
Plxnb2	1
Rnf167	1
Krt18	1
Sae1	1
Dpp9	1
Hspbp1	1
Alcam	1
Macrod1	1
Clec1a	1
Pigs	1
Galk1	1
Marcksl1	1
Cnbp1///---	1
Zfp148	1
Psmb8	1
Dda1	1
Tradd	1
Srxn1	1
---	1
Sema7a	1
Snrnp70	1
Pcnxl3	1
Gpr56	1
Lman2	1
Dtymk	1
Atp5d	1
Gapdh	1
4921506J03Rik	1
Rfk	1
Igfbp4	1
LOC100047009 /// Pus7	1
Cnp	1
Actn4	1
Mrpl10	1
Smarcc1	1
Il27ra	1
Siae	1
Gpi1	1
Psap	1
Ctcf	1
Arf1	1
Bcl2	1
2610306M01Rik	1
Camk1	1
Rab4b	1
N4bp1	1
Ube2j2	1
Ghr	1
Mrps27	1
2310003F16Rik	1
Socs3	1
Hsd17b10	1
Dynll2	1
Ddx10	1
Tnfsf12 /// Tnfsf12-Tnfsf13 /// Tnfsf13	1
Ctsf	1
Esyt1	1
Aup1	1
Ctsw	1
Rxra	1
Serinc3	1
Dad1	1
Snapin	1
Rora	1
Cd151	1
Bcap31	1
Wdr48	1
AA881470	1
Mcl1	1
Igf2bp2	-1
Epsti1	-1
Tatdn1	-1
Mrps9	-1
Dhps	-1
Socs5	-1
Rassf4	-1
Eml5	-1
Pdk1	-1
Igdcc4	-1
Tfb1m	-1
H47	-1
Mthfd2l	-1
Rnf2	-1
Ppp2r3c	-1
Cd2ap	-1
1810014B01Rik	-1
---	-1
Tes3-ps	-1
Vegfc	-1
Mllt3	-1
Sgcb	-1
Dock7	-1
Ormdl1	-1
Ncoa2	-1
---	-1
Usp1	-1
Vim	-1
Tnik	-1
Fyn	-1
Ttc14	-1
H47	-1
Rbm16	-1
Fyco1	-1
1200016B10Rik	-1
Luc7l2	-1
Add3	-1
Nrk	-1
Fam49b	-1
Atxn1	-1
Fastkd2	-1
BC055324	-1
Itgb5	-1
Ncoa3	-1
Ofd1	-1
Gm2643 /// LOC100047186	-1
LOC100045442 /// Stag1	-1
Glt8d1	-1
Dcun1d1	-1
Ttc3	-1
Nudt13	-1
5830407E08Rik	-1
Eif2ak4	-1
Med30	-1
Polr3a	-1
Dnase2a	-1
2410002O22Rik /// LOC100044479	-1
Pi4k2b	-1
BC057079	-1
Tmod1	-1
Cdk5rap1	-1
Acyp1	-1
Reck	-1
Cobll1	-1
5830407E08Rik	-1
Myo5a	-1
1700012D14Rik	-1
---	-1
Zfp566	-1
Rapgef6	-1
Cklf	-1
Sp4	-1
Fech	-1
Hmga2	-1
Ebag9	-1
Prkcb	-1
Clip1	-1
Parp1	-1
Mycbp2	-1
Adam22	-1
Shprh	-1
Lias	-1
---	-1
Mtcp1	-1
Rbm39	-1
Gm6768 /// Ncoa4	-1
---	-1
Smndc1	-1
Paip1	-1
Vnn1	-1
1190002H23Rik	-1
Gria3	-1
Dnajc14	-1
Ccny	-1
Mxd3	-1
Taf9b	-1
LOC100134980	-1
Ublcp1	-1
BC005537	-1
Mll5	-1
Fbxo3	-1
Tspyl4	-1
LOC100045551 /// Ppm1d	-1
Pgap2	-1
Phf14	-1
Tpst1	-1
AU022870	-1
2210404J11Rik	-1
Ankrd44	-1
Snapin	-1
Afap1l1	-1
Slc4a7	-1
Ift57	-1
Zfp82	-1
D5Ertd255e	-1
Ptpn2	-1
LOC100044751 /// Zfp207	-1
Tle4	-1
Itgb3bp	-1
Riok2	-1
Gprasp2	-1
C030046G05	-1
Jmjd1c	-1
Tceb1	-1
Uso1	-1
Ndufs4	-1
---	-1
Rpa3	-1
Dnmt3b	-1
Zmiz1	-1
Pias1	-1
Hist1h1c	-1
Uba2	-1
Tsc22d1///---	-1
Gtf2e1	-1
Kdm3a	-1
2610002M06Rik	-1
2810416A17Rik	-1
---	-1
Styx	-1
D930003E18Rik	-1
Vav3	-1
Trub2	-1
Zcchc11	-1
Ell2	-1
2010315B03Rik	-1
Exoc6	-1
Rreb1	-1
Snrnp27	-1
Kcnb1 /// Pacsin2	-1
Tbce	-1
Atg4c	-1
Mettl9	-1
Diap2	-1
Carm1///---	-1
Nr6a1///---	-1
Rad17	-1
Yme1l1	-1
Fgl2	-1
Zbtb25	-1
1810026B05Rik	-1
Top2b	-1
Rpf2	-1
Dock10	-1
Rnpc3	-1
---	-1
Tipin	-1
