Genes	direction
Mmp2	-1
Ap1g2	-1
Mmp2	-1
Prkcabp	-1
4930563C04Rik	-1
Ppan	-1
Man2b1	-1
Lap3	-1
Pex6	-1
BC025076	-1
1110039I09Rik	-1
D330037A14Rik	-1
Pmscl2	-1
Irak1	-1
Dpys	-1
B230354K17Rik	-1
Apg16l	-1
Frap1	-1
Preb	-1
2810410A03Rik	-1
Prkcl1	-1
1810008O21Rik	-1
2310047I15Rik	-1
Nisch	-1
E130307C13	-1
Icsbp1	-1
AU043488	-1
C330027I04Rik	-1
Asph	-1
BC026588	-1
Pctk1	-1
Pex6	-1
Sirt7	-1
Myo1g	-1
Ivd	-1
1500026D16Rik	-1
2210010N04Rik	-1
na	-1
2310066E14Rik	-1
Dmap1	-1
Hmga2	-1
Pps	-1
Vps16	-1
Atp13a	-1
Il18r1	-1
1110012M11Rik	-1
Tle2	-1
Zipro1	-1
1110005L13Rik	-1
BC019977	-1
Anxa6	-1
Gpsm1	-1
2900006B13Rik	-1
Ppp2r3a	-1
Ptov1	-1
Ptprcap	-1
Mrps7	-1
Tarbp2	-1
Mcm7	-1
9130415E20Rik	-1
Vars2	-1
Mvp	-1
Pura	-1
4921528G01Rik	-1
Rad54l	-1
Cd37	-1
Mrpl43	-1
Eif3s4	-1
Atp6v0b	-1
Grb10	-1
2810407E01Rik	-1
Kif22	-1
Car9	-1
Cops7b	-1
Dgkz	-1
Rapgef1	-1
1110033J19Rik	-1
1700006C06Rik	-1
Timm44	-1
Timm44	-1
1110007L15Rik	-1
Pde6d	-1
Cox5b	-1
2510002D24Rik	-1
Satb1	-1
D8Ertd812e	-1
Sh2bpsm1	-1
5930416I19Rik	-1
2310004N24Rik	-1
Lgals1	-1
Pex6	-1
Kif22	-1
Neu1	-1
BC023037	-1
Trim12	-1
2510004L20Rik	-1
2610528K11Rik	-1
Anapc5	-1
9530028C05	-1
Bat5	-1
Zfp106	-1
Lgals1	-1
2900092E17Rik	-1
Foxp1	-1
na	-1
Idh3g	-1
Rpl37a	-1
AI463719	-1
Smpd2	-1
Y17678	-1
1600010O03Rik	-1
Gtf3c5	-1
Pmscl2	-1
Paxip1	-1
Ddit3	-1
Dtymk	-1
Clpp	-1
Cd86	-1
Thrap5	-1
Nnp1	-1
Pitpnm	-1
Mrps34	-1
Mtx1	-1
2310005E10Rik	-1
Bat3	-1
Coro1b	-1
BC021381	-1
Phxr1	-1
Irak1	-1
Paxip1	-1
Sirt2	-1
AA536743	-1
1500001L15Rik	-1
Atbf1	-1
Ndufs7	-1
Zfp259	-1
Trappc5	-1
Ndufb2	-1
Nisch	-1
D7Bwg0611e	-1
Ccm2	-1
A430104N18Rik	-1
1500035H01Rik	-1
2310032N20Rik	-1
Csnk2a2	-1
Mcm7	-1
AU043488	-1
Hagh	-1
5730409F23Rik	-1
Hgf	-1
Phka2	-1
Villp	-1
2610042O14Rik	-1
1700054N08Rik	-1
6530402N02Rik	-1
Mll3	-1
1110032N12Rik	-1
Ptov1	-1
2700067D09Rik	-1
2900010M23Rik	-1
Ncoa1	-1
Nrbf1	-1
Arl6ip4	-1
Trpc2	-1
9430015G10Rik	-1
4930568P13Rik	-1
9130221H12Rik	-1
BC022641	-1
Llglh2	-1
Tcf4	-1
Slc39a4	-1
C76800	-1
4432404P07Rik	-1
Tap1	-1
Urkl1	-1
Madh4	-1
Cit	-1
Kif22	-1
Mrpl53	-1
Abhd8	-1
Ndst2	-1
BC042396	-1
Fau	-1
Dgkz	-1
1110039B18Rik	-1
Usp19	-1
Mrps9	-1
Nt5c	-1
AI790298	-1
Satb1	-1
Slc43a3	-1
2410005K17Rik	-1
Pabpn1	-1
6430559E15Rik	-1
3300001P08Rik	-1
Tyms	-1
Smarca4	-1
Tctex1	-1
D2Wsu81e	-1
Grcc3f	-1
Ndufs8	-1
2700094L05Rik	-1
Mrpl2	-1
Sra1	-1
Rrbp1	-1
6430517J16Rik	-1
Dyt1	-1
Azi1	-1
Clcn2	-1
Rps14	-1
C77776	-1
Metapl1	-1
2510006D16Rik	-1
Dhx30	-1
Uqcrc1	-1
Vim	-1
Pcbp4	-1
1110012E06Rik	-1
AA717264	-1
Lsm10	-1
NA	-1
Fasn	-1
Xab2	-1
Ptprv	-1
2210408E11Rik	-1
9130022B02Rik	-1
Thy28	-1
Siat8d	-1
Col4a2	-1
Xrcc1	-1
Pola2	-1
Stub1	-1
Dtx2	-1
Rnpepl1	-1
Pafah1b3	-1
BC013712	-1
Rpp20	-1
Tctex1	-1
Siva	-1
2810405K02Rik	-1
2210013M04Rik	-1
Eif2b2	-1
Nup133	-1
Cope	-1
Prpf8	-1
Dgka	-1
2810052M02Rik	-1
AI255170	-1
Pcyt2	-1
Psmd3	-1
2600017A12Rik	-1
Wim	-1
Tnip1	-1
Bckdk	-1
Tia1	-1
na	-1
Drg2	-1
Zfp289	-1
1500026D16Rik	-1
2310005K03Rik	-1
Ddx54	-1
9530028C05	-1
Nab2	-1
Fcho1	-1
Slc19a1	-1
8430419L09Rik	-1
2310020H20Rik	-1
BC017607	-1
BG084182	-1
Nagk	-1
2610024N24Rik	-1
Fes	-1
Il25	-1
Polr2c	-1
Dctn6	-1
Falz	-1
LOC382073	-1
Csf2ra	-1
Trabid	-1
1700023B02Rik	-1
8430432M10Rik	-1
Abcf1	-1
Dnttip1	-1
E130315B21Rik	-1
1700001C14Rik	-1
Ldb1	-1
Hps4	-1
Acy1	-1
Mrpl3	-1
Ddb2	-1
BC023754	-1
Psmd8	-1
Pou2f1	-1
Foxp3	-1
Coro1a	-1
Dctn6	-1
Gba2	-1
Sdccag33	-1
Gcn5l2	-1
Phkg2	-1
Ccl27	-1
BC028440	-1
Mad4	-1
Cad	-1
Cox5b	-1
Dorz1	-1
BC023814	-1
2700038E08Rik	-1
Nin	-1
Dlgap4	-1
2310005E10Rik	-1
Tbl3	-1
5730449L18Rik	-1
Rpl3	-1
Phgdh	-1
Nktr	-1
Rga	-1
Timm44	-1
Anapc2	-1
AI448196	-1
Luc7l2	-1
Bckdha	-1
1110032O16Rik	-1
Taldo1	-1
Map1lc3b	-1
Zfp276	-1
Polk	-1
Sssca1	-1
Mcm3ap	-1
Slc25a28	-1
E4f1	-1
AA589584	-1
Syne1	-1
AI255170	-1
Pmscl2	-1
2700094K13Rik	-1
Ptprs	-1
9530090G24Rik	-1
1110032N12Rik	-1
Phlda2	-1
Brp17	-1
Gtf2ird1	-1
Vamp4	-1
Tyms	-1
A630042L21Rik	-1
Pbxip1	-1
Fbs1	-1
2310022K01Rik	-1
1110029F20Rik	-1
TOB3L	-1
Ifi205	-1
AI451450	-1
Dhx16	-1
BE628134	-1
Ppox	-1
Sart1	-1
AI481105	-1
1810030A06Rik	-1
BC032204	-1
Rab2l	-1
Acaa2	-1
DXImx40e	-1
H2-Ke6	-1
Gfer	-1
Clk3	-1
BE991958	-1
DXImx38e	-1
0610042C05Rik	-1
Unc119	-1
Pdxk	-1
AI414495	-1
Slc25a19	-1
Aup1	-1
Ifnar2	-1
Fxc1	-1
Dnmt3b	-1
2410004N05Rik	-1
C79663	-1
Dnpep	-1
AI648866	-1
2010012O05Rik	-1
1110019N10Rik	-1
Alad	-1
C80638	-1
0610012A05Rik	-1
Dnpep	-1
1300004C11Rik	-1
6030446I19Rik	-1
D8Ertd594e	-1
Abtb1	-1
AW209491	-1
BC003324	-1
D8Ertd812e	-1
Nrbf1	-1
Dscr1l2	-1
Usmg3	-1
Tsc2	-1
Snrp116	-1
Vps39	-1
Cdadc1	-1
BG066634	-1
Cox6a1	-1
1110005L13Rik	-1
Zfp148	-1
Bxdc1	-1
Irf3	-1
2410141M05Rik	-1
Lsm4	-1
2010305K11Rik	-1
1810060D16Rik	-1
Spnb2	-1
AF155546	-1
Rnf25	-1
Sirt3	-1
Fcho1	-1
AA536749	-1
Ccnd2	-1
Irf3	-1
Sdhb	-1
na	-1
Rpgrip1	-1
Prkrip1	-1
Chkl	-1
Falz	-1
Rrad	-1
BG065748	-1
Ppap2b	-1
Cox5b	-1
Mtx1	-1
Rpl18	-1
4632419K20Rik	-1
Hist2h2aa1	-1
Eral1	-1
Pole	-1
Hs1bp1	-1
Tor1b	-1
Tead2	-1
Ethe1	-1
B4galt3	-1
1200011O22Rik	-1
D10Ertd610e	-1
Ccl27	-1
Serf2	-1
Atpaf2	-1
Glg1	-1
Wdr8	-1
2900092E17Rik	-1
Limd1	-1
2410018C20Rik	-1
1700094D03Rik	-1
2610025M23Rik	-1
Ccl27	-1
Notch3	-1
Dlst	-1
Rpl36	-1
Hdac1	-1
Whsc2	-1
Rp9h	-1
Polr2e	-1
Coro1a	-1
Mbd1	-1
Phgdh	-1
Arid3b	-1
Ndufs8	-1
Matk	-1
G630041M05Rik	-1
Gemin7	-1
Col4a1	-1
Ifi35	-1
TOB3L	-1
Ppp5c	-1
D1Ertd161e	-1
2410008M22Rik	-1
Fgd1	-1
D2Bwg1335e	-1
Dhx38	-1
AW538196	-1
Map1lc3a	-1
Myg1	-1
Ndufs8	-1
Abhd6	-1
Vamp5	-1
9530098M12Rik	-1
Chrac1	-1
D4Wsu114e	-1
Sars1	-1
Isyna1	-1
Brpf1	-1
1110025L05Rik	-1
1110069M14Rik	-1
8430432M10Rik	-1
Gli	-1
AW212394	-1
Rps14	-1
Tacc3	-1
Gpld1	-1
BI651113	-1
Rabac1	-1
Mbtps1	-1
Cox7c	-1
2810403L02Rik	-1
Cyc1	-1
1110005F07Rik	-1
B4galt3	-1
Supt5h	-1
NA	-1
2400004H09Rik	-1
Nkx2-3	-1
Man2c1	-1
Timm9	-1
1110007C09Rik	-1
Fkbp2	-1
Phgdh	-1
2610510H01Rik	-1
Mrpl44	-1
Il17re	-1
3100002L24Rik	-1
Slc16a6	-1
Tsta3	-1
Gfi1	-1
2210018M11Rik	-1
2610317D23Rik	-1
BC006909	-1
2700043M03Rik	-1
BC032204	-1
Scand1	-1
1810073G14Rik	-1
1110021E09Rik	-1
D130050K19Rik	-1
Tpcn1	-1
Dtymk	-1
Psmb6	-1
Rfxank	-1
1190005P08Rik	-1
0610008F14Rik	-1
D10Bur2e	-1
2610524G07Rik	-1
Rpl18	-1
Copg2as2	-1
Ptpn18	-1
Uba52	-1
Araf	-1
2310016M24Rik	-1
Smarcb1	-1
Myo9b	-1
na	-1
D19Ertd144e	-1
D1Ertd161e	-1
Pitx2	-1
Fdxr	-1
Nola2	-1
Ofd1	-1
0610025L06Rik	-1
Cherp	-1
Dazap1	-1
D11Wsu99e	-1
Ccm2	-1
Hdac5	-1
Vrk2	-1
Scyl1	-1
