Gene	direction
Tdrd9	1
Gpr183	1
Zg16	1
Trpc1	1
Gpatch8	1
Tmem47	1
Zbtb20	1
Clec1a	1
Fyb	1
Gm106	1
Klhl4	1
Itgb3	1
Csprs	1
Fhdc1	1
Chd7	1
Chd7	1
Fap	1
Igsf10	1
Gm5589	1
Rgnef	1
Ccl19	1
Sytl5	1
Tc2n	1
Ptprk	1
Mir674	1
Gm7609	1
9930021J03Rik	1
Osmr	1
Plscr2	1
Clec1b	1
Clec9a	1
Alcam	1
Slamf7	1
Krtap4-13	1
Tnfrsf26	1
Gm4871	1
F630111L10Rik	1
Olfr653	1
Fetub	1
Mab21l2	1
Tmem215	1
Selp	1
9530091C08Rik	1
Acp1	1
Szt2	1
Runx1t1	1
Epha4	1
Dntt	1
Tspan32	1
Tmem144	1
Bhlhe41	1
Snora43	1
Mgl2	1
Gm2a	1
Gda	1
St3gal1	1
Adra1a	1
Krtap20-2	1
Pcdh18	1
Clca1	1
Olfr65	1
Il11ra1	1
Nefh	1
Krtap5-2	1
C87414	1
Lonrf3	1
Olfr901	1
Abca4	1
Hpgds	1
Sytl5	1
Mir383	1
Dennd4a	1
Dennd4a	1
Slc16a4	1
Mir455	1
Fcer1a	1
Mir370	1
2210012G02Rik	1
Slc12a3	1
Ecscr	1
Agmat	1
Rorb	1
Ccdc55	1
Mir23b	1
Acox2	1
Fmn1	1
Dnm3os	1
Gm9733	1
Gm826	1
Dnm3	1
Coq3	1
Apol9b	1
Klrb1c	1
Gm4763	1
Cphx	1
St3gal4	1
9430053O09Rik	1
Clec12b	1
Dok5	1
Hnrnpa3	1
Snord95	1
Ccdc136	1
Olfr920	1
Olfr464	1
Dennd4a	1
Gpatch8	1
Olfr1352	1
Tub	1
G930009F23Rik	1
5830417I10Rik	1
Nrxn2	1
St6galnac1	1
Mef2c	1
Kcnb2	1
Wipf1	1
Olfr652	1
Sdpr	1
Hdhd1a	1
Mir211	1
Actg1	1
Sema7a	1
1700034I23Rik	1
4930505H01Rik	1
Socs2	-1
Ebi3	-1
Itm2a	-1
Mamdc2	-1
Myl10	-1
Lhcgr	-1
Erdr1	-1
Akt2	-1
6330403K07Rik	-1
Rras2	-1
Ldhb	-1
Plxdc2	-1
Tap1	-1
Il15	-1
Cd86	-1
Sgce	-1
Ccrl2	-1
Rnase6	-1
4833420G17Rik	-1
9030619P08Rik	-1
Adrb2	-1
Ldhb	-1
Tspan8	-1
Lrp12	-1
Tspan6	-1
6-Sep	-1
Hey1	-1
Vegfc	-1
Capsl	-1
Akr1c12	-1
Emcn	-1
Cep57l1	-1
Ube2j1	-1
Lamtor3	-1
Mkrn1	-1
Usp21	-1
Higd1a	-1
Stard3nl	-1
Snord14a	-1
Eepd1	-1
Pgrmc1	-1
Gimap1	-1
Ipp	-1
BC005685	-1
Aim1	-1
Zfp667	-1
Scrn1	-1
Zfp637	-1
Gm4924	-1
Ltb	-1
Cux1	-1
Cd36	-1
Chchd5	-1
Pygo2	-1
Zcwpw1	-1
Tbc1d17	-1
Prdx4	-1
Etv5	-1
Rbp1	-1
Hmox2	-1
Spire1	-1
Nrk	-1
Tmem106c	-1
Akr1c13	-1
Rsad2	-1
Hspb11	-1
Hbb-b1	-1
Zfpl1	-1
BC005685	-1
Serf2	-1
Cyp51	-1
Gimap7	-1
Serpini1	-1
Fam18b	-1
Acbd6	-1
Lix1l	-1
Arxes2	-1
Stard10	-1
Arhgap4	-1
Golph3l	-1
2810408M09Rik	-1
Synj2bp	-1
Bcs1l	-1
Gypc	-1
Aldoc	-1
D10Wsu102e	-1
Golga5	-1
Icam4	-1
Igf2bp2	-1
Lyplal1	-1
Pfkm	-1
Rhoh	-1
Anpep	-1
Hyi	-1
Spaca1	-1
Sema4b	-1
P2rx1	-1
Ccng2	-1
Tsen15	-1
Rai14	-1
Idi1	-1
Zfp622	-1
Rbm43	-1
Lat	-1
Gsta4	-1
Mettl15	-1
Lsp1	-1
Ccl27a	-1
Agap2	-1
