IDs	logFC	adj.P.Val
Mt2	5.001000849	8.50E-05
Plscr2	3.509136504	3.32E-05
Selp	3.273687659	0.000283649
Clca3a1	2.701620865	1.63E-05
Bmpr1a	2.694994289	6.08E-05
Klrb1c	2.564622161	0.001294356
Zg16	2.545090365	0.000704497
Mt1	2.380292482	4.83E-05
Sbspon	2.253601179	0.028663863
Aspa	2.231535968	1.63E-05
A530040E14Rik	2.192841056	0.003364561
Trpc1	2.142873839	5.89E-05
H2-Aa	2.084212418	0.00212007
H2-Eb1	2.078442816	5.93E-05
Ramp2	2.012870419	0.031444118
Clec1a	1.983957477	0.003364561
Gstm2	1.972984103	0.001033149
Osmr	1.972656501	0.011655152
Clu	1.9332862	9.85E-05
Gem	1.929471356	0.039283867
Hmox1	-1.927976355	0.000231441
Tdrd9	1.868244822	5.89E-05
Cysltr2	1.858719127	6.08E-05
Gpr183	1.804942712	0.006788341
Slco2a1	1.801123849	0.002627444
Aldh1a1	1.795511841	1.63E-05
Cd74	1.770662397	0.005499202
Tmem47	1.742003797	0.016079048
Fhdc1	1.686743333	0.003364561
Gm10419	1.679584598	0.000110881
Flt3	-1.6684282	0.000110881
Dnm3	1.646269077	0.039544119
Klhl4	1.645627108	0.004517309
Cavin2	1.642477608	0.00016436
Ehd3	1.630295206	0.000558013
Hpgds	1.621375951	0.00540892
Pgr	1.61488528	0.018847577
Sfrp1	1.607073666	0.002338647
Jam2	1.583748792	0.012171742
Phf11d	1.568485849	0.012055453
H2-Ab1	1.542477867	0.003487276
Nupr1	1.524012954	0.002765425
Rassf4	-1.508203662	0.00212007
Ebi3	-1.503116906	0.025041374
Ptprk	1.502226385	0.012262643
Gpx8	1.488857249	0.001033149
Mmp14	1.477361925	0.000668897
H2-T3	1.434833863	0.010890545
Nrk	-1.425775069	0.004659101
Pcdhga1	1.424341866	0.031249442
Dhrs3	1.422021743	0.000715522
Rorb	1.405818567	0.000567048
Lpl	1.403869469	0.011138267
Wwtr1	1.396329256	0.006044647
Il1rapl2	1.390893721	0.004790288
Fap	1.388931372	0.021051369
Gm16485	1.385804375	0.044761814
Agtr1a	1.370696208	0.028624023
Rgs7bp	-1.35710662	0.007414678
Cxcl9	1.349134573	0.014686857
Gria3	-1.343539152	0.000567048
Jun	1.321758934	0.021051369
Egr1	1.315720823	0.015448806
Enpp5	1.3100873	0.001594695
Muc1	1.304575593	0.002136277
Scd1	1.271885752	0.003302358
Id2	1.270937167	0.034205776
Vwf	1.27059665	0.00066465
Cd38	1.260505376	0.048347047
Neo1	1.25983476	0.02925126
Bcl6	1.253952236	0.020034487
Clec9a	1.24985832	0.003302358
S100a6	1.24639155	0.001033149
Il12rb2	-1.239918214	0.007776162
Adgrg2	1.230981425	0.001030604
Tacstd2	1.22927803	0.001400781
Zswim5	1.220318999	0.002136277
Insl6	1.208493466	0.045181554
Ighg1	-1.206837493	0.020797909
B3galt1	1.195118484	0.000715522
Cyyr1	1.191653799	0.007914198
Igf1	-1.166750901	0.000460522
Mab21l2	1.163845253	0.03500022
Casp12	1.161391659	0.002136277
Epdr1	1.155728662	0.011138267
Kcnip3	1.154081726	0.019860017
Mgst1	-1.133254201	0.003302358
Fetub	1.128596834	0.028685023
Gm13212	1.122884524	0.031228408
Hnf4a	-1.121460737	0.011138267
Fhl1	1.109149118	0.008948058
Mdga1	-1.099432365	0.003364561
Pcdhb16	1.099308148	0.003469546
Dsg2	1.092849725	0.003989611
Slc7a7	1.080473486	0.002136277
Fam169a	1.075468679	0.014686857
Trim47	1.07015965	0.046932567
Exoc3l4	1.068001223	0.007414678
Mir25	-1.064835402	0.003624065
Myh10	-1.062540194	0.001835166
Zfp36	1.061805508	0.010173263
Gm12185	1.055691497	0.01231232
Slpi	1.043033434	0.023390886
C4b	1.034576099	0.004585506
Gipc2	1.027710266	0.011711419
Spo11	1.026197318	0.008485183
Pros1	1.016819374	0.0005874
Matn4	1.015899849	0.017547485
