Gene.symbol	logFC	adj.P.Val
Vopp1	4.653649205	0.008246714
Smc6	4.212276008	0.008246714
Prkrip1	-2.890139638	0.008246714
Acvr2b	-2.298286586	0.008246714
Smek2	1.836294366	0.008246714
Borcs7	-2.885840082	0.008246714
Capn7	2.103116336	0.008246714
App	3.243438661	0.008246714
Rab10	3.191830438	0.008246714
Cacul1	1.743800586	0.008246714
Itfg1	1.698910814	0.008246714
Usp14	3.80923495	0.008246714
Inpp5k	-1.674071596	0.008246714
Fam193b	-2.736795627	0.008246714
Fam104a	-1.502967381	0.008246714
Sult1a1	3.788032114	0.008246714
Ghitm	1.907528422	0.008246714
Armcx2	1.460904106	0.008246714
Laptm5	3.615020854	0.008246714
Ywhaq	1.358232358	0.008246714
Snip1	1.668815582	0.008246714
Ptdss1	1.392416613	0.008246714
Slc14a1	2.040307441	0.008246714
Mxd4	-2.955674027	0.008246714
H2afj	-3.196210133	0.008246714
Senp2	1.589267103	0.008246714
Rmdn3	2.28439125	0.008246714
Anxa6	-4.507706435	0.008246714
Caprin2	-1.345365789	0.008246714
Polr3k	-1.397843037	0.008246714
Traf6	1.513524176	0.008643373
Airn	-3.207192791	0.01034927
Mtpn	2.508524829	0.010453954
Sdpr	4.863463228	0.010453954
Ncoa1	-1.729836729	0.010453954
Ctsb	1.98840782	0.010453954
Sypl	1.062989336	0.010484551
Mt1	5.576422021	0.010484551
Nt5c	-2.552432843	0.010484551
Arl6ip5	1.985860909	0.010600665
Gm4604///Rpl36	-1.983385561	0.010611143
Ptcd1	-1.109198632	0.010722099
Irak1	-2.509875633	0.011712555
Ubfd1	1.170402097	0.011834613
Tab3	1.202499294	0.011834613
Mmgt2	-1.071602403	0.011834613
Pfn2	2.159488025	0.011834613
Tmem80	-2.259782442	0.011834613
Selp	4.742968165	0.011834613
Rabepk	-0.908227539	0.01220781
Zg16	2.645888396	0.01220781
Ghr	2.175474428	0.01220781
Taldo1	-1.317558361	0.01220781
Bcl10	1.272907198	0.01220781
Gstm2	4.490903852	0.01220781
Slc31a1	1.888517869	0.01220781
Tlk2	2.283285518	0.012416237
Ap5m1	-0.835607388	0.012416237
Gng12	2.629907757	0.012457772
Eif3g	-2.428821671	0.012457772
Atp6v0b	-1.309350394	0.012457772
Gm10698///Tmed2	3.394341264	0.012457772
Pxn	-0.984918576	0.012457772
Stt3a	1.928786745	0.012457772
C80068	-2.3464721	0.012457772
Kit	1.785151972	0.012457772
Epb41l1	-0.803514744	0.012457772
Il17re	-1.320016066	0.012457772
Irak1	-2.107091051	0.012457772
Cramp1l	-2.277299215	0.012457772
Eftud2	-1.46437856	0.012457772
Myl12b	-1.343187884	0.012457772
Trmt1	-1.435104	0.012457772
Eif4g2	2.223833288	0.012457772
Atad3a	-3.228652647	0.012457772
Nsun2	1.786449589	0.012457772
Dtymk	-1.282936449	0.012457772
Tkt	1.949678136	0.012457772
Supt5	-1.716696433	0.012457772
Rpp21	-1.478814843	0.01286965
Atp6v1a	1.760782172	0.01286965
Serinc3	3.12377806	0.01286965
Cstf2	0.942663551	0.013317593
Ubqln1	1.433414324	0.013541839
Enpp5	3.124216668	0.013955513
Gm15210///Impdh2	-0.938342358	0.013955513
Rrp8	2.231221304	0.014061913
Riok2	1.932018887	0.014339948
Pbx3	1.882558768	0.014471716
Lgals1	-3.647598432	0.014471716
Rdx	2.591362965	0.014471716
Acy1	-1.943690121	0.014471716
Srsf2	0.807746333	0.014471716
Tsta3	-2.293335125	0.014471716
Med19	1.69862215	0.014471716
Akap8l	-2.790176754	0.014471716
Mndal	-3.004358125	0.014471716
Tpp2	5.465349588	0.014471716
Sys1	-1.156848468	0.014471716
Pias1	1.063172447	0.014471716
Ier3ip1	-1.616451006	0.014471716
Mtmr14	-1.069580321	0.014471716
Map2k2	-0.709433666	0.014471716
Kif2c	-2.916821076	0.014471716
Elmo2	1.096322034	0.014471716
Abl1	-0.611949084	0.014868789
Ripk3	-1.508809694	0.015149312
Myo1g	-2.595501408	0.015317918
Ankrd10	0.993759522	0.015317918
Sin3a	0.721488657	0.015317918
Pafah1b1	1.799636566	0.015317918
Ndrg1	1.675627058	0.015317918
Anxa5	1.343114715	0.015317918
Ppm1a	3.474026228	0.015317918
Neurl4	-3.09434075	0.015317918
Ppp1cb	1.805170472	0.015317918
Smu1	1.957537164	0.015317918
Tbl1x	2.515680187	0.015317918
Rrm2	1.126219157	0.015317918
Homer1	0.71647551	0.015317918
Tgs1	3.823289375	0.015317918
Rab14	-1.026417581	0.015317918
Abcf3	-0.848686416	0.015317918
Cox5b	-2.340107557	0.015317918
Ndufb10	-1.971096863	0.015317918
Kansl2	-1.021099254	0.015317918
Fam63a	-1.186254653	0.015317918
Sirt7	-1.456975087	0.015687406
Vav3	1.743586483	0.015687406
D16Ertd472e	1.661248982	0.015687406
Tpp2	1.45240043	0.015687406
Metap2	0.765036084	0.015687406
Cmpk1	1.875448978	0.015720508
Tm9sf3	1.108643065	0.015720508
Lta4h	-1.158429349	0.015720508
Lpl	2.606574643	0.015720508
Tsr1	1.882024505	0.015720508
Cmtm8	-1.022350426	0.015720508
Rnf115	2.626398188	0.015720508
Purb	2.594161396	0.015720508
Rnaseh2c	-3.345199787	0.015720508
Ctnnb1	4.2879877	0.015720508
Tmem135	2.576768705	0.015720508
Bet1l	-1.081070526	0.015720508
Sin3b	-0.946700454	0.015720508
Hdgfrp2	-1.727385724	0.015720508
Dnpep	-1.498899919	0.015720508
Mfsd14b	2.833254232	0.015720508
Rnf20	3.495810032	0.015720508
Rpe	0.97592722	0.015720508
Ppox	-1.911084919	0.015720508
Slc35a4	0.511778888	0.015720508
Cklf	-2.303919529	0.015720508
Lcp2	2.83594131	0.015720508
Prr13	1.2154217	0.015720508
LOC100861978///Ccl27b///Gm2506///Gm13306///Ccl27a	-2.123488044	0.015720508
Sirpa	-1.340354125	0.015720508
Slc9a3r2	-1.107597341	0.015720508
Rab4b	-0.531260003	0.015720508
Ctnnb1	1.197553006	0.015720508
Edc4	-2.502355307	0.015720508
Nsf	2.731905582	0.015921891
Bre	1.560273306	0.015921891
Pa2g4	1.575729834	0.016204677
Golph3l	1.703599711	0.016204677
Sdf2	-0.766996983	0.016204677
Qars	-0.58556099	0.016497982
Plec	-0.551518514	0.016509631
Arhgap21	2.288393348	0.016509631
Ehd4	1.173822274	0.016509631
Celf1	-2.43746178	0.016509631
Fam46c	2.429790831	0.016543813
Elk3	0.729062334	0.016543813
Emsy	-2.095527632	0.016585969
Mrfap1	1.473036693	0.016585969
Sgms1	2.502288223	0.016585969
Rapgef1	-1.939362655	0.016585969
Pagr1a	-1.928537308	0.016585969
Tuba4a	1.069058961	0.016585969
Adi1	1.715737342	0.016585969
Ankrd13c	1.899340667	0.016617519
Smarca5	4.526550353	0.016617519
Acaa1a	-0.857365406	0.01679322
Bhlhe40	2.887401206	0.016859414
Clec1b	2.606943265	0.016859414
Kif22	-2.617847771	0.016859414
Api5	1.551322783	0.016859414
Polr1c	-0.55130955	0.016859414
Ints12	2.0299422	0.016859414
Nifk	0.532841564	0.016859414
Mras	-0.613608841	0.016882643
Mgea5	0.893555209	0.016882643
Rad23b	2.075103151	0.017015577
Zfx	3.089394783	0.017196266
Gdpd1	1.121983557	0.017223443
Chpt1	-1.34250674	0.017223443
Set	2.838573441	0.017223443
Usp3	-1.02009484	0.017223443
Elovl5	1.013837991	0.017223443
Slc25a39	0.8471152	0.017250337
Tmx1	1.877186691	0.017527502
Dusp6	2.813953698	0.017813269
Polr2c	-1.875470286	0.01785133
Tcf4	-0.827565189	0.017852706
Slc44a1	1.319130959	0.017852706
Rap2c	1.343983068	0.017852706
Tshz1	-1.555651228	0.017852706
Glrx2	1.514651226	0.017852706
Cherp	-1.591944206	0.017883138
Rrbp1	-1.443902729	0.017883138
Med28	2.19594715	0.017883138
Ube2f	0.748852163	0.017883138
Atp1b3	1.830105471	0.01788855
Samm50	-0.884636845	0.017911626
Glrx2	1.588815953	0.017972832
Ap2m1	1.264374989	0.018071621
Prrc1	-0.892574219	0.018071621
Usp48	-1.023345471	0.018105469
Rora	2.04095699	0.018105469
Acin1	-1.129044093	0.018105469
Pex6	-2.977958988	0.018105469
Ing3	0.915359342	0.018105469
Ppp5c	-1.678928174	0.018105469
Cops7b	-3.231207923	0.018105469
Mtx1	-1.787646504	0.018178995
Fcho1	-2.901910255	0.018178995
Gba2	-1.937601333	0.018235588
Neo1	4.341932538	0.018235588
Hnrnpl	1.864731439	0.018235588
Lgalsl	-1.403102186	0.018235588
Pdpk1	-0.761357103	0.018235588
Zbtb44	1.937015243	0.018235588
Cox5b	-2.097364286	0.018235588
Cdk16	-1.867160352	0.01872812
Cct2	0.541065343	0.01872812
H2-Ke6	-1.062219934	0.018745797
Rpl18	-1.093438375	0.018745797
Ercc6l	-1.743149759	0.018745797
Dgkz	-1.792199594	0.018745797
Skap2	2.331495588	0.018745797
Endog	-0.58439877	0.018745797
Cpne1	0.996376504	0.018745797
Bud31	-2.015080368	0.018745797
Ripk4	5.208618821	0.018745797
Sptan1	-1.099643172	0.018745797
Ptrf	1.735324826	0.018745797
Stk40	-0.667875317	0.018745797
Timp3	1.873069301	0.018745797
Tiprl	2.017663397	0.018745797
Cog1	-0.756493532	0.018745797
Gch1	-0.625927406	0.018745797
Abhd16a	-1.656972427	0.018778931
F11r	2.912146387	0.018778931
AA416453	-0.574214894	0.018846813
Smad7	1.390541683	0.018846813
Pip4k2a	1.241646663	0.018846813
Mrps9	-0.869366421	0.018846813
Dcpp2///Dcpp3///Dcpp1	-0.421695862	0.018846813
Vopp1	1.75845314	0.018846813
Chchd10	-2.31706327	0.018846813
Gars	0.576652578	0.018846813
Ipo8	0.81372163	0.018846813
Ndrg1	0.992602126	0.018846813
Yrdc	0.527246611	0.018846813
Arap2	2.676773299	0.018846813
Brd8	-1.396099506	0.018846813
AI504432	-1.979361641	0.018846813
AW209491	-1.29162353	0.018846813
Mgat2	1.629699839	0.018846813
Pim3	-1.078921471	0.018846813
Cacybp	0.547678054	0.018846813
Zbtb17	-1.7782375	0.018846813
Twsg1	2.498348384	0.018846813
Trip12	-0.619233637	0.018846813
Hspa5	2.010255631	0.018910631
Mef2c	1.442368126	0.018976125
Spin1	1.725230292	0.018976125
Ndufs7	-1.540754587	0.018976125
Arhgef12	2.124799895	0.018976125
Ccdc50	1.641849202	0.018976125
Cytip	1.872375976	0.018983908
Ift46	-2.128208474	0.018983908
Tcf7l2	1.839582834	0.018983908
Exosc4	-3.506553449	0.018983908
Prpsap1	-1.805742273	0.019186568
Prps1l3	1.607891334	0.019363131
Efna1	1.611208437	0.019363131
Parvg	0.785474283	0.019498857
Tsc22d1	1.527469005	0.019601723
Cnot2	-1.103005169	0.019601723
Sertad2	1.211993669	0.019601723
Wwtr1	6.721126702	0.019601723
Ptk2	-0.578223031	0.019601723
Ivd	-1.385571021	0.019601723
Hip1r	-1.756109264	0.019601723
Bop1	-1.080184066	0.019601723
Exosc10	-3.24885533	0.019602314
Mapk6	4.383749891	0.019602314
Kif22	-2.01282665	0.019602314
Zfp821///Ccdc7b	-0.419640313	0.019602314
Slain1	1.570148834	0.019602314
Pabpn1	-1.092101776	0.019602314
Dnttip2	3.59881289	0.019602314
Ndn	0.928934366	0.019602314
Rnaseh2c	-1.823479715	0.019602314
Atp13a1	-2.316014304	0.019602314
Tle2	-2.447461433	0.019602314
Foxo1	1.27825217	0.019602314
Mfsd5	1.048078088	0.019717319
Ppat	2.140696401	0.019717319
Anks3	-1.953480879	0.019717319
Dyrk1a	2.284867143	0.019717319
Pdia3	4.556908994	0.019717319
Gpbp1	1.990269749	0.019717319
Fap	2.695411615	0.019717319
Ranbp10	-0.960052125	0.019717319
Pigo	-1.240829818	0.019717319
Gng11	-0.434887132	0.019738155
Ola1	1.779598379	0.019738155
