Gene.symbol	logFC	adj.P.Val
Gpr183	1.969398928	0.002625577
Socs2	-1.672897411	0.002625577
Tdrd9	1.243826721	0.007145957
Ebi3	-0.910352343	0.010833696
Fyb	1.181019886	0.010833696
Klhl4	1.507399418	0.011725608
Mamdc2	-1.117226371	0.011725608
Lipo3	-1.648132315	0.011725608
Ctss	-1.489829335	0.011725608
Nup133	-0.854493753	0.011725608
Itm2a	-1.105537331	0.012787796
Gm5424///Ass1	-1.837666978	0.014834474
Gmnn	-1.093650705	0.014834474
Slc14a1	0.69742772	0.014834474
Chd7	1.055037993	0.014834474
Clec1a	1.245485152	0.017649036
Bag2	-0.767851036	0.017649036
Fen1	-0.695001894	0.017649036
Itgb3	1.349370161	0.017649036
Vegfc	-0.863939812	0.01942961
Alcam	1.303714399	0.01942961
Rras2	-0.915090954	0.01942961
Hormad2	-1.054685888	0.01942961
Usp10	-1.042441358	0.01942961
Rnu3a	-1.586112894	0.01942961
Rnase6	-1.154961957	0.01942961
Ect2	-0.800846479	0.024449278
Itgam	-0.875760957	0.024449278
Gpatch8	0.991288426	0.024449278
Csf2rb	-0.693399762	0.024449278
Gm7120	-1.231288102	0.024449278
Arhgef28	0.900397192	0.024449278
Gna15	-0.820719439	0.024449278
Dhfr	-0.760545918	0.026281155
Myl10///Myl10	-2.244683638	0.026727784
Lgals1	-1.486846895	0.026727784
Szt2	0.742866325	0.026727784
Nup35	-1.379370269	0.026727784
Zbtb20	1.041493465	0.026727784
Nucb2	-1.116279795	0.026727784
Cd37	-0.684583072	0.026727784
Ccdc43	-0.743501744	0.026727784
Scrn1	-0.849497704	0.026727784
Gda	1.283180306	0.026727784
Capsl	-1.028804322	0.026727784
Cysltr2	1.244231487	0.026727784
Cd86	-1.373779483	0.027012081
Ppp1cc	0.943604422	0.027321394
Cd34	-0.740462989	0.027321394
Gm13305///Gm2002///Il11ra2///Il11ra1	1.123853533	0.029494519
Lhcgr	-0.964975973	0.030225304
6330403K07Rik	-0.767042506	0.030225304
Zg16	1.272623946	0.030225304
Lbh	0.644756547	0.030225304
Ecscr	0.735209368	0.031316969
Parvg	-0.682762456	0.032532669
Aim1	-0.702877671	0.032532669
Prcp	0.622744064	0.032532669
Lonrf3	0.746055506	0.032532669
Elp5	-0.655853265	0.032532669
Slc25a19	-0.89471159	0.032532669
Mlec	-0.667645177	0.032532669
Gm5424///Ass1	-0.964497456	0.032532669
Tmem47	1.302897347	0.032532669
Plscr4	0.791520881	0.032532669
Akr1c12	-1.091164313	0.032532669
Dscc1	-0.961177067	0.032532669
Ccl19	1.455862046	0.032532669
Adgra3	0.634791985	0.032532669
Emcn	-0.97187527	0.032532669
Selp	1.682256463	0.032532669
Pbx1	0.750300773	0.032532669
Gm4924	-0.98264492	0.032532669
Maoa	-0.931943786	0.032815679
Nfkbib	-0.752775696	0.032815679
Eepd1	-0.73483784	0.034104935
Trpc1	1.448517503	0.035675016
Casp4	0.583433116	0.035675016
Mcm7	-0.687330571	0.035744543
Degs1	-1.127220084	0.035744543
Chd7	1.038670205	0.035744543
Xrcc5	-0.745233669	0.035744543
Zcwpw1	-0.715833227	0.036277218
Sema7a	0.951749018	0.036811505
Cd52	-0.985643952	0.036811505
Lrp12	-0.655487598	0.036811505
Lsm5	-2.143826262	0.036811505
4932438A13Rik	0.64801406	0.036811505
Szt2	0.965085898	0.036811505
Thap1	-0.599061	0.038592851
Stx8	-0.743492815	0.038592851
Hscb	-0.832299146	0.038633905
Polr2d	-0.972137712	0.038641393
Pign///Pign	0.616793602	0.038716557
Sbspon	0.97752027	0.039189281
C330018D20Rik	-1.351622196	0.039189281
Borcs7	-0.722295598	0.039556112
Hey1	-0.905736919	0.040379296
Sgce	-0.927812536	0.040379296
Snrpa1	-0.601183876	0.040635641
Pde7b	-0.641428388	0.040834049
Satb1	-0.948882526	0.040834049
Il12rb2	-0.783741554	0.040834049
Ptprk	1.133472413	0.040834049
Mrps30///Mrps30	-0.821922992	0.040834049
Adrb2	-0.799195171	0.040834049
Cenpp	-0.978638859	0.040834049
Snrnp25	-0.663128285	0.040834049
Sell	-1.090827657	0.042286887
Zfp637	-0.775645125	0.042477536
Adgre4	-0.607357062	0.042477536
Tspan8	-1.527060519	0.042477536
Impa1	-0.72179644	0.042477536
Dhrs7	-0.994714896	0.042686665
Cdc25a	-0.547850918	0.042686665
Chd7	1.156770257	0.042686665
Ttc7	-0.518262865	0.042686665
Acp1	0.99996336	0.042686665
Ubash3b	0.584425891	0.042686665
Cdk2	-0.603788163	0.042686665
BC005685	-1.081602108	0.042686665
Clnk	-0.641828081	0.042686665
Chd7	1.375312989	0.042686665
Nmrk1	-0.556312679	0.043524275
Plac8	-1.629781916	0.043524275
Pola2	-0.74049172	0.043524275
Mrpl13	-0.640637339	0.043524275
Mir674	0.962364652	0.043524275
Mef2c	0.609960278	0.043524275
Xlr	-1.081243701	0.043524275
Zbtb11os1	-0.524664522	0.043524275
3010003L21Rik	-0.90412769	0.043524275
Apol9a///Apol9b	0.810652109	0.043524275
Muc13	0.592644506	0.043524275
Pygl	-0.552352418	0.043524275
Nsrp1	0.723114597	0.043524275
9030619P08Rik	-1.384980582	0.043524275
2700094K13Rik	-0.855865968	0.043524275
Plxdc2	-0.693476038	0.043524275
AI428898	-0.547659028	0.043524275
Slbp	-0.521520381	0.043524275
Ppia	-1.846000357	0.043524275
Cd36	-0.92444718	0.043524275
Gm12070///Gm5523///3000002C10Rik///Gapdh	-0.838907344	0.043524275
Hk2	0.628086029	0.043524275
Igf2bp2	-0.708914223	0.043524275
Arfgef2	0.569384124	0.043524275
Clca3a1	1.726142941	0.043975305
Rsad2	-0.659421406	0.043975305
Wdr5	-0.543998713	0.045215437
Ube2t	-0.612864521	0.045215437
Uqcc2	-1.023876233	0.045215437
Igsf10	0.614035522	0.045215437
Higd1a	-0.943639702	0.045215437
Rfc2	-0.780001127	0.045215437
B330016D10Rik	-1.010095473	0.045215437
A130057D12Rik	-0.789407136	0.045215437
Fam105a	-0.672991264	0.045215437
Hpgds	1.006017848	0.045215437
Gm3286///Gm3259///Gm16513///Gm3139///Gm3106///E330014E10Rik///Gm6367///Gm16367///C87414///D5Ertd577e///AA792892	1.744578883	0.045297795
P2ry10	-1.034556035	0.045589063
Lix1l	-0.610195644	0.045589063
Tspan6	-1.215205226	0.045589063
Pak1	-0.624562919	0.046110059
Gm10199	-0.726925287	0.046650675
Slc12a3	0.582243759	0.046650675
Parpbp	-0.574056631	0.047297117
Egr1	0.729313961	0.048039112
Rny1	-1.011721606	0.048039112
LOC102640295///Gm8580///Gm10548///Gm13213///4931440P22Rik///Rpl29	-0.608090909	0.048039112
U2af1l4///Igflr1	-0.546520824	0.048153858
Kynu	-0.751531277	0.048656583
Cyp51	-0.64544783	0.048656583
Anxa2	-1.000599444	0.048656583
Otud6b	-0.459178312	0.048937766
Tap1	-0.634207266	0.049013007
Cks2	-0.561507938	0.049013007
Rpl11///Brf2	-1.191949366	0.049013007
Tbc1d17	-0.588492341	0.049013007
Sla	-0.669013215	0.049013007
	-0.618485425	0.049381835
