Gene	avg_logFC	p_val_adj
Fosb	1.935203157	1.74E-11
Fos	1.64342887	7.10E-09
Erdr1	0.986269579	2.97E-08
Mt1	0.58809635	2.03E-06
Nfkbid	0.626461346	9.65E-06
Ebi3	-0.265941318	5.45E-05
Nupr1	0.923387702	5.46E-05
Clca3a1	0.720137035	0.000312977
Btg2	1.787170911	0.000350478
Itgb2	-0.376358524	0.000513752
Jun	0.54125292	0.000554305
Gpr183	0.66062875	0.000578951
Ttc5	-0.658057982	0.002204135
Soat2	0.267011122	0.004068041
Lst1	-0.621654214	0.006124185
Gstz1	0.587598433	0.007686707
Hes1	1.658031986	0.007889065
Klf2	0.429619063	0.007973026
Rbbp9	-0.879092727	0.009177181
Zfp36	1.380075396	0.009191765
Lrrc8d	0.584009225	0.014321179
Selp	0.617469802	0.015120586
Pgghg	-0.329675671	0.018525305
Fam53b	-0.335683934	0.018525305
Klf6	0.791752977	0.024115059
Gimap4	-0.394027694	0.037138053
Akip1	-0.59209492	0.037138053
Pus10	0.476531065	0.049893664
Cysltr2	0.394879353	0.049893664
Abca4	0.336082711	0.049893664
