Gene	avg_logFC	p_val_adj
uc012hdk.1	1.891203233	4.59E-38
Clca1	0.606401021	9.30E-31
Mt1	1.309815765	1.86E-28
Nupr1	2.196010041	3.25E-26
Selp	0.993494677	6.81E-25
Clu	1.362489012	1.90E-24
mt-Co1	0.633509442	1.13E-23
Plscr2	0.770392991	4.99E-22
Sult1a1	1.715941444	8.77E-22
Ehd3	0.745758268	1.09E-20
mt-Rnr1	1.046953868	3.42E-19
Fos	1.244299404	7.70E-19
Pole	-0.438052167	1.81E-18
Clec1a	0.688183272	2.73E-18
Dtl	-0.30404	4.30E-18
Gm10419	0.321459392	3.59E-17
Cdk5rap1	-0.464851373	1.30E-16
Phactr1	0.29387179	1.48E-16
Atf7	0.303941855	6.02E-16
Slfn10-ps	-0.278294834	6.91E-16
Mtr	-0.384746672	6.91E-16
Mamdc2	-0.513367462	6.91E-16
D6Wsu163e	-0.285292666	1.58E-15
Cd37	-0.490895167	1.58E-15
Cd38	0.265230002	2.40E-15
Prtn3	1.235046819	3.46E-15
Gnb4	-0.31027389	3.61E-15
Fignl1	-0.287361232	1.85E-14
Fhl1	0.451518039	1.86E-14
Ubb	0.417130118	2.47E-14
Cdc16	-0.339477022	4.16E-14
Dhrs3	1.108024472	4.45E-14
Rpl13	0.431928231	3.44E-13
Lig1	-0.478609863	4.59E-13
Ebi3	-0.856353807	7.79E-13
Speer7-ps1	-0.43856358	8.30E-13
Slc43a3	-0.268641103	1.01E-12
Sdpr	0.465085676	1.37E-12
uc007hxv.1	-0.68277718	2.21E-12
"uc007pyi.1,uc007pyj.1,uc011yxv.1"	-0.299087841	2.23E-12
Zfp36	1.000153767	6.71E-12
Serinc3	-0.495871498	8.63E-12
Xrcc5	-0.300497887	1.06E-11
Il15	-0.543056096	1.06E-11
Plac8	-0.638556549	1.06E-11
Enpp5	0.892084164	1.16E-11
Klrb1b	0.682886509	1.33E-11
Tacstd2	0.373577707	1.33E-11
uc007thb.2	0.43157944	1.38E-11
Arntl	-0.33598288	2.30E-11
uc007wgt.1	-0.433724429	2.30E-11
Pramef8	-0.293417646	4.95E-11
Usp18	-0.434770541	4.95E-11
Plk2	1.161440311	6.52E-11
Actb	-0.588329411	8.22E-11
Kcnip3	0.278802912	8.84E-11
H2-D1	0.439640632	8.92E-11
Dars2	-0.291213055	1.06E-10
Rnf123	-0.351383308	1.06E-10
Ncbp1	-0.250303444	2.28E-10
Abcd3	-0.264551064	4.85E-10
Ttll1	-0.359464379	4.85E-10
Btg2	0.511563236	5.70E-10
Plek	0.35579959	5.70E-10
Ormdl1	-0.426788699	1.03E-09
Prim1	-0.520070417	1.03E-09
Trim47	0.427830816	1.05E-09
Arpc3	0.672610147	1.93E-09
Erg	0.282027194	1.94E-09
Slc28a2	-0.298274117	2.17E-09
Ezr	-0.309469388	2.17E-09
Cpxm1	-0.452101925	2.17E-09
Dhrs7	-0.471071081	2.17E-09
Coro1a	-0.735571765	2.47E-09
Got1	-0.286087718	4.56E-09
Mrpl49	-0.412676115	4.56E-09
Stard3	-0.364598666	9.56E-09
Camkk1	0.292223201	1.19E-08
Thumpd2	-0.287851484	1.99E-08
Itgb2	-0.331236207	1.99E-08
Pank4	-0.331267932	1.99E-08
Rnase6	-0.525927679	1.99E-08
Hist1h2bg	-0.588850542	1.99E-08
Efna1	0.590790793	2.16E-08
Gpr183	0.290168441	2.16E-08
Pros1	0.268108054	2.16E-08
Gpx3	0.583650642	3.91E-08
Rorc	0.364905211	3.91E-08
Cnrip1	-0.286950341	4.14E-08
Trf	-0.297339821	4.14E-08
Mlst8	-0.339532582	4.14E-08
Anxa2	-0.470522874	4.14E-08
Mt2	0.264040236	7.06E-08
ZFP873	-0.268905672	8.56E-08
Polr3a	-0.292909431	8.56E-08
Ms4a6b	-0.326299263	8.56E-08
Gmnn	-0.385326805	8.56E-08
Gipc1	0.326050394	1.27E-07
Rpl18a	0.299455447	1.46E-07
Tacc3	-0.257453336	1.76E-07
Gtpbp5	-0.261988548	1.76E-07
Tsen54	-0.264338464	1.76E-07
Zkscan14	-0.269363279	1.76E-07
Trim13	-0.299528924	1.76E-07
Nmral1	-0.313203813	1.76E-07
Thsd1	-0.323401377	1.76E-07
"uc009deo.2,uc012eqa.1"	-0.324876544	1.76E-07
Haus7	-0.410919076	1.76E-07
Gem	0.552009643	2.28E-07
Nrg4	0.252141091	2.28E-07
uc008agq.1	-0.486717445	2.49E-07
Timeless	-0.266979024	3.62E-07
Rad52	-0.291409589	3.62E-07
Mr1	-0.321829826	3.62E-07
Alkbh4	-0.364836735	3.62E-07
Tgm2	0.627232712	3.78E-07
Cd47	-0.542707809	4.10E-07
Tox	0.500274118	5.24E-07
Rbpms2	0.306041585	7.25E-07
Tm4sf1	0.275115755	7.25E-07
Slc30a6	-0.256132969	7.41E-07
Pus1	-0.296317987	7.41E-07
Tmem63a	-0.299336674	7.41E-07
Mgst1	-0.426438836	7.41E-07
Avpi1	0.387711285	1.29E-06
Tdp1	-0.285668621	1.51E-06
Serpinb6b	-0.294252106	1.51E-06
Spryd4	-0.343033504	1.51E-06
BC023829	-0.497166715	1.51E-06
Ptpmt1	0.288772955	2.28E-06
Fancl	-0.261500626	3.06E-06
Tmem229b	-0.26786017	3.06E-06
Aldh16a1	-0.283529162	3.06E-06
Gins2	-0.337997055	3.06E-06
Aldh1a1	0.573306594	3.90E-06
Copg2	0.285385329	4.02E-06
Mlx	-0.293440095	6.19E-06
Zscan22	-0.335660856	6.19E-06
Ly6e	0.489786092	9.47E-06
Gadd45g	0.462093292	1.24E-05
Pex11a	0.328052067	1.24E-05
Tmem29	0.278834258	1.24E-05
Gm4902	-0.276069737	1.25E-05
Bnip1	-0.280024414	1.25E-05
Toe1	-0.297158783	1.25E-05
uc008cru.2	-0.330886479	1.25E-05
Psmc3ip	-0.37529567	1.25E-05
Slc10a3	-0.391086875	1.25E-05
Snx29	-0.419079146	1.25E-05
Rps19	0.351463325	1.42E-05
Pus3	0.271780696	2.17E-05
Slc22a18	-0.259998483	2.50E-05
Wrap53	-0.270606323	2.50E-05
Stk19	-0.299463564	2.50E-05
Zbtb8os	-0.301163087	2.50E-05
Gpank1	-0.335020018	2.50E-05
Nudt1	-0.348747485	2.50E-05
Rps4y2	-0.387372688	2.50E-05
Pf4	-0.992815046	2.50E-05
Il18bp	0.314396037	3.79E-05
Oxr1	0.565020226	3.81E-05
Arhgdib	-0.575764291	4.95E-05
Aacs	-0.257169294	5.00E-05
Pglyrp1	-0.29487033	5.00E-05
uc007irv.2	-0.299980348	5.00E-05
Ada	-0.302546917	5.00E-05
Sccpdh	-0.323362768	5.00E-05
Tmem120a	-0.355325525	5.00E-05
Pcbd1	-0.384611263	5.00E-05
Hbb-b2	-1.649821203	5.00E-05
Cdca7	-0.659302063	5.59E-05
Rnf135	0.308669675	6.58E-05
St3gal6	0.306925571	6.58E-05
Elmo3	0.269015657	6.58E-05
Selm	0.29865549	9.75E-05
Mettl22	-0.263883586	9.96E-05
Tubb6	0.284451114	0.000114127
Fbxl4	0.250020228	0.000114127
Tmem176a	0.530940604	0.000138397
Laptm5	-0.538045316	0.000138994
Eif5a	-0.559981791	0.000172433
Cgrrf1	-0.265881416	0.000197817
Lhpp	-0.273581522	0.000197817
Armc7	-0.287314747	0.000197817
Gstk1	-0.312235362	0.000197817
Junb	0.262982433	0.000237179
Tmem181b-ps	-0.418295993	0.000329432
Wdfy1	-0.252321448	0.000333741
Smtnl1	0.253505654	0.000340075
Lsp1	-0.613360463	0.000353776
mt-Rnr2	0.40761826	0.000384315
Nthl1	-0.254139178	0.000391529
Ifit1	-0.255690853	0.000391529
Gm5111	-0.263251914	0.000391529
"uc007icj.1,uc007ick.1"	-0.273672926	0.000391529
Zc4h2	-0.288735187	0.000391529
uc008bbb.1	-0.348497133	0.000391529
Gata1	-0.364363406	0.000391529
uc011zrr.1	-0.747886842	0.000391529
Mafg	0.436676456	0.000410919
Cd34	-0.640145115	0.000502885
Cd74	0.939449641	0.000582754
Ctsw	0.373556837	0.000584609
Ppap2c	0.309364496	0.000584609
Uxs1	0.264108798	0.000584609
Mcm5	-0.603180878	0.000630318
Snord15b	0.297871637	0.0006799
Sepw1	0.362505911	0.00069312
Klf10	0.587673931	0.000735923
Gsn	-0.254859165	0.000772411
Sertad3	-0.261550942	0.000772411
Zfp623	-0.273924736	0.000772411
Irf5	-0.279002281	0.000772411
Tst	-0.31787862	0.000772411
Gm14435	-0.286443332	0.00078789
Rfc2	-0.559001811	0.000865177
Cby1	0.291692369	0.001002265
Ptpn7	-0.491694557	0.001049685
Rpl5	0.274021871	0.001146315
Rac2	-0.381568148	0.0013023
Gm14440	-0.29627367	0.001437745
Npdc1	0.372838599	0.001448888
Tsc22d1	0.499855735	0.001509726
Gstm7	-0.251359894	0.001518998
Nudt7	-0.255622333	0.001518998
Hyal2	-0.304558453	0.001518998
Erp27	0.552179251	0.001713752
Gstm2	0.400013547	0.001713752
Gnat2	0.271945325	0.001713752
Kti12	0.25210314	0.001713752
Actg1	-0.474373548	0.002038061
uc008lgw.2	-0.273506622	0.002978049
Rnf25	-0.290279427	0.002978049
Mfap2	-0.358258491	0.002978049
Cyba	-0.532532047	0.003148924
Serpina3g	-0.723829956	0.003186878
Arpc1b	-0.478619297	0.004744623
Hmgb1	-0.357616341	0.004789232
Plaur	0.259331962	0.004971883
Ppia	-0.352911671	0.005146908
Hmgn2	-0.425677142	0.005287161
Adck3	0.557692365	0.005978214
Snord34	0.296794337	0.006852434
Mcm7	-0.608966411	0.007262897
Vwf	0.284538469	0.007567918
Foxn3	-0.388463269	0.008254904
Lrrc51	0.287287828	0.008436866
Cmtm7	-0.591441797	0.009616776
Apoe	0.443791912	0.01147152
Fyb	0.303729695	0.012957875
Mmrn1	0.434037373	0.014719532
Ccdc82	-0.307721627	0.015430054
Mat2a	-0.513365506	0.015686829
Ucp2	-0.356308442	0.016684009
Rpl7	0.332383205	0.01821902
Hmga1	-0.386200962	0.018904579
Rpl32	0.251094809	0.02326134
Ddit3	0.334734022	0.024121088
uc007gzs.2	0.311871853	0.024121088
Ecscr	0.291715748	0.024121088
Cd63	0.389365078	0.026033366
Ier2	0.339691192	0.027316944
Ccnd2	-0.385353472	0.028285162
Fkbp3	-0.398301427	0.030163052
Anxa6	-0.428615637	0.032020473
Ppp1r15a	0.625969859	0.03240639
Sat1	0.665295709	0.0334314
Ywhaz	-0.346545208	0.035612405
Nnt	-0.315930306	0.038049803
Fam134b	-0.41625314	0.038074469
Lpar6	0.327618581	0.038479376
Apex1	-0.337384929	0.040268321
