external_gene_name	logFC	FDR
Uhrf1	-0.790241841	0.007809756
Ramp2	2.584250633	1.62E-12
Vwf	0.939653861	0.016501552
Gria3	-1.408613603	0.022654317
Cd34	-1.097512246	0.000386282
Matn4	1.049201671	0.013679143
Rbpjl	1.39160924	0.005525538
Ptprk	0.991892154	0.021187201
Arid5b	0.757093519	0.039721391
Itgb3	1.13638942	3.09E-05
Tc2n	1.375399538	0.000110136
Osmr	1.668346611	9.94E-10
Sla	-0.80164592	0.039721391
Alcam	1.238246498	0.000345488
Cdca3	-1.156276573	0.015718292
Enpp5	1.458878631	3.84E-06
Vldlr	1.63246966	1.69E-09
Klhl4	1.767336236	1.97E-07
Rdh10	1.132758528	0.00052285
Il1r1	0.728930272	0.043151133
Selp	2.154182076	1.28E-10
Stom	0.887941103	0.022345647
Nusap1	-0.755995848	0.034413176
Tm4sf1	1.418246644	0.012691283
Wwtr1	0.96457547	0.003452713
Abca4	0.828522456	0.038332566
Gem	1.524000892	1.04E-06
Cd38	1.25450037	0.000228199
Fosl2	0.835228682	0.047938367
Klrb1c	1.71529802	3.48E-07
Nupr1	1.579603557	7.89E-06
Adgrg2	0.885701209	0.041738295
Mt2	2.055498091	0.00292589
Mt1	1.742664146	3.84E-06
Ldlr	-0.69947672	0.04853986
Neo1	1.111001586	0.001406163
Plscr1	0.897903565	0.023086364
Plscr2	1.468573549	0.00010369
Amotl2	0.913182912	0.001807321
Sbspon	2.466875615	3.48E-07
Trpc1	1.046677729	0.00052285
Clec1a	0.969389057	0.014965369
Chst2	0.867061606	0.009329884
Rtp4	1.165058337	0.003404478
Kif4	-1.010559692	0.007321445
Zfyve9	1.046254957	0.004113469
Rorb	0.905805681	0.04052793
Dtl	-0.822555936	0.01663194
Plcl1	0.808043245	0.009186753
Pbx3	0.958007746	0.000398081
Ptger4	1.113292549	0.020494891
Dnm3	1.2024676	0.001897776
Gstm2	1.745558067	0.001897776
Cd53	2.662704384	9.65E-10
Fhdc1	0.769677756	0.014965369
Flt3	-1.030359823	0.001333902
Sh2d5	-0.887875926	0.018288075
Cavin2	1.004774078	0.016501552
Tmem215	1.297391407	0.025352567
Pcdhb16	0.940309626	0.01663194
Kcna3	-1.10811285	0.013679143
Zg16	2.599980608	0.000108
C130026I21Rik	1.144148991	0.047938367
Nrk	-1.164109672	0.014965369
Tdrd9	0.919707332	0.00267468
Maf	1.179932908	0.002038438
Clca3a1	1.534362181	4.20E-08
Mab21l2	2.237604955	0.000818412
H1f5	-1.600347993	1.31E-08
Cyp26b1	1.338519777	0.002777577
Phf11d	1.297642745	0.026054805
Gm10419	1.300447473	1.69E-05
C4b	1.129004912	0.026054805
Gm6878	-2.139455902	0.025622257
Kcnb2	0.972067965	0.01663194
Ighv3-3	5.22946306	0.041121414
Gm5833	1.434225712	0.008407489
Gm37965	3.378115828	0.043521636
Gm7694	0.921340018	0.014965369
A730089K16Rik	1.051576302	0.041738295
Gm43254	1.215147387	0.043151133
Gm19994	-4.134589258	0.04853986
Gm48230	1.783422874	0.015432362
