Gene	avg_logFC	p_val_adj
Nupr1	0.789569305	7.17E-13
Gda	0.703003522	4.86E-12
Selp	1.075621029	1.01E-11
Sult1a1	1.125741627	3.44E-10
Clec1a	0.867699692	1.96E-09
Tgm2	0.750888721	1.48E-07
Prtn3	0.677969771	4.23E-07
Tmem176a	0.663934755	4.49E-07
Vwf	0.7578125	1.30E-06
Eef2	0.339018874	1.71E-06
Clca1	0.59808435	6.39E-06
Plscr2	0.508464911	7.21E-06
Txnip	0.737216127	9.98E-06
Aldh1a1	0.681864973	1.14E-05
Jun	0.583036378	2.63E-05
Plscr1	0.574496069	5.37E-05
Dhrs3	0.767443038	7.10E-05
Rpl12	0.312844872	7.92E-05
Ehd3	0.711035292	1.00E-04
Ptprk	0.253960056	0.000196765
Rplp1	0.390706553	0.000197158
Mid1	0.315481747	0.000228939
Mt1	0.285047277	0.000228939
Cd63	0.480207877	0.000267545
Sbspon	0.606676161	0.000276634
Rpl10	0.274212089	0.00040044
Rpl7	0.33550047	0.000414576
Rpl5	0.261851715	0.000459933
Vmp1	0.720700435	0.000464106
Exoc6b	0.621685462	0.000469216
Itgb3	0.518873138	0.000579304
Sdpr	0.382154026	0.00068077
Ptma	-0.316341066	0.000790534
H2-D1	0.302884584	0.001146453
Uba7	0.575013621	0.001318597
Plac8	-0.309549846	0.001345955
Lpar6	0.275761515	0.001496244
Cyp26b1	0.294584379	0.001526126
Rorc	0.565022466	0.001572176
Gata3	0.529605799	0.002147053
Gpx3	0.287881877	0.002203994
Procr	0.470474134	0.002656148
Xdh	0.40670664	0.003528208
Tm4sf1	0.404925522	0.003528208
Rps21	0.399350644	0.004607201
Alcam	0.318726046	0.004808943
Nnt	-0.433068809	0.004843219
Wdfy1	-0.631560971	0.006180076
Cpne8	0.480462659	0.008408451
Klrb1c	0.450859123	0.008932028
Tpt1	0.252916129	0.010224017
4930511M06Rik	0.260500422	0.010350677
Cmtm7	-0.4875427	0.01213255
Gpr183	0.486681469	0.014127294
Jam2	0.502746726	0.01682546
Cd38	0.394042615	0.019515433
Pgr	0.276426607	0.019641728
Ezh1	0.646390132	0.020343459
Matn4	0.44364028	0.022257729
Tmem254b	0.461266733	0.022963547
Plk2	0.6309124	0.023821388
Tmem181b-ps	-0.481236012	0.024755456
Gbp6	0.529524951	0.025827142
Ppp1r16b	0.301355435	0.02927084
Enpp5	0.578882816	0.033412758
Runx1t1	0.354497638	0.033913395
Slc22a3	-0.266809089	0.035029847
Neat1	0.563872619	0.039004795
