external_gene_name	logFC	FDR
Gnai3	0.333970157	0.017098147
Tbx4	2.852941844	0.000997626
Xpo6	-0.557726958	0.026319575
Ccnd2	-0.438913939	0.016183944
Mid2	1.328621479	0.004519256
Scpep1	-0.639769769	0.027612793
Fap	3.300568434	1.07E-07
Hk2	1.027798905	4.73E-05
Cd52	-1.565780462	0.005625449
Loxl3	1.468933607	9.94E-05
Rpa1	0.435800697	0.007235339
Zfp512b	-0.82390126	0.023975422
S100a6	1.097056739	1.95E-06
B9d1	1.323233143	0.009400621
Sec24b	-0.648387493	0.042155101
Luzp1	1.057248392	0.001356806
Cfp	-0.940244895	0.033270019
Ramp2	1.886088402	0.000187237
Lsr	0.958077933	0.008689896
Col18a1	2.085959991	6.11E-13
Gstt1	1.012552609	8.70E-05
Gstt3	0.574478723	0.047303858
Marveld3	7.116809171	0.009253831
Cldn15	-3.670286989	0.005148981
Smo	-0.703160167	0.034608226
Rac1	-1.289113764	0.004488214
Vwf	1.817636295	8.32E-25
Esam	0.471270134	0.002953125
Ssr4	0.436956616	0.034111102
Rab34	1.842628856	6.40E-05
Spi1	-0.425109241	0.044496352
Hltf	0.451350559	0.01727977
Axl	-1.082010666	3.13E-05
Pex6	-0.911000263	0.026807173
Apoe	0.46225523	0.000714482
Tbc1d8	0.65951127	0.022765302
Cnot11	-0.934601211	0.019863474
Slc2a3	0.512889011	0.001507926
Foxj2	-0.942764521	0.031954034
Edar	0.944312983	0.019206554
Hck	-2.227088203	0.005748074
Ddr1	2.485840032	3.64E-05
Crot	0.351375453	0.041632522
Efnb3	-5.962364502	0.02486427
Gstm7	1.030148923	2.01E-05
Stat3	0.354067421	0.011217499
Cacna1b	5.872511811	0.000748717
Ppp1cc	-0.909562444	0.011227252
Clec11a	1.274815455	0.002094185
Tax1bp1	0.346189097	0.040678716
Pkn2	-0.823875322	0.013701546
Aqp1	0.697372481	0.018269407
Arid3b	-0.991573647	0.023062125
Abca13	-7.608829555	0.022239039
Rab11a	0.52192359	0.001810796
Sh2b2	-1.137129934	0.018342219
Fcer1a	4.491882066	0.004521725
Il27ra	0.584786495	0.001360697
Dnajb1	0.481059893	0.006348832
Celf1	-0.418715774	0.016693744
Igf1r	-0.855026734	0.000820437
Trim28	-0.660605649	0.032782086
Mef2c	0.4193223	0.004782696
Zfp592	-0.875932787	0.001364944
Ampd3	0.996510484	3.59E-05
Mob1b	0.634121827	0.039173311
Ggt1	1.478659528	0.011183207
Crip1	0.485252277	0.028555449
Pgrmc1	0.32986631	0.029892513
Srm	-0.733673988	0.039931569
Epha2	2.941666324	0.011227252
