Gene.symbol	logFC	adj.P.Val
Gpr183	4.194105375	0.000230066
Ctse	3.715713619	0.000230066
Eya4	4.906466428	0.0002672
Tc2n	2.589634952	0.000356873
Wwtr1	3.596609488	0.000356873
Clca3a1	3.22677464	0.000356873
Rorb	2.559453696	0.000356873
Sult1a1	2.848187398	0.000356873
Clec1a	3.084093632	0.000356873
Plscr2	4.17898566	0.000356873
	3.090110922	0.000532811
Cxcr4	3.440497708	0.000541038
Nupr1	3.023908834	0.000568611
Sdpr	2.087013904	0.000571119
Gda	2.468478183	0.000870648
Trpc1	3.396065723	0.000870648
Clca3a1	3.407518763	0.000916601
Bmpr1a	2.538362066	0.000916601
Sdpr	2.42923234	0.001135069
Sbspon	5.455001342	0.001137377
LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs	3.587581856	0.001137377
Acpp	2.28479654	0.001137377
Plcl1	2.324634017	0.001137377
Klrb1b///Klrb1c	2.909904651	0.001226612
Gpr183	3.30312471	0.001226612
Sema6d	2.711509785	0.001236416
Nupr1	3.243521579	0.001257079
Txnrd1	-1.564528976	0.001501603
	2.485134828	0.001501603
Sfrp1	1.769828223	0.001767048
Clca3a2///Clca3a1	3.902812269	0.001801557
Ccbe1	3.225733814	0.001801557
LOC102641248///Maf	1.67464697	0.001801557
Clu	2.849325667	0.001801557
Clu	2.902343009	0.001801557
Zg16	4.334037236	0.001801557
Runx1t1	2.138213802	0.001801557
Ramp2	3.321341622	0.001801557
Alcam	1.924580177	0.001801557
Tdrd9	4.391028908	0.001801557
Aldh1a1	1.721111193	0.001801557
Sbspon	4.47747781	0.001889932
Selp	2.998622912	0.001901974
Ehd3	2.260427539	0.001901974
Tm4sf1	3.33293662	0.001920659
Eif3j2///Eif3j1	-2.061649832	0.001920659
Eif3j2///Eif3j1	-2.300545617	0.001920659
Adgrg2	2.682842565	0.001940942
Uhrf1bp1l	1.727950502	0.001971372
Mab21l2	2.749286144	0.001971372
Tmem215	3.305402206	0.002178146
