external_gene_name	logFC	FDR
Gnai3	0.645357697	0.018692058
Slfn4	-1.15832244	0.01982254
Drp2	-1.214542468	0.040838737
Mid2	0.84440402	3.40E-05
Tpd52l1	1.16735723	0.015277267
Cdh1	2.68228628	1.16E-09
Alox12	0.977247133	0.000187882
Tbrg4	-0.436353256	0.026922515
Fap	2.012086137	1.70E-24
Cttnbp2	-1.215234905	0.034296782
Gpa33	2.995015334	1.04E-10
Grm6	2.527188609	0.001808965
Sema4f	1.500836613	5.11E-08
Hk2	0.592548932	0.000256749
Hoxb6	0.826635187	0.002195921
Loxl3	0.646314978	0.006783809
Sult5a1	1.26177596	0.010202525
S100a4	1.260517948	0.027809723
S100a6	1.60676905	4.20E-13
B9d1	0.657493289	0.04596058
Vps9d1	-0.502736987	0.045642375
Luzp1	0.513344086	0.012153046
Col6a1	-1.880469524	3.79E-07
Pcnt	-0.63849529	0.04596058
Uhrf1	-0.726523061	9.63E-05
Ramp2	3.368937875	1.89E-47
Lsr	1.448290444	9.80E-09
Hpn	-1.138757897	2.91E-05
Ube2c	-0.578942463	0.001608805
Smg5	-0.48322365	0.024980806
Col18a1	1.58500057	2.00E-20
Col1a1	-3.784277352	1.20E-65
Itga3	0.864616342	2.07E-05
Foxm1	-0.790530835	0.000509099
Nrip2	-0.991257963	0.032420511
Fkbp10	0.896988919	0.000692529
Tcea3	2.29520841	0.008883225
Brpf1	-0.505371969	0.046290194
Gstt1	0.626918713	0.001884769
Marveld3	2.171244449	0.000142654
Tspan33	-0.438784179	0.033770887
Kcnh6	-1.654615358	0.001794415
Vwf	1.771409558	9.41E-18
Siae	0.407071801	0.045470914
Gria3	-0.462236332	0.020284792
Ltbp2	-1.091824862	0.008915647
Spag5	-0.824241523	0.005667736
Rab34	0.730990405	0.01666756
Ccne1	-0.9029358	2.18E-05
Spi1	-0.442458974	0.016854748
Paxip1	-0.488427531	0.02979338
Bmp8b	1.197717469	0.049093525
Rgs19	-0.373692331	0.043586252
Prkd1	1.563541151	3.18E-07
Top3a	-0.412974531	0.038805045
Mcm2	-0.519059326	0.011911325
Nab1	0.408249515	0.027461567
Bcam	0.66448104	0.001000342
Relb	-0.535824917	0.027049807
Prkar2b	0.503727472	0.029319484
Klf4	1.28434682	0.001492037
Tbc1d8	0.786795026	1.72E-06
Dll3	1.791213987	0.002061506
Phyhip	-2.036823113	8.12E-07
Cyp4f18	1.671019882	0.001047555
Impdh1	-0.583472658	0.000404963
Dusp3	0.515245406	0.004270592
Ddr1	1.539796014	2.03E-10
Homer3	-0.478583569	0.02342358
Cp	-0.953805792	0.022281831
Crot	0.430889951	0.035062934
Man1a	0.601368727	0.010146183
Farsa	-0.406708225	0.026439519
Brinp2	1.322972311	0.045990869
Gstm7	0.931635042	3.18E-05
Col5a3	-1.174052658	0.015772909
Dnmt1	-0.639324663	0.033447991
Ppan	-0.474717394	0.016306613
Cacna1b	1.04116691	0.00083456
Wars2	0.550793585	0.003374391
Clcn5	0.487926425	0.02216118
Clcn3	0.514935541	0.008581714
Spic	-0.669261521	0.041274551
Clec11a	0.966772379	9.52E-05
Ctse	-0.585371626	0.000591153
Cd33	-1.494979401	0.000219351
Nkg7	-0.60142559	0.007971026
Arid3b	-0.573739371	0.026604354
Cd244a	-1.598106562	5.81E-08
Rab11a	0.77661892	1.37E-05
Nes	-1.063237543	0.013431793
Thop1	-0.398662721	0.040396092
Syt5	1.360928367	0.002523458
Sh2b2	-0.688289756	0.005767958
Prlr	-2.129716841	0.036729494
Cadm3	1.426259495	6.49E-06
Fcer1a	1.349176443	0.001013896
Mlxipl	1.158743387	0.020900655
Mcm5	-0.553044662	0.007294708
Hmox1	-0.760371825	0.000136423
Ddx39	-0.395919649	0.026649994
Mef2c	0.587802137	0.005847859
Mthfd2	-0.550653108	0.017853074
Ampd3	0.848818039	7.48E-08
Mmp8	1.861712366	0.033447991
Slc30a4	0.82527516	0.000109307
Sqor	0.547888111	0.01559337
P2rx5	-1.812603704	0.001819591
Prg4	-1.919827447	1.61E-06
Upk3bl	6.916242752	3.94E-09
Zbtb17	-0.487297583	0.031830031
Fam131c	1.61473116	0.000781358
Mob1b	0.441804323	0.011650068
Ggt5	-0.622262255	0.000830903
Ggt1	0.766194276	0.041641545
Crip2	-1.010595696	0.002991753
Pgrmc1	0.518761942	0.013620793
Cdc20	-0.503445254	0.002781222
Srm	-0.473953569	0.004739233
Epha2	2.050601226	1.16E-17
A530013C23Rik	1.537751426	0.012125435
Atp7b	-1.177863306	1.52E-05
Slc4a1	-2.544886904	3.00E-39
Rundc3a	0.566230338	0.040639345
Cdt1	-0.648895894	3.21E-05
Runx1t1	1.168882046	2.33E-08
Snai3	1.267923287	0.040789109
Aplp1	1.179332585	0.015376547
Cdc42	0.747049958	0.010953518
Gmnn	-0.444633158	0.020485945
Cyp27b1	-1.259810971	0.012124027
Ezh1	0.599271985	0.000343465
Vwa7	0.822396084	0.007535603
Pole	-0.629949031	0.000725083
Gatad1	0.446763244	0.034319372
Tgfbr1	0.491594962	0.039034054
Cpt1c	1.086232306	0.000320988
Relt	-0.610680609	0.000957198
Fut1	1.725114351	9.12E-05
Elavl2	1.785302045	0.000171151
Pou2f2	-0.652778577	0.029300016
Cldn13	-1.847047584	4.17E-10
Trpm5	-1.227098603	0.007573503
Ascl2	1.266619776	0.012995413
Trpm2	-1.538467205	2.46E-05
Mpo	1.017571444	0.000973187
Met	0.742785311	0.008915647
Ifrd2	-0.415895114	0.022769696
Epn3	0.980104323	0.005325765
Tex14	-1.804368265	0.000311963
Eya4	2.385160329	4.53E-30
Ebf3	-0.960213275	0.047514619
Phlda2	-0.829105956	0.003719606
Adam19	1.145389875	0.02939639
Exoc3l2	1.204083302	3.63E-14
Sptbn4	1.023837825	0.000222587
Cdh23	-0.619775981	0.023255721
Enkd1	-0.613128421	0.032362296
Bcas1	-1.861234223	0.000215005
Snx31	-0.760865644	0.032098578
Clip3	0.602514041	0.001700171
Myl2	1.740459935	0.039167049
Piezo1	-0.545739796	0.005703289
Dll1	1.646779903	9.88E-06
Nol3	2.043737757	8.64E-08
Fhod1	-0.565883188	0.012153046
Plekhg4	-1.76630134	0.00429947
Slc9a5	-1.164571576	0.00215739
Elmo3	0.459703272	0.042757144
Dnajb9	0.626034949	0.035391043
Yes1	0.434841238	0.039769876
Ppp1cb	0.599322817	0.025174438
Entpd2	1.470460063	3.09E-09
Clic3	-0.76663462	0.049274875
Npdc1	0.782172331	6.81E-07
Slamf1	0.997220594	1.40E-10
Cybb	1.434821746	0.00731458
Xk	0.457910675	0.017713309
Cltrn	2.958236266	1.16E-06
