Gene.symbol	logFC	adj.P.Val
Sbspon	6.72433285	9.43E-07
Osmr	4.558600944	0.000141025
Tc2n	3.710286962	0.000141025
Wwtr1	3.867870578	0.000141025
Pgr	2.898044661	0.000141025
Nupr1	3.401097695	0.000141025
Selp	3.333783169	0.000141025
Gpr183	3.915845229	0.000141025
Cd38	2.679098247	0.000141025
Plscr2	4.12444739	0.000144158
Selp	3.20063054	0.000155863
Tdrd9	3.559316578	0.000155863
Clca3a2///Clca3a1	2.938175513	0.000155863
	3.203984762	0.000155863
Ntn4	2.427059673	0.000178299
Clca3a1	3.036083892	0.000216416
1700112E06Rik	3.119573983	0.000216416
Mt2	3.328277545	0.000216416
Selp	2.888677901	0.000267516
Bmpr1a	2.35920889	0.00029558
Nupr1	2.981102149	0.000365932
Dsg2	1.933068192	0.000367735
Ripk4	2.928081825	0.000367735
	3.132014136	0.000376828
Gadd45g	2.260622149	0.000426139
Zg16	3.569909788	0.000444517
Mt1	2.713056669	0.000460771
Caps2	4.234154077	0.000661709
Gpr183	2.54273594	0.000680918
Gstm2	2.969836166	0.000680918
Rgs7bp	-2.815476549	0.000821168
Clu	3.535971669	0.000901895
Tmem56	2.877567214	0.000942371
Mmp2	-1.782679599	0.001106611
Dnm3	1.824222656	0.001118585
Clu	3.098017891	0.001221503
Aldh1a1	1.966447467	0.001289957
Clec1a	2.180845304	0.001289957
Sdpr	2.119970857	0.001289957
Alcam	1.663181469	0.001289957
Cysltr2	2.148220703	0.001289957
Isl1	2.271656704	0.001289957
Ramp2	2.359533701	0.001289957
Ptprk	2.468868209	0.001289957
Clu	2.886425262	0.001289957
Exoc3l4	1.96682116	0.001289957
Sbspon	5.2734379	0.001289957
Jam2	2.500968978	0.001289957
Tmem254b///Tmem254c///Tmem254a	2.01294227	0.001292978
Trpc1	3.021129563	0.001312082
Clca3a1	3.079866534	0.001312082
Bmpr1a	1.793182246	0.001410368
Nrg4	1.85822187	0.001438443
Zg16	2.725357557	0.001446816
	2.458581075	0.001458039
Ccbe1	2.795911344	0.001611594
Bmp4	2.059278637	0.001738068
Jag1	2.203612483	0.001761474
A030001D16Rik	-1.673127121	0.001761474
C4a///C4b	1.552867389	0.001874346
Ehd3	2.100496709	0.001954548
Bmpr1a	2.382447439	0.001954548
Abat	1.860673309	0.002144584
Dsg2	2.222406354	0.002178575
	-3.323228505	0.002679976
Tm4sf1	3.497414034	0.002759691
Pde9a	1.812659193	0.002804196
Mmp14	1.400910138	0.002869225
Lrrn1	1.810317097	0.002970652
Clu	2.912381307	0.003000405
Cntn1	2.467810465	0.003076972
Neo1	2.40106225	0.003076972
Tmem215	3.522504204	0.003076972
Dsc2	1.949766505	0.003116959
Tmem47	2.4928116	0.003116959
B230114P17Rik	1.512266336	0.003158554
Amotl2	1.510113276	0.003187517
Calml4	1.738073411	0.003187517
Vwf	2.089372431	0.003420329
Gm10419	2.445308662	0.003420329
Meis2	1.959249996	0.003420329
Nrg4	1.612074959	0.00355971
Gm3579	-3.014973492	0.00355971
Klhl4	1.653690644	0.00355971
Sult1a1	2.018886699	0.003668771
Ehd3	1.653296274	0.003717918
Ncam1	1.60554483	0.003729317
Abca4	1.644097485	0.003729317
Uhrf1bp1l	1.416870605	0.003768062
B3galt1	1.685086715	0.003925361
Fhl1	1.382578239	0.003925361
Cldn5	2.604187662	0.00404889
Ebi3	-1.800044448	0.00404889
Tmem117	1.488378141	0.004256007
Aspa	2.306765551	0.004256007
Satb1	-2.080620617	0.004256007
LOC102641248///Maf	2.373346515	0.004480192
Neo1	2.525867847	0.004492316
Fam46c	1.55672724	0.004530425
Sdpr	1.799172093	0.004538184
Cdkl2	1.866169502	0.004558456
Ldhd	1.102570343	0.004558456
Zg16	1.516681578	0.004558456
Trim47	1.229408716	0.004604052
Oxr1	1.25503364	0.004682452
Jam2	1.960568209	0.004798372
Slc16a12	1.730866176	0.004895999
Arhgef28	1.173231099	0.004965481
Sdpr	1.947353945	0.005110522
Fam169a	1.832911087	0.005262671
Ptprk	1.442461994	0.00535847
Satb1	-1.932190079	0.00535847
	-2.923709923	0.005420162
Ampd3	1.39052685	0.005500069
Il1rapl2	1.364129633	0.005508658
Gm3470///Rbpms2	1.051565342	0.005730159
Pbx3	1.150411167	0.005762244
Oxr1	1.164990558	0.005818866
Dpy19l2	1.807493196	0.005934797
Epas1	1.68831799	0.005962314
Casp12	1.135420866	0.006188574
Rassf4	-1.403637938	0.006573908
Ffar2	1.749193256	0.006710607
Alcam	1.248620038	0.007032286
Muc1	1.71879361	0.007032286
Lhfp	2.260180677	0.00704668
Runx1t1	2.600933015	0.007149403
Wwtr1	1.346047781	0.007149403
Cpne8	2.473047959	0.007217773
Prcp	1.064822307	0.007413017
Clec1a	1.752785724	0.007800503
Cd86	-1.367765214	0.007800503
Plac8	-2.03394901	0.007857055
Gpx8	2.407108804	0.007959663
Rhag	-1.394324359	0.008136776
Wwtr1	1.475765831	0.008136776
Sfrp1	1.356208096	0.008136776
Gabra4	2.888459126	0.008136776
Alcam	1.710621016	0.008136776
Ctsw	1.284973626	0.008136776
Hnf4a	-1.481303377	0.008136776
Ghr	1.354815029	0.008276996
Gca	1.250648586	0.008276996
Cd163	-2.165690671	0.008276996
D1Ertd705e	1.197669533	0.008420371
Runx1t1	1.495181267	0.008420371
Cyyr1	1.527442029	0.008420371
Bmpr1a	2.094662669	0.00855093
Oas2	-0.995650852	0.008656425
Agtr1a	2.746901208	0.008656425
Abcb1a	2.012710396	0.0090162
Dhx40	1.028678067	0.009184031
Mmp2	-1.693847997	0.009184031
Gda	1.888074238	0.009184031
Ubtf	-1.17308147	0.009491511
Chrna7	1.716443507	0.009501791
Itgb5	-1.509527479	0.009920851
	0.993574973	0.010143104
Stxbp4	1.113645014	0.01017493
Nudt10///Nudt11	1.16289643	0.010249691
	-2.368178912	0.010502823
Lpl	2.33763496	0.010703673
Camk1d	-1.920516184	0.01080452
Fam184a	0.970818256	0.01080452
Scd1	1.703103167	0.01089224
Adgrg2	2.925324271	0.011017175
Evl	-1.632268324	0.011100738
Pclo	2.597126797	0.011191305
Nxnl2	1.309408414	0.011232504
Edar	1.03551479	0.011344202
Sema7a	0.888918424	0.01166087
Kdr	1.441834967	0.011760474
Pawr	1.447295507	0.012075432
Lpar6	1.084896205	0.012193386
Vmp1	1.045395463	0.012253398
Efemp1	1.941691279	0.012253398
Vldlr	1.271959367	0.012289972
Rorb	1.688574518	0.012525011
Acpp	1.2195434	0.012575669
Bank1	-1.207282103	0.012575669
Ube2e3	-0.910836883	0.012874228
Fam46a	-2.112498968	0.012880809
Arhgap29	1.035647115	0.013045476
Cyb561	1.6392377	0.013092225
Ddr1	1.323879615	0.013129064
Klrb1b///Klrb1c	1.691658456	0.01316219
Myom1	1.290340608	0.01316219
Gpr143	1.069752216	0.01318513
Runx1t1	1.81390261	0.01318513
Prtn3	0.840102205	0.013678169
Perp	1.786278608	0.013787456
Plcl1	1.50055558	0.013787456
Phf11d	1.201664376	0.013923052
Gipc2	2.042796988	0.014280714
Hoxb6	1.606164686	0.014280714
Hmga2	-1.492050364	0.01430535
Fhdc1	1.692134592	0.015152954
	1.299790121	0.015232566
Rorc	1.400878084	0.015457528
Hpgd	-1.482416382	0.015457528
Thbd	1.254365321	0.015548932
Arhgap30	-1.005211433	0.015548932
Vldlr	1.106599145	0.01593271
Rassf4	-0.972331912	0.01593271
Rarb	2.156591818	0.015981231
Syncrip	-1.203412123	0.016626644
Hmga2	-1.178303322	0.016717158
Gda	1.713995672	0.016728397
Rgn	2.038676657	0.016831944
Pdgfd	1.063509383	0.016831944
Hmga2	-1.29792457	0.01698248
Nxpe2	1.733733023	0.017768608
Pros1	1.255583056	0.017791817
Zfp462	1.139636607	0.017791817
Tbc1d8	1.117510248	0.017791817
Slc22a3	-0.926057608	0.017806831
Rhoj	1.0382173	0.017935177
Tnfaip2	0.931832029	0.018015435
Fap	2.815496319	0.018145788
Tc2n	2.199684658	0.018145788
Pip5k1b	0.900048882	0.018176685
Phactr1///Chst11	1.182956304	0.0184203
Epb41l3	-1.022910374	0.018985011
Dock9	1.239219775	0.018985011
Rnf150	1.199076467	0.018985011
	-1.092719658	0.018985011
Ctr9	-0.82761809	0.018985011
Ctse	-1.039712473	0.018985011
Itgb3	1.530719565	0.019276557
Nckap1	0.967570577	0.019276557
Spats2	0.890591106	0.019276557
Cxcl16	1.335870555	0.019276557
	1.554210155	0.019276557
C130075A20Rik	0.955491544	0.019605074
Pim2	0.98899793	0.019605074
Dock9	1.295287727	0.019708733
	1.762942898	0.019982054
