study,age.start,age.end,age.cat,platform
Rossi,2,3,Yng,Microarray
Rossi,22,24,Old,Microarray
Chambers,2,3,Yng,Microarray
Chambers,6,7,Yng,Microarray
Chambers,12,13,Old,Microarray
Chambers,21,22,Old,Microarray
Noda,3,4,Yng,Microarray
Noda,18,24,Old,Microarray
Norddahl,2.5,3,Yng,Microarray
Norddahl,24,25,Old,Microarray
Bersenev,2,3,Yng,Microarray
Bersenev,20,21,Old,Microarray
Wahlestedt,3,4,Yng,Microarray
Wahlestedt,21,22,Old,Microarray
Beerman,-1,-2,FT,Microarray
Beerman,3,4,Yng,Microarray
Beerman,25,26,Old,Microarray
Sun,4,5,Yng,RNA-seq
Sun,24,25,Old,RNA-seq
Quere,4,5,Yng,RNA-seq
Quere,20,21,Old,RNA-seq
Flach,1.5,3,Yng,Microarray
Flach,22,30,Old,Microarray
Kowalczyk,2,3,Yng,scRNA-seq
Kowalczyk,22,23,Old,scRNA-seq
Grover,2,3,Yng,scRNA-seq
Grover,20,25,Old,scRNA-seq
Kirshner,4,5,Yng,scRNA-seq
Kirshner,12,13,Yng,scRNA-seq
Kirshner,18,17,Old,scRNA-seq
Maryanovich,2,3,Yng,RNA-seq
Maryanovich,20,24,Old,RNA-seq
Mann,2,3,Yng,scRNA-seq
Mann,20,24,Old,scRNA-seq
Lazare,4,5,Yng,RNA-seq
Lazare,22,24,Old,RNA-seq
