x	y	gene	pval
6	0.2399557453672414	Abat	0.11695253512625431
13	0.45371254037603453	Abca4	0.07501893700004597
44	1.6285470783911542	Abcb1a	0.43131192740212165
63	2.6622581233579248	Abcb1b	0.33529736116751174
8	0.20460658318073208	Acpp	0.33535156662807875
82	4.069380164468918	Acsl4	0.5090556988977819
103	4.9941542843801106	Alcam	0.0010385727933094919
79	4.145797985854726	Aldh1a1	6.838831706180573e-11
21	0.7376283786002904	Amotl2	0.022065280596841274
106	2.984562232515357	Ampd3	0.0018494807970639872
22	0.6509593669479872	Antxr2	0.00038408170457613787
22	0.9696516666905886	Anxa2	0.15012728112111823
33	1.2266375318770248	Anxa6	0.0009251909784306168
37	1.521347096164712	Arhgap29	0.0031598395983473823
72	2.444247063195953	Arhgap30	0.11790871910752158
22	0.9654069002822402	Arhgef28	0.14554222609005024
58	2.536215661295646	Art4	2.8634290455478714e-05
15	0.4589772528669841	Asb4	0.9738013097719456
21	0.7189223991114568	Aspa	0.2910490769977179
10	0.40296162062760693	B3galt1	0.5326603531099343
7	0.2792906114549573	Bcl6	0.2592313738265959
34	1.440157680614807	Bmpr1a	0.0001328837098350563
88	4.881036057000447	Btg2	1.2766715712900281e-10
14	0.42279866401715227	C4b	0.021854352492169254
54	1.0662016739450348	Camk1d	9.797070635792005e-06
73	3.489439500022041	Casp12	0.0002167205932789332
10	0.3333908681840351	Cd200r4	0.993910608142123
73	3.409410276889514	Cd34	0.030262641509898505
42	1.451626969258335	Cd37	0.041779193282368114
109	4.815524982075752	Cd38	0.1178502182803001
114	7.436863820440307	Cd63	0.10332444361102706
10	0.3438345528279793	Cd86	0.09575857985558657
102	5.69183036969677	Cd9	0.058149301184092436
12	0.42641596995052905	Cldn12	0.9175481339619135
72	3.6835351943708923	Clec1a	1.917366981496364e-07
6	0.3208657631295847	Clec1b	0.06510603962305139
40	2.113067905204713	Clu	4.388267799891425e-06
37	1.456108584940659	Col4a2	0.014594558025588214
117	7.078387612467404	Cpne8	3.2291774898150057e-06
92	2.118154151754405	Csf2rb	0.31568174873753846
14	0.5071813923096541	Ctss	0.6306862745898238
8	0.29530730839820046	Cxcl16	0.044741918270208486
3	0.1855105209485812	Cyb561	0.15612415097052937
31	1.2337132687632268	Cyp26b1	0.0041863009788510736
45	1.8881858321881844	Cysltr2	0.000746708190398603
110	3.9832109088657894	Cytip	0.004365488190215216
4	0.17245393614917337	Cyyr1	0.2280535656531146
117	7.579216441167187	Dennd5b	0.7527180946812513
92	4.375464288311827	Dhrs3	0.00011751299166707872
44	1.5580882825484497	Dhx40	0.5115302224472971
25	0.8503607943273481	Dnm3	0.0004758901888315015
68	2.6986339113612487	Dnmt3b	0.25531538303065276
94	2.750801099714668	Dsg2	0.8332273184820895
29	1.1692478993847948	Ebi3	0.0001320284135281845
8	0.23420896577759812	Ect2	0.15958276186265763
38	1.3153752513428143	Efna1	0.026120504169980217
117	9.82186377871173	Egr1	3.556560733392956e-15
53	1.7953146628028036	Ehd3	0.00024779894110133843
68	3.030065651121519	Enpp5	4.850632955782487e-07
18	0.5345223490935089	Evc	0.06594120029086788
68	2.9636551009215166	Exoc6b	0.0001929260136137231
13	0.4760119152078719	Fap	0.5621084842448324
27	0.8230456051232555	Fhdc1	0.45140326523698715
64	2.6883291080177822	Fhl1	1.0672609408109143e-06
21	0.5861444622410225	Flt3	0.00044672999809816313
100	4.875809580136625	Fyb	0.011602269627347346
4	0.14154535159925266	Gabra4	0.19389043307136947
59	2.057347459381313	Gadd45g	5.477044873723915e-06
111	4.898664361689601	Gda	7.025349123826748e-07
42	1.6716383250905504	Gem	0.0026572586996764544
33	1.3120560178890366	Ghr	0.044998126741737615
5	0.22379441342200804	Gipc2	0.5437659555715051
41	1.7391857872362295	Gpr183	1.7007824324490563e-06
9	0.2402837731468883	Gpx3	0.09693570525050377
107	6.868554937378105	Gstm1	6.553421948102966e-07
71	2.705246890670963	Gstm2	2.184948102971676e-07
34	1.4519876354917964	Gstm7	0.008409008037369745
4	0.12766215796331137	Hnf4a	0.0907092473276956
116	4.438281886084878	Hpgds	0.9258891427141089
64	3.156389544989417	Id2	1.421336647977373e-07
11	0.3542096076794005	Il12rb2	0.6755709603081439
41	1.7920254352534017	Il15	0.3980881119183295
20	0.6260747365463161	Il1rapl2	0.0011794050219133896
95	3.604999576743249	Itgb3	1.4395503667857716e-08
48	1.7076736078998616	Jam2	0.0013536443990768698
110	6.980267827426132	Jun	0.00041420200201873605
66	1.5837421941730943	Kcnip3	0.44773842849374623
4	0.12529913201430892	Kdr	0.24898851299335603
56	2.4515380007966936	Klhl4	1.7885450829710783e-07
5	0.1664268011231435	Klrb1b	0.09151751381438576
21	0.7273908754059635	Klrb1c	0.002274474266977224
104	5.963397141868114	Lamp2	0.504142323657692
7	0.2381704512041665	Ldhd	0.27852150391160835
38	1.4814005718537837	Lgals1	0.022067680091489142
90	3.8831317829191425	Lpar6	0.9806709158817655
107	2.275775619838218	Lpl	0.961047065098334
3	0.11262286494743967	Lrrn1	0.2601428386950731
90	4.466822251172733	Lsp1	0.1237392787438508
15	0.5349947234420925	Lsr	0.34855885060765646
48	1.9383465854112008	Lst1	0.0003578668807907964
117	9.817975426441071	Ly6e	0.0006197839867005545
5	0.2141668023821207	Mab21l2	0.07882482948116348
103	3.0044756738278897	Maf	0.01165547591257519
26	0.9739948465816836	Mamdc2	0.7965615553714375
11	0.2443151782297634	Matn4	0.047537998656607634
115	4.080571078269335	Mcm5	3.675055159897956e-05
74	3.1792841511445538	Mcm7	0.1828415310845699
112	7.018048425355453	Mef2c	1.08189140431701e-05
101	2.4240183590806	Meis2	0.9890076543218826
27	1.2568419788090222	Mgst1	0.010209113102823835
87	3.2924344025644614	Mlec	2.551509286761495e-07
108	6.377942103775598	Mllt3	0.9656742471666775
57	1.246836200804224	Mmp14	0.18890302006401768
82	4.229421631597869	Mt1	9.407427889596463e-22
23	0.9902996098641536	Mt2	7.532727542970626e-05
23	0.7261953549777621	Muc1	0.01696299741951982
111	6.477585933144313	Muc13	0.00011002421162344344
117	5.370585846436544	Myo1e	0.00040385933125285236
23	0.9584396604813954	Nckap1	0.020810987344472887
57	2.1730926849862917	Ndn	0.0983592031639657
64	2.7496016763567663	Ndrg1	3.864507100401735e-07
34	1.152673980254368	Neo1	0.003120840235728166
41	1.6022035700530795	Npdc1	0.05684846570307864
36	1.2720785206853638	Nrg4	0.12244023461427932
15	0.5020885756744444	Nrk	0.03827024910918609
108	5.776956337476491	Nt5c3	0.0016680900010570764
7	0.20205847304491373	Ntf3	0.08332962251916443
70	4.18951425157338	Nupr1	9.438259596094674e-17
35	0.9873202612086308	Ocln	0.12241762254364433
11	0.3894169164377774	Osmr	0.0333813174757053
93	5.179612875505549	Oxr1	8.13189299927245e-06
31	1.3681351488945366	Pbx3	0.0001016830904413901
10	0.4696743540541676	Pcdhb16	0.23704436661142125
114	3.940552248387856	Pclo	0.0007590269250312906
24	1.183745039794474	Pdgfd	0.19116489833166458
23	0.810767125653643	Perp	0.946092204402282
19	0.7051346757860228	Pgr	0.06600983688575354
86	1.8424728236600225	Phactr1	0.5145389231021288
52	1.673759080030001	Phf11d	0.09887780435385331
101	5.036720187700906	Pla2g4a	0.2315060272108233
44	2.23954870849045	Plac8	0.000798067296033824
111	3.0438049213430465	Plcl1	0.3614457502820778
105	4.011582600987733	Plek	6.619115879013402e-07
73	3.533691391917387	Plscr1	0.0016884893841811102
50	2.307347437059295	Plscr2	2.8670329395750143e-10
74	2.7932110065636158	Plscr4	0.003207306365983187
40	1.5073005666319101	Plxdc2	0.012970649345502818
117	8.627997440080984	Ppp1r16b	0.024309568634549607
100	5.0058510185862275	Prcp	0.022129041136819967
36	0.9730221739084008	Prnp	0.23737949620831636
51	2.1490877869262497	Procr	0.029150060265040297
10	0.39566349471798956	Pros1	0.45102962615036934
110	6.868420922657658	Prtn3	0.00863647334418229
44	1.6258736228797603	Ptger4	0.1429567941031501
25	0.6819603686858822	Ptprk	0.0879876378091078
6	0.15828640959819612	Rab34	0.6649315491758014
13	0.4901760681979792	Ramp2	0.12001176936695356
18	0.8903440154524028	Rassf4	0.5648627880744272
6	0.20685321403794044	Rbpjl	0.1130638823605959
17	0.6075230067754911	Rdh10	0.5379172407785321
90	4.132237639849911	Rfc2	0.27282066399190597
3	0.08891331024401844	Rgn	0.3282798019907335
25	1.117042433310656	Rhoj	0.014116631377398731
33	1.2999256873728868	Rnase6	0.01302653989357394
99	2.5377115554931318	Rorb	0.0010339857786273179
11	0.41055319670355905	Rorc	0.02721537267422846
71	2.7496941730607145	Runx1t1	0.005722490530461621
65	3.3554431354704546	S100a6	7.477858378029087e-06
20	0.8025032545236763	Satb1	5.551409951553161e-05
19	0.9556203905194689	Sbspon	0.008144693735883972
80	4.474807917571879	Sdpr	1.0723105795194475e-14
20	0.8006625646706755	Sell	0.0007103789297369662
67	3.481109267807826	Selp	1.1555067331244204e-11
11	0.2580868291727345	Sema7a	0.34255402802854096
50	1.8308263128031503	Serpinb6a	0.8041727535178272
84	1.7241615328480882	Serpinb8	0.0035789747304550636
101	2.321904370984699	Sfrp1	0.01724808515444328
38	1.6512222605038784	Slamf1	0.01858726994173582
68	2.910393263031084	Slc14a1	0.00919553257682464
13	0.6015847143328112	Slc28a2	0.0007895958689648411
34	1.2417226666795995	Slc6a15	0.0759617333990452
35	1.4517724708771536	Socs2	4.671466799096796e-06
11	0.4794389067511774	Stom	0.021942862331149365
116	5.963620904832684	Stxbp4	0.372252501428851
84	4.55666277576153	Sult1a1	3.107167286619468e-12
49	1.8026689297082301	Syk	0.025547751812733246
58	2.4962159892025726	Tacstd2	0.008197596633670734
32	1.161514050024143	Tbc1d8	0.05455420159371435
46	1.476925367391506	Tc2n	0.0007832522710211063
12	0.354912491727964	Tdrd9	0.2296376946753082
81	3.9076528958642203	Tgm2	0.0002588387037436334
14	0.48803464187816975	Thbd	0.490343071964653
22	0.8550288881459273	Tm4sf1	0.00066274212373798
17	0.617919283183519	Tm6sf1	0.45847803222672334
102	5.5735353422036065	Tmem176a	0.006588679633243326
8	0.3391243282374919	Tmem215	0.03517740803478297
17	0.48981366065816656	Tmem47	0.23334239317869618
16	0.6178612661613695	Tmem56	0.022975500972333595
117	6.541346068935637	Tnfsf10	0.7781253665720254
57	2.4301759847401825	Tox	0.00038026625767108394
77	3.627285711002733	Trim47	0.008291682907069114
4	0.14409427026091443	Trpc1	0.12441195426586522
78	3.380854694141155	Trpc6	0.4364808743577181
110	7.53113475720656	Tsc22d1	0.0019585588284376622
45	1.9238967638362547	Vldlr	0.3531808455527107
111	8.351033285029203	Vmp1	4.033654848779208e-05
90	4.517013228589867	Vwf	0.12867594367922178
