#term ID,term description,observed gene count,background gene count,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0071944,cell periphery,84,4443,1.26E-16,"ENSMUSP00000000109,ENSMUSP00000001051,ENSMUSP00000001279,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000018963,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000026760,ENSMUSP00000028175,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034745,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000060099,ENSMUSP00000062615,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000073829,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000091318,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000103935,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000105053,ENSMUSP00000106154,ENSMUSP00000107873,ENSMUSP00000108019,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000125288,ENSMUSP00000126279,ENSMUSP00000130929,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,Anxa6,Arhgef28,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1b,Clu,Cntn1,Cysltr2,Cytip,Dnm3,Dsg2,Ect2,Efna1,Ehd3,Enpp5,Evc,Fap,Fhl1,Flt3,Fyb,Gem,Ghr,Gpr183,Gpr64,Gstm2,Il12rb2,Itgb3,Jam2,Kcnip3,Klrb1c,Lamp2,Lpar6,Lpl,Lsp1,Lsr,Mmp14,Mmp2,Muc1,Myo1e,Nckap1,Ndrg1,Neo1,Nrg4,Osmr,Pclo,Perp,Pgr,Plek,Plscr1,Plscr2,Ppp1r16b,Prtn3,Ptprk,Ramp2,Rhoj,Rorc,S100a6,Sdpr,Selp,Sfrp1,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tc2n,Tgm2,Thbd,Tm4sf1,Tmem47,Tnfsf10,Trpc1,Trpc6,Vwf"
GO:0005886,plasma membrane,80,4328,3.67E-15,"ENSMUSP00000000109,ENSMUSP00000001051,ENSMUSP00000001279,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000018963,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000026760,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000060099,ENSMUSP00000062615,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000073829,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000091318,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000103935,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000105053,ENSMUSP00000106154,ENSMUSP00000107873,ENSMUSP00000108019,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000125288,ENSMUSP00000126279,ENSMUSP00000130929,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,Anxa6,Arhgef28,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1b,Cntn1,Cysltr2,Dnm3,Dsg2,Ect2,Efna1,Ehd3,Enpp5,Evc,Fap,Fhl1,Flt3,Fyb,Gem,Ghr,Gpr183,Gpr64,Gstm2,Il12rb2,Itgb3,Jam2,Kcnip3,Klrb1c,Lamp2,Lpar6,Lpl,Lsp1,Lsr,Mmp14,Mmp2,Muc1,Nckap1,Ndrg1,Neo1,Nrg4,Osmr,Perp,Pgr,Plek,Plscr1,Plscr2,Ppp1r16b,Prtn3,Ptprk,Ramp2,Rhoj,Rorc,S100a6,Sdpr,Selp,Sfrp1,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tc2n,Tgm2,Thbd,Tm4sf1,Tmem47,Tnfsf10,Trpc1,Trpc6,Vwf"
GO:0044459,plasma membrane part,57,2362,1.69E-14,"ENSMUSP00000001051,ENSMUSP00000006679,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000016638,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000035900,ENSMUSP00000039041,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000073829,ENSMUSP00000087047,ENSMUSP00000091318,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000103935,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000106154,ENSMUSP00000107873,ENSMUSP00000108019,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000126279,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,Anxa6,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1b,Cysltr2,Dnm3,Dsg2,Ect2,Efna1,Ehd3,Enpp5,Evc,Fap,Flt3,Gem,Ghr,Gpr64,Il12rb2,Itgb3,Kcnip3,Klrb1c,Lpar6,Muc1,Nckap1,Neo1,Osmr,Perp,Plek,Plscr1,Prtn3,Ptprk,Ramp2,Rorc,S100a6,Sdpr,Selp,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tgm2,Thbd,Tm4sf1,Trpc1,Trpc6,Vwf"
GO:0016020,membrane,103,7460,7.42E-13,"ENSMUSP00000000109,ENSMUSP00000001051,ENSMUSP00000001279,ENSMUSP00000003274,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000008684,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000012348,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000018963,ENSMUSP00000019064,ENSMUSP00000019734,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000026760,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029777,ENSMUSP00000029795,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034187,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000038017,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000047065,ENSMUSP00000052129,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000056916,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000059498,ENSMUSP00000060099,ENSMUSP00000062615,ENSMUSP00000063562,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000071387,ENSMUSP00000073829,ENSMUSP00000076886,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000087947,ENSMUSP00000091318,ENSMUSP00000094082,ENSMUSP00000094949,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000098969,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000103935,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000105053,ENSMUSP00000106154,ENSMUSP00000107182,ENSMUSP00000107873,ENSMUSP00000107965,ENSMUSP00000108019,ENSMUSP00000108686,ENSMUSP00000109811,ENSMUSP00000109833,ENSMUSP00000110417,ENSMUSP00000122072,ENSMUSP00000122552,ENSMUSP00000123924,ENSMUSP00000124578,ENSMUSP00000125114,ENSMUSP00000125288,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000130929,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,Anxa6,Arhgef28,B3galt1,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1a,Clec1b,Clu,Cntn1,Csf2rb,Cxcl16,Cyb561,Cyp26b1,Cysltr2,Cyyr1,Dennd5b,Dhrs3,Dnm3,Dsg2,Ebi3,Ect2,Efna1,Ehd3,Enpp5,Evc,Fap,Fhl1,Flt3,Fyb,Gem,Ghr,Gpr183,Gpr64,Gstm2,Il12rb2,Il1rapl2,Itgb3,Jam2,Kcnip3,Klrb1c,Lamp2,Lpar6,Lpl,Lsp1,Lsr,Lst1,Mgst1,Mmp14,Mmp2,Muc1,Nckap1,Ndrg1,Neo1,Npdc1,Nrg4,Osmr,Perp,Pgr,Phf11d,Plek,Plscr1,Plscr2,Ppp1r16b,Procr,Prtn3,Ptprk,Ramp2,Rhoj,Rorc,S100a6,Sdpr,Selp,Sfrp1,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tc2n,Tgm2,Thbd,Tm4sf1,Tm6sf1,Tmem176a,Tmem215,Tmem47,Tmem56,Tnfsf10,Trpc1,Trpc6,Vldlr,Vwf,Zg16"
GO:0044425,membrane part,88,5857,4.54E-12,"ENSMUSP00000000109,ENSMUSP00000001051,ENSMUSP00000001279,ENSMUSP00000006679,ENSMUSP00000008684,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000019064,ENSMUSP00000019734,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000024860,ENSMUSP00000026760,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029777,ENSMUSP00000029795,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000038017,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000047065,ENSMUSP00000052129,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000055694,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000064538,ENSMUSP00000069457,ENSMUSP00000071387,ENSMUSP00000073829,ENSMUSP00000076886,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000094082,ENSMUSP00000094949,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000098969,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000103935,ENSMUSP00000103939,ENSMUSP00000104511,ENSMUSP00000106154,ENSMUSP00000107182,ENSMUSP00000107873,ENSMUSP00000107965,ENSMUSP00000108019,ENSMUSP00000108686,ENSMUSP00000109811,ENSMUSP00000109833,ENSMUSP00000122072,ENSMUSP00000122552,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000130929,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,Anxa6,B3galt1,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1a,Clec1b,Cntn1,Csf2rb,Cxcl16,Cyb561,Cyp26b1,Cysltr2,Cyyr1,Dennd5b,Dhrs3,Dnm3,Dsg2,Ect2,Efna1,Ehd3,Enpp5,Evc,Fap,Flt3,Gem,Ghr,Gpr183,Gpr64,Il12rb2,Il1rapl2,Itgb3,Jam2,Kcnip3,Klrb1c,Lamp2,Lpar6,Lpl,Lsr,Lst1,Mgst1,Mmp14,Muc1,Nckap1,Neo1,Npdc1,Nrg4,Osmr,Perp,Plek,Plscr1,Plscr2,Procr,Prtn3,Ptprk,Ramp2,Rorc,S100a6,Sdpr,Selp,Sfrp1,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tgm2,Thbd,Tm4sf1,Tm6sf1,Tmem176a,Tmem215,Tmem47,Tmem56,Tnfsf10,Trpc1,Trpc6,Vldlr,Vwf"
GO:0031224,intrinsic component of membrane,76,4661,1.46E-11,"ENSMUSP00000000109,ENSMUSP00000001279,ENSMUSP00000008684,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000019064,ENSMUSP00000019734,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000026760,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000029777,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000038017,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000047065,ENSMUSP00000052129,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000071387,ENSMUSP00000073829,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000094082,ENSMUSP00000094949,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000098969,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000106154,ENSMUSP00000107182,ENSMUSP00000107965,ENSMUSP00000108019,ENSMUSP00000108686,ENSMUSP00000109811,ENSMUSP00000109833,ENSMUSP00000122072,ENSMUSP00000122552,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000130929,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,B3galt1,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1a,Clec1b,Cntn1,Csf2rb,Cxcl16,Cyb561,Cysltr2,Cyyr1,Dennd5b,Dhrs3,Dsg2,Efna1,Enpp5,Evc,Fap,Flt3,Ghr,Gpr183,Gpr64,Il12rb2,Il1rapl2,Itgb3,Jam2,Kcnip3,Klrb1c,Lamp2,Lpar6,Lpl,Lsr,Lst1,Mgst1,Mmp14,Muc1,Nckap1,Neo1,Npdc1,Nrg4,Osmr,Perp,Plscr1,Plscr2,Procr,Ptprk,Ramp2,Selp,Sfrp1,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tgm2,Thbd,Tm4sf1,Tm6sf1,Tmem176a,Tmem215,Tmem47,Tmem56,Tnfsf10,Trpc1,Trpc6,Vldlr"
GO:0009986,cell surface,29,796,8.40E-11,"ENSMUSP00000010605,ENSMUSP00000015460,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000029795,ENSMUSP00000030964,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034148,ENSMUSP00000035900,ENSMUSP00000039041,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000096877,ENSMUSP00000099793,ENSMUSP00000107873,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000134504","Abcb1a,Alcam,Bmpr1a,Cd34,Cd38,Cd86,Cd9,Clu,Fap,Flt3,Ghr,Il12rb2,Il15,Itgb3,Klrb1c,Lgals1,Lpl,Muc1,Neo1,Osmr,Ptprk,Ramp2,Rorc,Selp,Sfrp1,Slamf1,Thbd,Vldlr,Vwf"
GO:0016021,integral component of membrane,72,4504,2.09E-10,"ENSMUSP00000001279,ENSMUSP00000008684,ENSMUSP00000009058,ENSMUSP00000010605,ENSMUSP00000013995,ENSMUSP00000015460,ENSMUSP00000016638,ENSMUSP00000019064,ENSMUSP00000019734,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000026760,ENSMUSP00000028241,ENSMUSP00000028386,ENSMUSP00000029140,ENSMUSP00000029777,ENSMUSP00000030964,ENSMUSP00000031005,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000034932,ENSMUSP00000035900,ENSMUSP00000038017,ENSMUSP00000039041,ENSMUSP00000040271,ENSMUSP00000040715,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000042327,ENSMUSP00000047065,ENSMUSP00000052129,ENSMUSP00000052283,ENSMUSP00000052404,ENSMUSP00000054526,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000071387,ENSMUSP00000073829,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000094082,ENSMUSP00000094949,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000098969,ENSMUSP00000099504,ENSMUSP00000099793,ENSMUSP00000106154,ENSMUSP00000107182,ENSMUSP00000107965,ENSMUSP00000108019,ENSMUSP00000108686,ENSMUSP00000109811,ENSMUSP00000109833,ENSMUSP00000122072,ENSMUSP00000122552,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000126279,ENSMUSP00000127329,ENSMUSP00000130929,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Abcb1a,Abcb1b,Alcam,B3galt1,Bmpr1a,Cd34,Cd37,Cd38,Cd86,Cd9,Clca1,Clec1a,Clec1b,Csf2rb,Cxcl16,Cyb561,Cysltr2,Cyyr1,Dennd5b,Dhrs3,Dsg2,Enpp5,Evc,Fap,Flt3,Ghr,Gpr183,Gpr64,Il12rb2,Il1rapl2,Itgb3,Jam2,Kcnip3,Klrb1c,Lamp2,Lpar6,Lsr,Lst1,Mgst1,Mmp14,Muc1,Nckap1,Neo1,Npdc1,Nrg4,Osmr,Perp,Plscr1,Plscr2,Procr,Ptprk,Ramp2,Selp,Sfrp1,Slamf1,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Thbd,Tm4sf1,Tm6sf1,Tmem176a,Tmem215,Tmem47,Tmem56,Tnfsf10,Trpc1,Trpc6,Vldlr"
GO:0044421,extracellular region part,34,1390,2.40E-08,"ENSMUSP00000001279,ENSMUSP00000003274,ENSMUSP00000006679,ENSMUSP00000012348,ENSMUSP00000015712,ENSMUSP00000016638,ENSMUSP00000017188,ENSMUSP00000019064,ENSMUSP00000022616,ENSMUSP00000029140,ENSMUSP00000032492,ENSMUSP00000033899,ENSMUSP00000033952,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000040271,ENSMUSP00000041963,ENSMUSP00000052283,ENSMUSP00000056916,ENSMUSP00000060099,ENSMUSP00000069418,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000093613,ENSMUSP00000096877,ENSMUSP00000099411,ENSMUSP00000099793,ENSMUSP00000107873,ENSMUSP00000108326,ENSMUSP00000123924,ENSMUSP00000127329,ENSMUSP00000130929","C4b,Cd34,Cd86,Cd9,Clu,Col4a2,Cxcl16,Ebi3,Fap,Gstm2,Il15,Lamp2,Lgals1,Lpl,Lsr,Mmp14,Mmp2,Muc1,Nrg4,Plscr1,Procr,Prtn3,Rnase6,Selp,Serpinb6a,Serpinb8,Sfrp1,Tacstd2,Tgm2,Thbd,Tnfsf10,Vldlr,Vwf,Zg16"
GO:0031226,intrinsic component of plasma membrane,31,1183,2.89E-08,"ENSMUSP00000013995,ENSMUSP00000016638,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000024756,ENSMUSP00000028241,ENSMUSP00000029566,ENSMUSP00000032262,ENSMUSP00000032492,ENSMUSP00000040715,ENSMUSP00000042327,ENSMUSP00000054526,ENSMUSP00000057965,ENSMUSP00000060099,ENSMUSP00000063656,ENSMUSP00000069457,ENSMUSP00000073829,ENSMUSP00000091318,ENSMUSP00000096061,ENSMUSP00000096877,ENSMUSP00000099411,ENSMUSP00000099504,ENSMUSP00000106154,ENSMUSP00000122072,ENSMUSP00000123924,ENSMUSP00000125114,ENSMUSP00000130999,ENSMUSP00000134504,ENSMUSP00000139672","Abca4,Alcam,Cd34,Cd37,Cd9,Clca1,Clec1b,Cysltr2,Efna1,Enpp5,Ghr,Itgb3,Kcnip3,Klrb1c,Lpar6,Neo1,Osmr,Perp,Plscr1,Ramp2,Selp,Slc14a1,Slc28a2,Slc6a15,Stom,Tacstd2,Tgm2,Thbd,Tm4sf1,Trpc1,Trpc6"
