term ID,description,frequency,pin?,value,uniqueness,dispensability
GO:0006869,lipid transport,0.27%,,0.0499,0.88,0
GO:0040011,locomotion,1.00%,,0.0052,0.99,0
GO:0043112,receptor metabolic process,0.04%,,0.0372,0.96,0
GO:0048511,rhythmic process,0.08%,,0.0365,0.99,0
GO:0051179,localization,18.50%,,0.0007,1,0
GO:0051704,multi-organism process,0.75%,,0.0017,0.99,0
GO:0001523,retinoid metabolic process,0.01%,,0.0356,0.9,0.06
GO:0048145,regulation of fibroblast proliferation,0.01%,,0.0497,0.77,0.06
GO:0048705,skeletal system morphogenesis,0.05%,,0.0499,0.61,0.06
GO:0008283,cell proliferation,0.39%,,0.0007,0.93,0.07
GO:0038001,paracrine signaling,0.00%,,0.0153,0.89,0.09
GO:0006366,transcription from RNA polymerase II promoter,1.43%,,0.0286,0.94,0.12
GO:0006928,movement of cell or subcellular component,0.97%,,0.0306,0.87,0.14
GO:0033623,regulation of integrin activation,0.00%,,0.0376,0.81,0.14
GO:0006828,manganese ion transport,0.02%,,0.0487,0.95,0.2
GO:0010605,negative regulation of macromolecule metabolic process,1.17%,,0.0494,0.68,0.2
GO:0050821,protein stabilization,0.05%,,0.0443,0.81,0.21
GO:0006898,receptor-mediated endocytosis,0.10%,,0.0054,0.95,0.22
GO:0043900,regulation of multi-organism process,0.08%,,0.0429,0.8,0.23
GO:0002934,desmosome organization,0.00%,,0.0241,0.88,0.23
GO:0050776,regulation of immune response,0.15%,,0.0492,0.57,0.24
GO:0051338,regulation of transferase activity,0.37%,,0.0376,0.78,0.25
GO:0043401,steroid hormone mediated signaling pathway,0.10%,,0.0477,0.63,0.28
GO:0035306,positive regulation of dephosphorylation,0.01%,,0.0447,0.74,0.28
GO:0033036,macromolecule localization,3.03%,,0.0423,0.94,0.29
GO:0065009,regulation of molecular function,1.73%,,0.0001,0.78,0.3
GO:0042886,amide transport,0.34%,,0.0403,0.95,0.3
GO:0006979,response to oxidative stress,0.58%,,0.0195,0.85,0.32
GO:0030030,cell projection organization,0.61%,,0.0074,0.84,0.32
GO:0016192,vesicle-mediated transport,1.09%,,0.0291,0.94,0.34
GO:0009719,response to endogenous stimulus,0.53%,,0.0008,0.87,0.35
GO:0009628,response to abiotic stimulus,0.57%,,0.0024,0.87,0.36
GO:0030522,intracellular receptor signaling pathway,0.08%,,0.0173,0.7,0.36
GO:0071705,nitrogen compound transport,1.77%,,0.0306,0.94,0.37
GO:0060290,transdifferentiation,0.00%,,0.0276,0.73,0.37
GO:0017121,phospholipid scrambling,0.01%,,0.0276,0.76,0.37
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,0.17%,,0.0386,0.68,0.38
GO:0042908,xenobiotic transport,0.03%,,0.021,0.9,0.38
GO:0009605,response to external stimulus,1.37%,,0.0002,0.86,0.39
