#term ID,term description,observed gene count,background gene count,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0050896,response to stimulus,33,6616,3.65E-09,"ENSMUSP00000000505,ENSMUSP00000003274,ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000015667,ENSMUSP00000016638,ENSMUSP00000018094,ENSMUSP00000018963,ENSMUSP00000020215,ENSMUSP00000023867,ENSMUSP00000027871,ENSMUSP00000031264,ENSMUSP00000031281,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000034756,ENSMUSP00000037028,ENSMUSP00000039041,ENSMUSP00000048267,ENSMUSP00000059389,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000093613,ENSMUSP00000094082,ENSMUSP00000094949,ENSMUSP00000096061,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000105396,ENSMUSP00000108675,ENSMUSP00000113852,ENSMUSP00000116006","Antxr2,Anxa2,Anxa6,Arhgap30,Camk1d,Cd34,Cd37,Cd86,Col4a2,Csf2rb,Ctss,Dnmt3b,Ebi3,Ect2,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Lsp1,Lst1,Mcm7,Mgst1,Mmp2,Nrk,Plac8,Rassf4,Rfc2,Rnase6,Satb1,Sell,Socs2,Syk"
GO:0051716,cellular response to stimulus,26,5142,8.50E-06,"ENSMUSP00000000505,ENSMUSP00000003274,ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000016638,ENSMUSP00000018094,ENSMUSP00000018963,ENSMUSP00000020215,ENSMUSP00000023867,ENSMUSP00000031281,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000037028,ENSMUSP00000039041,ENSMUSP00000048267,ENSMUSP00000059389,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000094082,ENSMUSP00000096061,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000105396,ENSMUSP00000108675,ENSMUSP00000113852","Antxr2,Anxa6,Arhgap30,Camk1d,Cd34,Cd37,Cd86,Col4a2,Csf2rb,Dnmt3b,Ebi3,Ect2,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Lsp1,Mcm7,Mgst1,Mmp2,Nrk,Rassf4,Rfc2,Socs2,Syk"
GO:0051239,regulation of multicellular organismal process,19,2858,3.61E-05,"ENSMUSP00000010605,ENSMUSP00000015667,ENSMUSP00000016638,ENSMUSP00000018094,ENSMUSP00000020215,ENSMUSP00000031264,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000034756,ENSMUSP00000037028,ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000105396,ENSMUSP00000108675,ENSMUSP00000113852","Anxa2,Anxa6,Camk1d,Cd34,Cd86,Col4a2,Ctss,Dnmt3b,Ect2,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Mmp2,Nrk,Plac8,Socs2,Syk"
GO:0009986,cell surface,10,796,0.00018,"ENSMUSP00000010605,ENSMUSP00000015667,ENSMUSP00000016638,ENSMUSP00000027871,ENSMUSP00000031281,ENSMUSP00000034148,ENSMUSP00000034756,ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047","Antxr2,Anxa6,Arhgap30,Camk1d,Cd34,Cd37,Cd86,Col4a2,Csf2rb,Ebi3,Ect2,Flt3,Hnf4a,Il12rb2,Il15,Lsp1,Nrk,Rassf4,Socs2,Syk"
GO:0007165,signal transduction,20,3594,0.00019,"ENSMUSP00000003274,ENSMUSP00000010605,ENSMUSP00000016638,ENSMUSP00000018094,ENSMUSP00000018963,ENSMUSP00000020215,ENSMUSP00000031281,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000037028,ENSMUSP00000039041,ENSMUSP00000048267,ENSMUSP00000059389,ENSMUSP00000087047,ENSMUSP00000094082,ENSMUSP00000096061,ENSMUSP00000103935,ENSMUSP00000104511,ENSMUSP00000108675,ENSMUSP00000113852","Anxa2,Cd86,Col4a2,Csf2rb,Dnmt3b,Ebi3,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Mcm7,Mgst1,Mmp2,Sell,Socs2,Syk"
GO:0010033,response to organic substance,17,2553,0.00019,"ENSMUSP00000000505,ENSMUSP00000003274,ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000018094,ENSMUSP00000020215,ENSMUSP00000027871,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000034756,ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000094082,ENSMUSP00000105396,ENSMUSP00000113852","Cd86,Col4a2,Csf2rb,Dnmt3b,Ebi3,Ect2,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Mcm7,Mgst1,Mmp2,Socs2,Syk"
GO:0070887,cellular response to chemical stimulus,16,2287,0.00019,"ENSMUSP00000000505,ENSMUSP00000003274,ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000018094,ENSMUSP00000020215,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000094082,ENSMUSP00000103935,ENSMUSP00000105396,ENSMUSP00000113852","Csf2rb,Ebi3,Flt3,Il12rb2,Il15,Socs2,Syk"
GO:0019221,cytokine-mediated signaling pathway,7,313,0.00028,"ENSMUSP00000003274,ENSMUSP00000010605,ENSMUSP00000020215,ENSMUSP00000034148,ENSMUSP00000039041,ENSMUSP00000094082,ENSMUSP00000113852","Anxa2,Cd86,Col4a2,Csf2rb,Dnmt3b,Ebi3,Ect2,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Lsp1,Mcm7,Mgst1,Mmp2,Sell,Socs2,Syk"
GO:0042221,response to chemical,19,3532,0.00031,"ENSMUSP00000000505,ENSMUSP00000003274,ENSMUSP00000008684,ENSMUSP00000010605,ENSMUSP00000018094,ENSMUSP00000018963,ENSMUSP00000020215,ENSMUSP00000027871,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034187,ENSMUSP00000034756,ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000094082,ENSMUSP00000103935,ENSMUSP00000105396,ENSMUSP00000113852","Anxa2,Camk1d,Cd34,Cd86,Col4a2,Dnmt3b,Ect2,Flt3,Hnf4a,Il15,Lgals1,Lst1,Nrk,Plac8,Socs2,Syk"
GO:0050793,regulation of developmental process,16,2475,0.00031,"ENSMUSP00000016638,ENSMUSP00000018094,ENSMUSP00000020215,ENSMUSP00000031264,ENSMUSP00000033899,ENSMUSP00000034148,ENSMUSP00000034756,ENSMUSP00000037028,ENSMUSP00000039041,ENSMUSP00000086795,ENSMUSP00000087047,ENSMUSP00000094949,ENSMUSP00000103935,ENSMUSP00000105396,ENSMUSP00000108675,ENSMUSP00000113852","Cd86,Col4a2,Csf2rb,Dnmt3b,Ebi3,Flt3,Hnf4a,Il12rb2,Il15,Lgals1,Mcm7,Mmp2,Socs2,Syk"
