term ID,description,frequency,pin?,value,uniqueness,dispensability
GO:0002376,immune system process,0.60%,,0.0005,0.99,0
GO:0002683,negative regulation of immune system process,0.08%,,0.05,0.53,0
GO:0009987,cellular process,63.78%,,0.0006,0.99,0
GO:0032501,multicellular organismal process,2.37%,,0.0313,0.99,0
GO:0043062,extracellular structure organization,0.06%,,0.05,0.9,0
GO:0050896,response to stimulus,12.21%,,0,0.99,0
GO:0051704,multi-organism process,0.75%,,0.0065,0.99,0
GO:0065007,biological regulation,20.50%,,0.0005,0.99,0
GO:1903510,mucopolysaccharide metabolic process,0.02%,,0.0443,0.97,0
GO:0071230,cellular response to amino acid stimulus,0.02%,,0.05,0.77,0.02
GO:0008283,cell proliferation,0.39%,,0.01,0.93,0.06
GO:0032963,collagen metabolic process,0.01%,,0.0297,0.78,0.06
GO:0006468,protein phosphorylation,4.14%,,0.03,0.88,0.09
GO:0043170,macromolecule metabolic process,39.49%,,0.0446,0.98,0.11
GO:0006270,DNA replication initiation,0.14%,,0.0161,0.94,0.14
GO:0007589,body fluid secretion,0.01%,,0.0486,0.76,0.16
GO:0043900,regulation of multi-organism process,0.08%,,0.0383,0.78,0.19
GO:0051223,regulation of protein transport,0.15%,,0.0476,0.71,0.19
GO:0048638,regulation of developmental growth,0.09%,,0.0351,0.64,0.2
GO:0065009,regulation of molecular function,1.73%,,0.0455,0.73,0.24
GO:0044093,positive regulation of molecular function,0.89%,,0.0476,0.74,0.29
GO:0035556,intracellular signal transduction,4.00%,,0.05,0.53,0.36
GO:0048518,positive regulation of biological process,1.74%,,0.0063,0.72,0.36
GO:0048519,negative regulation of biological process,1.98%,,0.0249,0.72,0.37
GO:0009611,response to wounding,0.13%,,0.0443,0.8,0.37
GO:0048678,response to axon injury,0.01%,,0.0356,0.82,0.37
