term ID,description,frequency,pin?,uniqueness,dispensability
GO:0005576,extracellular region,2.38%,,0.95,0
GO:0005911,cell-cell junction,0.22%,,0.88,0
GO:0030054,cell junction,0.45%,,0.95,0
GO:0031982,vesicle,1.36%,,0.85,0
GO:0043235,receptor complex,0.12%,,0.92,0
GO:0045177,apical part of cell,0.09%,,0.89,0
GO:0098805,whole membrane,0.89%,,0.92,0
GO:0045121,membrane raft,0.08%,,0.92,0.03
GO:0031225,anchored component of membrane,0.08%,,0.92,0.03
GO:0016328,lateral plasma membrane,0.01%,,0.75,0.04
GO:0001726,ruffle,0.04%,,0.8,0.04
GO:0012505,endomembrane system,2.81%,,0.87,0.06
GO:0048471,perinuclear region of cytoplasm,0.14%,,0.83,0.06
GO:0016021,integral component of membrane,55.87%,,0.9,0.07
GO:0071944,cell periphery,11.58%,,0.86,0.11
GO:0044424,intracellular part,35.65%,,0.81,0.19
GO:0034358,plasma lipoprotein particle,0.01%,,0.84,0.21
GO:0005622,intracellular,41.18%,,0.84,0.32
GO:0044437,vacuolar part,0.30%,,0.78,0.33
GO:0044425,membrane part,57.39%,,0.91,0.33
GO:0044444,cytoplasmic part,12.66%,,0.79,0.34
GO:0031410,cytoplasmic vesicle,0.73%,,0.7,0.36
GO:0043227,membrane-bounded organelle,14.45%,,0.86,0.4
GO:0031224,intrinsic component of membrane,55.98%,,0.9,0.41
GO:0005737,cytoplasm,26.02%,,0.8,0.44
GO:0098590,plasma membrane region,0.24%,,0.71,0.49
GO:0016324,apical plasma membrane,0.06%,,0.7,0.54
GO:0046581,intercellular canaliculus,0.00%,,0.88,0.63
GO:0005887,integral component of plasma membrane,1.21%,,0.67,0.7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
