term ID,description,frequency,pin?,uniqueness,dispensability
GO:0003700,"transcription factor activity, sequence-specific DNA binding",4.22%,,0.87,0
GO:0005215,transporter activity,8.49%,,0.95,0
GO:0008142,oxysterol binding,0.00%,,0.91,0
GO:0030228,lipoprotein particle receptor activity,0.00%,,0.89,0
GO:0052650,NADP-retinol dehydrogenase activity,0.00%,,0.94,0
GO:0004364,glutathione transferase activity,0.03%,,0.94,0.01
GO:0008239,dipeptidyl-peptidase activity,0.04%,,0.93,0.02
GO:0031802,type 5 metabotropic glutamate receptor binding,0.00%,,0.76,0.02
GO:0070679,"inositol 1,4,5 trisphosphate binding",0.00%,,0.89,0.02
GO:0008289,lipid binding,0.52%,,0.89,0.03
GO:0042277,peptide binding,0.09%,,0.86,0.04
GO:1901681,sulfur compound binding,0.55%,,0.89,0.05
GO:0043167,ion binding,33.49%,,0.88,0.08
GO:0005509,calcium ion binding,0.97%,,0.85,0.09
GO:0008559,xenobiotic-transporting ATPase activity,0.01%,,0.88,0.14
GO:0043169,cation binding,15.60%,,0.84,0.22
GO:0048306,calcium-dependent protein binding,0.01%,,0.73,0.25
GO:0005548,phospholipid transporter activity,0.06%,,0.85,0.27
GO:0002020,protease binding,0.02%,,0.72,0.34
GO:0050839,cell adhesion molecule binding,0.09%,,0.7,0.38
GO:0042609,CD4 receptor binding,0.00%,,0.73,0.42
GO:0042802,identical protein binding,0.40%,,0.67,0.48
GO:0046872,metal ion binding,15.43%,,0.83,0.48
GO:0038023,signaling receptor activity,2.15%,,0.87,0.51
GO:0042803,protein homodimerization activity,0.22%,,0.68,0.51
GO:0005102,receptor binding,0.42%,,0.67,0.54
GO:0005178,integrin binding,0.02%,,0.7,0.55
GO:0019899,enzyme binding,0.62%,,0.67,0.57
GO:0001228,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",0.08%,,0.88,0.59
GO:0046983,protein dimerization activity,1.16%,,0.65,0.63
GO:0043295,glutathione binding,0.01%,,0.85,0.66
GO:0090555,phosphatidylethanolamine-translocating ATPase activity,0.00%,,0.84,0.67
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
