term ID,description,frequency,pin?,uniqueness,dispensability
GO:0007155,cell adhesion,0.54%,,0.96,0
GO:0007610,behavior,0.17%,,0.99,0
GO:0009628,response to abiotic stimulus,0.57%,,0.89,0
GO:0009888,tissue development,0.49%,,0.68,0
GO:0010817,regulation of hormone levels,0.16%,,0.78,0
GO:0018916,nitrobenzene metabolic process,0.00%,,0.97,0
GO:0042886,amide transport,0.34%,,0.94,0
GO:0044703,multi-organism reproductive process,0.34%,,0.95,0
GO:0048511,rhythmic process,0.08%,,0.99,0
GO:0051260,protein homooligomerization,0.11%,,0.9,0.02
GO:1901570,fatty acid derivative biosynthetic process,0.01%,,0.93,0.02
GO:0043112,receptor metabolic process,0.04%,,0.96,0.03
GO:0001775,cell activation,0.17%,,0.86,0.05
GO:0006749,glutathione metabolic process,0.15%,,0.95,0.06
GO:1904035,regulation of epithelial cell apoptotic process,0.01%,,0.75,0.16
GO:0048145,regulation of fibroblast proliferation,0.01%,,0.77,0.16
GO:0046085,adenosine metabolic process,0.00%,,0.88,0.17
GO:0033240,positive regulation of cellular amine metabolic process,0.00%,,0.74,0.17
GO:0032680,regulation of tumor necrosis factor production,0.02%,,0.59,0.17
GO:2001225,regulation of chloride transport,0.00%,,0.77,0.17
GO:0016102,diterpenoid biosynthetic process,0.00%,,0.87,0.2
GO:0070458,cellular detoxification of nitrogen compound,0.00%,,0.88,0.21
GO:0042908,xenobiotic transport,0.03%,,0.89,0.21
GO:0051345,positive regulation of hydrolase activity,0.56%,,0.77,0.22
GO:0032970,regulation of actin filament-based process,0.18%,,0.75,0.22
GO:0006897,endocytosis,0.24%,,0.94,0.24
GO:0019220,regulation of phosphate metabolic process,0.58%,,0.73,0.24
GO:0048008,platelet-derived growth factor receptor signaling pathway,0.01%,,0.74,0.26
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,0.04%,,0.83,0.29
GO:0001666,response to hypoxia,0.05%,,0.89,0.29
GO:1903053,regulation of extracellular matrix organization,0.01%,,0.75,0.29
GO:0050804,modulation of synaptic transmission,0.06%,,0.73,0.3
GO:1902003,regulation of beta-amyloid formation,0.00%,,0.8,0.31
GO:0009410,response to xenobiotic stimulus,0.06%,,0.88,0.33
GO:0045216,cell-cell junction organization,0.05%,,0.82,0.34
GO:0034330,cell junction organization,0.06%,,0.83,0.34
GO:0019932,second-messenger-mediated signaling,0.08%,,0.71,0.34
GO:0071495,cellular response to endogenous stimulus,0.40%,,0.88,0.35
GO:0007009,plasma membrane organization,0.09%,,0.82,0.35
GO:0042330,taxis,0.48%,,0.82,0.35
GO:0035584,calcium-mediated signaling using intracellular calcium source,0.00%,,0.75,0.35
GO:0006869,lipid transport,0.27%,,0.87,0.38
GO:0097237,cellular response to toxic substance,0.00%,,0.87,0.39
GO:0030030,cell projection organization,0.61%,,0.81,0.41
GO:0006954,inflammatory response,0.11%,,0.89,0.41
GO:0071236,cellular response to antibiotic,0.00%,,0.87,0.41
GO:0042060,wound healing,0.09%,,0.88,0.43
GO:0045927,positive regulation of growth,0.06%,,0.7,0.44
GO:0060856,establishment of blood-brain barrier,0.00%,,0.68,0.46
GO:0050807,regulation of synapse organization,0.03%,,0.7,0.46
GO:0035690,cellular response to drug,0.01%,,0.86,0.47
GO:0010172,embryonic body morphogenesis,0.01%,,0.66,0.47
GO:0060213,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,0.00%,,0.74,0.48
GO:0001101,response to acid chemical,0.12%,,0.87,0.48
GO:0044087,regulation of cellular component biogenesis,0.40%,,0.74,0.48
GO:0042445,hormone metabolic process,0.09%,,0.78,0.49
GO:0001709,cell fate determination,0.02%,,0.66,0.49
GO:0006979,response to oxidative stress,0.58%,,0.88,0.49
GO:0051145,smooth muscle cell differentiation,0.01%,,0.66,0.49
GO:0031345,negative regulation of cell projection organization,0.03%,,0.66,0.5
GO:0046677,response to antibiotic,0.13%,,0.87,0.51
GO:0048387,negative regulation of retinoic acid receptor signaling pathway,0.00%,,0.68,0.51
GO:0010038,response to metal ion,0.13%,,0.87,0.51
GO:1901698,response to nitrogen compound,0.18%,,0.87,0.52
GO:0034097,response to cytokine,0.14%,,0.86,0.52
GO:0042552,myelination,0.02%,,0.59,0.52
GO:0033623,regulation of integrin activation,0.00%,,0.79,0.52
GO:0045880,positive regulation of smoothened signaling pathway,0.01%,,0.65,0.54
GO:0050801,ion homeostasis,0.43%,,0.75,0.55
GO:0034249,negative regulation of cellular amide metabolic process,0.09%,,0.71,0.55
GO:0010035,response to inorganic substance,0.32%,,0.86,0.56
GO:0071229,cellular response to acid chemical,0.07%,,0.84,0.56
GO:0001822,kidney development,0.06%,,0.6,0.56
GO:0045165,cell fate commitment,0.09%,,0.63,0.56
GO:1902949,positive regulation of tau-protein kinase activity,0.00%,,0.75,0.56
GO:1902903,regulation of supramolecular fiber organization,0.17%,,0.7,0.56
GO:0070244,negative regulation of thymocyte apoptotic process,0.00%,,0.73,0.57
GO:0014706,striated muscle tissue development,0.08%,,0.69,0.57
GO:0014066,regulation of phosphatidylinositol 3-kinase signaling,0.02%,,0.7,0.57
GO:0045598,regulation of fat cell differentiation,0.02%,,0.56,0.58
GO:0002707,negative regulation of lymphocyte mediated immunity,0.01%,,0.72,0.58
GO:2001214,positive regulation of vasculogenesis,0.00%,,0.49,0.58
GO:0010818,T cell chemotaxis,0.00%,,0.68,0.58
GO:0048541,Peyer's patch development,0.00%,,0.62,0.58
GO:0050818,regulation of coagulation,0.02%,,0.58,0.59
GO:0051049,regulation of transport,0.53%,,0.69,0.59
GO:0048340,paraxial mesoderm morphogenesis,0.00%,,0.64,0.59
GO:0042178,xenobiotic catabolic process,0.05%,,0.84,0.61
GO:0048645,animal organ formation,0.02%,,0.62,0.61
GO:2000052,positive regulation of non-canonical Wnt signaling pathway,0.00%,,0.65,0.61
GO:0030278,regulation of ossification,0.04%,,0.57,0.61
GO:0014909,smooth muscle cell migration,0.01%,,0.81,0.62
GO:0048570,notochord morphogenesis,0.00%,,0.65,0.63
GO:0043129,surfactant homeostasis,0.00%,,0.63,0.63
GO:0048871,multicellular organismal homeostasis,0.07%,,0.56,0.63
GO:0072359,circulatory system development,0.24%,,0.58,0.64
GO:0060914,heart formation,0.01%,,0.62,0.64
GO:1901699,cellular response to nitrogen compound,0.12%,,0.83,0.65
GO:0045578,negative regulation of B cell differentiation,0.00%,,0.49,0.65
GO:0048660,regulation of smooth muscle cell proliferation,0.02%,,0.77,0.65
GO:0032496,response to lipopolysaccharide,0.04%,,0.85,0.65
GO:0051129,negative regulation of cellular component organization,0.24%,,0.66,0.66
GO:0048585,negative regulation of response to stimulus,0.34%,,0.62,0.66
GO:0009612,response to mechanical stimulus,0.04%,,0.89,0.66
GO:0048646,anatomical structure formation involved in morphogenesis,0.41%,,0.67,0.66
GO:0048732,gland development,0.10%,,0.59,0.67
GO:0035239,tube morphogenesis,0.11%,,0.6,0.67
GO:0022602,ovulation cycle process,0.02%,,0.71,0.67
GO:1901214,regulation of neuron death,0.05%,,0.73,0.67
GO:0032102,negative regulation of response to external stimulus,0.06%,,0.65,0.68
GO:0007565,female pregnancy,0.02%,,0.73,0.68
GO:0071504,cellular response to heparin,0.00%,,0.86,0.68
GO:0006898,receptor-mediated endocytosis,0.10%,,0.94,0.69
GO:0001654,eye development,0.11%,,0.59,0.7
GO:0003179,heart valve morphogenesis,0.01%,,0.62,0.7
