"","X.term.ID","term.description","observed.gene.count","background.gene.count","false.discovery.rate","matching.proteins.in.your.network..IDs.","matching.proteins.in.your.network..labels."
"1","GO:0005576","extracellular region",44,2044,7.84e-08,"ENSMUSP00000001279,ENSMUSP00000004137,ENSMUSP00000004140,ENSMUSP00000006679,ENSMUSP00000012348,ENSMUSP00000015712,ENSMUSP00000017188,ENSMUSP00000019064,ENSMUSP00000022616,ENSMUSP00000023629,ENSMUSP00000023832,ENSMUSP00000024756,ENSMUSP00000029140,ENSMUSP00000029566,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000037096,ENSMUSP00000040271,ENSMUSP00000041963,ENSMUSP00000047730,ENSMUSP00000052283,ENSMUSP00000056916,ENSMUSP00000059889,ENSMUSP00000060099,ENSMUSP00000064538,ENSMUSP00000069418,ENSMUSP00000069457,ENSMUSP00000081011,ENSMUSP00000087119,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000099392,ENSMUSP00000099411,ENSMUSP00000099793,ENSMUSP00000100862,ENSMUSP00000107863,ENSMUSP00000107873,ENSMUSP00000108326,ENSMUSP00000109144,ENSMUSP00000110696,ENSMUSP00000119609,ENSMUSP00000123924,ENSMUSP00000127329,ENSMUSP00000130929","Acpp,C4b,Cd63,Cd9,Clu,Cxcl16,Dnm3,Efna1,Enpp5,Fap,Ghr,Gpx3,Gstm1,Gstm2,Gstm7,Kdr,Lamp2,Lpl,Lrrn1,Lsr,Matn4,Mmp14,Mmrn1,Muc1,Muc13,Nrg4,Ntf3,Plscr1,Procr,Pros1,Prtn3,Rgn,Sbspon,Selp,Serpinb6a,Serpinb8,Sfrp1,Tacstd2,Tgm2,Thbd,Tnfsf10,Vldlr,Vwf,Zg16"
"2","GO:0005911","cell-cell junction",14,417,0.00025,"ENSMUSP00000001279,ENSMUSP00000005256,ENSMUSP00000009058,ENSMUSP00000019998,ENSMUSP00000026760,ENSMUSP00000034745,ENSMUSP00000035121,ENSMUSP00000041204,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000061928,ENSMUSP00000065284,ENSMUSP00000109833,ENSMUSP00000126279","Abcb1a,Abcb1b,Amotl2,Cldn12,Dsg2,Jam2,Lsr,Myo1e,Ndrg1,Ocln,Perp,Ptprk,Tmem47,Trpc6"
"3","GO:0030054","cell junction",23,1037,0.00033,"ENSMUSP00000001279,ENSMUSP00000005256,ENSMUSP00000009058,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000026760,ENSMUSP00000030691,ENSMUSP00000031121,ENSMUSP00000032738,ENSMUSP00000034745,ENSMUSP00000035121,ENSMUSP00000041204,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000061928,ENSMUSP00000065284,ENSMUSP00000069418,ENSMUSP00000087947,ENSMUSP00000099793,ENSMUSP00000109144,ENSMUSP00000109833,ENSMUSP00000115228,ENSMUSP00000126279","Abcb1a,Abcb1b,Amotl2,C4b,Chrna7,Cldn12,Dsg2,Fap,Fyb,Gabra4,Itgb3,Jam2,Kdr,Lsr,Myo1e,Ndrg1,Ocln,Pclo,Perp,Phactr1,Ptprk,Tmem47,Trpc6"
"4","GO:0031982","vesicle",28,1837,0.0127,"ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000015460,ENSMUSP00000019734,ENSMUSP00000021028,ENSMUSP00000022616,ENSMUSP00000024860,ENSMUSP00000028175,ENSMUSP00000028241,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000032492,ENSMUSP00000034745,ENSMUSP00000035121,ENSMUSP00000052283,ENSMUSP00000056916,ENSMUSP00000059889,ENSMUSP00000063656,ENSMUSP00000065284,ENSMUSP00000070868,ENSMUSP00000087119,ENSMUSP00000100862,ENSMUSP00000103958,ENSMUSP00000107863,ENSMUSP00000107873,ENSMUSP00000109144,ENSMUSP00000116191,ENSMUSP00000123924","Acpp,Amotl2,Cd38,Cd63,Cd9,Clu,Cyb561,Cytip,Ehd3,Itgb3,Kdr,Lamp2,Mmp14,Myo1e,Ndrg1,Neo1,Ntf3,Ocln,Pclo,Pla2g4a,Prtn3,Rab34,Selp,Slamf1,Stom,Stxbp4,Vwf,Zg16"
"5","GO:0043235","receptor complex",10,302,0.0042,"ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000023312,ENSMUSP00000031121,ENSMUSP00000032738,ENSMUSP00000069457,ENSMUSP00000113062,ENSMUSP00000122072,ENSMUSP00000127329,ENSMUSP00000139672","Alcam,Chrna7,Ddr1,Gabra4,Ghr,Itgb3,Osmr,Ramp2,Trpc1,Vldlr"
"6","GO:0045177","apical part of cell",15,423,6.74e-05,"ENSMUSP00000009058,ENSMUSP00000021028,ENSMUSP00000022746,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000035121,ENSMUSP00000041204,ENSMUSP00000041963,ENSMUSP00000057096,ENSMUSP00000059889,ENSMUSP00000065284,ENSMUSP00000099793,ENSMUSP00000108019,ENSMUSP00000110696,ENSMUSP00000127329","Abcb1a,Abcb1b,Acpp,Amotl2,Cd9,Chrna7,Dsg2,Fap,Gpr64,Itgb3,Muc1,Muc13,Ocln,Osmr,Vldlr"
"7","GO:0098805","whole membrane",23,1300,0.0067,"ENSMUSP00000000109,ENSMUSP00000005256,ENSMUSP00000006679,ENSMUSP00000018315,ENSMUSP00000019734,ENSMUSP00000024860,ENSMUSP00000028241,ENSMUSP00000030964,ENSMUSP00000032738,ENSMUSP00000033634,ENSMUSP00000035900,ENSMUSP00000052283,ENSMUSP00000055694,ENSMUSP00000056916,ENSMUSP00000059889,ENSMUSP00000088833,ENSMUSP00000091318,ENSMUSP00000096877,ENSMUSP00000100862,ENSMUSP00000103958,ENSMUSP00000109144,ENSMUSP00000123924,ENSMUSP00000139672","Acpp,Acsl4,Bmpr1a,Cd38,Cd63,Chrna7,Cntn1,Cyb561,Ehd3,Kdr,Lamp2,Ndrg1,Plscr1,Prnp,Prtn3,Rab34,Sdpr,Selp,Stom,Thbd,Trpc1,Vmp1,Zg16"
"8","GO:0045121","membrane raft",10,374,0.0128,"ENSMUSP00000000109,ENSMUSP00000006679,ENSMUSP00000028241,ENSMUSP00000032738,ENSMUSP00000035900,ENSMUSP00000055694,ENSMUSP00000088833,ENSMUSP00000091318,ENSMUSP00000109144,ENSMUSP00000139672","Bmpr1a,Chrna7,Cntn1,Kdr,Plscr1,Prnp,Prtn3,Sdpr,Stom,Trpc1"
"9","GO:0031225","anchored component of membrane",7,163,0.0069,"ENSMUSP00000000109,ENSMUSP00000015712,ENSMUSP00000029566,ENSMUSP00000032341,ENSMUSP00000042211,ENSMUSP00000056703,ENSMUSP00000088833","Art4,Cntn1,Efna1,Lpl,Ly6e,Prnp,Sema7a"
"10","GO:0016328","lateral plasma membrane",4,62,0.0189,"ENSMUSP00000057096,ENSMUSP00000060099,ENSMUSP00000061928,ENSMUSP00000065284","Cldn12,Dsg2,Ocln,Tacstd2"
