"","X.term.ID","term.description","observed.gene.count","background.gene.count","false.discovery.rate","matching.proteins.in.your.network..IDs.","matching.proteins.in.your.network..labels."
"1","GO:0007155","cell adhesion",22,705,1e-05,"ENSMUSP00000000109,ENSMUSP00000015460,ENSMUSP00000018315,ENSMUSP00000019998,ENSMUSP00000021028,ENSMUSP00000023312,ENSMUSP00000029566,ENSMUSP00000032492,ENSMUSP00000033952,ENSMUSP00000041963,ENSMUSP00000057096,ENSMUSP00000060099,ENSMUSP00000061928,ENSMUSP00000063656,ENSMUSP00000099793,ENSMUSP00000099945,ENSMUSP00000100862,ENSMUSP00000107873,ENSMUSP00000108326,ENSMUSP00000113062,ENSMUSP00000123924,ENSMUSP00000126279","Alcam,Cd63,Cd9,Cldn12,Cntn1,Ddr1,Dsg2,Efna1,Fap,Itgb3,Muc1,Neo1,Perp,Plek,Ptprk,Selp,Serpinb8,Sfrp1,Slamf1,Tacstd2,Vmp1,Vwf"
"2","GO:0007610","behavior",13,655,0.025,"ENSMUSP00000020692,ENSMUSP00000020974,ENSMUSP00000028639,ENSMUSP00000032738,ENSMUSP00000045281,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000069616,ENSMUSP00000088833,ENSMUSP00000099504,ENSMUSP00000102711,ENSMUSP00000105926,ENSMUSP00000132547","Abat,Btg2,Chrna7,Egr1,Id2,Jun,Kcnip3,Mef2c,Meis2,Oxr1,Pbx3,Pgr,Prnp"
"3","GO:0009628","response to abiotic stimulus",22,1063,0.0015,"ENSMUSP00000005256,ENSMUSP00000015712,ENSMUSP00000017188,ENSMUSP00000020692,ENSMUSP00000020974,ENSMUSP00000021028,ENSMUSP00000028639,ENSMUSP00000030964,ENSMUSP00000032492,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000048736,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000069616,ENSMUSP00000087119,ENSMUSP00000096877,ENSMUSP00000102711,ENSMUSP00000107182,ENSMUSP00000109144,ENSMUSP00000126279,ENSMUSP00000127329","Abat,Btg2,Cd38,Cd9,Chrna7,Dennd5b,Egr1,Id2,Itgb3,Jun,Kdr,Lpl,Meis2,Mmp14,Ndrg1,Ptger4,Ptprk,Serpinb6a,Sfrp1,Thbd,Trpc6,Vldlr"
"4","GO:0009888","tissue development",32,1599,0.00012,"ENSMUSP00000009058,ENSMUSP00000020692,ENSMUSP00000020974,ENSMUSP00000027053,ENSMUSP00000028386,ENSMUSP00000029566,ENSMUSP00000029795,ENSMUSP00000031005,ENSMUSP00000032961,ENSMUSP00000033952,ENSMUSP00000034745,ENSMUSP00000035900,ENSMUSP00000037966,ENSMUSP00000056703,ENSMUSP00000057096,ENSMUSP00000060099,ENSMUSP00000062615,ENSMUSP00000063562,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000076886,ENSMUSP00000084918,ENSMUSP00000087119,ENSMUSP00000099411,ENSMUSP00000100862,ENSMUSP00000102711,ENSMUSP00000104732,ENSMUSP00000107863,ENSMUSP00000109144,ENSMUSP00000113040,ENSMUSP00000113062,ENSMUSP00000132547","Abcb1b,Aldh1a1,Bmpr1a,Btg2,Cd63,Cyp26b1,Ddr1,Dsg2,Efna1,Egr1,Evc,Id2,Jun,Kdr,Ly6e,Maf,Mef2c,Mmp14,Myo1e,Nckap1,Ntf3,Nupr1,Pgr,Pla2g4a,Ppp1r16b,Rdh10,Rorc,Sfrp1,Tacstd2,Tgm2,Tox,Wwtr1"
"5","GO:0010817","regulation of hormone levels",16,524,0.00032,"ENSMUSP00000027053,ENSMUSP00000030691,ENSMUSP00000030964,ENSMUSP00000032738,ENSMUSP00000033952,ENSMUSP00000041204,ENSMUSP00000048736,ENSMUSP00000056703,ENSMUSP00000063548,ENSMUSP00000069457,ENSMUSP00000069616,ENSMUSP00000076886,ENSMUSP00000084918,ENSMUSP00000101981,ENSMUSP00000116191,ENSMUSP00000122552","Abat,Abcb1a,Aldh1a1,Cd38,Chrna7,Cyp26b1,Dhrs3,Egr1,Ghr,Ly6e,Pclo,Ptger4,Rdh10,Sfrp1,Stxbp4,Sult1a1"
"6","GO:0018916","nitrobenzene metabolic process",2,3,0.008,"ENSMUSP00000004137,ENSMUSP00000012348","Gstm2,Gstm7"
"7","GO:0042886","amide transport",19,1172,0.0283,"ENSMUSP00000001279,ENSMUSP00000022616,ENSMUSP00000023151,ENSMUSP00000024860,ENSMUSP00000029795,ENSMUSP00000030691,ENSMUSP00000041204,ENSMUSP00000049967,ENSMUSP00000052283,ENSMUSP00000056916,ENSMUSP00000064538,ENSMUSP00000099504,ENSMUSP00000099945,ENSMUSP00000100862,ENSMUSP00000103958,ENSMUSP00000116191,ENSMUSP00000122072,ENSMUSP00000125114,ENSMUSP00000127329","Abcb1a,Bcl6,Cd63,Clu,Dnm3,Ehd3,Kcnip3,Lamp2,Lsr,Pclo,Plek,Rab34,Ramp2,Rorc,Slc14a1,Stxbp4,Tbc1d8,Vldlr,Zg16"
"8","GO:0044703","multi-organism reproductive process",16,919,0.0296,"ENSMUSP00000018315,ENSMUSP00000021028,ENSMUSP00000023151,ENSMUSP00000023832,ENSMUSP00000030964,ENSMUSP00000032492,ENSMUSP00000033634,ENSMUSP00000057096,ENSMUSP00000057965,ENSMUSP00000063548,ENSMUSP00000063562,ENSMUSP00000070868,ENSMUSP00000076886,ENSMUSP00000078022,ENSMUSP00000096877,ENSMUSP00000113062","Abat,Acsl4,Bcl6,Cd38,Cd9,Cyp26b1,Ddr1,Dsg2,Itgb3,Pgr,Pla2g4a,Rgn,Tdrd9,Thbd,Trpc6,Vmp1"
"9","GO:0048511","rhythmic process",8,279,0.0205,"ENSMUSP00000020974,ENSMUSP00000029795,ENSMUSP00000032738,ENSMUSP00000047597,ENSMUSP00000063562,ENSMUSP00000069616,ENSMUSP00000070868,ENSMUSP00000102711","Chrna7,Egr1,Id2,Jun,Pgr,Pla2g4a,Rorb,Rorc"
"10","GO:0051260","protein homooligomerization",8,339,0.0455,"ENSMUSP00000024860,ENSMUSP00000028241,ENSMUSP00000059889,ENSMUSP00000081011,ENSMUSP00000084918,ENSMUSP00000088833,ENSMUSP00000099411,ENSMUSP00000107873","Acpp,Aldh1a1,Ehd3,Gpx3,Prnp,Stom,Tgm2,Vwf"
