GO.ID,term.description,observed,background,FDR,Genes
GO:0038023,signaling receptor activity,25,1020,1.89E-05,"Bmpr1a,Clec1b,Csf2rb,Cysltr2,Ebi3,Flt3,Ghr,Gpr183,Gpr64,Hnf4a,Il12rb2,Il1rapl2,Klrb1c,Lpar6,Neo1,Osmr,Pgr,Procr,Ramp2,Rorb,Rorc,Sfrp1,Slamf1,Thbd,Vldlr"
GO:0042803,protein homodimerization activity,22,868,4.45E-05,"Abat,Anxa6,Bmpr1a,Ect2,Fap,Ghr,Gstm2,Hnf4a,Hpgds,Jun,Kcnip3,Klrb1c,Lgals1,Mgst1,Plek,Runx1t1,S100a6,Stom,Sult1a1,Trpc6,Vwf,Wwtr1"
GO:0004896,cytokine receptor activity,7,88,0.00045,"Csf2rb,Ebi3,Flt3,Ghr,Il12rb2,Il1rapl2,Osmr"
GO:0043167,ion binding,63,5302,0.0011,"Abat,Abca4,Abcb1a,Abcb1b,Anxa6,Arhgap29,Arhgef28,Aspa,Bcl6,Bmpr1a,Cd34,Clca1,Cyb561,Cyp26b1,Dhx40,Dnm3,Dsg2,Egr1,Ehd3,Enpp5,Fhl1,Flt3,Gem,Gstm2,Hnf4a,Hpgds,Kcnip3,Lpl,Matn4,Mcm7,Mgst1,Mmp14,Mmp2,Mt1,Myo1e,Nrk,Pclo,Pgr,Phf11d,Pla2g4a,Plek,Plscr1,Plscr2,Pros1,Rhoj,Rorb,Rorc,Runx1t1,S100a6,Sdpr,Selp,Sfrp1,Sult1a1,Tdrd9,Tgm2,Thbd,Tnfsf10,Trim47,Trpc1,Trpc6,Vldlr,Zfp36,Zswim5"
GO:0046983,protein dimerization activity,25,1343,0.0011,"Abat,Anxa6,Bmpr1a,Ect2,Fap,Ghr,Gstm2,Hnf4a,Hpgds,Id2,Jam2,Jun,Kcnip3,Klrb1c,Lgals1,Mef2c,Mgst1,Plek,Runx1t1,S100a6,Stom,Sult1a1,Trpc6,Vwf,Wwtr1"
GO:0030246,carbohydrate binding,10,265,0.0018,"C4b,Cd34,Clec1a,Clec1b,Cntn1,Klrb1c,Lgals1,Sbspon,Selp,Zg16"
GO:0005509,calcium ion binding,15,594,0.0019,"Anxa6,Dsg2,Ehd3,Hpgds,Kcnip3,Matn4,Pclo,Pla2g4a,Plscr1,Pros1,S100a6,Selp,Tgm2,Thbd,Vldlr"
GO:0004888,transmembrane signaling receptor activity,18,863,0.0033,"Bmpr1a,Clec1b,Csf2rb,Cysltr2,Ebi3,Flt3,Ghr,Gpr183,Gpr64,Il12rb2,Il1rapl2,Lpar6,Osmr,Ramp2,Rorb,Sfrp1,Thbd,Vldlr"
GO:0008289,lipid binding,15,652,0.0044,"Anxa6,Cyp26b1,Ehd3,Fyb,Gpr183,Hnf4a,Lpl,Myo1e,Pclo,Pgr,Pla2g4a,Plek,Rorc,Sdpr,Selp"
GO:0050839,cell adhesion molecule binding,8,207,0.0067,"Cd9,Dsg2,Fap,Itgb3,Mmp14,Ndrg1,Neo1,Vwf"
