GO.ID,term.description,observed,background,FDR,Genes
mmu03030,DNA replication,3,35,0.0027,"Mcm5,Mcm7,Rfc2"
MMU-451927,Interleukin-2 family signaling,3,35,0.0035,"Csf2rb,Il15,Syk"
mmu04630,Jak-STAT signaling pathway,4,161,0.0053,"Csf2rb,Il12rb2,Il15,Socs2"
MMU-449147,Signaling by Interleukins,5,262,0.0058,"Csf2rb,Ebi3,Il12rb2,Il15,Syk"
MMU-8984722,Interleukin-35 Signalling,2,8,0.0058,"Ebi3,Il12rb2"
MMU-6798695,Neutrophil degranulation,6,476,0.0063,"Anxa2,Ctss,Mgst1,Mlec,Plac8,Sell"
mmu04060,Cytokine-cytokine receptor interaction,4,252,0.0167,"Csf2rb,Flt3,Il12rb2,Il15"
MMU-1474228,Degradation of the extracellular matrix,3,118,0.024,"Col4a2,Ctss,Mmp2"
mmu04514,Cell adhesion molecules (CAMs),3,158,0.0329,"Cd34,Cd86,Sell"
MMU-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",2,39,0.0369,"Csf2rb,Syk"
