term.description,observed.gene.count.up,background.gene.count.up,FDR.up,FDR.do,avg,stev,observed.gene.count.do,background.gene.count.do
lymphocyte activation,13,378,0.00057,0.00046,5.15E-04,7.77817E-05,7,378
regulation of response to external stimulus,20,681,6.67E-05,0.0012,6.33E-04,0.000801364,8,681
response to oxygen-containing compound,34,1429,2.44E-06,0.0014,7.01E-04,0.000988224,11,1429
regulation of cell population proliferation,40,1594,3.56E-08,0.0028,1.40E-03,0.001979874,11,1594
response to external stimulus,30,1794,0.0027,0.00058,1.64E-03,0.001499066,13,1794
cell differentiation,59,3462,1.61E-06,0.0046,2.30E-03,0.003251553,16,3462
cell surface receptor signaling pathway,30,1683,0.0011,0.0113,6.20E-03,0.007212489,10,1683
regulation of response to stimulus,60,3552,1.61E-06,0.0126,6.30E-03,0.008908407,15,3552
response to endogenous stimulus,27,1289,0.00029,0.0244,1.23E-02,0.017048344,8,1289
regulation of protein phosphorylation,26,1362,0.0013,0.0293,1.53E-02,0.01979899,8,1362
enzyme linked receptor protein signaling pathway,14,551,0.0035,0.0315,1.75E-02,0.01979899,5,551
cell-cell adhesion,10,345,0.0081,0.0335,2.08E-02,0.017960512,4,345
intracellular signal transduction,28,1274,0.00011,0.05,2.51E-02,0.035277557,7,1274
